yl8id,yl8_con,yl5id,yl5_con
1,0.871879427,1,0.823864478
2,0.838540126,2,0.785775094
3,0.759733528,3,0.725833038
4,0.809154591,4,0.736777528
5,0.698241527,5,0.689556722
6,0.737548,6,0.739061836
7,0.874165881,7,0.654277359
8,0.742389336,8,0.681515707
9,0.711013684,9,0.667668034
10,0.75237388,10,0.71874497
11,0.742197601,11,0.676474136
12,0.794682826,16,0.69196847
13,0.833298245,17,0.612460079
14,0.818288339,18,0.58171746
17,0.755647168,24,0.56632564
18,0.789920928,,
22,0.79874655,,
26,0.80231651,,
29,0.838952899,,
