target,model,img,img_height,img_width,img_channels,accuracy,confidence,obj_height,obj_width,obj_height_p,obj_width_p,xmin,xmax,ymin,ymax
bicycle,yolov8l,5021039430_0cda148fd5_z.jpg,640,427,3,1,0.951889515,358,285,55.9375,66.74473068,61,346,253,611
bicycle,yolov8l,5021039430_0cda148fd5_z.jpg,640,427,3,1,0.893700123,173,111,27.03125,25.99531616,0,111,329,502
bicycle,yolov8l,5021039430_0cda148fd5_z.jpg,640,427,3,1,0.879085839,140,65,21.875,15.22248244,361,426,274,414
bicycle,yolov8l,5021039430_0cda148fd5_z.jpg,640,427,3,1,0.440760136,52,81,8.125,18.96955504,24,105,301,353
bicycle,yolov8l,9157606630_2ef852a3ee_z.jpg,640,427,3,1,0.93084234,157,227,24.53125,53.16159251,121,348,218,375
bicycle,yolov8l,18608021442_84f7dcfa5c_z.jpg,480,640,3,1,0.936515689,156,345,32.5,53.90625,98,443,224,380
bicycle,yolov8l,18608021442_84f7dcfa5c_z.jpg,480,640,3,1,0.605212331,64,114,13.33333333,17.8125,91,205,229,293
bicycle,yolov8l,18608021442_84f7dcfa5c_z.jpg,480,640,3,1,0.324687332,97,132,20.20833333,20.625,311,443,226,323
bicycle,yolov8l,159051371_77f7d02bb6_z.jpg,480,640,3,1,0.630564034,415,380,86.45833333,59.375,184,564,57,472
bicycle,yolov8l,159051371_77f7d02bb6_z.jpg,480,640,3,1,0.495657593,194,112,40.41666667,17.5,151,263,131,325
bicycle,yolov8l,3666190087_ca2fb0d709_z.jpg,480,640,3,1,0.927962959,352,516,73.33333333,80.625,84,600,36,388
bicycle,yolov8l,2788056049_b71f8998c7_z.jpg,640,480,3,1,0.896168947,95,79,14.84375,16.45833333,255,334,378,473
bicycle,yolov8l,2788056049_b71f8998c7_z.jpg,640,480,3,1,0.840141237,117,111,18.28125,23.125,368,479,469,586
bicycle,yolov8l,2788056049_b71f8998c7_z.jpg,640,480,3,1,0.751399398,62,42,9.6875,8.75,190,232,294,356
bicycle,yolov8l,2788056049_b71f8998c7_z.jpg,640,480,3,1,0.342549831,22,40,3.4375,8.333333333,432,472,120,142
bicycle,yolov8l,14652913468_5d3b2a39f1_z.jpg,480,640,3,1,0.967168927,401,533,83.54166667,83.28125,1,534,79,480
bicycle,yolov8l,3446761063_9cdc26f36c_z.jpg,426,640,3,1,0.925370038,216,343,50.70422535,53.59375,60,403,156,372
bicycle,yolov8l,9688658716_4b3e9c618c_z.jpg,427,640,3,1,0.847674489,168,379,39.3442623,59.21875,261,640,255,423
bicycle,yolov8l,9688658716_4b3e9c618c_z.jpg,427,640,3,1,0.250017703,162,163,37.93911007,25.46875,262,425,262,424
bicycle,yolov8l,7417962302_a50fc8eb6b_z.jpg,425,640,3,1,0.956047475,158,320,37.17647059,50,202,522,264,422
bicycle,yolov8l,7417962302_a50fc8eb6b_z.jpg,425,640,3,1,0.912636638,90,167,21.17647059,26.09375,53,220,193,283
bicycle,yolov8l,7417962302_a50fc8eb6b_z.jpg,425,640,3,1,0.809146523,89,36,20.94117647,5.625,0,36,190,279
bicycle,yolov8l,3685504815_c15a389bd3_z.jpg,480,640,3,1,0.964739203,233,344,48.54166667,53.75,147,491,170,403
bicycle,yolov8l,8289650934_506c73242a_z.jpg,612,612,3,1,0.961263597,435,581,71.07843137,94.93464052,16,597,108,543
bicycle,yolov8l,4625462281_7df55484bb_z.jpg,426,640,3,1,0.909089923,284,131,66.66666667,20.46875,407,538,62,346
bicycle,yolov8l,4625462281_7df55484bb_z.jpg,426,640,3,1,0.827741265,406,432,95.30516432,67.5,5,437,14,420
bicycle,yolov8l,4625462281_7df55484bb_z.jpg,426,640,3,1,0.333672494,335,96,78.63849765,15,0,96,31,366
bicycle,yolov8l,4625462281_7df55484bb_z.jpg,426,640,3,1,0.285228074,124,93,29.10798122,14.53125,547,640,299,423
bicycle,yolov8l,4625462281_7df55484bb_z.jpg,426,640,3,1,0.262579888,400,283,93.89671362,44.21875,5,288,20,420
bicycle,yolov8l,6771874127_f8f380b3cb_z.jpg,425,640,3,1,0.926560104,407,640,95.76470588,100,0,640,4,411
bicycle,yolov8l,4349979920_189df35e15_z.jpg,480,640,3,1,0.963906705,283,444,58.95833333,69.375,148,592,71,354
bicycle,yolov8l,5816846412_7b6fa97da0_z.jpg,427,640,3,1,0.953995228,409,556,95.78454333,86.875,49,605,9,418
bicycle,yolov8l,5816846412_7b6fa97da0_z.jpg,427,640,3,1,0.308185667,272,166,63.70023419,25.9375,48,214,26,298
bicycle,yolov8l,82903264_5dd277c32d_z.jpg,480,640,3,1,0.928628445,205,220,42.70833333,34.375,189,409,245,450
bicycle,yolov8l,82903264_5dd277c32d_z.jpg,480,640,3,1,0.910032511,153,159,31.875,24.84375,18,177,264,417
bicycle,yolov8l,82903264_5dd277c32d_z.jpg,480,640,3,1,0.533899665,116,97,24.16666667,15.15625,352,449,250,366
bicycle,yolov8l,82903264_5dd277c32d_z.jpg,480,640,3,1,0.425530732,73,56,15.20833333,8.75,392,448,292,365
