query_id,time_violation,remaining_inference_time,data_sources,top_1,top_3,top_5,top_10,no_object,list_objects
2e6ee44d-95da-40fa-8c3a-84203d554a88,False,0.8454668848619318,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,6.0,"[0, 1, 2, 3, 4, 7]"
fb304293-16b9-4cc6-b81e-88904ab4da7f,False,2.135797616668293,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,6.0,"[0, 1, 2, 4, 6, 7]"
8c3d2945-ff1f-4185-882a-a5b6d9eb5bd6,False,0.4355909042896471,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,4.0,"[0, 1, 2, 5]"
fde9315f-c55b-43f5-bd35-001f56ce3f29,False,1.9264095271309816,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,7.0,"[0, 1, 3, 4, 5, 9, 10]"
f3975784-fdad-4f15-b0dc-dc3c409c5630,False,0.3341205576008766,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 4]"
c6a34cfe-9c44-43e1-bab8-c0037ade08ea,False,1.6205761910055334,"['rgb', 'ninf', 'minf', 'finf']",9.0,9.0,9.0,9.0,13.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15, 21]"
3e98c63a-da52-41eb-b31b-ec8abedb6293,False,1.413834442592624,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,5.0,"[0, 1, 2, 3, 4]"
d502568f-af4f-408b-a86c-949d0aabcba1,False,1.561106096824538,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,3.0,"[0, 2, 3]"
20a53965-8a67-4486-950c-126fff302d90,False,1.874239812789672,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,7.0,"[0, 1, 2, 3, 4, 6, 7]"
5ce05adc-eb6c-4e26-96db-591d7c8fd034,False,1.4797218179002598,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,5.0,"[0, 1, 2, 3, 4]"
17f385b5-5b05-4627-b8b6-cc7a0b6a65a3,False,0.7200478567126932,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,4.0,"[0, 1, 2, 4]"
3bebf6ee-3dc0-4d60-92d9-303bea1d637a,False,0.9188817241022272,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,4.0,"[0, 1, 2, 3]"
d6daca47-3714-4ace-9e57-507b11e8f77e,False,1.8003514212209886,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,5.0,"[0, 1, 5, 6, 8]"
1483e2da-4152-4b51-a6ab-b704ce374473,False,1.8870969575075789,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,7.0,"[0, 2, 3, 5, 6, 7, 8]"
19fb22a9-ece1-4997-af49-634629f66e7f,False,0.514437182554432,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 1]"
62694586-83cc-417a-b28b-bf20c86d611b,False,0.6625550870076645,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,4.0,"[0, 1, 2, 6]"
21496bb6-e873-4aae-9404-448f235893e7,True,1.5899087114846502,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,7.0,"[0, 1, 2, 3, 4, 5, 6]"
7b156312-5a9f-4d81-88de-1ff36a1a01ff,False,2.19747245314903,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
805cfcd2-d3e9-449e-8664-1a55f4f91f0f,False,2.588939323303621,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,5.0,"[0, 4, 6, 7, 8]"
67a9ba7d-6a5b-4d22-98e1-bc74c44df527,True,1.6226642539809035,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,3.0,"[0, 2, 4]"
c5d9639c-1a03-4ab2-b701-27b2a46a06f3,False,2.254158791987084,"['rgb', 'ninf', 'minf', 'finf']",10.0,10.0,10.0,10.0,10.0,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 23]"
7ab51f7c-3ad0-4dd3-92fe-85798a0767a1,False,2.0606868458599754,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
836f6ba5-eec0-43a4-9e1e-fdabdd547448,False,2.515444021428841,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,7.0,"[0, 1, 2, 3, 6, 8, 15]"
cf36d88b-7b98-497e-a0fb-b6fb4dedb2f1,False,2.646961928577216,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,7.0,"[0, 1, 2, 3, 4, 7, 8]"
474c05df-c5ac-43fb-8cdd-d291eee76c7b,False,2.157673782657809,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,5.0,"[0, 1, 2, 5, 6]"
4ebbcbd8-275c-4b6b-a5e4-8b4f54b893c4,False,0.2875203803918557,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
c221722b-4676-4f30-9962-57b6fc812a77,True,0.3796841397122786,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[1]
0471410f-cd0a-472b-9b29-2ec5859205cb,False,0.5240033775731481,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,5.0,"[0, 1, 3, 4, 6]"
924db0c2-7522-44bd-a048-b39f24ae67e5,False,1.7303799519905074,"['rgb', 'ninf', 'minf', 'finf']",10.0,10.0,10.0,10.0,10.0,"[0, 1, 3, 7, 12, 13, 14, 15, 16, 17]"
a21eb5a0-c9c5-480f-81a0-6f23d179273e,False,1.4818868627760182,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,4.0,"[0, 1, 2, 4]"
