query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
4313e9a8-6c34-4f8d-ac8b-2c3795c54d85,1752242818.254694,0.0247920846362296,False,5,"['gyro', 'orientation']","['cfc5b176-db60-413c-b987-40ed0277f005', 'c5abd442-7bce-4061-b2f1-23f8338cc135']","['53cd9389-ce00-4593-8ee7-487a51a4093c', '3f228d22-0f20-4ff2-b779-9b0162cfacb5', '242809e8-24c2-4a7d-8ec1-26fb90e10fee', '47461f02-69ee-493c-9e93-78d156715a29', '2dde254a-ff30-41db-ad3d-6921b64816c8', '288ba3d6-3ece-4c50-9f83-b12199b0a60d']","{'carrying': 0.1210581281376476, 'picking_up': 0.11256044150780992, 'running': 0.11208441377614309, 'crouching': 0.10333497434061345, 'pulling': 0.09071368446368445, 'Carrying_light': 0.08941305990995431, 'using_phone': 0.07819422293106504, 'checking_time': 0.06564300361292842, 'carrying_light': 0.022959183673469385, 'closing': 0.02146679378822236, 'sitting_down': 0.014049938157081013, 'kicking': 0.013573119306202011, 'sitting': 0.013528138528138528, 'throwing': 0.013038951683116444, 'jumping': 0.01203416149068323, 'walking': 0.011553534457261165, 'pocket_out': 0.011497153700488122, 'exiting': 0.011133405931542578, 'loitering': 0.010416666666666666, 'using_pc': 0.00921407210227086, 'setting_down': 0.00783049796207691, 'opening': 0.007518796992481203, 'pointing': 0.006746831710054985, 'drinking': 0.006734006734006735, 'talking': 0.006313131313131313, 'transferring_object': 0.005681818181818181, 'talking_on_phone': 0.004208754208754209, 'looking_around': 0.0038389624855790267, 'pushing': 0.0033670033670033673, 'fall': 0.0031565656565656565, 'standing': 0.002717391304347826, 'carrying_heavy': 0.0025252525252525255, 'standing_up': 0.0012626262626262627, 'pocket_in': 0.0006313131313131314}",False
f3164033-cc4b-40bc-8b82-1b04f93a28d0,1752242818.3084116,0.2863515616234602,False,7,"['orientation', 'video', 'acc_phone']","['d31fb7d0-d7cd-49dc-8650-aeffc25a3016', '96403296-1051-4a14-a946-499311149555', 'ed6f4bd1-13fb-4ea9-8cd2-41802d53705c']","['53a1e9ea-ffc4-4ceb-b263-c8de087a668c', '1e5e887e-fa7e-424d-a784-21c112e19107', '15683efb-0693-47d4-9f0c-5df6ce37a9e5', 'deb904a3-44cb-475c-b3c1-32f1301f3385', 'b71538f0-abef-4fec-b521-e9837e7078c0', '1c6e21f3-48d4-49bf-b0dd-7010d126ef5d', 'a3d6ad20-4331-47a0-8334-809ea3936cb9', '9bf9d18a-1453-4641-97d8-e8c9aea10073', 'eab11472-0da7-421c-a401-e27aba7bb7e6']","{'Carrying_light': 0.5272402119853121, 'talking_on_phone': 0.04092573202580073, 'loitering': 0.04067333504544353, 'closing': 0.037877236504236106, 'using_pc': 0.02731574092172255, 'carrying': 0.026528843045637546, 'pushing': 0.02191684890834323, 'throwing': 0.021232577010877406, 'transferring_object': 0.01981774393871764, 'sitting_down': 0.018102675005713297, 'opening': 0.016891007742780264, 'fall': 0.016552131103832725, 'pocket_out': 0.016472485416470523, 'exiting': 0.012326044673041195, 'drinking': 0.01147914002509561, 'walking': 0.011197357394336086, 'standing_up': 0.010767286726027801, 'running': 0.010482180293501049, 'standing': 0.010255192668180903, 'picking_up': 0.010021215575950941, 'jumping': 0.009127215132332814, 'pulling': 0.009024825424183716, 'waving_hand': 0.00898615460555596, 'sitting': 0.008214273477918251, 'looking_around': 0.006954277276713255, 'crouching': 0.0065400099914778576, 'pocket_in': 0.005737683255460869, 'talking': 0.005668934240362812, 'using_phone': 0.005453555376750461, 'carrying_heavy': 0.005052753415703628, 'entering': 0.0049390721028479715, 'carrying_light': 0.004778972520908005, 'kicking': 0.003920223876428733, 'checking_time': 0.0034978530419259904, 'pointing': 0.002834467120181406, 'setting_down': 0.0011947431302270013}",False
5fece224-d203-4d9c-a5f1-06e36d20bf38,1752242818.4312797,0.71819291034581,False,5,"['video', 'gyro']","['dcdfb0db-9f35-42f6-b87c-da14475b9773', '9af10f88-2b9b-4e8a-897a-6fffe29e42a9']","['397b3626-4de3-46b5-9da4-20e74efb1a02', '77463f4b-fa18-44b0-a7e6-6adb0ed96624', '1a0dd659-6e66-4096-bcbe-efd7dca68292', '2776b094-e38d-4811-aba7-baa45213c0cc', 'b1127b32-ef1a-42ab-a4b4-afb3aeb154e3', '1d1a8e1e-79c3-4566-831c-66059905555d']","{'kicking': 0.13225880078887023, 'carrying_heavy': 0.11764252715954833, 'exiting': 0.11096497205942484, 'throwing': 0.10287267080745342, 'waving_hand': 0.10196687370600414, 'closing': 0.09913867689113132, 'loitering': 0.07531220250787886, 'transferring_object': 0.0408067855473185, 'walking': 0.018444273225780964, 'standing_up': 0.01771516838983106, 'sitting': 0.014164000841651777, 'pocket_out': 0.013972200559971575, 'carrying': 0.012460815047021942, 'opening': 0.012351028780131883, 'pocket_in': 0.011614636753680135, 'entering': 0.011426476749057396, 'checking_time': 0.011338080959520241, 'talking': 0.011286983236492354, 'pulling': 0.010635056070209654, 'sitting_down': 0.00877742946708464, 'running': 0.008448540706605223, 'drinking': 0.008068801466471232, 'standing': 0.006792058516196447, 'Carrying_light': 0.0062571103526734935, 'talking_on_phone': 0.006225783212289959, 'pointing': 0.006025251026363951, 'crouching': 0.0053030303030303025, 'pushing': 0.004094794873195995, 'using_pc': 0.0028729756793171965, 'jumping': 0.0022753128555176336, 'using_phone': 0.0022727272727272726, 'setting_down': 0.002089864158829676, 'picking_up': 0.0015527950310559007, 'looking_around': 0.0015360983102918587, 'fall': 0.0010351966873706003}",False
2953cea2-198a-46bc-8e94-9d7eaaa55d70,1752242818.474893,0.2267225560924542,False,1,['video'],['179f1c3e-1fc0-40ae-8011-beb7c41ef868'],"['78f12873-5250-44cb-85fc-c52952f9ab4c', '72a8323d-8272-48f0-84bd-d1f2d75e17fc', 'e6dc1f0d-ce28-4151-ba89-e723288a2853']","{'waving_hand': 0.24652027419542233, 'pointing': 0.24048394375129586, 'sitting': 0.14902491676118693, 'jumping': 0.044880425179642, 'running': 0.03571036551900772, 'standing_up': 0.028360829262061526, 'carrying': 0.028054684171798145, 'using_pc': 0.02494093954533132, 'Carrying_light': 0.024414236474187678, 'closing': 0.024282560706401765, 'pulling': 0.020623711780273925, 'talking_on_phone': 0.019513860939348482, 'pocket_out': 0.014732965009208102, 'pocket_in': 0.014035087719298246, 'standing': 0.011049723756906077, 'opening': 0.011037527593818985, 'walking': 0.010526315789473684, 'checking_time': 0.00935672514619883, 'fall': 0.009208103130755063, 'carrying_heavy': 0.008830022075055188, 'kicking': 0.007366482504604051, 'picking_up': 0.005847953216374269, 'entering': 0.004678362573099415, 'exiting': 0.0035087719298245615, 'sitting_down': 0.0018416206261510127, 'talking': 0.0011695906432748538}",False
cec421a4-36e1-4db9-ab68-6b8185a1dd5b,1752242818.5919776,0.0143399785834172,False,6,['gyro'],['25b1f10a-a6bc-4184-9cc8-25f77c63dbc1'],"['befa9f5b-daaf-47f5-8fdc-14b8e5dd7784', '49359f78-3840-4a42-97ac-2ef9310a0e8d', '57baa024-b6a9-49dc-8e77-59e01f45686a']","{'opening': 0.3597047650843206, 'checking_time': 0.23355460296593775, 'closing': 0.16137698710988613, 'entering': 0.026935605111500876, 'pocket_out': 0.02262730031459673, 'crouching': 0.016078911854535125, 'using_pc': 0.01569713758079409, 'carrying_heavy': 0.015474568471581835, 'jumping': 0.013576715661947599, 'loitering': 0.013029315960912051, 'carrying_light': 0.013018798683618627, 'talking_on_phone': 0.011752136752136752, 'throwing': 0.010103700546913843, 'fall': 0.009771986970684038, 'pointing': 0.008686210640608035, 'picking_up': 0.008547008547008546, 'pushing': 0.008310249307479225, 'kicking': 0.00760043431053203, 'using_phone': 0.007386888273314866, 'standing': 0.0065146579804560255, 'transferring_object': 0.0054288816503800215, 'sitting': 0.005341880341880341, 'exiting': 0.004273504273504273, 'carrying': 0.003855859432569079, 'setting_down': 0.0032399287285280773, 'pulling': 0.0032051282051282055, 'sitting_down': 0.0021367521367521365, 'talking': 0.0018467220683287165, 'drinking': 0.0009233610341643582}",False
faa3a5cc-1988-41fc-974d-464d5e51feab,1752242818.6612358,0.0346417335832345,False,3,"['acc_phone', 'orientation', 'gyro', 'acc_watch']","['d85de8dd-38ce-4818-b9ea-7370973a001f', '8f90ef1b-2ae8-4987-a605-4d0c56f0690f', '58fabf91-4418-4d74-9f2b-c2c96e7e1f3e', '07402dab-286a-49c8-86b6-c80f2c7c48a5']","['5bf67093-8ea3-4efa-b50a-43e845fea143', '13fd23b5-ceb3-4ce9-b78d-9f706128159c', '98f185a0-a67c-43a1-9a38-75a3ab6b2d3d', 'c098a63d-d29e-4f14-a00e-88f9578dbdfb', '9f69034c-9b02-4c93-b5b5-2353fa1a9a1b', '7961074b-78b0-46a0-b109-b9088b32b9ce', '7032b272-664f-4509-90d0-a89380905cf1', '5a52b35b-435e-4cc0-a4ff-238b8711236f', '187a7b54-1a3b-42db-b330-31960ab19d3e', '1fd08fbe-94a8-4d36-8a6a-8b3a2720ffe4', 'd8e7a9a3-d3ca-4766-b33e-dc6504ef19ee', '2da101bf-506b-49a6-beec-eff1a337b1ad']","{'standing': 0.3412125747881823, 'pushing': 0.1251160928391683, 'throwing': 0.08352626191459343, 'walking': 0.06439666862242514, 'loitering': 0.04226556198890835, 'fall': 0.039587235952656785, 'talking': 0.032620447059855576, 'pocket_in': 0.029144488421818843, 'drinking': 0.02015455679687737, 'carrying_light': 0.016089612556876232, 'sitting_down': 0.014718831120598996, 'Carrying_light': 0.013671877024666592, 'waving_hand': 0.013599497950792709, 'jumping': 0.011498879369811388, 'carrying_heavy': 0.011141220317601794, 'crouching': 0.011006538065816333, 'pointing': 0.010770677415509263, 'using_phone': 0.010289885568440267, 'transferring_object': 0.009815491593070753, 'setting_down': 0.009544057801707603, 'picking_up': 0.008745783306888083, 'pulling': 0.008531810155410538, 'running': 0.008448060075093867, 'standing_up': 0.007494258904520819, 'opening': 0.0065011820330969266, 'talking_on_phone': 0.006377896879724624, 'closing': 0.006230089295759363, 'carrying': 0.005956455106998386, 'entering': 0.005672362167714082, 'checking_time': 0.005633537724516242, 'kicking': 0.005473479876210251, 'sitting': 0.005450485946939847, 'using_pc': 0.005284004698316885, 'pocket_out': 0.0024869267828888084, 'looking_around': 0.0015432098765432098}",False
991e6f54-cf06-40c6-88e4-5527ea016ef0,1752242818.7539542,0.0286681633588473,False,10,"['acc_watch', 'orientation']","['5257364b-c54a-4c10-9b3d-82a97ba2b6a5', '0cef6b3e-305a-44b1-b6f6-eaf3182f3170']","['7e8cb0c7-1c02-404f-99ee-fe031b042500', '0d4455e7-f4fa-42da-ba1b-380ff15b5ab6', '39422ccd-e83c-499e-bfce-e15a8794040b', '26035138-1771-4b79-a084-bdddfda2a42e', '711cf950-bc9f-4ac6-8f00-1e362fead4a4', '234a39b6-448e-4587-b82c-d79d07639bab']","{'standing_up': 0.1303261503168425, 'jumping': 0.12618632028600837, 'standing': 0.09799382716049383, 'walking': 0.09473621531499345, 'exiting': 0.0848823447507658, 'pushing': 0.08076520908576312, 'pocket_in': 0.07839007258769405, 'opening': 0.0361106718441598, 'crouching': 0.03208430913348946, 'looking_around': 0.03009259259259259, 'pointing': 0.01766040986792797, 'throwing': 0.015749611262431774, 'picking_up': 0.013889295617547509, 'checking_time': 0.013756613756613757, 'sitting_down': 0.01323804389120148, 'loitering': 0.013211608607906003, 'using_pc': 0.011231645847030463, 'transferring_object': 0.011064149525687988, 'setting_down': 0.010633537877127619, 'carrying_light': 0.010095371362788296, 'talking': 0.008793343446234702, 'talking_on_phone': 0.008409913673071567, 'carrying': 0.008272167792974855, 'entering': 0.008017386222514427, 'closing': 0.006944444444444444, 'using_phone': 0.006430868167202573, 'drinking': 0.005945105708178986, 'sitting': 0.00527339469647162, 'Carrying_light': 0.004287245444801715, 'fall': 0.004232804232804233, 'kicking': 0.0039447731755424065, 'pocket_out': 0.0038580246913580245, 'pulling': 0.001949317738791423, 'running': 0.0015432098765432098}",True
feab1e1d-0f52-417c-af90-f928ef62cbd3,1752242818.8146749,0.0283772556380575,False,9,['orientation'],['24580138-7358-447b-bfa3-6dc6d0abc1a1'],"['85d45740-2705-4e7d-a23c-278736e0f0e0', 'c6523b02-35b4-4db5-b0bb-f42a32c638a3', 'efc9a75e-b330-42d8-83fb-7802178bf1ce']","{'using_phone': 0.20933977455716588, 'Carrying_light': 0.1774693543564808, 'opening': 0.1372549019607843, 'using_pc': 0.12199016414383344, 'crouching': 0.06166894837054871, 'pocket_out': 0.05971769815418024, 'exiting': 0.026996305768684285, 'walking': 0.02317896426379644, 'sitting': 0.017713365539452495, 'standing': 0.017429193899782137, 'pushing': 0.017239746140001896, 'standing_up': 0.015250544662309367, 'entering': 0.015155820782419248, 'checking_time': 0.013480411441040249, 'talking': 0.013071895424836602, 'carrying': 0.011272141706924315, 'jumping': 0.010857763300760043, 'sitting_down': 0.009771986970684038, 'pointing': 0.00966183574879227, 'throwing': 0.00760043431053203, 'fall': 0.006535947712418301, 'carrying_heavy': 0.0065146579804560255, 'pocket_in': 0.0064779409064921025, 'picking_up': 0.002178649237472767, 'looking_around': 0.002171552660152009}",False
269cd31e-2acb-4e6c-b7f6-ae4cfa5a1c49,1752242818.9095116,0.1150660267351985,False,5,['video'],['48aa7c93-0564-45c8-b518-3e85972f1b00'],"['485f4421-6ffc-4197-a3f0-c1d82162d986', 'f717c1a1-c913-4cb6-8d50-9e57212ce63d', '71d6e4e2-ff24-4f25-82d9-420a00f98f2e']","{'checking_time': 0.6106505096008824, 'crouching': 0.07477820025348543, 'fall': 0.02992407019364578, 'carrying_light': 0.029427134953958156, 'pointing': 0.029248856864763428, 'carrying': 0.028436018957345974, 'talking_on_phone': 0.018424934321349708, 'using_phone': 0.018416206261510127, 'transferring_object': 0.017707939139471045, 'drinking': 0.016476552598225603, 'opening': 0.015815808600484146, 'standing_up': 0.013941698352344739, 'pocket_in': 0.01289134438305709, 'walking': 0.011406844106463879, 'entering': 0.011049723756906077, 'using_pc': 0.010433748400699187, 'carrying_heavy': 0.010139416983523447, 'pocket_out': 0.009446183363793598, 'waving_hand': 0.009208103130755063, 'setting_down': 0.0055248618784530384, 'pulling': 0.004739336492890995, 'exiting': 0.0038022813688212928, 'sitting_down': 0.0036832412523020255, 'sitting': 0.0031595576619273306, 'kicking': 0.0012674271229404308}",False
45bdeba2-1ffa-4019-b911-553f75e609a6,1752242819.0761454,0.386314562850339,False,3,"['gyro', 'acc_watch', 'acc_phone', 'orientation', 'video']","['210cfb4f-7f61-4347-9a1b-7df2c4d3a36d', 'df530c09-5aea-4954-8e96-ef5d3a6ecc95', 'ea155022-e7e8-4345-bda8-4a95635bf4b4', '7d841489-9aaa-45c9-98da-2efe53de4a3d', 'b6c037ac-a922-4f35-9871-a884adf4de72']","['7befda0d-2713-44be-9e8c-ee879b4d263e', 'fef44c50-95b0-411e-a2c7-709d2b28d615', '30e41df7-034a-48d0-a873-8fb2e381f92f', 'b7af15ea-937a-412c-9752-b13be83c1963', 'b30314a7-7430-4fe5-a265-4ec13bde9848', '3ab1cc34-23b3-42ef-89a3-a08361897ed3', '678fa013-565d-4d17-94aa-bf88f04ceee3', '53b1009b-750c-4d50-9df1-f2dddd31ed4b', 'e44f9647-a172-4484-b7db-c0ae9a54918e', '26f17d36-cb3b-4ff2-b900-e10d94452739', 'e5fd6d3c-4bd5-4fb0-9591-f42f879858f8', '9055c5b3-9233-42c6-8ef3-153d8df9dbef', 'c2ff5f38-7e4b-4035-9add-af9a17d0d988', '17158428-e127-451c-95f5-7b698e24823b', 'f38fa7e0-14fc-4bc4-874b-fa9a5799aab6']","{'throwing': 0.10293917193296534, 'sitting': 0.087128171345794, 'picking_up': 0.08129809811639417, 'loitering': 0.061067303618465595, 'crouching': 0.06090026302693092, 'standing': 0.053180397592162296, 'talking': 0.05151591465379688, 'looking_around': 0.04614406220221711, 'pocket_out': 0.043913003339629775, 'Carrying_light': 0.0423410529967907, 'carrying_heavy': 0.04087043600511785, 'closing': 0.03620128523292791, 'pushing': 0.02862140211931866, 'pointing': 0.027311532074011765, 'drinking': 0.02598268670326243, 'walking': 0.018579184962833933, 'setting_down': 0.018050774210714327, 'standing_up': 0.018005005538165635, 'carrying_light': 0.01596473567294413, 'opening': 0.013962911995466013, 'pulling': 0.013937729305955306, 'entering': 0.012519180508653579, 'running': 0.011427906131481263, 'fall': 0.01121218734643114, 'talking_on_phone': 0.009683528069942939, 'checking_time': 0.009241501323342755, 'kicking': 0.009024158415723028, 'using_pc': 0.008859849931597778, 'using_phone': 0.008760132675962663, 'jumping': 0.006073153899240856, 'pocket_in': 0.005368459391603075, 'exiting': 0.005328171376951864, 'carrying': 0.005072215072215072, 'sitting_down': 0.004910064000819881, 'transferring_object': 0.0032800456192985284, 'waving_hand': 0.0013243235908708512}",False
