query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
97dbf244-e23c-48e6-8c98-f3d1c42c20fc,1752061492.5939038,0.5649163345585775,False,7,"['gyro', 'acc_phone', 'video', 'orientation']","['618d358a-ed41-483a-90a8-0f8a20c9be05', '94a35d60-c87a-44cc-96cc-e6333fbc7aab', '3dfcd706-d5a7-49e4-a741-7928c254bfa2', '94a8b9b3-02f9-4b6e-a9bc-b3d42453bf6e']","['5c121262-4746-4757-9a6b-3ce06d667b2c', '4cb30d13-d175-410d-8ae3-923b49b5cc87', '430d5a36-6113-435a-b422-b05e66e3aa32', 'bc93598a-f311-49aa-b9c1-e1e6c2447fe5', '92962af9-a8f5-495c-b7a0-3f3a55d0f234', '8bd5b29c-4839-4afd-9893-f64a155e9947', 'd4f0bb73-d1fa-4f58-8044-c3333634fa1e', 'a656f4c1-2d9e-4145-aec6-cf8a6f540af8', '01556491-bab5-46aa-abe3-ec07085f2665', 'c43b04f5-7912-44ba-a4f3-7d9645a9c86e', 'f050c86c-a97e-425d-85fe-16d800d894cb', '8b9a74a4-5e44-4f2f-b400-8975fffb76af']","{'using_pc': 0.20649339054389007, 'standing': 0.08163650075414781, 'opening': 0.07909558577477253, 'jumping': 0.06797269533127766, 'pushing': 0.06177119925626943, 'pocket_in': 0.04998158762688527, 'closing': 0.0479402854472279, 'carrying_light': 0.04401203695030136, 'Carrying_light': 0.04400868289491938, 'fall': 0.04225997177347529, 'walking': 0.03986112774588067, 'pocket_out': 0.032032719026002986, 'exiting': 0.024698482291668083, 'pointing': 0.019770480064597713, 'talking_on_phone': 0.019264790686630142, 'looking_around': 0.011681138829441223, 'using_phone': 0.010305918244855241, 'standing_up': 0.009584537916398059, 'waving_hand': 0.00943421139499571, 'transferring_object': 0.00914364640883978, 'entering': 0.009028336286296713, 'running': 0.008752960333661644, 'talking': 0.007697767011492503, 'sitting': 0.00713015188218231, 'drinking': 0.007125354694415467, 'checking_time': 0.007022179283581425, 'kicking': 0.006314123431987152, 'loitering': 0.006267031931951365, 'pulling': 0.0062145416542251425, 'setting_down': 0.005489208329347722, 'throwing': 0.0054191972811958875, 'crouching': 0.003896900333477954, 'picking_up': 0.0030827505827505826, 'carrying': 0.00240559186637618, 'carrying_heavy': 0.002206912142565697, 'sitting_down': 0.0009980039920159682}",True
3dcfab8d-e25e-462c-9cb1-c1f9913b4ec1,1752061492.728645,0.0217967769661336,False,7,"['orientation', 'gyro']","['08de5810-68d7-45f9-9b44-71d1690d16d2', '639974e4-0a96-4541-aa35-a95b04464fbf']","['85b57d76-c9df-4179-8109-c8796ee609c9', 'b7dd6a8a-99db-4ac3-9715-29f2f7efa799', 'fc80cad4-765d-4ded-80fd-6bed7f2c0077', '88efde39-8ecb-4433-850a-58c48108c5b8', '1fe9a4ae-c155-4a81-a653-9023b3b3d8c0', '8b534725-64b2-43ca-8b6a-06fbd085c8c6']","{'sitting': 0.17421041099945744, 'pushing': 0.11474843211027967, 'running': 0.10505531757307723, 'picking_up': 0.10017463816871923, 'fall': 0.07288331823215544, 'carrying_light': 0.07160688477204047, 'pocket_out': 0.06967984934086628, 'transferring_object': 0.06279757994381566, 'setting_down': 0.05641088524351917, 'talking_on_phone': 0.015811558913647994, 'pulling': 0.014946070878274266, 'throwing': 0.013104228838056295, 'using_phone': 0.01262832971933337, 'opening': 0.01212949163768836, 'carrying': 0.011525086934922999, 'jumping': 0.010442540155654911, 'exiting': 0.010163106474581884, 'sitting_down': 0.009304141023546285, 'kicking': 0.00909090909090909, 'drinking': 0.006497612107099729, 'carrying_heavy': 0.006240685543964233, 'pointing': 0.005148034947979377, 'Carrying_light': 0.004983388704318937, 'standing': 0.004823151125401929, 'pocket_in': 0.004545454545454545, 'closing': 0.004429678848283499, 'looking_around': 0.00404040404040404, 'loitering': 0.0038315742305060525, 'standing_up': 0.0027685492801771874, 'talking': 0.0022924426994194434, 'using_pc': 0.0021436227224008574, 'crouching': 0.0010718113612004287, 'waving_hand': 0.00047080979284369113}",True
beed60a9-e3ca-45db-9a4a-8da4c80637e2,1752061492.8729951,0.0305344048885925,False,10,['orientation'],['e4f3c681-d318-4349-a4b1-03a9096525ed'],"['f377e9ea-eff8-47f4-bf14-19b0b05a3262', '14865227-eafc-4b11-9a25-29afc545daeb', '5efbcc2f-9389-4e5e-8828-b89d360102da']","{'entering': 0.20430107526881722, 'waving_hand': 0.20234869015356818, 'standing_up': 0.13897656623625057, 'pushing': 0.11648553849692371, 'loitering': 0.09999999999999999, 'pocket_in': 0.024437927663734118, 'closing': 0.024341329089790236, 'sitting_down': 0.020562359841297225, 'standing': 0.01883734523619746, 'fall': 0.0167052110403802, 'walking': 0.01568627450980392, 'drinking': 0.014685757000747512, 'carrying_heavy': 0.013725490196078431, 'setting_down': 0.01174345076784101, 'running': 0.00993676603432701, 'checking_time': 0.009780921166120407, 'Carrying_light': 0.009564147047370077, 'carrying': 0.009495722408204474, 'talking_on_phone': 0.008130081300813009, 'sitting': 0.007226738934056007, 'picking_up': 0.006323396567299006, 'opening': 0.005420054200542006, 'exiting': 0.004516711833785005, 'looking_around': 0.0039100684261974585, 'pocket_out': 0.0019550342130987292, 'transferring_object': 0.0009033423667570009}",True
4a73ddf4-a0ec-422f-a445-7d72fddcd6f5,1752061492.98705,0.1498266760245301,False,6,['video'],['82571153-8e90-4c0f-86dc-6bf6f47d9ab6'],"['ff72bf59-3ece-45b0-8524-4249c254235e', 'fb2cb09a-ac22-4309-80c7-c0560db8b25b', '42d38d2e-c92e-431e-a9ec-c74da061607d']","{'jumping': 0.2504932620129562, 'picking_up': 0.23834196891191708, 'waving_hand': 0.1818181818181818, 'loitering': 0.046386192017259985, 'transferring_object': 0.04206454559728229, 'crouching': 0.03174730535719062, 'Carrying_light': 0.027548209366391185, 'pocket_in': 0.01928374655647383, 'pointing': 0.018992683513031617, 'opening': 0.01705317168871674, 'pulling': 0.01652892561983471, 'walking': 0.015544041450777202, 'kicking': 0.015334278352813216, 'checking_time': 0.013774104683195593, 'sitting': 0.011005471994455346, 'carrying': 0.008635578583765112, 'setting_down': 0.008264462809917356, 'throwing': 0.00690846286701209, 'using_pc': 0.006472491909385113, 'carrying_light': 0.005509641873278237, 'talking_on_phone': 0.005393743257820927, 'carrying_heavy': 0.0051813471502590676, 'standing': 0.0027548209366391185, 'drinking': 0.0021574973031283713, 'pushing': 0.0017271157167530226, 'looking_around': 0.0010787486515641857}",True
22e8a573-8de6-45dd-b6ef-a6fd0a6a3ce1,1752061493.1266,0.0727574398182577,False,10,"['gyro', 'orientation']","['b8b3244e-8b94-4d70-afea-b881024072f9', 'fdd32a06-e844-48c2-a75f-3747d11b47ba']","['810c49a7-0b0b-43ef-a8c9-ae02d7b6f457', '88f3c3c3-54cc-4186-adcd-48c19de2b9c9', 'f91499aa-c6de-4172-abe3-5543f69a45c2', 'f9158588-345a-43cf-b420-4759a5ea4b02', 'f888d2d9-4c8a-4b9b-8b83-c42ae2cfa122', 'ec887baf-0391-4dd7-b30f-ff3043bd224a']","{'Carrying_light': 0.14479285649411908, 'crouching': 0.1259688243192442, 'pulling': 0.1175661197369899, 'using_phone': 0.10911808669656203, 'running': 0.07976190476190477, 'looking_around': 0.0695970695970696, 'fall': 0.06309021439897217, 'carrying': 0.05830997601658, 'checking_time': 0.03446187723644371, 'transferring_object': 0.026228712136055304, 'sitting': 0.022853057470356226, 'carrying_heavy': 0.018644173850323395, 'pocket_in': 0.014921823987636995, 'entering': 0.011040022859660418, 'waving_hand': 0.010436685885116379, 'jumping': 0.010032786481881316, 'kicking': 0.00928389057410761, 'pushing': 0.00924218066954339, 'drinking': 0.007973944294699012, 'walking': 0.007271740605073938, 'picking_up': 0.006858710562414266, 'exiting': 0.0066649442998886615, 'using_pc': 0.005607042719010177, 'standing_up': 0.005486968449931413, 'pointing': 0.005354316465427576, 'pocket_out': 0.0048370704440068605, 'setting_down': 0.004115226337448559, 'talking': 0.0033882783882783884, 'opening': 0.0027434842249657067, 'closing': 0.002242152466367713, 'standing': 0.0012578616352201257, 'loitering': 0.0004816955684007707, 'sitting_down': 0.0003663003663003663}",True
762c495f-8bf5-42d7-83d8-9400072f2c0b,1752061493.2549236,0.0535146161102651,False,2,"['acc_watch', 'gyro', 'orientation', 'acc_phone']","['3a750d23-48c6-45d8-b5b0-cc489bb957aa', '26fe5c6a-927d-4aab-a7b6-287015836b1c', 'b86d57c6-efe2-438b-bf62-a280bec3acb8', '5904b72f-6ce8-4674-aea4-37063f267b71']","['dc292176-8d5a-4dba-a1cd-1bd02a36f149', '5833d6f3-0208-4208-bd23-e0cea55d153e', '43156d88-be9b-41d5-b9dc-8b0a9a01ffa3', '59c2ef28-420e-4d9d-9145-ccdf941ca12c', '5b61b46b-2ccf-4b04-b51b-69d76b3acf23', '47b4f895-22cf-4b40-acce-b75d63a4d4e9', 'af7e99bf-1a9c-4ab4-a35a-e010db6f65a8', '5743108c-cc50-4595-8a4f-c3727ea9bbf4', 'c1ddee2a-f57e-47fc-ba4d-74ab0fbd98a7', '873767d3-16ad-4d3a-ac5c-28fcdefc5545', '69e6dcc2-21f0-4498-be7e-931365b22b30', '8d9a7f67-10ac-4e2f-9f64-98a3eef7b3fb']","{'throwing': 0.20265759037563813, 'pushing': 0.08203565970807832, 'carrying': 0.071317241858991, 'jumping': 0.07121186721543964, 'looking_around': 0.07073027191063182, 'standing': 0.05798555342928308, 'exiting': 0.05649682892527314, 'transferring_object': 0.04913273227692796, 'standing_up': 0.048009362397763954, 'sitting': 0.04743438191533892, 'fall': 0.04646949233606023, 'Carrying_light': 0.016582672627080523, 'loitering': 0.013436240471440068, 'pocket_in': 0.01336561490515746, 'setting_down': 0.012820215349797734, 'carrying_heavy': 0.011169526474716534, 'waving_hand': 0.010636902855512576, 'talking_on_phone': 0.010545603466550013, 'walking': 0.009703622517489179, 'drinking': 0.009492403013076267, 'talking': 0.009410861699904497, 'using_pc': 0.008111117030862236, 'pocket_out': 0.007713601619384271, 'carrying_light': 0.0074861889936560675, 'pulling': 0.007421146908771628, 'opening': 0.007098648301571044, 'entering': 0.006528929606367651, 'closing': 0.005789247517188693, 'pointing': 0.005642361111111111, 'kicking': 0.005524760200700217, 'picking_up': 0.004249384254725659, 'sitting_down': 0.003907877338839682, 'checking_time': 0.003301465732300328, 'running': 0.0024875433712579684, 'crouching': 0.0023724792408066427, 'using_phone': 0.0017206030423057182}",True
086ef10b-a291-48a4-b775-03ce597ef2e1,1752061493.3955858,0.531952149197997,False,5,"['acc_phone', 'gyro', 'orientation', 'video', 'acc_watch']","['64bf6c2d-35e7-40e2-b05f-63fb8f802818', 'e83f95bc-c5bd-4fd6-8206-e6b773223887', 'a7468b3e-dfce-46fe-ab1e-0e22f01d4ee2', 'd2400e9a-49de-4373-b55a-3fc3042b366f', 'fe8304b9-1bac-4ec8-9ac2-2958e5f5be74']","['6c57dbb5-fad3-4e7e-86aa-3d78bdd4d9c9', '8ed134fb-aeb6-47e8-963d-a8707e1e6883', '9e8c5964-c193-44b6-ba20-601346a8e57f', '8a062df1-57bd-4b4a-a191-b02d0312263a', '187fa8ca-e63c-40b6-93a3-4bc7ee1d1df4', 'aee318aa-6743-4ef7-97c3-1e93c2e7ad3a', 'd55352ad-a165-4558-ae15-685d8903de1a', '3c72175e-3a51-459e-b110-4990a94abb74', 'c090821c-822b-4930-9f76-2d9b18f3109e', '3a4d6fb0-1c68-4bd3-a6ff-acdb7b976071', '81e36e01-0664-4733-9803-9db359e8ba37', 'ba1c39f3-3595-4bed-9188-4444e8aa8b6a', '8782c490-8d4d-4e85-a566-1a1accf51108', '7d14cef3-0e9e-4bf4-a90d-64d2ac5abf1b', '6cadfbcf-6e0e-49b0-a98b-98767b02bc63']","{'looking_around': 0.12103009284920688, 'opening': 0.11564713086403532, 'walking': 0.11136882884708028, 'transferring_object': 0.08136908638356305, 'drinking': 0.0621093454274729, 'picking_up': 0.06047470380166638, 'entering': 0.057540579545607415, 'pulling': 0.041577989303568166, 'fall': 0.03386644816270626, 'pointing': 0.026229599279222377, 'sitting_down': 0.023636898228757832, 'crouching': 0.02235501720439608, 'talking_on_phone': 0.02025446940664503, 'closing': 0.02014817455234216, 'talking': 0.015726523226861782, 'sitting': 0.014115562279076203, 'carrying_heavy': 0.013083090111081138, 'exiting': 0.012451786271068768, 'checking_time': 0.011619788873095898, 'carrying': 0.011526077576098682, 'kicking': 0.01079121330172631, 'setting_down': 0.010065341209544755, 'standing': 0.009925051931061886, 'Carrying_light': 0.009666861045079704, 'jumping': 0.009163044109659353, 'throwing': 0.008862119946098505, 'running': 0.008730963376736968, 'using_phone': 0.00826662643412385, 'pocket_in': 0.008193185481626085, 'carrying_light': 0.006904749704216435, 'standing_up': 0.0066062377252807504, 'pocket_out': 0.006438073351370412, 'waving_hand': 0.006393527030239606, 'using_pc': 0.004956836535783904, 'loitering': 0.004542570739753838, 'pushing': 0.004362405884145016}",True
554f8ca0-ced8-4524-a46a-e41463822395,1752061493.5317597,0.0125827465756011,False,9,"['orientation', 'acc_watch', 'gyro']","['ee16cdd4-7cb0-4181-8507-c89e252726c0', '13b4e37f-85d1-4637-b348-5ed628e1bfc0', '0da1d9dd-262a-41ca-8ba3-e16bf8f5f9ab']","['f904573c-8f5f-4ec9-8992-dba852d02560', '5dd6a6d7-131b-4164-ad09-bb1709d75634', '3127d21a-eac2-42ed-a537-cb2876d66edd', '4565e465-6323-482b-a7db-1cef57ced1e9', '10a0795f-01cf-4ccd-b77f-53ab5eaf622b', '924dfed5-1cca-400c-9b95-00ae3d67b33b', '50455724-6168-46a3-861e-4ce0ac66e171', '9be0ba7e-757c-4d6c-98e5-0ecd44e9328b', '831c7b37-43e8-43b2-8303-159f4c32e8aa']","{'opening': 0.11195107233241999, 'exiting': 0.10078969791200007, 'checking_time': 0.09301191048772105, 'using_pc': 0.09155570280617611, 'pushing': 0.07564866821600015, 'loitering': 0.07032112174528343, 'fall': 0.06286102616377846, 'standing_up': 0.05594827446355398, 'carrying_light': 0.046905466713149296, 'sitting_down': 0.03191887743530242, 'closing': 0.024583933219136093, 'standing': 0.024551610285682306, 'pocket_out': 0.01908979136864133, 'jumping': 0.015739210040756662, 'kicking': 0.015025652608107419, 'using_phone': 0.014676871736099701, 'drinking': 0.01458428646433588, 'sitting': 0.013571234135531476, 'crouching': 0.012535321276331213, 'entering': 0.012005185954100219, 'transferring_object': 0.011375110437965416, 'looking_around': 0.010730392611126556, 'waving_hand': 0.010424063828619866, 'throwing': 0.00845959595959596, 'picking_up': 0.007945041816009558, 'talking': 0.006679229236972516, 'pointing': 0.005774654671592167, 'carrying_heavy': 0.0053411378085366605, 'talking_on_phone': 0.004778972520908005, 'pocket_in': 0.004321254340314545, 'Carrying_light': 0.003663003663003663, 'carrying': 0.00319744204636291, 'walking': 0.0030581039755351682, 'pulling': 0.0025252525252525255, 'running': 0.002442002442002442, 'setting_down': 0.0020098267520947933}",True
5346d8c3-2e13-486b-acb2-50c3266a633f,1752061493.6445649,0.0525899656121382,False,6,"['gyro', 'acc_phone', 'orientation']","['4cd4e4ba-4d27-4a83-9201-9cd9243b6bff', '53b9d8ef-b56d-4137-b0aa-02bd6efe553a', 'd376ccea-7baf-4ae5-ba82-0e144780f484']","['11afcb22-f1dd-468b-8e4a-fd74fe589eb5', 'b78724ab-66a5-4773-8129-95878e57086a', 'dfbac774-7583-4156-8310-ccf1e1644601', '3b931582-4234-4962-b1df-dec34b3bc2c0', '64b611ca-9b3a-4190-a186-8203d1f97e70', 'e9e0954a-037e-4915-bfb3-470055b96c4a', '6decf37e-facd-4582-80de-d0c340b58e2b', '5eecd78d-bbf9-4a01-81df-990c914983d3', '4dff0172-4993-414b-8bc7-a7d559ee097b']","{'talking': 0.3606367626447359, 'sitting': 0.09894756732594032, 'talking_on_phone': 0.08150667266623918, 'walking': 0.06430041152263374, 'running': 0.05321563290348327, 'waving_hand': 0.028323596084908538, 'opening': 0.02722486505028741, 'entering': 0.0240137353507965, 'crouching': 0.023136979769153306, 'carrying_heavy': 0.022880798144599236, 'Carrying_light': 0.01635836967418454, 'jumping': 0.01623557811795233, 'pocket_out': 0.015284372040508254, 'kicking': 0.014921496908396472, 'closing': 0.014476837916169811, 'throwing': 0.014083017988065737, 'using_pc': 0.013322748770290306, 'standing': 0.012958346531390358, 'pointing': 0.012262931837130783, 'sitting_down': 0.01223166169769993, 'using_phone': 0.010280754765465564, 'standing_up': 0.009433962264150943, 'drinking': 0.00902514448453743, 'pushing': 0.007909233247849265, 'fall': 0.0074696797678902895, 'checking_time': 0.0063474023562270655, 'pulling': 0.004848559383254787, 'carrying_light': 0.004366812227074236, 'carrying': 0.004144814752156996, 'pocket_in': 0.0033043554972546807, 'transferring_object': 0.0025940337224383916, 'loitering': 0.0020426449118717774, 'picking_up': 0.0019102196752626551}",True
051ce8ab-b71c-4d05-8f5a-a9682b2a4d4b,1752061493.7164347,0.0019652885017877,True,3,"['gyro', 'acc_watch', 'orientation']","['b032e789-606c-4180-a4ba-614af4481f03', 'd0b16f84-8c59-4ca0-b495-869fbd517647', 'e7994db6-f494-46f6-813a-cd052c10c96a']","['12d9a72c-2c5c-4f25-8e1e-52583e431f7a', '708bde9b-e2c1-423e-ad1b-7bc012a1c67e', 'e476bdb4-1876-4168-91db-6e9e94ff9947', '472b455c-ceec-4018-a5e0-5baa67110020', '8939fc00-201e-4e86-981d-d14b9cfecc2e', 'ae828b1d-53c3-4d84-a85c-718a7b7b3345', 'cbaeeb7b-d029-4e1b-aefe-0743f7cca1b0', '8a033393-51a6-47c5-8604-7c0bdc9572ad', '1226df60-a565-4954-b5ed-da420fc313cf']","{'carrying': 0.13487044457063463, 'pocket_in': 0.10062469974966319, 'walking': 0.09184521128129555, 'throwing': 0.08737415809995239, 'transferring_object': 0.079908811576965, 'talking_on_phone': 0.07334149421988752, 'drinking': 0.07104290991759023, 'talking': 0.05212384470696492, 'carrying_light': 0.02958745240740566, 'jumping': 0.024305633078145508, 'checking_time': 0.02269812170143263, 'pushing': 0.02225580059893119, 'entering': 0.018534505525606718, 'standing': 0.018170632912484545, 'crouching': 0.01522929381521046, 'running': 0.013488751608808943, 'sitting': 0.01298123875214937, 'opening': 0.011321115644988035, 'standing_up': 0.010978830219713829, 'looking_around': 0.01059599869910511, 'picking_up': 0.010159931935721319, 'exiting': 0.009773040110118763, 'closing': 0.009161152383658777, 'carrying_heavy': 0.008646937035683838, 'fall': 0.008109575382717457, 'kicking': 0.007552774252674552, 'loitering': 0.0067714773597126535, 'Carrying_light': 0.006770383174877557, 'sitting_down': 0.00648230746357419, 'waving_hand': 0.006069758738291401, 'using_phone': 0.006014857416726576, 'pointing': 0.00489872023052801, 'using_pc': 0.004065604065604066, 'pulling': 0.003491235694625525, 'pocket_out': 0.0007532956685499058}",True
