query_id,ground_truth
45bdfd61-dd40-4409-a418-74eee2d30fac,pulling
ccfa0879-978b-486d-90b5-16699058dd84,using_phone
87715c41-07f8-4e43-acb9-dc954c57c501,standing_up
1a0785d3-5391-4e2d-9832-96b2e7cb205b,using_pc
9cd6de70-4da3-4fdf-b083-27d9f6748b16,throwing
c7d32469-3c38-4c26-8725-447af5e5a791,fall
03a4b639-6a46-42db-9bcc-242c7778eb52,pocket_in
986c2755-a56a-4885-9f94-186959ab6e2f,talking_on_phone
5ab3abe1-88e8-47cc-8db3-9d75d718968a,closing
583d46d0-7087-460a-800e-e18dfd12ab85,entering
1e5b5722-c2d8-4b2c-a1e5-507bf309a23b,walking
bdbf87d4-f299-4635-966b-c0d314f6b053,carrying_light
d10a5620-05a9-4049-bfa8-6122c9f6d668,Carrying_light
9be04f73-8f3d-4adc-8c19-3949094093b6,carrying_light
650eddc5-c275-42e6-945d-407bae400fe3,carrying_heavy
b2d2aa18-1b8d-45d8-8262-f59b7d1641ef,pulling
be617ce4-fc0f-43e0-950a-7e32bd8e5277,picking_up
c8083657-3e27-48b5-bf71-e5b46f60f346,jumping
97a0a3ba-b2fc-4f45-ba16-4cb6616b1dcc,talking
29bdcbc9-a85f-4b45-991c-9b2260e87098,closing
6b1cc1d4-969a-4c55-b830-7273fd1636da,throwing
509a8ab0-1225-4253-b23a-e17c0f5ba6d2,setting_down
1c780b94-652c-47a8-90ec-866daa8e0506,using_pc
20708aa8-bf93-4476-acbe-6ad418830a1e,drinking
76879d1c-c436-4143-be44-f6e35e4b8828,standing_up
64f6a18f-d4fe-4de6-a713-2276e068f4b7,running
a9e5be81-2498-4e11-9f46-b017ec16af33,Carrying_light
90f53c2d-8cfc-45b0-8915-9d79dbf9df42,Carrying_light
0e5775ae-d953-4014-92db-797db50c8161,kicking
37546932-c3f0-4455-a0d0-5d71524f384c,sitting
0d198faa-ec92-43bd-b550-ce859ab96bc1,talking
ab513cf2-4a97-4229-a524-4940da7a00c3,jumping
68ec9a0e-f3a3-42fc-91fc-e1a839bf583d,pulling
1bbcdfc2-21ec-4831-8ba0-244c14a398a7,pocket_out
fe3dc0cd-5ede-4e59-b33e-81ad6ba26836,entering
b8c81afa-460b-494d-b499-8e693582d986,using_pc
5ba76a95-e423-4ab1-a493-890a8835b78e,carrying
f47b7d19-0717-405e-a476-116122c2e36c,checking_time
a8c57dac-341a-4968-9e23-f47ab32e3564,talking
41ab076f-dcfb-4960-82ba-56710eaf7e69,drinking
9c640e84-e0f4-4e36-89d6-edae8bedf996,throwing
b8d4aafd-c543-470d-b41f-ec458b7161de,setting_down
9dcd961d-bd21-4e20-a8e1-401357791e4a,sitting_down
bbf2e56c-db67-4fdd-a0f5-ce08769bc175,Carrying_light
64c616a4-4400-4372-911d-26b8ff59939f,Carrying_light
6c3d493c-bf40-4000-8d38-e5ba1b585ae7,crouching
35620da8-d7a2-4864-912d-ee47529e4a07,transferring_object
90f7e148-e197-4ea8-9ba1-4a819a26df2f,picking_up
bf07efee-a105-4463-92fb-032af222d0b9,carrying_light
5458cc1a-64cb-4c19-8c93-b66ea6e3c6bd,jumping
8965a00b-7310-4666-9199-8177dd88164b,entering
a01b1e79-3a8e-46d6-b260-9c2e056ac9d1,checking_time
054e5402-624b-44e5-9f21-1895611df466,using_pc
51beb54f-a07f-495c-ada4-f0cfae7d2339,standing
968479a4-8782-460a-bb67-6234b130bdab,fall
7ef41488-1e05-4f76-b70f-3ab1b2daee3c,walking
187d0b58-afc4-4270-b4d8-8f9d8f13fd89,setting_down
5ce03640-6407-4239-b532-3601ddf17b5d,pocket_in
4d76d3f7-9837-473f-b7c8-dbebded166a4,walking
e3bee58d-ef5b-4115-8c31-8d04d813d553,pocket_in
e1bd26de-a69a-4126-9f2d-f428ec8d6c65,pocket_in
549c289c-1f44-40bd-9bc5-bb3a05497f2f,walking
0bd7c936-abe5-493d-ad6d-7be2d2f2af53,carrying_heavy
89605820-cc34-4b16-a916-a517b4fd1ad6,using_phone
5a836cab-7ead-43d0-831b-10f059f1e59b,crouching
8f4e839a-035c-49fc-a227-f8ede8c5d00e,jumping
8e085b50-c643-4d4f-9e1a-b2f19a203fca,fall
4831d871-cdda-445f-b71b-ab5bbcb9fdac,checking_time
6a27f133-6d34-4d86-ace8-c4fc8182c4ff,transferring_object
61e15c42-b5b3-41e6-9c22-23e725487902,transferring_object
d1da58a3-55f7-4861-8aeb-e093447c7d02,using_phone
d6ff6dc4-3557-415e-b04d-af94bada288b,checking_time
ad636605-4bbd-4a07-9e32-ba160edd787c,Carrying_light
d13f044f-ef65-4d85-8a3d-7b36a7cd2b3b,sitting_down
45530ff0-4bab-4194-ac46-7f78b08d2f38,opening
7ff5442c-2551-4e43-9fdc-c3ebd33739a7,drinking
749bfc9d-3266-4c25-9273-d3b47bb117b1,running
58445ffc-5826-4b07-b264-a5dbf3917377,loitering
a6a11d4d-084d-4f12-a43d-c7d1ca1a15dc,entering
d0b1546c-dc97-431e-9eda-821071d8b1fe,looking_around
28fb7aca-7b93-4ddd-a520-fad89ce291bd,talking_on_phone
db3f616d-bbd1-4c7b-a19d-6fba24c5f830,pulling
bd345cac-7c6e-4f3d-97e3-baa54fa58207,carrying
2f2e79d1-6dfb-4756-a111-283e77edfe6b,pocket_out
5e4b8da9-148e-4384-a9f9-1f7d07289b0d,pocket_in
cdd4f880-9e44-4e77-8e54-b12906cecf52,exiting
6755bb1d-def1-4df0-8ac9-5efbfa8703ee,picking_up
31af3aa9-dc0a-4fc0-925b-ef645bd5bda8,transferring_object
2e6aa467-f907-44e4-a48e-97dcfb5c02b0,transferring_object
ad7e1b67-ed1e-4930-9514-b0df4af99cf9,loitering
3715833e-c59f-47f4-9e99-06c377b307c4,carrying_heavy
b94b4cd2-f72c-482f-af1c-a947bc46704d,pocket_in
caa041f7-002b-46e8-b90d-4f9e7f0251c1,pocket_in
404f4e22-a10a-4d2f-b490-6a3d19993af9,pocket_out
ecb0e1c0-b60c-40ad-b682-6ffbc1b61272,sitting
9ed151a9-c5b8-4dbc-a20a-db54f5c72339,pocket_out
02c6791e-5a8c-451a-a4c8-5f8d11705567,waving_hand
44434853-73d6-472a-bfdf-e038ff50b55a,carrying_light
046a1bb0-c679-4919-93b2-9ae8c01b6238,picking_up
edf17b63-a520-494e-aee3-d3b4ba07ae42,loitering
3873a5af-244e-46cc-b80e-c6dad725067e,pointing
25338cab-41d8-44b6-821e-462a07944009,pocket_out
a7a658c9-587b-4ced-b8d2-2fee334befaf,looking_around
a8d71b05-fc2d-4d49-905c-dd8f02122095,Carrying_light
3a9bd6b2-91a2-4f1c-97a8-76b0bbabe0d6,checking_time
ed171073-a632-431c-b218-c77d105041ff,pocket_in
ac088471-2bd1-4904-8389-973c5a84986a,pocket_out
754f7b2d-32b6-4e7d-8181-99ea5d9a00a8,waving_hand
c60fcb5e-dc97-4a50-9728-a0f8a5058492,pulling
10c3f510-0898-4baf-8406-9213b3f0dea4,loitering
ec0038b7-9410-4477-b35d-b77ac808f6da,entering
91f42c00-035c-4e40-945b-4ad2f86394e1,entering
7e9374e7-67cb-44fa-bec1-3f071df52c8d,pushing
ad9a8fd2-4566-4432-9430-05d077f76e98,opening
857090f7-8abe-4427-8484-6eaf342071db,Carrying_light
07f3d5f8-35ee-4ae8-a928-dfe49c737ef9,carrying
c931931f-048e-47b5-b57a-87b626537fff,crouching
612a20e7-ad55-4d45-8579-7744ed02032a,jumping
64ced41a-f80a-4be2-a86e-e20360bcb3c7,opening
1410e195-6b42-4af2-841a-4064591275c0,checking_time
456ee1cf-d754-4441-be9b-e5b16710e468,jumping
cbfeabd4-b9d2-4479-9636-67b33dc03bdb,entering
fe787f69-8285-4797-8326-b0f387372664,entering
ee4c3748-ea79-434f-9627-9ef6d929a012,closing
78cf5bd3-b155-4fd3-be2f-59356a8cb55a,crouching
6c737398-cf8b-44ed-96dc-8fd7254b0025,opening
460c682e-f56c-4596-b8ea-c5cfca9e63be,pocket_out
9d14a4cd-4999-42c3-8d82-eca41f570a05,kicking
265d8847-1a81-4fbe-b2f8-d5e624273633,pointing
9be6beeb-9bc0-4033-b6e0-60f7d71e21f1,carrying_light
adc6c42d-6203-46ed-8f01-7249d03c64d6,carrying
6cd3071b-f180-41a5-b814-2e0e68e749c4,walking
d760f17a-4532-4736-b31d-9d4e6692db5b,using_phone
88b58a32-a2f7-413d-87f4-977243d88ac4,pocket_out
6c449c4d-4540-4c75-8027-2c5bb6c16125,pointing
14647ad0-463c-4cd1-916a-b5a9f7b0cc90,pocket_out
a41f2308-f0a5-4500-8ade-a19bb5c9ebb5,using_phone
e477a2c2-64fb-4574-831f-30691e0c4eb9,entering
09d87f9c-43ae-4d2f-b859-c40de64be2fa,carrying
fc053ad8-d10a-47bb-9b80-d268ca5aec00,sitting_down
