query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
ff31692d-bf21-4f0b-9bff-12c1cbbc3719,1752754228.852086,0.0189960769519822,False,4,['orientation'],['553e7a62-bee2-4f0a-bbcf-ddb670d7cf5e'],"['a30e9c83-d15f-42dc-8f72-0303393cdf9e', '545c322f-21ad-4181-acb8-6404e3939139', '2cab0a1f-912c-4afe-ab10-d59a88980a13']","{'crouching': 0.22748316498316498, 'exiting': 0.18009259259259258, 'using_pc': 0.15833333333333333, 'standing_up': 0.13223905723905724, 'entering': 0.1028409090909091, 'jumping': 0.022727272727272724, 'transferring_object': 0.01875, 'opening': 0.016666666666666666, 'talking_on_phone': 0.01571969696969697, 'pocket_in': 0.015151515151515152, 'setting_down': 0.014583333333333332, 'fall': 0.012647306397306398, 'using_phone': 0.012205387205387205, 'standing': 0.012121212121212121, 'checking_time': 0.01153198653198653, 'running': 0.010416666666666666, 'talking': 0.008333333333333333, 'looking_around': 0.007407407407407408, 'walking': 0.005555555555555556, 'picking_up': 0.004166666666666667, 'pointing': 0.003703703703703704, 'carrying_heavy': 0.0030303030303030303, 'waving_hand': 0.002777777777777778, 'closing': 0.0015151515151515152}",True
1d18b180-a10f-4d04-94fe-080e96919ee7,1752754228.9845572,0.1079577495069274,False,3,"['acc_phone', 'gyro', 'acc_watch', 'orientation']","['5c88c7a7-5e2f-450d-b71b-fa7593a31348', '17542d91-9f2b-4205-a876-003f07142b54', '2fb9be43-e2db-49a6-90b3-2e34e55d0bcc', '82016a2f-a339-4033-b386-afef9afd9f69']","['7fee5a80-8279-4507-afbb-069cec80e527', 'e3b4884e-f6b4-40fe-b4a8-fbd8df67cc19', '89b55cf2-3c59-4870-9001-76fd62a1ec01', '8537e5b1-7620-45c0-a089-4f528a029ec0', 'de48fed0-5a6a-455c-878b-fbed4857279b', '11ea082d-2c43-46d5-9b72-2ea3fd17ce07', '99d87bdc-81e2-4f73-bbfa-ebd78039abf2', '02c8a137-e4b5-4129-bc72-3e3093ea8dae', 'd8b8a8ed-e576-4432-991a-52d4cd850696', 'b9657b25-8ffb-44d2-aa0c-23e3717a7132', '4553853e-079a-4a5b-9244-d58f9c5c1978', '9b53be52-5d32-4885-9f2f-fac32f9c0da9']","{'waving_hand': 0.17020416159800003, 'picking_up': 0.10513513702223332, 'carrying': 0.07605440588654862, 'drinking': 0.06843448147994038, 'carrying_light': 0.06307089539764921, 'throwing': 0.057360612177071967, 'checking_time': 0.05732328600284866, 'pointing': 0.05334334212559219, 'transferring_object': 0.045529937042310065, 'pulling': 0.03653949163388238, 'running': 0.03123228796216672, 'talking': 0.028998778998778996, 'exiting': 0.026230495120716357, 'using_pc': 0.01754150499766725, 'fall': 0.01624344452047795, 'using_phone': 0.012995479782470584, 'Carrying_light': 0.01186805546515825, 'setting_down': 0.011093766639954669, 'kicking': 0.010197172668238058, 'opening': 0.009895496511720774, 'closing': 0.009864006329318564, 'crouching': 0.009550967608557932, 'looking_around': 0.009300511190010826, 'walking': 0.008715370697235983, 'standing': 0.007302389639373585, 'talking_on_phone': 0.007151603818947731, 'jumping': 0.006863571420360765, 'standing_up': 0.006615528666090463, 'pocket_out': 0.006050286278927096, 'sitting': 0.005609347265106428, 'sitting_down': 0.0030541012216404886, 'entering': 0.0029047024552642533, 'carrying_heavy': 0.0024968789013732834, 'pocket_in': 0.002181500872600349, 'pushing': 0.0017985611510791368, 'loitering': 0.0012484394506866417}",False
8ecdcb1e-dc68-4ac5-bef2-84722a39936a,1752754229.1285539,0.0215260447312633,False,1,['orientation'],['f68716a0-0797-4aee-a79c-5ebb22bdf477'],"['71802043-a535-4995-9bf9-747254883f66', '6178921d-8250-4c61-84eb-be070049d7ab', 'b9a94381-adfd-4ae8-9b3d-117885b87c37']","{'opening': 0.2588774341351661, 'walking': 0.23462884984592547, 'sitting': 0.1337719298245614, 'standing': 0.04110900102489901, 'talking': 0.04055473190017297, 'kicking': 0.03433411707964068, 'closing': 0.03004612045577862, 'entering': 0.026805630915777413, 'carrying_heavy': 0.024586113170249568, 'using_phone': 0.022702001482579687, 'checking_time': 0.021929824561403508, 'sitting_down': 0.02112676056338028, 'pocket_out': 0.018779342723004695, 'loitering': 0.014084507042253521, 'pocket_in': 0.013775636273783051, 'using_pc': 0.013157894736842105, 'pulling': 0.012208355941399891, 'drinking': 0.01156768791442815, 'waving_hand': 0.009163802978235968, 'pointing': 0.006578947368421052, 'throwing': 0.00572737686139748, 'talking_on_phone': 0.002290950744558992, 'picking_up': 0.0021929824561403508}",False
e1e93bed-b577-4cc4-a618-abe163f9cc77,1752754229.2124214,0.230641290371142,False,4,"['video', 'acc_watch']","['eba1d6cf-188b-4c28-a56a-63fac75fba38', '2ee0e62b-1319-43e2-9ac8-97cdedc4c021']","['a5a61742-12b2-4506-a512-339905b6a824', '14615c70-493a-4a10-baba-24e026c7f60a', '329f2efb-a3cb-4411-b6c0-5aa34bb75653', 'aa9c7dcf-0cd3-44cb-b0b2-05e2d21d1c4c', 'f1c38ce8-7795-4c3a-8e2b-dbddb10fb3be', '80304883-532f-43bd-a4ce-8c036b62910d']","{'throwing': 0.2747769238309246, 'pulling': 0.10961010695486306, 'picking_up': 0.07902812072974852, 'carrying': 0.06591066083352522, 'using_phone': 0.06259097525473072, 'pointing': 0.052346901356802346, 'exiting': 0.05231997936284538, 'closing': 0.041666666666666664, 'loitering': 0.024661736452129466, 'running': 0.020746266396308787, 'pocket_out': 0.01954432763403232, 'looking_around': 0.019346576648508064, 'setting_down': 0.015598476199892075, 'waving_hand': 0.014283580621775338, 'entering': 0.01397089513384194, 'carrying_heavy': 0.013370986347527425, 'standing_up': 0.012880010761366694, 'walking': 0.01113761346319486, 'standing': 0.009753267903209534, 'jumping': 0.009644751958898629, 'transferring_object': 0.009082455864634083, 'fall': 0.008867148859024556, 'crouching': 0.00884861539883374, 'talking': 0.007275132275132275, 'pocket_in': 0.006355932203389831, 'carrying_light': 0.006352282515073213, 'pushing': 0.005925850700909094, 'kicking': 0.005525277486280837, 'using_pc': 0.00542385804394538, 'opening': 0.004737295434969853, 'talking_on_phone': 0.0034090618364162, 'Carrying_light': 0.002824858757062147, 'sitting_down': 0.002183406113537118}",False
84a92cdc-6081-4863-b603-13ea91b69dad,1752754229.2665496,0.0402422155654567,False,5,['gyro'],['56d1b954-ae7a-46c8-88ac-1032e5834b51'],"['5d5a1215-181f-4997-bb8f-8ac544f2cbc3', 'a4dddedb-7086-4afe-84ce-c3f8d2819a1a', '28238182-210f-4b8c-848c-ead05ffeec97']","{'sitting_down': 0.19164893077936554, 'drinking': 0.18050065876152832, 'fall': 0.14725853856288637, 'checking_time': 0.13455909407933395, 'standing_up': 0.11070438806570741, 'crouching': 0.04597701149425287, 'looking_around': 0.023696942737422497, 'pulling': 0.019177224574525923, 'carrying_heavy': 0.016420361247947456, 'pocket_out': 0.013681970203709334, 'pointing': 0.013136288998357963, 'running': 0.011857707509881424, 'sitting': 0.011494252873563218, 'kicking': 0.009852216748768473, 'carrying_light': 0.00944582653728081, 'picking_up': 0.008210180623973728, 'Carrying_light': 0.007297050775311645, 'walking': 0.006688963210702341, 'loitering': 0.006587615283267457, 'using_pc': 0.006568144499178982, 'using_phone': 0.005574136008918617, 'closing': 0.005270092226613965, 'carrying': 0.0049261083743842365, 'standing': 0.004601595306242982, 'exiting': 0.0026350461133069825, 'talking_on_phone': 0.002229654403567447}",False
d17f1ac1-c68b-4346-a534-e2916e028930,1752754229.3934813,0.6906882219291983,False,3,"['orientation', 'acc_phone', 'video']","['2be26d49-d35d-44a5-af0b-ed48c512813f', 'ce7f217d-fa30-4f7a-a947-7e8901386b4d', '11ad2bc5-d090-41bf-924e-c84db19bb1b4']","['40a2c491-990f-460a-9124-f7fed5e2a39e', 'd930abf7-b1ac-4637-9fc1-f5e75b1d3c97', '2f5210c4-f427-471e-b479-54cddc788053', 'dc132a2c-e5a9-4e47-a98f-521050031de0', 'ee1a7cdd-9ac7-4a7f-a7be-48ab6896259f', 'e22a0968-0df0-4ff8-8e1d-a54775e2f183', '14e22953-8c9e-48b9-9c73-51d06a1a65b8', 'fc8a89db-1531-420d-8ae6-f5688dce02bc', 'c731d54e-e2f7-4135-88d2-4dd5102885c4']","{'fall': 0.20659685250428084, 'entering': 0.09232887736154272, 'pointing': 0.08865726669040123, 'opening': 0.07046998224797606, 'pulling': 0.06723468999619626, 'crouching': 0.05396825396825397, 'carrying_heavy': 0.04954304954304954, 'throwing': 0.048500881834215165, 'pocket_in': 0.04716265872348204, 'carrying_light': 0.036211699164345405, 'sitting': 0.03219318251815931, 'waving_hand': 0.018809550345289854, 'sitting_down': 0.018331287960706353, 'setting_down': 0.015893414878462745, 'pushing': 0.011612299593831841, 'talking_on_phone': 0.011091944570364158, 'Carrying_light': 0.010962664094386055, 'exiting': 0.010336199788381776, 'using_phone': 0.009458196124862792, 'talking': 0.00921132507339404, 'running': 0.008754422910629327, 'using_pc': 0.0085348284324107, 'checking_time': 0.008054706791565953, 'pocket_out': 0.007939039517986886, 'jumping': 0.007547097032555645, 'standing': 0.007074905069906615, 'looking_around': 0.006852444928507569, 'loitering': 0.006613881005523213, 'picking_up': 0.005382984638225805, 'closing': 0.005253697922184209, 'carrying': 0.0052275175317680915, 'drinking': 0.005223990269118711, 'standing_up': 0.004713150083399283, 'transferring_object': 0.0042530568846358315}",False
05f6f2b7-a7d2-41eb-825a-a4a8fe3c956a,1752754229.5147665,0.0186778042176098,False,10,['gyro'],['77dafce9-b06b-4978-9b26-d6b6a4073db8'],"['410a2d03-5684-4f32-9545-97155407640a', '5e46ab1e-7fe5-46a6-88f8-44b5f282e21e', '1120c80f-3694-46a3-9c1a-48e87b677d4a']","{'opening': 0.3391886138115064, 'pushing': 0.184132292827945, 'loitering': 0.17264789336661565, 'setting_down': 0.07677356656948493, 'fall': 0.05434782608695652, 'talking_on_phone': 0.02813476083218763, 'transferring_object': 0.02192493496841323, 'standing': 0.01402092928268616, 'sitting_down': 0.011148272017837234, 'pocket_out': 0.011119019992134457, 'checking_time': 0.0106618216644836, 'carrying_heavy': 0.010033444816053512, 'carrying': 0.009568933481976962, 'crouching': 0.007803790412486064, 'pointing': 0.007246376811594203, 'looking_around': 0.006802721088435374, 'carrying_light': 0.006688963210702341, 'Carrying_light': 0.006038647342995169, 'waving_hand': 0.005574136008918617, 'pulling': 0.004859086491739553, 'standing_up': 0.004459308807134894, 'pocket_in': 0.0024154589371980675, 'exiting': 0.002229654403567447, 'running': 0.0012077294685990338, 'picking_up': 0.0009718172983479105}",False
e1afedc8-92f7-4cc4-a344-62c54eac3ed4,1752754229.6250317,0.05225361241212,False,2,"['acc_watch', 'gyro']","['ede6f8db-d2c7-4397-a4d3-0ea5a578aeab', 'f6bd9b98-08f4-479d-8c98-dba31a294d97']","['875d04b0-4165-41da-84ce-92ed37cf1a2f', '950005dd-8ac7-46cf-acee-4317e20b868b', '2f05efda-e490-48ea-9091-cbb409413677', 'bf5b62e0-1984-4667-87cd-11db969b5419', 'c36fc672-fc8f-40c3-8a84-82ac8ad0f7ca', 'e45b4c8b-dd26-4930-aac6-319e460cf40a']","{'carrying_heavy': 0.26828849877195265, 'sitting': 0.2609139167630454, 'carrying': 0.11146496815286623, 'waving_hand': 0.03102107678835643, 'closing': 0.0301684981795196, 'using_phone': 0.02822267072527956, 'entering': 0.022066091667200204, 'running': 0.021515190142233565, 'talking_on_phone': 0.020908163477665526, 'standing': 0.019558982381644132, 'talking': 0.018839755848582853, 'setting_down': 0.01865439016692323, 'kicking': 0.015487763995977205, 'opening': 0.012487428762990277, 'exiting': 0.012472190065124079, 'walking': 0.011556226021529406, 'Carrying_light': 0.011403508771929825, 'drinking': 0.010340815715650624, 'picking_up': 0.009595417114214107, 'pocket_in': 0.00893710898013824, 'checking_time': 0.007708114837268393, 'loitering': 0.007616453073440257, 'fall': 0.006338411967282304, 'carrying_light': 0.006325337152404821, 'jumping': 0.004777070063694267, 'looking_around': 0.0043859649122807015, 'crouching': 0.003939840024391754, 'pulling': 0.0035087719298245615, 'sitting_down': 0.002965599051008304, 'pocket_out': 0.002677376171352075, 'pushing': 0.002631578947368421, 'using_pc': 0.0023724792408066427, 'pointing': 0.0008503401360544217}",True
69c875d4-4e2e-47ff-a4a8-9749ca7557b8,1752754229.72006,0.0359326230666669,False,2,['gyro'],['7a01ba06-5201-4f74-8498-51b0bfb831b2'],"['be64e8ed-8d7d-489c-a8da-3a33e77e751f', 'c120bb1e-4cff-402f-80ab-ac35b16c93e7', 'fb0b698a-b823-4e2f-b0df-11b7dcd73c92']","{'kicking': 0.4420289855072464, 'pointing': 0.24603174603174605, 'transferring_object': 0.03647342995169082, 'carrying_heavy': 0.026639061421670118, 'loitering': 0.026086956521739132, 'closing': 0.02298136645962733, 'talking': 0.017391304347826087, 'pocket_in': 0.01714975845410628, 'walking': 0.015873015873015872, 'carrying_light': 0.015458937198067632, 'using_phone': 0.014492753623188406, 'standing': 0.014492753623188406, 'using_pc': 0.0126984126984127, 'waving_hand': 0.012077294685990338, 'picking_up': 0.011594202898550725, 'sitting': 0.010869565217391304, 'looking_around': 0.009592822636300897, 'pushing': 0.009523809523809523, 'pocket_out': 0.008454106280193238, 'opening': 0.007936507936507936, 'sitting_down': 0.007246376811594203, 'checking_time': 0.004382332643202209, 'fall': 0.0036231884057971015, 'jumping': 0.002898550724637681, 'throwing': 0.0024154589371980675, 'exiting': 0.0015873015873015875}",False
939dbb2c-f7fe-4e1b-ab72-f411f09b4d99,1752754229.8302646,0.013380137851091,True,3,"['gyro', 'video', 'acc_watch', 'acc_phone', 'orientation']","['443dfecc-8680-47eb-8434-b6aaa0c60a91', '889cdb46-dfe6-44a8-a0c1-e702ef42236f', '12f27132-bff0-4acf-9822-568dbd91e71f', '351c7941-cd36-411b-8719-db07a7e421d7', '9f0e2db6-885f-4937-a5a7-c61ff511a480']","['8bbe726e-b52d-4dce-aafc-39fc22511838', '4b4826f9-58b5-4ca1-90b3-2406905c81dd', '671ddf9b-18db-42db-b63e-4bab63d3b621', 'face0955-2b62-41cf-a394-6eb218e846c0', '8ca26a1e-f5d1-489b-9dfe-78c98fcac284', '94160ba4-1117-406e-bf4a-31ee03fb44b9', '671a1f66-e18c-4833-af37-f1a2d04ff442', '662c3b90-fd92-414f-af22-a2f9802c3a4c', 'd790154e-edad-4e81-8ccf-14a4a3a93249', '541f6a02-40a2-4e6a-b296-16f95ee68b62', '30d1435e-d755-4c16-9fe8-1c782ba9d378', 'a1ab990e-6eea-4d6c-9601-d405503909d6', '0786867f-79b0-4661-8b10-b6d413d616df', '73101c19-b46e-499b-83c8-baf782ba9f3d', '4e4f768b-3671-414e-b77c-f5ad1b00eb0b']","{'drinking': 0.18526901515134014, 'kicking': 0.085754463383142, 'using_phone': 0.08002002767287783, 'pocket_in': 0.07257673221000033, 'pocket_out': 0.053424720628459585, 'carrying_heavy': 0.04842068543580918, 'checking_time': 0.045742549154721535, 'looking_around': 0.04468727733312585, 'running': 0.03521320111134397, 'throwing': 0.029121278981066385, 'carrying': 0.02800408617701411, 'entering': 0.027528016349347782, 'closing': 0.026389451205474455, 'Carrying_light': 0.0228433732569567, 'opening': 0.022549492106142353, 'sitting_down': 0.016973910674607007, 'walking': 0.016718347823890367, 'standing': 0.015582878950271956, 'sitting': 0.013451871107789356, 'carrying_light': 0.013383058933791435, 'loitering': 0.012362657045024811, 'pushing': 0.010672078472344755, 'pointing': 0.010137713452112456, 'transferring_object': 0.010131447080230453, 'exiting': 0.009733166456252492, 'pulling': 0.009663337690394486, 'fall': 0.007715009363879342, 'standing_up': 0.007146385146625839, 'setting_down': 0.006985403392747658, 'picking_up': 0.006948649256188563, 'talking_on_phone': 0.005984155500424048, 'crouching': 0.00505560687926234, 'jumping': 0.004760187678506473, 'waving_hand': 0.003967502291898906, 'talking': 0.0035939933586058947, 'using_pc': 0.0014882692883291507}",True
