query_id,time_window,response_time,model_id,model_version,device_id,instance_id,explainability,data_source,inf_id,inf_result,metadata
28d25077-83da-42fb-a7b1-a06a6bde7959,4,0.0075659864517073,minirocket_v12,v12,jetson_agx_orin,4ebaddf1-1cbb-493c-9385-2a1c3d1d8cfa,False,acc_watch,310f6e49-c241-4b71-b69f-b609b60bbcab,"{'setting_down': 0.5985915492957746, 'using_phone': 0.1267605633802817, 'running': 0.04225352112676056, 'carrying_heavy': 0.03873239436619718, 'closing': 0.035211267605633804, 'kicking': 0.03169014084507042, 'entering': 0.028169014084507043, 'fall': 0.02464788732394366, 'standing_up': 0.02112676056338028, 'waving_hand': 0.017605633802816902, 'Carrying_light': 0.014084507042253521, 'sitting_down': 0.01056338028169014, 'picking_up': 0.007042253521126761, 'jumping': 0.0035211267605633804, 'inf_result': 625347.1019000292}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,10,0.0054519734974169,minirocket_v6,v6,hp_z240,71e504e4-e13f-414a-8c60-0588f891637a,True,acc_watch,65d1af2d-6b3e-4fd4-8415-039a1ee0cf6a,"{'standing': 0.44256756756756754, 'kicking': 0.21283783783783783, 'jumping': 0.13175675675675674, 'carrying': 0.09121621621621621, 'crouching': 0.02702702702702703, 'Carrying_light': 0.02364864864864865, 'transferring_object': 0.02027027027027027, 'carrying_heavy': 0.016891891891891893, 'picking_up': 0.013513513513513514, 'loitering': 0.010135135135135136, 'pulling': 0.006756756756756757, 'fall': 0.0033783783783783786, 'inf_result': 625347.1456340066}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,3,0.0104424838095577,minirocket_v1,v1,jetson_agx_orin,1a4a2139-7f97-432e-ad3f-357837110ea6,False,acc_watch,fe41e1a9-5a3c-412f-895d-aba609562b0c,"{'kicking': 0.6176470588235294, 'fall': 0.0546218487394958, 'crouching': 0.05042016806722689, 'closing': 0.046218487394957986, 'using_phone': 0.04201680672268908, 'talking_on_phone': 0.037815126050420166, 'entering': 0.03361344537815126, 'pushing': 0.029411764705882353, 'looking_around': 0.025210084033613446, 'walking': 0.02100840336134454, 'checking_time': 0.01680672268907563, 'exiting': 0.012605042016806723, 'running': 0.008403361344537815, 'talking': 0.004201680672268907, 'inf_result': 625347.1404135972}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,10,0.009503634338096,minirocket_v16,v16,jetson_agx_orin,33f680b6-0e3d-4f4e-abc0-eb03255d94a7,False,acc_watch,ab64a50e-6824-489f-87a1-f7e7ea5c6f3f,"{'crouching': 0.47297297297297297, 'using_pc': 0.08108108108108109, 'transferring_object': 0.07432432432432433, 'standing': 0.06756756756756757, 'entering': 0.060810810810810814, 'looking_around': 0.05405405405405406, 'closing': 0.0472972972972973, 'pocket_in': 0.04054054054054054, 'standing_up': 0.033783783783783786, 'walking': 0.02702702702702703, 'loitering': 0.02027027027027027, 'throwing': 0.013513513513513514, 'pocket_out': 0.006756756756756757, 'inf_result': 625347.1368055331}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,10,0.0097418654447828,minirocket_v15,v15,jetson_super_nano,dd963ac5-d9e8-488a-87c2-61172e01297e,True,orientation,9c03589c-ac2e-4ed0-9129-10a4227d5ea2,"{'walking': 0.6239669421487604, 'looking_around': 0.10743801652892562, 'drinking': 0.045454545454545456, 'closing': 0.04132231404958678, 'pocket_in': 0.0371900826446281, 'crouching': 0.03305785123966942, 'pushing': 0.028925619834710745, 'using_phone': 0.024793388429752067, 'waving_hand': 0.02066115702479339, 'transferring_object': 0.01652892561983471, 'standing': 0.012396694214876033, 'exiting': 0.008264462809917356, 'inf_result': 625347.1478439585}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,2,0.0109445810900258,minirocket_v4,v4,beelinkbt3,b8c8f487-7bd2-4e78-8c86-5a429e430c89,False,orientation,52f39108-4574-418a-a9e0-013ef99e2a4d,"{'Carrying_light': 0.4539249146757679, 'kicking': 0.2832764505119454, 'looking_around': 0.13993174061433447, 'using_pc': 0.027303754266211604, 'checking_time': 0.023890784982935155, 'carrying': 0.020477815699658702, 'setting_down': 0.017064846416382253, 'sitting_down': 0.013651877133105802, 'fall': 0.010238907849829351, 'pulling': 0.006825938566552901, 'loitering': 0.0034129692832764505, 'inf_result': 625347.1429546785}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,8,0.0093402652543181,minirocket_v3,v3,jetson_agx_orin,a2113e74-f580-42c0-b9f0-bbf5f592cddf,False,orientation,639974dd-e42f-43fb-aa38-457d54a24fd3,"{'walking': 0.6623376623376623, 'carrying': 0.05194805194805195, 'exiting': 0.047619047619047616, 'Carrying_light': 0.04329004329004329, 'crouching': 0.03896103896103896, 'setting_down': 0.03463203463203463, 'talking_on_phone': 0.030303030303030304, 'loitering': 0.025974025974025976, 'picking_up': 0.021645021645021644, 'pushing': 0.017316017316017316, 'closing': 0.012987012987012988, 'fall': 0.008658008658008658, 'sitting': 0.004329004329004329, 'inf_result': 625347.1500426902}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,5,0.0061820169864177,minirocket_v6,v6,precision_5820_tower,515046f9-6e39-4dc3-9548-37bcb201276c,True,gyro,f071b2e1-ba27-4aa2-9be5-be2a46d81082,"{'walking': 0.5147058823529411, 'pushing': 0.08088235294117647, 'using_phone': 0.07352941176470588, 'throwing': 0.0661764705882353, 'transferring_object': 0.058823529411764705, 'standing_up': 0.051470588235294115, 'talking': 0.04411764705882353, 'carrying_light': 0.03676470588235294, 'looking_around': 0.029411764705882353, 'running': 0.022058823529411766, 'entering': 0.014705882352941176, 'fall': 0.007352941176470588, 'inf_result': 625347.1482016315}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,4,0.0099671709431358,minirocket_v7,v7,jetson_super_nano,605bb99f-c17c-438f-9e1f-a6910ac4ebab,False,gyro,cb87c5c0-3675-46d4-a0e9-94e1e39c6c10,"{'pocket_in': 0.48009950248756217, 'closing': 0.17661691542288557, 'opening': 0.14676616915422885, 'standing': 0.03482587064676617, 'looking_around': 0.02736318407960199, 'Carrying_light': 0.024875621890547265, 'setting_down': 0.022388059701492536, 'running': 0.01990049751243781, 'checking_time': 0.017412935323383085, 'entering': 0.014925373134328358, 'transferring_object': 0.012437810945273632, 'crouching': 0.009950248756218905, 'talking_on_phone': 0.007462686567164179, 'waving_hand': 0.004975124378109453, 'inf_result': 625347.1459399075}",
aa03d4d9-2762-4572-b3cc-cf819a3a7d01,3,0.008422697287912,minirocket_v1,v1,jetson_nano,eac9f847-0fa9-4f9b-a893-dc19b4d7243c,False,gyro,b332ff67-78a2-402b-b3fe-b651c5cc18cf,"{'carrying_light': 0.3695652173913043, 'opening': 0.2463768115942029, 'closing': 0.14492753623188406, 'pushing': 0.03985507246376811, 'kicking': 0.036231884057971016, 'carrying_heavy': 0.03260869565217391, 'standing_up': 0.028985507246376812, 'crouching': 0.025362318840579712, 'fall': 0.021739130434782608, 'pulling': 0.018115942028985508, 'using_pc': 0.014492753623188406, 'pointing': 0.010869565217391304, 'Carrying_light': 0.007246376811594203, 'setting_down': 0.0036231884057971015, 'inf_result': 625347.1511050485}",
