query_id,ground_truth
96f3cf6c-cbd7-41a8-bc07-e19e6c4d1fd0,picking_up
68478824-38be-4b5c-9861-782d2fb7c217,talking
4508b4d7-2470-4527-8dc3-e58d3b8faaad,talking
8b5e8cdb-a423-41a1-a6e4-f82213c6261c,opening
018d5c2e-7f58-4d91-b54d-aa991947be70,waving_hand
1b5f0ea7-6f1f-4270-8bdf-fcf9be45f47c,loitering
074e7745-4231-45b1-a9ba-9eac599b3d12,talking
55d11115-0d60-40ac-9e33-3149feffb5c5,opening
db690dda-631d-4c50-b0cf-82d52c65edb7,carrying_light
f5ebf2bf-823b-4fac-b526-a1c0d25ff793,opening
950390d8-34bd-4fd4-8274-0fec75be80e2,walking
58986874-6814-4265-84be-b2e003af0a44,pointing
3025c7b8-4e27-4a91-a09a-73ece97da272,running
7895f80f-d9a2-44d9-9c02-f80176c9cfeb,waving_hand
8e0c0ca5-8465-42d9-84c5-b7512eacbe46,closing
a0d8f4a0-dc6e-4206-8bbb-158ad55e8fd1,pocket_out
4142b04a-078e-479f-a4c7-7d4210674fb5,picking_up
182b8932-4b14-4170-b0b3-55c6bb700277,looking_around
2493b483-1010-4f35-ab75-a376f87caf05,pulling
d7bb0ff1-9e52-4416-87eb-f9d8a1e40fe2,looking_around
60d01f97-8f03-4d11-b68b-4796b03c878f,pushing
7797ce1a-d5b5-494d-b85b-989a4fe7e36f,fall
1632bc06-6246-4407-94cf-52af0fb8d141,picking_up
3e298355-1884-4944-adde-3fedd0c15b8c,using_pc
7f9730d4-b70f-40c0-8cce-8505b2a5bacc,pushing
26c0efe7-cbac-4110-996e-159ff8bda50a,loitering
f269c0c6-6a17-437e-9660-662d7079742e,loitering
78ae4ef0-3292-4676-ad56-8ba603165a65,talking
798b4a17-a9de-4d78-a762-b5b919520515,exiting
be0060dc-6527-43af-8f37-c05f4beb0162,looking_around
e1509aa3-1b1b-4425-945a-5cc170e8ddbf,entering
b0f7a172-ccd0-4628-9575-79013cafb6d5,jumping
de7801c6-ebda-4a43-9a97-3c752ca8e1b8,talking
5b17bfac-43d2-4542-9eac-537846768245,pushing
cbc96267-3125-4420-aec4-a8c70d1ea5f6,sitting
f90edcc4-e30b-4cbf-b834-ba4983d92f65,opening
416a4253-b89f-491d-862d-e9d9e21d5912,standing
b1809049-d033-4c09-8784-324e1fa59948,waving_hand
ea022404-5edf-40bd-b5ee-5ddce9a66127,looking_around
3e317ead-3787-47b7-9ed9-c58630ed44e2,using_phone
9aa6a79b-ed1f-411e-a8a9-cbefefccdb02,transferring_object
657a5348-d854-4c00-afa5-5fe7e099f969,talking
e53f7c5f-915e-49a3-b1ee-fe9b9da69681,carrying_light
e1f28411-211f-4aa8-b74e-8f61f403c9c4,checking_time
6d950f12-600d-4af6-b67a-c4baa00494a2,opening
75cb5b85-62ca-486e-8d7b-bc182ba11218,using_phone
538e113c-b6db-44e2-8910-a45d4af64952,carrying
5ff6c03b-b1ac-40b9-a4b3-4b4b7013a633,Carrying_light
fc65886a-f09e-4c79-82e9-247cf11a6913,loitering
d5e3ae83-059f-4475-8e23-3eb444af9a56,using_pc
98a0e79d-db9d-45c7-b5ea-b1d3fc1a1b90,picking_up
5b0b76e8-4e74-4aee-b0af-60cc51b2de81,standing_up
2bdae8a2-74a6-405f-8e33-a95485598a45,talking
9ef45fe9-2bf1-4003-895f-9676e276fff6,carrying_heavy
5ad35450-3ca0-43c2-a9e0-aba2df5ab82b,running
95b051a3-682e-4ff1-8787-a269f68b6dd4,jumping
