query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
8845e2ca-3822-4971-b917-884d9e7a62bf,1752812134.697733,0.9234325440162338,False,8,"['gyro', 'video', 'acc_watch', 'acc_phone', 'orientation']","['d631336f-dad6-43bb-bd79-99da77f95e4f', 'ba919236-a3ef-4266-887c-40412cf8dd21', '812f29d4-a0ad-4382-8802-6b4c531d7cb0', 'e19d9ae9-e082-4078-9adb-a1af290a85dd', 'df5e682b-2943-4753-910f-9f5615aa1896']","['ced00580-7bad-4c8a-8f8e-a2b9d2717ab3', 'aa1cc379-0534-4774-9e86-93a771bfe710', '2555bb13-b639-4267-b266-189e10b704f5', 'a01546b5-6b5e-423b-ac55-99c8795c3323', '38753f89-86bb-4201-ae21-2f6ff9146a2b', '72be0323-c159-4d40-a982-4e19e082b514', 'e49657a5-c997-47a3-8f0c-b3dd0070eaaa', 'f0cf6c7c-c48b-4dd3-bda6-fb396ce4c918', '18b50480-3d67-4835-aabd-67947378110c', '560ba74c-e466-4730-b67b-5f90d4c1b133', '03cdd3c0-e40d-4e0a-a9a3-570d1fab0e07', '7f4b549c-d4cc-45d0-9c66-ef98686598fd', '437b022d-76a0-401c-a31b-ae83cec2603d', '89287e1a-328f-44b9-817d-5da0099138c1', '92f5b235-92bb-4da9-98d4-c1a60f5c7ac9']","{'using_phone': 0.35452967054315454, 'checking_time': 0.050248888359079626, 'pulling': 0.046267564386385046, 'carrying': 0.04550390138013061, 'Carrying_light': 0.043816988500161295, 'running': 0.038502571500993774, 'fall': 0.034326715931489976, 'entering': 0.033681156976893015, 'standing_up': 0.03282228371920571, 'pushing': 0.03011184210884153, 'talking_on_phone': 0.02414890673870936, 'using_pc': 0.024044556470299048, 'closing': 0.021912061008125438, 'opening': 0.021213856205942776, 'loitering': 0.017182346498615678, 'transferring_object': 0.014750643719708717, 'drinking': 0.014748263786220387, 'sitting_down': 0.014207627116372072, 'carrying_light': 0.014007235299373318, 'standing': 0.013377772103617543, 'talking': 0.01186310546755307, 'pointing': 0.011123705306752637, 'kicking': 0.009711650145307482, 'walking': 0.008890831986172234, 'crouching': 0.008807668397830187, 'looking_around': 0.008319716641145192, 'throwing': 0.007820832377043943, 'setting_down': 0.007508548844203221, 'pocket_out': 0.007214888734499673, 'sitting': 0.006747845752706875, 'carrying_heavy': 0.0060428417615727235, 'pocket_in': 0.0057237094958738554, 'jumping': 0.0048718130829148035, 'waving_hand': 0.002426862892541268, 'picking_up': 0.0018779342723004694, 'exiting': 0.0016431924882629107}",False
94a23fa1-03b0-43ad-bdfa-48bd0ff1d491,1752812134.7418005,0.0140190441501983,True,5,"['orientation', 'video', 'gyro']","['79552c02-38b3-4e7e-a94a-b4a4cf3a6549', '332fbc8d-82b4-4a59-a83b-9171c188747e', '52217aed-2877-4542-9a1c-949107b41a46']","['1053726b-a9f3-4c0c-814a-d61a032af71b', 'ca21228f-5e79-4600-be20-a9ce4b6494fa', 'aaa79887-269f-4b68-8684-93078948ea7e', '1d4508dd-c919-459f-927d-623e24be2068', '5ae890f0-9c6c-4f8e-acce-849e783cbabd', '862e08f6-4efa-4389-9207-d8468d18eb71', '9bcd3bc2-1e26-4d68-80fd-57343f5e57f7', '581ae898-e77c-40e1-b83b-85e621bba5ee', '7b3c17be-2bbe-4ffa-87fe-fe7d975c18d6']","{'throwing': 0.24067400011164886, 'carrying': 0.10796019900497512, 'running': 0.09740113711551185, 'picking_up': 0.08355143877250963, 'carrying_light': 0.07932223823250172, 'using_pc': 0.06872393957426373, 'exiting': 0.030012498190559313, 'fall': 0.021765140821402164, 'walking': 0.017379055271311592, 'transferring_object': 0.01621936244572776, 'Carrying_light': 0.01591298300380088, 'talking_on_phone': 0.015606441027140075, 'sitting': 0.01527857787087952, 'crouching': 0.015096780744048133, 'standing': 0.014744665380205274, 'standing_up': 0.014000987937600585, 'sitting_down': 0.013396470598351834, 'pushing': 0.013233921980555037, 'using_phone': 0.012128585683390345, 'opening': 0.011257025914722586, 'looking_around': 0.011002554278416348, 'checking_time': 0.010833333333333334, 'jumping': 0.010575048732943468, 'drinking': 0.007992167675677835, 'pocket_in': 0.0075842705778507375, 'kicking': 0.0066411238825031926, 'closing': 0.006397813476126729, 'pulling': 0.0059135199278955745, 'setting_down': 0.005712168246776855, 'pocket_out': 0.00552791597567717, 'entering': 0.0054792097060286215, 'pointing': 0.005290572475319518, 'carrying_heavy': 0.003876164107727158, 'waving_hand': 0.0026162291988334188, 'talking': 0.000892458723784025}",False
f310a337-1594-412b-bf8c-92f8832193a6,1752812134.7944121,0.0220861289658018,False,10,"['orientation', 'acc_watch']","['ed0ced20-4752-4081-8ffe-d2caad8b2abb', '64ae2ea1-22d2-4c49-a86b-946d7b7e18ba']","['53d43a59-5337-4d65-b753-9a405aa7fb39', 'abb4b118-ecf6-41eb-882a-9a8f7bd03820', 'fc324332-3e0e-480d-8bbc-7b7f39abc250', '77b7c497-d8c7-488e-9ea7-477f44425d8f', '2b33eae5-3e66-47d2-9e4d-249d8130b92b', 'e932538d-e010-416d-b13b-be36799324c8']","{'talking': 0.253740960669746, 'setting_down': 0.13292283357812676, 'sitting': 0.11009337257688014, 'throwing': 0.0752134830549397, 'using_phone': 0.059374777469201744, 'transferring_object': 0.05913978494623656, 'standing_up': 0.045891922948985454, 'using_pc': 0.033581116788559955, 'Carrying_light': 0.026336943715644975, 'pocket_out': 0.020887365966097766, 'talking_on_phone': 0.020438133722452952, 'entering': 0.015980514202060255, 'waving_hand': 0.012584165312282332, 'crouching': 0.0119703767001353, 'carrying_heavy': 0.011713489667982356, 'fall': 0.011010855002324118, 'sitting_down': 0.009801872920052628, 'jumping': 0.00967741935483871, 'picking_up': 0.008982035928143712, 'pushing': 0.008875523965737197, 'standing': 0.007984031936127746, 'pulling': 0.007287312168116597, 'running': 0.005376344086021505, 'exiting': 0.005285506164943325, 'looking_around': 0.005241090146750524, 'opening': 0.00464949312196663, 'checking_time': 0.0045662100456621, 'pointing': 0.004301075268817204, 'carrying': 0.004203513502795734, 'walking': 0.0033112582781456954, 'kicking': 0.0031963470319634705, 'pocket_in': 0.002994011976047904, 'closing': 0.00228310502283105, 'drinking': 0.0011037527593818985}",False
53d422ac-5429-4eb0-bde8-38f3efb5b511,1752812134.859358,0.0357572555835628,False,3,"['gyro', 'acc_watch']","['c9e22d51-6798-4f74-8d97-188d847c0c31', 'b75e6b89-6eb6-4d02-8de7-259ea2a4b31d']","['6c7bcbd6-2e13-43db-a139-4253e590e981', 'c1ed6913-7cfe-4ea8-a486-7409200a0199', 'c3a495c3-33b2-4237-97c8-1ede2e2b455b', 'e0050bef-9b0d-4c0a-ad03-675b74004670', 'f6cbfb9f-5a23-4481-a9bd-ab62edb94e35', 'bc56e01d-6ef0-42d4-a1da-83d2c8c1ff23']","{'carrying': 0.1317981447176718, 'sitting_down': 0.11025617438697825, 'setting_down': 0.1045387548949223, 'fall': 0.10324284947473354, 'crouching': 0.09135000801667469, 'sitting': 0.08255174465553146, 'carrying_heavy': 0.05462200085856, 'talking': 0.05369294683810813, 'Carrying_light': 0.04487179487179487, 'drinking': 0.024435331283711, 'using_pc': 0.023049925538483892, 'kicking': 0.01735716101848825, 'loitering': 0.0138793037343762, 'opening': 0.013386752136752137, 'pocket_in': 0.01328502415458937, 'carrying_light': 0.012911118801721888, 'waving_hand': 0.01, 'looking_around': 0.009630472809589957, 'walking': 0.009189863904776186, 'talking_on_phone': 0.008888888888888889, 'picking_up': 0.007999348321928968, 'exiting': 0.0068759894028711235, 'pocket_out': 0.0064599732469002415, 'pointing': 0.006438923395445134, 'checking_time': 0.006410256410256411, 'throwing': 0.006228632478632479, 'jumping': 0.005175983436853002, 'standing_up': 0.00502117953730857, 'pulling': 0.004807692307692308, 'standing': 0.002798865117705697, 'running': 0.0026455026455026454, 'closing': 0.002403846153846154, 'entering': 0.0021929824561403508, 'transferring_object': 0.0016025641025641027}",False
5d6d6aaa-8699-4b66-8aa1-f4366776288a,1752812134.932635,0.3077543378707645,False,4,"['video', 'gyro', 'acc_phone', 'orientation']","['4bbf22cf-cf80-4ed3-8069-a3d1d58a372c', 'b26c99d1-773f-40f4-bdbf-45aca5f1190c', '9267251f-5fdc-42aa-90ca-0265a848df74', '8d5e5f78-fabf-42c4-a032-be3e1693c395']","['5e42d2b0-d695-43f9-a7b5-f13a89793bfd', '513e412d-4c20-4b32-ae70-73cf56c1e521', '41828929-7a9b-4925-be04-537dbba8a427', '46fa1258-1536-4e35-9127-0d0ddda6927d', 'd1761d31-8c4f-4ea5-b745-141b96c0b248', '28a82551-26ec-4c52-89ec-023139ae60d1', 'b908d088-c7c0-44ae-a46b-628180782a5e', '6330e600-bb66-4571-9c0d-8b4e97e357be', '57954427-15a5-4eaf-bfd5-70adb4ea0dd5', 'cd919188-532a-4c67-8058-7901a173ca5d', '6e3d0487-7843-4d36-a81d-44377f30f388', 'a313fee9-734b-4eac-9e83-d57b508424fd']","{'using_phone': 0.14359382200069498, 'exiting': 0.10001181039542739, 'talking_on_phone': 0.07978958422169023, 'talking': 0.06423191241947565, 'carrying_heavy': 0.06136599634708276, 'setting_down': 0.054046606264781756, 'using_pc': 0.05140290627044201, 'standing': 0.05111781209089697, 'sitting_down': 0.036097548570847314, 'kicking': 0.03039082459011769, 'running': 0.029731920069680933, 'crouching': 0.02714643222987254, 'loitering': 0.021379487813500946, 'transferring_object': 0.02095989638255533, 'fall': 0.020092982180552426, 'carrying_light': 0.019768269917881855, 'pulling': 0.016857098928478684, 'drinking': 0.01605296556793252, 'pushing': 0.014143180943025788, 'pocket_out': 0.012531717073663464, 'closing': 0.012402321315334768, 'sitting': 0.012213036309659822, 'walking': 0.011295458233801558, 'entering': 0.011187971855316938, 'jumping': 0.0109468787115606, 'pointing': 0.009770012723543104, 'carrying': 0.009112453662018051, 'throwing': 0.008623769791486638, 'checking_time': 0.00852560026440913, 'pocket_in': 0.006687242798353909, 'Carrying_light': 0.00616394127520468, 'opening': 0.006125316245696985, 'waving_hand': 0.005162241887905605, 'looking_around': 0.004703069017972797, 'standing_up': 0.003977476338034107, 'picking_up': 0.002390435291100034}",False
d6fbfdbc-214b-4a5f-89c4-65b82f602232,1752812135.0031285,0.2715905442583424,False,4,"['acc_watch', 'gyro', 'video']","['16470396-7d5d-476b-bf0a-14144d7804ab', '20eb2d39-6cde-4563-9356-83c0eb401beb', '30e4276e-fbf9-4ec6-8d05-45f74a407b11']","['c2d7d5f2-b8da-42c5-a17b-5409840b9189', '7c5e5c96-ec5c-4182-9752-15d59b049948', '2e5021ef-5e9d-4c83-9825-10f05f4ee787', '947c66bc-3230-4459-81e8-20309067483d', '14109e90-8fd5-4e75-b173-95a47ff88af7', '5e3f11eb-3104-40b1-838a-f80b34ef6e77', '927031fc-45c6-43d9-9c36-c2319df5f7b9', '44b1405c-da44-480c-96c0-6dc6d61dd3b0', '57dc4868-e925-44b9-9691-32c678f5f467']","{'walking': 0.45109572178871876, 'carrying_light': 0.07405582922824303, 'jumping': 0.07030415464438605, 'Carrying_light': 0.06573287686264183, 'talking_on_phone': 0.03541534576155435, 'looking_around': 0.03332876078731751, 'talking': 0.02601573943452622, 'pocket_out': 0.019010804836012845, 'checking_time': 0.01771122400460345, 'running': 0.01536361897807681, 'crouching': 0.014522267857044984, 'entering': 0.014426135143412018, 'transferring_object': 0.01360929184023029, 'exiting': 0.012459593139090008, 'picking_up': 0.01181442317463883, 'pushing': 0.011596390144338962, 'standing_up': 0.011075815627539766, 'pocket_in': 0.009799716666016818, 'loitering': 0.00970160941142891, 'drinking': 0.009415999071171485, 'sitting_down': 0.008455319568943085, 'carrying': 0.006903689690040948, 'using_phone': 0.006743169398907105, 'fall': 0.006193268819043281, 'pulling': 0.006057288815909505, 'closing': 0.005755503217899616, 'carrying_heavy': 0.005586904502283608, 'kicking': 0.005523712974876854, 'sitting': 0.005474424755767811, 'standing': 0.004620873552912388, 'throwing': 0.00421455938697318, 'waving_hand': 0.003971871232733878, 'setting_down': 0.0019047619047619048, 'pointing': 0.0018096272167933405, 'using_pc': 0.0003297065611605671}",False
209c5ca6-e487-4217-931e-2be0241f55ca,1752812135.059876,0.1365092607591835,False,3,"['orientation', 'acc_phone', 'gyro']","['9ca2f57a-a96e-4478-8f56-ac2fa5de55c9', 'e3120424-6265-45d0-92b3-4687a5118ea8', '8e8c644d-9ec4-4400-ba8d-46ca36c8c1d9']","['a3e46336-852d-4aab-93a9-070751458560', 'f3daf749-8b75-4e0a-800a-0d8eac079a36', '10381dcb-068c-456c-a8fb-86e9a85238e8', 'fb71135e-c122-4460-8487-1c140183c2dc', '4847c21e-08c3-43da-9470-35197bb088d3', '71ec59c9-e854-47d9-b833-6872affc92d2', 'b5369c9e-bea5-46d3-a3c8-41cd6758aa7d', 'ae0a73ea-ac44-49af-a1a5-9a2e623c53a1', '6c9a71b6-c848-41d9-a02e-b7bfe6c77d2d']","{'fall': 0.21943031135292929, 'checking_time': 0.09942206727255376, 'pocket_in': 0.08860843190107615, 'Carrying_light': 0.08712514203843684, 'drinking': 0.07629531060347933, 'picking_up': 0.06915306915306915, 'crouching': 0.06624675596821253, 'exiting': 0.03270203988158611, 'sitting_down': 0.024062714965366255, 'talking_on_phone': 0.018673714318900782, 'pocket_out': 0.017421333136920278, 'pulling': 0.01621087851730826, 'jumping': 0.014892896898796602, 'sitting': 0.013534891888787154, 'using_pc': 0.013338250085854115, 'pointing': 0.012381380969474982, 'carrying_light': 0.011291648532327482, 'using_phone': 0.011290116582123758, 'standing': 0.010513491994973477, 'waving_hand': 0.009054589514359631, 'pushing': 0.008945717429162274, 'looking_around': 0.008840916067080328, 'carrying': 0.008815141649801498, 'setting_down': 0.007995187192473795, 'entering': 0.007640307691774496, 'transferring_object': 0.006703371878443302, 'loitering': 0.006152055534771585, 'running': 0.006008359456635319, 'standing_up': 0.00521269211057265, 'opening': 0.00464126313574582, 'walking': 0.003979784521520287, 'closing': 0.003933136676499509, 'carrying_heavy': 0.003759749661389006, 'throwing': 0.003243707546423445, 'kicking': 0.0019267822736030826, 'talking': 0.000552791597567717}",True
6ba6864e-0c02-4c88-aefe-7d4e5f86e863,1752812135.1203437,0.0175015515600175,False,4,"['orientation', 'gyro', 'acc_watch']","['5ed957c0-6136-4f81-acb1-f67f3207c30d', '878ed093-5eac-4fdc-bfdb-2dfed4fb703c', 'e397ab97-99f4-4fb2-b700-d944c168dffd']","['04156333-8c19-472e-9d55-0ffedb4a9375', '5c3d2c39-7e48-4d53-8fea-1d3ce6dd0339', 'fe53197d-73f1-4771-af98-6d380e088e14', '876a2459-bb4c-42e0-98a5-6aa962bf5928', 'af7b06e3-9500-4743-a4f9-4cdee8612b2d', '7ac55123-1045-4573-aee4-154848c90ac5', '9eee8935-e2be-40a7-aa8d-ab792d57c7b2', 'a449fe2c-a6eb-4cc4-9f83-108c98653123', 'b9353e83-a996-4f86-ae7f-402b5ecc12d1']","{'running': 0.15121538967064851, 'picking_up': 0.09839646754063007, 'using_pc': 0.08047788662040128, 'fall': 0.07927324965291918, 'standing_up': 0.07676528502308219, 'talking_on_phone': 0.07587198849334771, 'transferring_object': 0.0663088816972312, 'standing': 0.05759656360238948, 'checking_time': 0.0503760410469745, 'entering': 0.02810457516339869, 'carrying': 0.017808188484114567, 'carrying_light': 0.014611650485436892, 'pocket_in': 0.014169358618680246, 'closing': 0.013269569777010742, 'talking': 0.013255818898138708, 'pocket_out': 0.01315531677151735, 'opening': 0.012911787665886026, 'waving_hand': 0.011939641157518253, 'loitering': 0.011696011738028545, 'kicking': 0.011692864848204655, 'sitting_down': 0.011404604244354237, 'walking': 0.01096675163601791, 'using_phone': 0.010713353373251966, 'setting_down': 0.010639046196109371, 'carrying_heavy': 0.009400269820237974, 'sitting': 0.007363983120842157, 'Carrying_light': 0.00658632794122969, 'throwing': 0.006536582270448632, 'pulling': 0.0058509479257492815, 'pushing': 0.005371540156616675, 'drinking': 0.004553734061930783, 'jumping': 0.004535147392290249, 'crouching': 0.003799837086938335, 'exiting': 0.0026455026455026454, 'pointing': 0.0007358351729212656}",True
99953b65-effa-49f3-95a1-da26ad62bdec,1752812135.1993654,0.0119572168380604,False,6,['gyro'],['5bf4d455-0fad-4a6a-818e-0a804a128013'],"['ba397ed5-1a19-4e7f-af8d-2eb5b3f2de8a', '23296991-f6f3-401b-a3dc-86361eb410cd', '16309ec6-fa0b-412b-a316-9c29e1faa383']","{'pocket_out': 0.24313862114349863, 'pulling': 0.21579961464354527, 'crouching': 0.1608307532142686, 'loitering': 0.11044013471141563, 'pointing': 0.05202312138728324, 'exiting': 0.022851907766551827, 'kicking': 0.020288123053909254, 'standing_up': 0.017122801584536575, 'picking_up': 0.016877637130801686, 'drinking': 0.015961496277371322, 'pocket_in': 0.014159198175743756, 'setting_down': 0.012747992198594097, 'throwing': 0.011251758087201124, 'closing': 0.011213047910295615, 'fall': 0.010885913351706869, 'sitting_down': 0.010877186780034529, 'using_pc': 0.010477554549090955, 'Carrying_light': 0.00956141369566059, 'using_phone': 0.007763105949455847, 'looking_around': 0.007707129094412331, 'opening': 0.007135575942915392, 'waving_hand': 0.004219409282700422, 'carrying_light': 0.002890173410404624, 'transferring_object': 0.002812939521800281, 'checking_time': 0.0009633911368015414}",True
014b4030-6fb1-47fe-8b4b-1bf8fee67204,1752812135.2626832,0.0549417121955782,False,10,"['gyro', 'acc_watch']","['b8cf01a7-7032-44a9-b07d-f3783292868d', '3225282c-4747-4287-a308-a3da22531fca']","['11a94c6d-27e3-4763-b3ae-ae8be23b1086', 'bffc9d91-8625-456d-92bb-e89b83a46aa2', 'e7c0c272-55eb-4d6b-8e03-20bbb73cc460', 'cfe47bab-84cc-4041-b67c-26fec9110600', '3f461820-007b-40b7-a149-98693d1b3a7a', 'd1d8fbce-4640-46ba-8830-7a3be777ee56']","{'pulling': 0.3263869298808923, 'carrying_heavy': 0.1370630806861087, 'crouching': 0.10677083333333333, 'setting_down': 0.08595428920486325, 'carrying': 0.04975124378109452, 'using_phone': 0.03155818540433925, 'picking_up': 0.01874668209512047, 'fall': 0.01792977949047313, 'transferring_object': 0.016430590762419987, 'waving_hand': 0.015950618578704112, 'standing': 0.015203210080016854, 'kicking': 0.014436197503607308, 'talking_on_phone': 0.013500207296849087, 'standing_up': 0.012513191617669228, 'walking': 0.012280690944616398, 'loitering': 0.01227259488282475, 'looking_around': 0.012248053098311819, 'pocket_out': 0.011741009184317322, 'exiting': 0.011203614513095728, 'closing': 0.01061046511627907, 'pocket_in': 0.010587571281212899, 'sitting_down': 0.010110741324614156, 'running': 0.009074192367461598, 'pointing': 0.008417508417508417, 'opening': 0.007187743681482501, 'using_pc': 0.005804311774461029, 'pushing': 0.005772717311178849, 'throwing': 0.004091943383855914, 'Carrying_light': 0.003645833333333333, 'jumping': 0.0019267822736030828, 'entering': 0.0008291873963515755}",True
