query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
9dd3c919-dd69-42f5-b91a-25bc54828fb4,1761541523.090206,0.2215748894055542,False,10,"['gyro', 'video', 'acc_watch', 'acc_phone']","['41b7252d-0e1c-4b05-bf6e-5219295e11d0', '1c65ee85-ea61-46cf-b8ab-96c03c02afef', 'd103f7e9-12ed-4e27-8c17-5e77832047af', '86b7dc3d-6996-4e50-b74d-42febfc52196']","['f0223734-b009-4961-b8ed-4adaa528cfc4', '3cafef08-2bcb-4214-bea3-6ff1f90fb359', '006d49a1-5a58-444c-84c3-909496c5bbb0', '1cab4d47-9b00-4ff1-98ea-8d4d2a4055f5', '05bbf012-373f-4abd-90a4-15a864492d57', '7774e119-a37e-4f4b-b4ef-2ab132a1bf06', '387dc2a3-fe3a-4998-95d9-36b46b71157e', '90a9d4e4-fb4d-4409-a488-fdf5e8ddf219', 'e69e2796-3169-4c1a-888c-aa7b534a8d35', '6810e40b-9dd0-49de-9d6f-9a1fecee0376', 'b5b2a8fd-011c-4487-8608-ef243fc98842', '761af503-c5db-451f-8b62-cd4f8e058553']","{'pocket_in': 0.29963871542555937, 'loitering': 0.11487061110428136, 'closing': 0.07807032999298989, 'pocket_out': 0.059858585858585854, 'setting_down': 0.052941059812787565, 'picking_up': 0.03970148411489194, 'throwing': 0.03213383838383838, 'sitting_down': 0.02968592171717172, 'using_phone': 0.026818181818181814, 'pulling': 0.02108376675754171, 'walking': 0.01731494671715185, 'kicking': 0.01655964644637183, 'pointing': 0.015145003067648313, 'sitting': 0.014534935647120864, 'waving_hand': 0.012417013770221008, 'talking': 0.012316514602784925, 'looking_around': 0.012284397307572935, 'Carrying_light': 0.01149861102661461, 'fall': 0.01126801466521643, 'exiting': 0.010751414214358788, 'crouching': 0.01036221590909091, 'talking_on_phone': 0.009444803414786969, 'carrying_heavy': 0.009413097232023871, 'carrying': 0.009321824001454787, 'opening': 0.009125909937362451, 'standing': 0.008617938544932079, 'running': 0.007483319106558543, 'transferring_object': 0.007448634510195384, 'carrying_light': 0.007315464858004124, 'drinking': 0.007215604319052595, 'using_pc': 0.006321022727272727, 'standing_up': 0.004940569487983281, 'entering': 0.00463186553030303, 'pushing': 0.0044444444444444444, 'jumping': 0.00414769317660348, 'checking_time': 0.0008726003490401396}",True
7c0fea07-b78e-4e42-8647-f20a72766d74,1761541523.2359402,0.2793043445171403,False,1,"['acc_phone', 'acc_watch', 'gyro', 'video']","['d9fc8276-3cdc-4d9d-905d-14088f0846f4', 'eaf25c52-4531-4338-8571-35181260df8f', '2a386046-fcc3-4c88-900f-615e1834c161', 'af10bd7b-6d0f-43a0-9ef3-d072cdaac29b']","['a6087e87-5d80-4752-bafd-dbe6f4f9efd2', '75f45dff-bc2d-46d0-a56f-b24818182a1f', '6ab7b057-4eb5-4091-b916-b95e0b09a732', '17773d34-d092-490c-8323-58ebbdaed950', '93f3c1e7-629f-4b81-9afe-494fe629d8e1', '6ecdb5a7-c545-4543-8421-da7eff2e5a0e', 'a73e98c0-b124-49d4-9148-e14568680ed8', 'f3e03b35-4c3b-43eb-9465-3dd186d1c595', 'ebed8e91-5976-4a1b-848c-dac30e684e5b', '3e4a51f9-0d3f-4e00-84b4-cf02bf5732c6', 'c1912659-6417-4f9f-9b57-ac4b196d60e7', '66df2a1f-c515-4917-ac90-d906103e3ce1']","{'pushing': 0.2033543802980905, 'talking': 0.09512634106520544, 'throwing': 0.09431115048203699, 'closing': 0.06551241721698732, 'pulling': 0.05629628172940989, 'using_phone': 0.051672351086748426, 'using_pc': 0.04994281349025826, 'jumping': 0.03795181875709199, 'pocket_out': 0.03696472298148897, 'walking': 0.03561019324448622, 'kicking': 0.02508051776009636, 'carrying_heavy': 0.024397067875328745, 'carrying': 0.023666617632888475, 'standing': 0.01912521111622908, 'waving_hand': 0.015808325332134856, 'carrying_light': 0.015283644457683732, 'transferring_object': 0.015114689696714284, 'entering': 0.012417755945068212, 'opening': 0.011861865985390579, 'talking_on_phone': 0.010653981612065445, 'sitting': 0.009574058953239989, 'drinking': 0.0094124681645256, 'exiting': 0.00920747556143551, 'pocket_in': 0.008529711195967769, 'sitting_down': 0.007755140853902778, 'picking_up': 0.007581632498406079, 'loitering': 0.0075632708416702886, 'pointing': 0.006899696532373525, 'running': 0.006671961095750731, 'fall': 0.006481403927603022, 'checking_time': 0.006355065419046462, 'crouching': 0.006150155425500588, 'Carrying_light': 0.004815327083653501, 'looking_around': 0.0018288474810213941, 'standing_up': 0.0005807200929152149, 'setting_down': 0.0004409171075837742}",True
15e3445b-80c0-4d48-8ac8-c08ef835dd4e,1761541523.40671,0.0781054349924733,False,7,"['gyro', 'acc_watch', 'acc_phone', 'orientation']","['68a2a0f3-bda2-4d17-bc42-e0cb0e7552be', 'dc5f19ca-99f4-4a94-ac10-1da43d826499', '0d9354af-89b1-4d66-b75d-cc3016e040a6', '1a074cac-72ff-4260-9efa-c00dfcb05815']","['b0feafd1-0238-4a11-86da-e2a5944c898e', '1662b6b5-0820-4b3f-9b45-41f96695f178', '3fec00e9-6523-42c3-959e-0a17943f59a0', 'f7cfc347-ca76-4e7d-82ac-2e528b44a842', '698a998c-d097-46ed-aa0e-c002e5a4f160', '1441f641-7afc-412e-808f-98c1b0fd0cbe', '303f9db0-bf3a-4f6f-89cb-1c4b52681fcc', '0d86fb60-3633-42e6-a61f-9c176fb20e8e', '27044289-6fb8-440e-bd5f-0ac8f039dfe5', '06924fa2-065f-43f3-9785-13b2dcfd7f85', '3faf5b91-3a8e-49d3-8346-d980a8474919', '3fe2ec48-25a0-4632-945f-a33dcef16e8a']","{'using_pc': 0.1964900320530212, 'pulling': 0.06934658921254068, 'setting_down': 0.06745932496151891, 'standing_up': 0.05829767676140118, 'jumping': 0.05532325594244952, 'loitering': 0.054629077204259545, 'looking_around': 0.04871956886227985, 'walking': 0.04351296939584879, 'checking_time': 0.03434850308997099, 'carrying': 0.034186649678590364, 'carrying_heavy': 0.03418166577528182, 'opening': 0.03214885427161642, 'using_phone': 0.028981020664539368, 'talking_on_phone': 0.02715716440179264, 'pushing': 0.021685734759555222, 'carrying_light': 0.0195919511048865, 'picking_up': 0.018045690982005994, 'drinking': 0.01537066967990657, 'running': 0.014450306736486904, 'waving_hand': 0.014096266733409302, 'sitting': 0.012834297820654044, 'crouching': 0.01229666626911601, 'pointing': 0.011610118220051058, 'Carrying_light': 0.011380716648211275, 'closing': 0.010300331117863527, 'entering': 0.009783706631532718, 'fall': 0.009391741027730353, 'pocket_out': 0.007852612503775294, 'exiting': 0.007332716154758623, 'talking': 0.006974868377890318, 'standing': 0.005279542158377788, 'sitting_down': 0.002882599580712788, 'kicking': 0.0021109933001413734, 'transferring_object': 0.0019461179178230554}",True
1c7b3cb2-792e-4869-a4f0-5c10c072a1e8,1761541523.4978275,0.0131067257111352,True,4,"['acc_phone', 'video', 'gyro', 'acc_watch', 'orientation']","['df74cb24-4bf9-47ca-8a3a-dbe3e664ad0d', '75236ad9-6ea1-40a3-ac5a-015cc8b3f7a2', 'c70b8172-9bf3-48c3-b541-91ba1b842bbd', '7cf1f1eb-c80e-4ff2-a9fb-ece3f3bc9af0', '1062d623-d8af-49be-8008-881fc1d5780f']","['32b276e8-4dba-490b-8d0a-cde6aea4b66d', '471be8d0-4911-4395-9c67-45780bafc65c', 'e5b31a19-0edb-4937-a86f-e66d3c7c0a6a', '1ed79195-e8ce-427f-ab2c-b6c2b7feb22b', '799c336d-4f01-45f2-a03a-af1d8eaa2259', '3a1abaf9-5924-402c-b475-4b37cc542c43', '56c01cfa-e9c7-443a-8037-8ab4234f04ed', '5f409fa3-d1f6-4618-9ca0-734e4ce03f7c', '1a6f62d0-236d-48b8-a704-40d6ad701e9d', '50c665af-82bd-4dc6-9445-18cc53c4b594', 'f5359649-33ac-4cd1-adf7-c65bd4156971', '18c63b77-a6ed-4a95-a9df-8840d5eab965', '260cab3d-5107-459c-b233-c6e5967dc1e7', 'c0ebdf8a-9d3d-4348-bd0d-c90c9d108217', 'a843005a-705d-4819-9536-0a2bb9eba27f']","{'carrying_light': 0.20116916248685596, 'waving_hand': 0.11392297235060038, 'opening': 0.06449749477651352, 'exiting': 0.0607519974891172, 'standing': 0.053445447528575746, 'sitting_down': 0.05313469931653396, 'closing': 0.052445421194089785, 'drinking': 0.04217076642680855, 'checking_time': 0.03570049118142172, 'running': 0.029686502982383133, 'using_phone': 0.025781678375199447, 'looking_around': 0.023317029913574153, 'pocket_in': 0.02201952615592318, 'loitering': 0.02196824409059974, 'Carrying_light': 0.019964292919577544, 'picking_up': 0.01781938887276995, 'pushing': 0.013938445270025806, 'sitting': 0.013515189218683079, 'carrying': 0.012743684805915994, 'throwing': 0.01260336802504533, 'talking_on_phone': 0.01199988179391302, 'pocket_out': 0.011039010728519582, 'transferring_object': 0.011028258414788791, 'kicking': 0.00963150039585827, 'pointing': 0.009039163042968248, 'entering': 0.008719366993438086, 'pulling': 0.008345174948412748, 'carrying_heavy': 0.008017602355259574, 'walking': 0.007295962593993525, 'talking': 0.005590316041973702, 'using_pc': 0.005106045083955188, 'crouching': 0.005079600289103941, 'fall': 0.00407981727486166, 'jumping': 0.0024753733339627692, 'standing_up': 0.0019571233287767145}",True
3ea746c6-5c94-4ee2-8342-2c79e813b570,1761541523.5809114,0.2281686573610254,False,10,"['acc_watch', 'video', 'orientation', 'acc_phone']","['c3d76dfc-a534-41b1-b054-3adb6e4ffabc', 'ee269d26-89c8-426b-8e61-b098559324c0', '40580b21-f92a-4b4c-a0a4-df4968a9ec18', '32fba077-79dd-4852-8cfe-989a6430ebbb']","['4844918f-2b51-4d30-85f1-43df95ca8ffc', '7ca2105b-2dda-4bcb-ab74-6f50bdc278e1', '79f77756-e50c-41a1-8cf5-f6224ab41749', '78f54801-fbb9-4e3d-bed0-38b344946cb4', '385a8179-a262-4d47-b9dc-214d932d008e', '3366af58-e7f1-479e-9913-4741f99df67e', 'de75da32-7fd4-4521-9790-16da83720cbb', '65720b9f-c153-4067-8749-9615b927f87b', 'b13143d9-9e09-475a-b9ef-6a92c8f0f6cf', '156581ce-fa42-417d-bdea-3dd8ea23bed2', 'abb9d527-02d4-4e16-a750-7ecc29fe9473', '5cb65d15-4562-4665-a46c-0cb950e5496c']","{'pocket_out': 0.25107952664802174, 'setting_down': 0.07144508397644717, 'drinking': 0.06324325736243817, 'using_phone': 0.060704823389286656, 'closing': 0.05734397389727727, 'checking_time': 0.053804515517348515, 'sitting_down': 0.04466013377804887, 'throwing': 0.039396761264624915, 'standing_up': 0.0389714273151514, 'standing': 0.03581175052918201, 'pulling': 0.027410201389012016, 'kicking': 0.025238016661581722, 'fall': 0.024342248156205327, 'entering': 0.02029500326285225, 'walking': 0.01797929120910587, 'talking': 0.015393769223831233, 'picking_up': 0.014934104456991002, 'sitting': 0.014074701737989337, 'running': 0.012435804401584073, 'opening': 0.012091583790221986, 'crouching': 0.01184253847790631, 'pointing': 0.01072579796754128, 'looking_around': 0.008009691833221247, 'talking_on_phone': 0.007815798145614642, 'exiting': 0.007570783514179741, 'pushing': 0.007442360496949942, 'transferring_object': 0.007094988939461947, 'jumping': 0.007024720153100778, 'carrying': 0.006861172668516123, 'carrying_heavy': 0.006401617250673855, 'Carrying_light': 0.006135231870525989, 'loitering': 0.003581227874287, 'pocket_in': 0.0031739213440244367, 'waving_hand': 0.0030287103561793412, 'using_pc': 0.0013468013468013469, 'carrying_light': 0.001288659793814433}",True
fbf9247a-4456-43ac-95ee-4a0ab4fc5917,1761541523.7107282,0.0875543942505151,False,7,"['orientation', 'acc_phone']","['1d6258c6-c456-47b2-a812-46af2e856d07', '5879d403-fa4c-4f41-9de2-65f7cdffea26']","['49869b04-6668-44fa-82d6-1adf0b045000', 'da1ecef2-e80d-484f-97ff-5332253a3092', 'cdc4c2ea-d37e-47b4-8f6d-b88d32d20356', 'd89fb96e-7ba3-4a05-85c5-e9e66bcbbe2c', 'c3995554-e7fa-4dff-9c79-b5d354f71150', '646a216c-8b74-4161-b4ad-9ff987912e17']","{'sitting_down': 0.136489898989899, 'pocket_out': 0.13624497991967874, 'kicking': 0.11396534148827726, 'pocket_in': 0.0870180037249086, 'Carrying_light': 0.08382289822415366, 'throwing': 0.06060142711518859, 'looking_around': 0.03995262323575576, 'opening': 0.031462008950911925, 'using_pc': 0.026165774207942877, 'pointing': 0.025499869150788616, 'talking_on_phone': 0.023006705721970454, 'picking_up': 0.02215528781793842, 'talking': 0.02207325542772594, 'exiting': 0.018222891566265057, 'carrying_heavy': 0.01820497089690716, 'carrying_light': 0.016789999974451932, 'transferring_object': 0.014288141352361538, 'drinking': 0.012538877313766343, 'fall': 0.01244369665422297, 'crouching': 0.010823630560472664, 'jumping': 0.010778212613074998, 'loitering': 0.010325706495707602, 'waving_hand': 0.010040160642570281, 'using_phone': 0.009597567936185566, 'closing': 0.009473324533565497, 'entering': 0.009067385214174205, 'standing': 0.00818273092369478, 'pushing': 0.0071915900863269286, 'standing_up': 0.004468229697587496, 'walking': 0.0034965034965034965, 'sitting': 0.002331002331002331, 'pulling': 0.0017482517482517483, 'carrying': 0.0015290519877675841}",True
f069416a-bc30-4c9a-bdd2-d6169bb327c2,1761541523.8165991,0.0210875967613399,False,5,['orientation'],['453582f8-d997-4784-9754-569e79b8b709'],"['a8c9e15e-2123-46a3-a7cf-9e0ff2baf134', 'c1116f0a-9d6a-4cb5-9bd3-8f92859dc3bd', '1e572ada-81d7-452d-9f5d-49addf460f79']","{'setting_down': 0.2864583333333333, 'pushing': 0.1773049645390071, 'talking_on_phone': 0.16205587896896947, 'exiting': 0.0903954802259887, 'jumping': 0.0847457627118644, 'transferring_object': 0.03546099290780142, 'Carrying_light': 0.0242138800164855, 'looking_around': 0.019404804835746053, 'pocket_out': 0.018170941519413394, 'crouching': 0.01679460099943331, 'drinking': 0.010637358757062147, 'carrying_heavy': 0.010416666666666666, 'loitering': 0.010131712259371834, 'sitting': 0.009114583333333334, 'standing': 0.007276801813404771, 'fall': 0.007062146892655367, 'closing': 0.006510416666666667, 'sitting_down': 0.0060790273556231, 'using_phone': 0.0053186793785310734, 'picking_up': 0.005065856129685917, 'checking_time': 0.004052684903748734, 'using_pc': 0.002026342451874367, 'opening': 0.0013020833333333333}",True
a6ac9273-6c08-4e25-862c-0b6816ab8c82,1761541523.9735072,0.2764989570114979,False,8,['video'],['57dcbd91-8268-4e7d-9d94-e9e89aae8d0b'],"['6b2d9936-dbbc-4773-a99a-e5871d39bcbc', '020c9693-f003-44de-96e5-6ebeb225dd6b', '60462c2a-2abc-4fe4-8398-1458b954a46c']","{'pocket_in': 0.2521163585833653, 'loitering': 0.22419583355197567, 'talking': 0.2188290066495002, 'fall': 0.0608875128998968, 'pointing': 0.032516160143879945, 'kicking': 0.01810494253910046, 'opening': 0.01791791490910791, 'checking_time': 0.01673051022371482, 'picking_up': 0.014124293785310734, 'pushing': 0.014023732470334413, 'pulling': 0.014014972625981705, 'standing': 0.012873659722586625, 'using_pc': 0.012711864406779662, 'running': 0.011866235167206042, 'carrying_heavy': 0.011299435028248588, 'waving_hand': 0.010319917440660475, 'entering': 0.010298392847347923, 'crouching': 0.00970873786407767, 'pocket_out': 0.007551240560949299, 'talking_on_phone': 0.006472491909385113, 'transferring_object': 0.006394785438721591, 'standing_up': 0.005393743257820927, 'setting_down': 0.004314994606256743, 'using_phone': 0.003095975232198142, 'exiting': 0.002824858757062147, 'throwing': 0.0014124293785310734}",True
990a43bc-e1ce-4537-beac-75a956559af1,1761541524.108086,0.0461289258011337,False,1,['gyro'],['b07f34cf-0917-44bb-b3d5-2d020d3d2dc8'],"['4248ef76-b8db-49a5-93ed-4f67242284f6', '6c8fd39e-89d6-483e-96f4-a55341f96d0f', 'bd65b450-1a5f-4178-a32d-994fac73f7db']","{'sitting': 0.42694180979236096, 'using_phone': 0.16752775037965964, 'checking_time': 0.14117858876207473, 'kicking': 0.024181833717850126, 'pulling': 0.02221652567717679, 'crouching': 0.021113150172433665, 'pushing': 0.019375515306258147, 'talking_on_phone': 0.017730685081220093, 'sitting_down': 0.01717508331197129, 'carrying': 0.013558154462762045, 'walking': 0.013245033112582781, 'waving_hand': 0.012141280353200883, 'carrying_heavy': 0.012048192771084336, 'picking_up': 0.011037527593818985, 'transferring_object': 0.0107095046854083, 'standing_up': 0.009933774834437087, 'entering': 0.009370816599732263, 'throwing': 0.009064863087689634, 'opening': 0.008274231678486997, 'setting_down': 0.0070921985815602835, 'running': 0.006693440428380187, 'closing': 0.006622516556291391, 'exiting': 0.0059101654846335705, 'drinking': 0.002364066193853428, 'carrying_light': 0.0022857858563086124, 'standing': 0.002207505518763797}",True
8cdc3bf6-26bd-44a6-a831-b3cdb5466c02,1761541524.2480912,0.5374444311110923,False,10,"['video', 'orientation', 'acc_phone', 'acc_watch']","['a8da2286-23f4-4aca-ab9c-931092905d51', '0c458ffd-e3e7-462d-a4ce-0338f1f037e0', '908e09b8-5fd3-434b-badf-63311a9379ff', 'de1089d6-cb60-40ff-ae2b-f9ece87a46b5']","['ee479a5e-5d13-4447-ae8d-ee77b8051e54', '0034e9ce-62db-44c9-ac45-18a50bd5e095', '2d45670e-55eb-4de8-b152-2b3a1e2d3403', '86432875-4258-4b16-8eda-777aa7bc908a', '402c4e07-60d7-431b-9220-467f0ae4b903', '7c258b04-07cb-464f-b1b0-0b8bd44de9ef', 'a2aa0c74-54f7-4e78-a8ff-adaf0ea7f956', '853bd469-2305-49b2-8f6c-38c40bf55370', '371ce324-99c9-4ce7-8b90-0ca3223f6385', 'e7f2d9d1-667c-47f5-8664-eda586dbbe63', '6187fb50-7df7-4b78-9138-e55678548502', '40f73d42-15af-4401-beef-309908d51439']","{'carrying_light': 0.2590574329644926, 'talking_on_phone': 0.06894488577932854, 'checking_time': 0.06858574095544935, 'pushing': 0.06315305040708724, 'drinking': 0.05872143961809076, 'pulling': 0.057300553645132785, 'walking': 0.05590955670590697, 'pocket_in': 0.03508771929824561, 'looking_around': 0.03004957116718686, 'using_pc': 0.02925214710464998, 'fall': 0.024286821705426356, 'sitting_down': 0.020697404420282867, 'throwing': 0.019858305325606906, 'sitting': 0.01813783627421942, 'using_phone': 0.016356762156342592, 'talking': 0.015763643667731513, 'transferring_object': 0.014998851513871028, 'picking_up': 0.01493649033689218, 'waving_hand': 0.012284924312614845, 'Carrying_light': 0.011785194786731496, 'running': 0.01149052466099579, 'kicking': 0.011125708440518717, 'setting_down': 0.011119972611767814, 'exiting': 0.009886022634194585, 'loitering': 0.009879179249814575, 'pocket_out': 0.008303157085661697, 'opening': 0.007539159784134397, 'crouching': 0.007058183338138496, 'standing_up': 0.006581316584072163, 'jumping': 0.0061957077158916705, 'carrying': 0.005341612918222396, 'carrying_heavy': 0.004073014583217911, 'pointing': 0.0025220700152207, 'closing': 0.001937984496124031, 'entering': 0.0009689922480620155, 'standing': 0.0008090614886731391}",True
