query_id,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,late_ratio,ground_truth
14d320e0-ca72-4178-89ff-31c8e209679f,0,1,1,1,0,standing_up
223f9296-1808-4620-9fe1-f76426994d18,0,1,1,1,0,looking_around
b30c521b-1626-4fee-b746-ec9b3bf9587a,0,0,1,1,0,fall
197b2de9-9eb1-433f-a806-c3312ead3c3e,0,0,0,0,0,18
e98759e7-ab4b-4931-a628-6334c6aa4d53,1,1,1,1,0,opening
1c78a365-c350-4c7c-a54a-996cca035cd9,1,1,1,1,0,fall
f95cdfbb-acd0-4b17-a1c8-fb60b7653e65,1,1,1,1,0,pocket_in
525ca271-115b-4e45-86f4-d1bfa3f65cd2,0,1,1,1,0,exiting
ebecbb82-c46a-46ca-8afa-76f002d8c1c0,1,1,1,1,0,closing
d06a5ba3-f65b-4032-a202-384b9d724cb5,0,1,1,1,0,picking_up
d0ed340d-7b06-4e39-b7ff-d2f54340c26b,1,1,1,1,0,using_phone
56191fda-9f83-4a64-a6af-d8a28399ebe0,1,1,1,1,0,waving_hand
edf9ad1c-aa55-4d19-9a7d-7cba9bcbf138,1,1,1,1,0,carrying_light
c256cb5e-85d5-4056-adaa-0c53811104b4,1,1,1,1,0,walking
d2411a46-46ba-402d-9127-52843fa16fe0,1,1,1,1,0,looking_around
be423518-9a97-4843-ac21-190fa6b2876b,1,1,1,1,0,exiting
fd339e3f-4139-4d94-bfa9-ca5bf2b49647,1,1,1,1,0,Carrying_light
4a6eed7d-78a3-4c09-9910-4ec6a61b80af,0,0,0,1,100,running
90dcb26a-9c11-4eee-a910-a43d69c29c44,1,1,1,1,0,waving_hand
d4b1463a-0ac3-472a-aaff-3a8fa57152a8,1,1,1,1,0,waving_hand
98662949-4924-4cba-8a07-b5a3eb3b82fe,0,1,1,1,100,waving_hand
8374c909-f88c-4eb8-a832-0efa7bdd2781,1,1,1,1,0,carrying_light
3b73b8fb-50ec-4c56-a0ee-3614622d0438,1,1,1,1,0,sitting_down
9e97e6ee-a37c-471c-87a5-5599b637a9eb,1,1,1,1,100,jumping
6f65d6b3-31f8-4571-aa45-75cf4e172688,0,0,0,1,0,jumping
7a3dea9a-a975-4727-b34d-1d92606d18aa,0,1,1,1,100,transferring_object
e045c6e9-7d8b-40af-88d7-dc6b7af7d8c1,1,1,1,1,0,talking_on_phone
cc2152d6-af03-42b1-8ffd-76d0b0001860,0,1,1,1,100,talking
cd512146-741b-445b-bf8e-3f21bb6743fb,0,0,0,1,0,pushing
834b284a-8b9e-465d-a63d-1c3668db5d75,0,0,0,1,0,talking_on_phone
22f3fed6-d796-4e96-823b-70e98910a611,0,0,0,1,0,sitting
150ae877-8fd1-4155-9467-0cd2b6a03500,1,1,1,1,0,closing
caecd552-3f10-4822-aa45-1db07ffe4d14,0,0,0,1,0,checking_time
921af8e6-f3c3-45e3-b4bf-7a27b77dfc99,0,0,1,1,0,throwing
baa82326-b428-4145-a726-77d9c14ca776,1,1,1,1,0,pointing
864d85c9-0041-4ad9-9ed9-81da31d45e6f,1,1,1,1,0,pocket_out
cb3075ab-e63a-4b7f-9b03-4469d63bf0f6,0,0,0,1,100,kicking
cd70df82-3e38-4604-a837-910578e78a65,0,1,1,1,0,opening
7344dc89-a788-4516-a27c-11e57eae4c3a,0,0,1,1,0,pointing
30211ed9-e882-4c3a-a0cd-f7e69012e88b,1,1,1,1,0,waving_hand
8104300f-adbb-45bc-b450-84042c537a75,1,1,1,1,0,pocket_out
d72b8973-a9fd-4751-8eb8-695641d9003e,0,1,1,1,0,fall
b5c0866e-d833-479d-83e0-f3b260abfebf,1,1,1,1,0,carrying_light
4e8bf41d-78ea-453d-a77d-16e8b1056756,0,0,0,1,0,walking
89d444f5-33a9-48a1-a4c8-606f5cec4c8a,1,1,1,1,0,setting_down
55706828-5106-4fca-a3b6-1f683bacf554,0,1,1,1,0,carrying_heavy
589d664c-87fd-4729-93cf-5b39c7233e47,0,0,1,1,0,fall
41a0ec8f-e98e-44ae-b618-7ff047a07784,1,1,1,1,0,pushing
ad390e9c-8a86-46ad-bd17-20087b7565b0,1,1,1,1,0,looking_around
392cf3c1-7bcc-4d24-a4a1-0282abc50ab0,1,1,1,1,0,talking_on_phone
367c11a7-8ca5-45ce-9203-acdcf031cbed,1,1,1,1,0,waving_hand
e7af8b82-9357-41ec-8469-c38079a37869,1,1,1,1,0,fall
96544873-f200-4031-9317-fb887b15ae15,1,1,1,1,0,pocket_out
05a22880-875f-4fd9-ac5c-411a8250e612,1,1,1,1,0,pocket_out
07435766-e46d-4946-a4e7-880c437d5085,0,0,0,1,100,picking_up
89cf94c1-ef36-46cb-b7c1-541c029ead0d,1,1,1,1,0,looking_around
383f2a6b-0ef7-4d45-a8d7-2332eb8710f4,1,1,1,1,0,kicking
d02a445e-f223-4ef2-92e6-deebd44b5d4d,1,1,1,1,0,using_pc
b069db7a-c479-4ecc-8de1-f6a7adaaa04a,1,1,1,1,0,using_phone
9bc43d9a-9d07-455e-96a7-4131b5a26c55,1,1,1,1,0,carrying
fdc8a0fb-7b2b-4b0b-aed1-d67d5918cd9d,0,0,1,1,100,carrying_heavy
71ae7ae5-2995-4149-8acb-01a6fab09452,1,1,1,1,0,standing_up
8c6ac1b0-d823-4e19-966b-46a47adb8f09,1,1,1,1,0,using_phone
6cfb3f29-8285-4a18-937b-8ae0e85dc5a4,1,1,1,1,0,sitting
ca48a985-ea6c-4f1a-a39c-1d767ce47d7e,1,1,1,1,0,jumping
6befea5a-1928-4e9b-b787-d9d6f175808a,1,1,1,1,0,drinking
7fefcda2-a7ee-4bd9-bffc-251819699793,1,1,1,1,0,crouching
d6251f0f-3af1-49f0-9d70-a2734728a230,0,1,1,1,100,kicking
ef283955-d0ee-4d48-b439-63adb99fc414,0,0,0,1,0,exiting
