query_id,ground_truth
038f4edb-516a-4b37-9f95-1d393e6c4efb,pulling
4bf63596-f41f-4644-810b-c098268765a1,fall
273e9b8e-3f0f-4604-b403-2b8c521f305c,exiting
8e3f9626-251b-4fb9-9ed1-f3b9d1b3f01a,Carrying_light
4bf171e0-4d8d-492d-a40b-420bd9b1a3ab,sitting_down
3574e14e-eada-497c-975c-30f82ea32fc6,pointing
98c7cbc2-c8fc-4f2e-8ade-e3b00759816b,carrying_light
99f77f59-502a-4255-8ce7-6ba8a1491749,pocket_out
3ce4868d-077d-4656-901d-48fdc0575d31,kicking
84e8b26d-69b6-4153-9cbe-5dfb6ab741d1,crouching
f27a347a-538b-4a35-ae0f-70a1ae646de6,using_pc
4456b750-8aba-42d3-ae06-0230e974d05c,entering
8abf9b00-50a0-4bc6-a6c0-e03d857b296b,crouching
46398b51-fafe-46a9-aca0-cb81a206439c,opening
ed40996b-2619-46e7-95a0-59203825746b,exiting
565c6ed2-4321-4faf-9a89-7f186236c653,pocket_in
26b7d18f-f21c-4681-a76a-a0f930a6629d,standing
0340b4ab-e384-4b9e-8447-18f46683034f,loitering
8887af4e-daa3-436b-9972-236b7c4651f5,entering
fb52e854-1967-4a1a-80da-7f3efa166254,drinking
03e00c9c-ee57-4117-bec2-d870cbe03863,sitting_down
9390c92f-a2ca-436d-8fe4-85566a4268a6,closing
6c83d32a-a5e5-4e99-9b84-e55cfbcff007,kicking
2accb2d3-fe00-4999-b511-c215f11ecd0f,using_pc
8878c652-2612-461c-b59f-2141f06657e9,drinking
c4a70aa8-3462-4632-9113-ad95e1d611fc,drinking
5c620c8c-3286-457d-8722-655012563d45,waving_hand
7fe36887-8e71-4591-a878-fc3deb21520b,crouching
efd84a58-192a-4954-ae11-fa1c33adab47,throwing
eb414669-43ea-4d21-9d60-eecc2df67135,loitering
f23eb8ac-5cf2-478f-8a98-54757da64615,standing
28867a21-466e-428a-bca1-332632e0dd08,pocket_in
17c4b962-4330-499d-a541-544526f51f61,talking
bd1da8e1-9586-45a8-8978-6f127acb4c07,talking
253ae4bb-746e-42e4-b96a-cce9fd53320a,Carrying_light
822903c2-6ce0-46c3-9b78-328703d49b11,sitting_down
7263c7ca-0cb3-468d-bb55-fbafa5acf592,closing
931bf22e-bf3c-41c4-a24d-137b2693e71c,carrying
231c0953-3030-43c5-be4f-cce8ccdc6341,sitting_down
8b611439-f429-472f-84b4-f0b986a1b2a3,carrying_heavy
f42b7929-866a-4816-bb68-1a171243bade,standing_up
41dce5f1-f8d9-4dd5-ab26-f3868d752c32,transferring_object
54401a03-58ed-468b-8287-b6e931e6b5c6,jumping
478e7d05-444a-4a63-8ea0-7a821c62017c,crouching
58f8c524-4663-4c81-be1c-5230a0428847,entering
0be731a8-0daa-48c6-8a4f-3b68a86d51c8,fall
c937382a-cb92-4890-a193-4bcdcb5373d1,talking_on_phone
e7b51236-0b8f-4ada-a213-9950393a62a2,jumping
