query_id,ground_truth
b2205601-e081-4ec4-8270-e632867108be,pointing
6c5193ec-d3c9-4115-8b0f-f25b6da8a5c2,exiting
309f7e27-d609-4a0c-a07b-bf96f103263b,pulling
469e1860-3260-4057-b6ac-34a80b20de62,loitering
b108e7c6-697b-4e58-9d31-9d9337af31e1,standing_up
549b36c8-4ad2-42ec-8f9a-ff40301d0517,kicking
b84f00a4-b1d3-488c-8743-8e7a328c5d4d,opening
87b8592b-25ec-4916-b0ac-bc78bc202e5e,waving_hand
6bc0e1e5-e1ba-4d35-a1c8-2eb02eb86f04,standing_up
e95e409d-b76d-43d4-a8bc-ce87a3f78d79,pointing
d471ab22-a13d-43fb-91c8-d57e1d8c25c3,loitering
ae632c1a-f6e7-40ec-8bcf-ae427e0cc0ed,standing
56c0b8a1-0151-4ff2-a24f-3f4b810fae43,using_phone
d2457b3d-3547-46bd-b1dc-d795c35c29f3,carrying
5c15cd75-3141-440c-a085-6fc0c4e7f725,exiting
d8387179-1ecf-4e8c-9a69-09e6f0e75505,walking
2c9cd753-0afd-43cd-a5a6-2f3ed7ae2725,standing_up
b03dab56-06e6-47f7-8f3e-63b9c6016358,standing
e751ba98-00f6-408e-87c3-914f054c438b,standing_up
f10ceaf7-aaec-487e-876c-b83ebd2b5909,pointing
6d75ede0-4ddc-4d75-baaa-953152d965f2,fall
1c9773e1-4ac2-400d-aca2-b079d229d7a8,looking_around
e4fa53d5-b1f5-4184-a492-6d64dbb98e80,kicking
8ed0a5a5-aaf1-41ab-acf6-6f3d58e4f953,fall
653e9a4b-559a-49ac-9118-39359a1af893,walking
bd65cec4-9582-47aa-b670-ad9bd8dfce1f,pocket_in
29bc2ac7-2cc6-4a18-a28d-42d37318e56f,standing
0d4075e8-f65f-431e-a5e9-85df3b101fca,entering
b586dc4e-9451-40de-8a0e-259cd4286c0d,transferring_object
edfc421f-d5a9-429c-abae-52b610a262f3,Carrying_light
ffa10ebd-9216-4fac-9391-d03158ec18eb,talking
4bcb5f98-d6a3-43e5-997e-2e365da4bad9,using_pc
0e2ab01f-2775-4dd3-bf51-48d77727658c,kicking
4f0aaa70-149c-453b-a49c-af5989081c16,using_pc
5257fe65-18f9-43f9-a1e7-deae93f051a4,setting_down
9be218cd-539a-489c-9333-805385b264cc,crouching
d509c0e2-564c-4796-9f07-d675b8f31cca,carrying
7c5e1f31-ff63-49e9-80b2-38395879046c,pocket_out
680a66ac-3d8d-4f42-bcf3-0be2b9883c8a,drinking
c90303c7-a336-473d-9fb6-dc76be28bb86,talking
60edda1c-8838-4b2a-8ea4-192643ecea75,transferring_object
f3fbb92b-e9f6-41a8-8f34-b7c9182a05d2,kicking
d1873415-5ff3-4d72-85de-4ac6da2643ba,closing
3cc25719-6721-4561-b4e9-3b2575137cc5,using_phone
06da6955-32dc-4519-84b3-1ab22addf429,jumping
708981bd-d7bb-46f2-96a8-938e6a388964,carrying
1638f309-4794-40d8-839d-aaee86444f19,jumping
e4740353-cbdb-4609-b6ad-470da1fbd8f2,using_pc
aee6c007-013a-40dd-9aed-697a59d7b060,transferring_object
b55940e8-6f6c-42f1-93e4-be657bceb785,carrying
8f486390-ac81-4f39-8362-8943dffb2aff,setting_down
0f343b0d-b1a0-41b9-bcf0-8b4c1c6e1e7b,closing
678ebb57-f56a-4bbf-a6a7-56c8f886a42e,looking_around
d0e79f57-2aaa-4762-88a8-da9a9d512632,pocket_in
75e687df-528f-4d0a-a76d-88d9fd64e190,entering
7fda9c6c-bca9-42ed-84d6-97b7f8e828c2,kicking
72b7ba97-84e5-4494-8311-48afba592ab2,transferring_object
dee4c0f5-4997-4a4a-aad1-fad40ee85333,looking_around
90fde012-4ff1-4850-9d97-e9cb62f01288,Carrying_light
26a1fdf2-36a2-40a2-97b6-aec062bf47db,closing
6344e838-39c5-4181-8448-03375ec85694,pocket_in
dab76bcf-2564-4964-9bce-289cf59b6cf2,talking
