query_id,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,late_ratio,ground_truth
48265ce6-54d0-4ace-ab47-ebd95412a1ac,1,1,1,1,0,pushing
42e224e3-9ff2-4d6e-8d8e-17c364e4491e,0,0,1,1,100,opening
1f00585d-cc52-4703-ac1f-e819e3e65c27,1,1,1,1,0,pocket_in
d533926d-b89a-423e-810f-033ff08ce768,1,1,1,1,0,exiting
7a8e96bd-2bf6-4223-9aa4-57b64cde9584,1,1,1,1,0,entering
ed317bc1-23d2-44b8-9c96-f48a4b980f74,0,1,1,1,0,fall
e84d2bc9-be02-4611-b580-2582da1646c8,1,1,1,1,0,walking
54ca65ba-49fe-4fa6-be5c-1afb2010534c,1,1,1,1,0,pointing
ad661a80-2615-4c36-8653-4da3cd8c3be1,1,1,1,1,0,jumping
45ebf010-0bb1-4670-abc6-116f375db03d,1,1,1,1,0,checking_time
317a5c10-b2f5-45df-9f38-1aa50409be83,1,1,1,1,0,closing
f4b1131e-1c88-4a15-8a86-3f8f694a9888,1,1,1,1,0,pulling
60b97f76-7eb9-4a8b-89f3-3ea1ce6e7082,1,1,1,1,0,transferring_object
07500fb2-2ce9-4436-8eb3-211a7f9054b2,0,1,1,1,0,walking
1d10b73e-fb51-45ed-bb88-1bc2c29c1d5b,1,1,1,1,0,entering
cd914bff-b8a4-4fb0-bf75-eac1f2de9f24,1,1,1,1,0,walking
ca406932-7657-4da3-82da-d5a4fdbccb38,1,1,1,1,0,looking_around
5905685e-459a-4b11-926d-130ae7a18ed2,1,1,1,1,0,standing
56ad197d-2eaa-4621-8bed-6f1ca13a7d15,1,1,1,1,0,fall
d64fd4b6-f02f-4986-864f-c9466a740392,0,0,0,1,0,entering
0cdb4d1d-5397-4cb8-9a9d-680c2fd77738,1,1,1,1,0,closing
6ad92cd0-08af-4072-9a2c-338d5ff862c1,1,1,1,1,0,crouching
481fbbd1-ef02-47d1-9ce9-dbcba66b5e3a,1,1,1,1,0,carrying_light
bd5a962d-da5c-4cfb-9f0c-bc120c822f1a,1,1,1,1,0,sitting
d0b356d3-9142-45ca-bdc7-09370427d36e,1,1,1,1,0,pocket_out
8ee1edb6-cdfd-4ecc-b870-1d035a638041,1,1,1,1,0,pushing
e0fc09cb-53c7-4255-8925-171f822208b1,0,1,1,1,0,closing
304f4e17-e3b9-4058-9cfd-450bfbea32f1,1,1,1,1,100,talking
d865e2cc-7470-4675-85f2-46549686edff,1,1,1,1,0,using_phone
13b1a5df-9a66-44bc-bbf1-66a80d3e072d,0,0,0,1,0,using_phone
7caf3314-86f1-4b7c-bfc8-0142e41e75ef,1,1,1,1,0,jumping
2a3ed444-3b40-43f7-9d3c-18c3821eb913,1,1,1,1,100,drinking
fdc39fbe-d755-4efb-adb5-d9def2147ee7,1,1,1,1,0,carrying_heavy
85d9cb1a-8f18-410d-b348-a31e70c345ab,1,1,1,1,0,throwing
e6f669e0-73b0-4f32-9401-44ea769e3b67,1,1,1,1,0,standing
b24b7879-4604-4411-84bb-8508f71409d3,1,1,1,1,0,carrying_heavy
a4727fe6-862d-459c-950b-94b071a916a5,1,1,1,1,0,entering
1a11b57c-a177-4e78-a58b-a4c46fe0b958,1,1,1,1,0,pocket_out
0c66ed76-f77d-4081-a77b-eab474bd0cdc,1,1,1,1,0,sitting_down
c9634d2c-2132-4459-8a14-f001af90171c,1,1,1,1,0,using_phone
73e7d15b-2751-4c31-ab3a-889c2968b062,1,1,1,1,0,sitting_down
10068080-ad68-43d8-9268-56253b570aae,0,1,1,1,0,carrying
aaa9a950-5afc-48dd-9082-826ece187cad,1,1,1,1,0,exiting
b423f23f-5e06-4899-8e0e-c0fda61e8f86,1,1,1,1,0,pointing
0aa00160-5745-409f-9af2-da93b3c59408,1,1,1,1,0,talking
ddcb7296-2ef7-4456-9688-33fb59d8b7c3,1,1,1,1,0,carrying_heavy
d82d385a-d6e7-425c-ad22-7e2a2c5c06d0,1,1,1,1,0,running
f88c02ee-fc0c-419f-8aa9-5bde8f7c433e,0,1,1,1,0,sitting
fa748dd6-cc26-4eba-b85c-c459b23ccaa2,1,1,1,1,0,carrying_light
5ed517d7-8e37-4723-95aa-474bb8085c41,1,1,1,1,0,loitering
6f2fc231-8af6-439b-8296-9351823f7afd,1,1,1,1,0,transferring_object
14c9631a-d77e-48f6-ae7d-797e8a14ae05,1,1,1,1,0,checking_time
861564e3-a87a-4c8e-a0fe-e0f82f59625e,1,1,1,1,0,waving_hand
55155b0a-4634-4bff-9892-8395d231391f,0,1,1,1,0,drinking
6d40e36b-17f3-4223-95b6-8b25c3066011,1,1,1,1,0,fall
314bf545-e63e-4ff5-9022-654d995a2b3b,1,1,1,1,0,looking_around
e7243c2f-e5c5-4f5b-8eac-859bb570790b,1,1,1,1,0,pushing
db4dbfa4-30a4-49f3-900c-5c103e856a84,1,1,1,1,0,kicking
9ba4d721-f065-46f5-80ec-6626305c4c5d,0,0,0,0,0,1
d334bf28-e790-46db-b290-c3f3c60906bf,1,1,1,1,0,loitering
7bf6ab3c-0935-41fb-80e7-0f48c1b124a5,1,1,1,1,0,pushing
21916381-1990-4847-804f-63b4cc92d1af,1,1,1,1,0,pocket_in
b45f1373-aa3f-432c-ae84-e4c197570f0f,0,1,1,1,0,talking
07516856-58c9-4a8d-b83d-782a3f4a1ceb,0,1,1,1,0,kicking
d3a58e4f-5d06-46a9-b66b-51ae8ac0acde,1,1,1,1,0,jumping
