query_id,ground_truth
56db79b9-cc19-445e-80c1-d36bb3a9ae58,fall
9fa96f49-a0ce-4540-b167-da453393efcd,setting_down
80ddd786-2669-4b40-8631-96294cbd8292,carrying
44e97da4-6012-453f-8fd8-af4a57be052d,setting_down
66212ab9-180a-4d94-9deb-c503942e2e10,sitting_down
4e9b0efd-882e-4c8c-9b90-bec21a73e078,kicking
cbf72f0c-97ab-41b5-b61e-60082500836d,loitering
ae3e2e55-ced6-48df-8c19-1f02589f7cab,pulling
bf677373-c388-4359-9e58-3d6d4cafb9d8,walking
8c6b0a11-9543-40ee-b288-ba0a3f3c166b,loitering
f5998182-c85c-48cd-acff-3fea143024dc,fall
bd39087d-a1e1-479d-9d47-17b80de45fc6,loitering
d1b3382f-9d11-4925-a9ed-2c626b914eb1,standing_up
c67194ed-bb44-4d02-8a59-3ae9eb71be94,transferring_object
20277958-4fc8-46a4-a54a-b76d64231a11,standing_up
9ee46cdc-5c82-4b92-86b0-e15989bd51c8,pocket_out
317104ce-fa0e-49fe-b019-632d9d7b62a7,jumping
0599c907-ec57-4342-ba38-1824ddc1a172,using_pc
83003bdf-e7be-46ae-b29c-0f79551973e4,standing_up
4f6ab2f2-8123-4beb-b394-d2036e8d8a5d,talking
e228b9f3-795c-45b3-9ab4-36f50fe34b55,standing
6b8c7683-a643-4cd0-bdd7-23058728b740,throwing
4eb85f04-56ed-40fd-bb48-2d58de6527b1,standing
4ab362e0-fb13-4eb9-9453-a97864b2be30,exiting
580632a0-a858-4e53-9930-c6bbd0b8d38b,entering
eac52aa1-b240-4cb2-8b58-4d822f2c0cf6,closing
f536bd46-6695-4aae-9b7a-22fe40e2214a,walking
cefe43d3-c47f-4fe6-a41e-e9ef5a0cf5ba,talking_on_phone
ef88b340-8f06-4fe9-9d8f-aa4b0a01241f,drinking
23f8eb03-eaab-40a9-81d7-a591bcebbaa2,carrying
5a1ac306-ae65-4b4f-a478-9c71adf35e5a,opening
1e25a06b-ee9a-4182-a775-9502fe5b434e,pulling
184eef64-7853-4d01-88ac-161716a8a0d2,closing
118802ca-73d8-4175-9685-6fdd939bfbc1,walking
b02d75c8-053c-4920-8065-16af01b45bd0,fall
c2d7fb82-f317-44cb-8767-6d939725ab15,closing
7a31d6d4-0f91-4704-bd12-afad73004ede,standing
db84b07c-1d5d-4cc7-977c-076d6d234483,picking_up
0007d1ae-8760-4a94-b8e2-c2e70bad0781,talking_on_phone
8020acb0-1bb1-4efd-88ac-681bd8d30a96,pocket_out
3af138ad-bb54-4712-918b-99ca66f15629,talking
6dc6f730-879b-4731-9315-a4d9494d0654,pulling
90cd9ebe-0a9a-4e68-bbae-fdc6357baa05,sitting
0190b5ad-2656-47cf-b985-96bafe03bb7b,talking_on_phone
c9953238-6250-48e7-b2b3-6af65c783650,setting_down
b42e9253-5d70-4e25-8b95-66bf21bee5d9,drinking
09a425b1-3230-4811-aff0-c8e3fbff83a2,pushing
3c268515-62f3-4a16-b632-515c8476715a,using_pc
24c7b9c7-4029-4c8f-9da2-01bdecb30b56,pocket_in
df2c95a5-989d-43f0-8e1f-cc47387308cf,using_phone
d1bba620-afb0-479a-909b-e779709a49d4,standing
6dd51529-5555-49e2-b8ce-bc236cc919f6,closing
aeffdd46-09f7-43a2-9c91-9e04a1e2b139,opening
c37aa866-d8a4-456d-830d-dd1bd64e8723,sitting_down
a8a71cf1-eff6-4973-bf0f-74aadff15fc0,kicking
e0bfba41-8b0f-4596-bd60-459f0b1adca0,carrying_heavy
e53271ef-952a-4fa7-977a-8e1455ec5f92,using_phone
4ea2add9-d0be-4aa3-9ebf-dc4994f559c6,Carrying_light
b2cc481d-8991-4be1-9e7f-e987757c3c13,using_pc
5a2cfaac-2bd7-4034-982d-83be35d7ba65,pointing
4dc67fc6-79d0-4cca-814e-6896412d2763,looking_around
b01e9011-78e6-40a0-a47c-bd769a4f8bd1,walking
2ec47426-d13e-467d-82fe-b7b2fea8a305,carrying_light
308295e1-3621-4dfb-b6a9-117a0a924732,using_phone
d9e388e3-51b6-4aad-967a-18519bf99dea,sitting
c8fe22aa-e87b-4f67-ac4e-fc71d70682d6,talking_on_phone
129ee0d1-518e-4e41-98e7-724cde94ec65,talking_on_phone
a80c6f9e-2cc9-4aec-a599-ea6b5d29416b,picking_up
ab79ffb2-92b8-420a-8647-2e8107942c21,walking
f550332b-a78e-40fe-bb9f-8ad78ca18231,sitting
61b8c616-1aae-4ce1-a8a8-c47bc0f17e97,drinking
423938ce-cce6-49d6-a022-7a3ef148f79c,pointing
fda66dc3-9260-419b-af9a-98d8bc75d038,drinking
bcfd2470-5935-4af5-95f7-122fa1d1224c,carrying_light
36767dc5-3792-4794-b2a7-be566d486f61,setting_down
3af27420-649f-4532-961d-d0c08accff20,running
086dcf31-785f-424d-abaf-5f8225fa3763,kicking
6b6c068c-3f97-404d-8f4f-8923cb69d4ab,jumping
