query_id,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,late_ratio,ground_truth
caa7b515-4395-41bd-b603-4e50670cbedf,0,0,0,0,0,31
1d36e9e7-63f6-4cc8-ba2d-0d6a3ff6aacd,1,1,1,1,0,sitting_down
10d33015-3129-4690-8209-ab4b3325eee8,1,1,1,1,0,entering
0a403c63-cde7-4ece-a10f-9844274ccd08,0,1,1,1,100,checking_time
44d8fa7f-0fd4-4d2c-909d-39a3ea3c304a,0,0,0,1,100,pushing
599cf605-50f7-4f22-b729-8b691f367a20,1,1,1,1,0,running
b7720930-0607-49f1-a65d-1fe9c6c446ef,1,1,1,1,0,setting_down
ca10afb4-515b-4140-894b-3d3c293f2292,0,1,1,1,100,sitting
c3c2ca67-d7a8-4c9a-8f67-023a1d980f94,1,1,1,1,0,Carrying_light
892ca361-f98e-4229-b90f-a78a3340d237,1,1,1,1,0,carrying
3b214991-1702-413e-94aa-88a003138944,1,1,1,1,0,pulling
b1ce6021-185b-4921-8e8b-4f8ee6460d7f,1,1,1,1,0,closing
3d01831b-a899-49d4-ac5d-cfd96da5aa77,0,1,1,1,0,standing
fc246b46-3a84-45b1-936e-5e98d93c0af9,1,1,1,1,0,pushing
e5b07da3-341c-4ad1-a9f5-7c36a256b8f0,1,1,1,1,0,exiting
f4409986-31a2-4cb8-a7c1-e6d36f65e830,1,1,1,1,0,checking_time
e7bda89b-9abc-4fce-b405-69cc63706885,1,1,1,1,0,using_pc
a1e1d5e3-7003-46fd-9dd9-45f96947b161,0,1,1,1,100,pointing
6267bc88-0cb2-45c9-a099-150df2a3d163,1,1,1,1,0,pocket_out
fbaf69ca-8600-4b4a-b309-b16ea5037fa9,0,0,0,1,100,fall
6242ba8a-7fd6-4891-9c81-c49afdd0b723,1,1,1,1,0,sitting
cea68374-c001-4641-88ed-10b84d40a1b8,1,1,1,1,0,pocket_out
1d4de3b1-f2b0-4fa9-b5dc-a12c27787834,1,1,1,1,0,carrying_light
2419614f-be9e-4efc-8765-97532482722b,1,1,1,1,0,using_pc
bf83059b-4f5e-4618-bb49-46f2e80c18c7,1,1,1,1,0,drinking
030c8463-fc36-4953-9ad1-da31b0830256,0,1,1,1,100,pocket_in
9cd65857-3ef7-493c-9b6d-8827ccb79d8f,1,1,1,1,0,transferring_object
7bac99f0-77b9-4296-8e88-51607fe16288,1,1,1,1,0,running
2d64bda4-77b0-4a6c-9af8-2b8409ff54c2,0,1,1,1,0,transferring_object
e027758c-be96-4499-af56-863125e39cef,1,1,1,1,0,walking
4e4cc1ed-3c24-490f-b5ef-9146c51321e9,1,1,1,1,0,pocket_in
e0617153-433f-47be-97a1-e74633da85c7,1,1,1,1,0,looking_around
6c0a9a8b-d7f3-49c0-b7cc-e97978119642,0,0,0,1,100,standing_up
aebadf18-6ec2-4467-80ce-607979089ae6,1,1,1,1,0,fall
aaefb9ad-fd49-45bb-9194-e987679161a2,0,1,1,1,100,fall
f02bc617-2bb1-4256-bb28-ff7dfa59e6da,1,1,1,1,0,fall
dd59c58d-b331-4ba7-b3c4-4c2850f2ce30,0,1,1,1,0,standing_up
9e8bef7e-481e-4b45-835e-7f24a716d837,0,0,1,1,0,crouching
db5af195-2e1c-4745-8160-690fc43bf62b,0,1,1,1,0,checking_time
dd1c364b-416d-4e2d-83a8-5eccb6fe3d5f,1,1,1,1,0,standing
520448d6-040d-43cd-988c-7cb35b1a2024,0,1,1,1,0,checking_time
7792560b-c6a3-4dc5-b217-825ee02d9e7b,1,1,1,1,0,looking_around
b09831dd-da67-4695-b399-886f0eb4c3f3,1,1,1,1,0,drinking
07161bbc-cf74-4581-945e-9e9789663c62,1,1,1,1,0,exiting
3f13c738-2698-4a7d-906b-94f6f453ac68,1,1,1,1,0,loitering
e47f926f-69ad-425d-bd30-d78f3318531c,1,1,1,1,100,carrying
7bb88445-35e0-40e4-9c1d-cda1467fd874,1,1,1,1,100,using_pc
2761cb0b-8494-481d-8aa0-13e8973c3618,0,0,0,1,0,walking
2b077fa9-47db-4ea1-b734-8ed50840df50,0,0,1,1,0,setting_down
f10e3a81-4632-4442-96ad-6413aec0d7f3,1,1,1,1,0,drinking
b1e214fd-f59b-4965-9fd9-7ab8b6d38604,1,1,1,1,0,using_phone
68981c28-cb5f-4857-a73f-4d0472ac0ae6,1,1,1,1,0,throwing
b25a27d0-92dd-4d5b-938f-21e12abba594,1,1,1,1,0,waving_hand
3ffae14f-d32b-4efe-b414-9dfe8ecb537c,1,1,1,1,0,looking_around
ca078380-e185-44bb-b481-37d15557945e,0,0,1,1,0,transferring_object
c0d0e96e-2c05-4055-9d66-49838dc26567,1,1,1,1,0,drinking
a7a639ae-106c-480b-a38e-9846de0729f5,1,1,1,1,0,setting_down
36e2e964-f931-4c84-a1f2-ead40264c5ce,1,1,1,1,0,talking_on_phone
f8e81b8f-a562-4d9d-921e-6385b3d2fc29,1,1,1,1,0,loitering
b2c43199-25d5-49b2-bdbe-d28afb2e9881,0,1,1,1,0,sitting
7147f6b3-5da7-4302-a86d-991e05671f31,1,1,1,1,0,walking
efd967cf-8405-4e95-98f3-29e7238256af,1,1,1,1,0,standing_up
406d7dcf-d63a-4740-8c0b-6e01dbe1ab21,1,1,1,1,0,using_phone
75eec8fa-59e7-4748-bd38-b9ab46b17249,0,1,1,1,0,running
273b4799-578c-4adc-8359-78c7d5fc7d86,1,1,1,1,0,sitting_down
1d77c84f-6b80-4cb5-a628-3a524c766122,1,1,1,1,0,jumping
ffdca55a-5fb7-4e5c-85e4-059d0293c3b9,0,0,0,1,0,using_pc
5e0ac0b1-bab0-488e-af5d-c211a87c9322,0,0,0,1,0,exiting
8171799a-640c-406f-b28c-4546402c3f65,1,1,1,1,0,talking
501a755a-c0f1-408b-8873-421655474d6e,1,1,1,1,0,entering
3d87076d-93ee-4197-bcc0-0fd344c70b39,0,0,0,0,100,33
ff780f66-32bd-40dd-aa4a-ce81bde08bbc,0,0,0,0,0,10
6a50c52b-828e-47cf-adfd-d5a13ea7c640,1,1,1,1,0,fall
b8df0665-ddaa-421a-8cf4-50f8d3649718,1,1,1,1,0,using_pc
4bf55cdb-77c6-4f42-b50c-3932c0a1f8fb,0,1,1,1,0,waving_hand
19722ced-f5a7-4c2b-a202-4bf1eb4f90f3,0,0,0,1,100,looking_around
1d0441d4-675d-4fc8-8b08-908cb640e1d7,1,1,1,1,0,throwing
a9a7f9de-af81-41b3-b353-0381360fc1cd,1,1,1,1,0,carrying
a7fd0e7d-7ad4-4389-b122-86dd2bec9efa,1,1,1,1,100,standing
6847c8d2-72a7-4705-a927-7ece530ccc5b,1,1,1,1,0,kicking
a80b90dd-211d-49ca-91d8-92a96bdbbc6a,1,1,1,1,0,crouching
ffcb6097-7b23-4411-bd15-6cd0f449bf5b,0,0,0,1,100,waving_hand
76483b79-53e1-4afc-be83-90ce3f745f7b,0,0,0,0,0,12
234c4409-885c-49b2-8a82-58fbf1843d19,1,1,1,1,100,Carrying_light
4db866ce-8368-4450-9134-7bf27076ee2a,1,1,1,1,0,carrying_heavy
bd56ee21-e849-46ee-954f-e457c5ff447d,1,1,1,1,0,drinking
5e4291ed-6926-4cdb-9245-869f0664798a,1,1,1,1,0,carrying_light
5adfec84-44db-4de9-9d1e-f9aed63a99c0,0,0,1,1,100,talking
d4813ac9-b888-41ee-bd66-d613f73e2ec3,0,1,1,1,0,carrying_heavy
