query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
6cc05a9c-8ff7-485c-924c-7bb827ceddea,1761596753.086176,0.4188555643578304,False,4,"['orientation', 'acc_watch', 'acc_phone', 'video']","['ff710ee3-304d-4b59-9378-563094f059f0', '89729ae1-4bed-451f-85ea-d856b0368547', 'f2e3e4c1-c5d0-4f9a-aef8-452444d59d32', '06ae8b7d-ba5e-44ef-9cf2-57627bd4e6c9']","['5bcbc2dd-deab-49fb-b729-e44c09fa7cba', '0bac1051-fbfb-4f10-b398-39b3bb4daad0', '0d46fe83-c56c-4e61-9edc-9dc5b281d1ac', '00815767-3e7f-47bb-be92-f9258015aca9', '0dfd2c7e-3536-46ef-af82-531e03c455f4', '53d5ddbd-69f5-411b-860c-188deb21834f', '006f27e7-b33d-43b0-94ab-ceb199720809', '2967d01f-dd2c-41e8-b289-8d0d606510f5', '3c2f07d2-5187-46c4-98ca-5a45a638a013', '65613187-4bfe-4917-9933-16fc364fab39', '21eccd28-dafa-4c29-93a6-a7aa444f9cea', '9e34e756-265d-4150-be69-49425274ef7a']","{'kicking': 0.14056762325136457, 'pulling': 0.08398930002484555, 'exiting': 0.08172610410544144, 'sitting_down': 0.06677723904807328, 'crouching': 0.062189496085999774, 'talking': 0.060768312601395265, 'closing': 0.06003913833379753, 'Carrying_light': 0.05531609195402299, 'using_pc': 0.04571481928560647, 'talking_on_phone': 0.03474378633953102, 'standing': 0.027443993584768563, 'pocket_out': 0.020124753895585854, 'loitering': 0.018957393483709273, 'pushing': 0.01804388533576667, 'setting_down': 0.017298820881374282, 'pocket_in': 0.01701251124127297, 'standing_up': 0.014259755399189616, 'sitting': 0.014085862604614363, 'carrying_heavy': 0.01316158580023763, 'carrying_light': 0.012999968821976274, 'carrying': 0.011850757154769105, 'looking_around': 0.011472126980906308, 'opening': 0.011398012492367908, 'waving_hand': 0.01139182559614948, 'throwing': 0.011175915669432821, 'drinking': 0.009728948627800257, 'running': 0.009602531615319421, 'walking': 0.009598845420493779, 'picking_up': 0.00937806772289531, 'jumping': 0.008378865376937309, 'fall': 0.007995812758092927, 'pointing': 0.00563976438336363, 'entering': 0.0055565839812415155, 'transferring_object': 0.0047545568931510575, 'checking_time': 0.004262909526067421, 'using_phone': 0.0025940337224383916}",True
53b172fc-5a44-4c78-aa16-03b8665f9634,1761596753.1573594,0.1566774583250863,False,5,"['acc_watch', 'orientation', 'gyro', 'video']","['adaf2e75-da68-44d0-8a3b-6ca8b4723d50', 'f5d11a1c-b567-451c-aa50-03298b4fbbfd', '942d17a1-4ab8-4b50-b658-f90e948c9ad6', '39af3848-22f8-4ec5-b854-0179b75546c7']","['320f33b0-655a-4582-8d1d-07cf848a9c5e', '31e5686a-5073-46fe-8f2b-f62f771b4ba6', '9cf5cbc7-7c44-405e-b87c-d9626442fc04', 'd4e7ed40-90a6-419c-8c15-5940301fbcd0', '29ff86e2-1382-426d-936c-ac845406daec', 'f714c8d4-1a3e-412c-af34-b4dd8f659ef4', 'e8ba381a-003d-4531-b1af-3364cdb8f73d', 'ac79944e-a1e1-47a8-9781-8b4944d225da', 'a0ead3c1-b2bf-45c3-aa22-77167d8d6b36', 'dc5b80d5-8064-46cb-abc4-e4c9f6347853', 'd933d204-e5fb-4301-ab82-1fbd86932ea9', '0cd250f3-9d38-4336-af74-cbaed1a53efe']","{'sitting_down': 0.18599193768927869, 'pulling': 0.07846085907877483, 'walking': 0.06881565724900153, 'transferring_object': 0.06863142496897102, 'using_pc': 0.06835931318425438, 'picking_up': 0.06277892968512434, 'sitting': 0.06157299286872097, 'closing': 0.05204098139912016, 'looking_around': 0.036574484419027505, 'waving_hand': 0.035531097129327616, 'exiting': 0.02643083856226866, 'talking_on_phone': 0.02061584277307271, 'drinking': 0.01814991070889095, 'talking': 0.018148902120158964, 'standing_up': 0.014396933142307883, 'using_phone': 0.013770988749363616, 'carrying_light': 0.013617776707014376, 'opening': 0.013433953628808795, 'jumping': 0.01320954422417671, 'carrying_heavy': 0.013082754516305778, 'running': 0.01060486512578006, 'pocket_in': 0.009669035539915868, 'pushing': 0.009592461095348219, 'crouching': 0.009280585721265396, 'loitering': 0.008818871442371708, 'fall': 0.008151669608625766, 'checking_time': 0.007957533655167, 'setting_down': 0.007915627386200079, 'pointing': 0.007864935178505061, 'standing': 0.007637261696533667, 'throwing': 0.006501008102209685, 'Carrying_light': 0.005955446664259609, 'carrying': 0.005721009628046774, 'pocket_out': 0.005708773310596621, 'entering': 0.004420997719567526, 'kicking': 0.0005847953216374269}",True
e0c58e25-527d-4c64-ac53-8e73e6a75375,1761596753.248406,0.0946962081582131,False,9,"['orientation', 'gyro']","['b8c031dc-b675-4d14-b468-9ab87be91208', '0dc3b32c-bfda-4bc0-9700-e94936d454f9']","['dbe408c4-223b-4cfc-92d9-461d10110aed', 'c5ca20ff-bab6-41eb-85b2-d928a81ab618', 'fdabfe53-8354-4ed0-b381-641943d7db86', 'b959f99a-d5bc-49a4-bb4c-f407249e1b2d', '1b852a6f-d906-44de-a483-22f6344f9305', '62827302-5daa-45ba-b663-7ed9417558d5']","{'carrying_heavy': 0.2851985275585176, 'waving_hand': 0.1430415410011046, 'talking': 0.10799584631360332, 'running': 0.09727434941573937, 'sitting_down': 0.06923404157468727, 'pushing': 0.045950155763239874, 'checking_time': 0.02284934504204242, 'fall': 0.02185599261789149, 'loitering': 0.021750212404418007, 'closing': 0.020946910695742473, 'transferring_object': 0.020836436774378932, 'entering': 0.01577446651949963, 'throwing': 0.012738609168368714, 'exiting': 0.012461059190031152, 'pulling': 0.009353907061266875, 'setting_down': 0.009345794392523364, 'standing': 0.008759279882264577, 'sitting': 0.008493964174454829, 'opening': 0.008339040703042639, 'picking_up': 0.007258010569268847, 'pocket_out': 0.007155668837911828, 'carrying_light': 0.006640106241699867, 'talking_on_phone': 0.006622516556291391, 'drinking': 0.0065656565656565654, 'using_phone': 0.005976095617529881, 'looking_around': 0.005907312276068852, 'using_pc': 0.0038532737735924986, 'kicking': 0.003472222222222222, 'walking': 0.002221643022923881, 'carrying': 0.0016088032644324035, 'pocket_in': 0.0005192107995846313}",True
416b2e9e-1f5c-4027-bbb4-7a6fe8effcf2,1761596753.3306246,0.3903628215040029,False,1,"['gyro', 'video', 'acc_watch']","['8b1d326c-19b8-41f9-a228-c9b232223b2a', '7f3d0863-94b3-43ba-9cad-69eda34bf157', '8d2df1b4-f2b4-4e82-b568-befa2bc1b077']","['9448f9b7-3572-40da-bd41-37e5db0fbafd', '222a5f2b-7a49-4a2a-9dce-d364d479b9d1', '70c6dab2-db5a-480f-a465-934ceed53470', 'b635e3a7-71c2-420f-9bde-1edd5866be38', 'a0f89192-ab3f-4935-83af-12ca7867e282', '52505eb8-59ec-4efd-b088-086064a6ca9b', 'd400c4a1-957a-429e-8331-ee6248afea27', '66a93d6f-e1fc-4c42-b340-bf93b2ae66e6', 'cfc5fa03-f6c2-49c2-b09b-e09f1e717136']","{'setting_down': 0.2899016213253821, 'transferring_object': 0.09079922985539307, 'exiting': 0.08549919929748145, 'standing_up': 0.06833614831255025, 'waving_hand': 0.06314121621240408, 'pulling': 0.06213098642286138, 'checking_time': 0.05108217433482604, 'sitting': 0.0496148659725648, 'pushing': 0.02206483067351603, 'standing': 0.020506453086407493, 'loitering': 0.01755755697078674, 'using_phone': 0.017172837756124257, 'carrying': 0.015104624142692057, 'entering': 0.014100306581923565, 'closing': 0.013509240308238763, 'crouching': 0.013386645404374405, 'drinking': 0.011224866835969398, 'using_pc': 0.009977285662316275, 'pointing': 0.009654811459007047, 'Carrying_light': 0.009025609511683021, 'carrying_light': 0.008625498216284118, 'sitting_down': 0.008098537899426496, 'jumping': 0.00754506201545762, 'walking': 0.007509829186903228, 'running': 0.004045878424459108, 'fall': 0.003898635477582846, 'looking_around': 0.0034900225432078153, 'pocket_in': 0.0034720082177709297, 'talking': 0.0034129692832764505, 'kicking': 0.0033898305084745766, 'pocket_out': 0.00308697416655024, 'carrying_heavy': 0.0029239766081871343, 'opening': 0.0028282828282828283, 'throwing': 0.0023753931605345704, 'picking_up': 0.0015065913370998117}",True
b319c6fe-22ea-48c2-8673-82d203e2641e,1761596753.4234016,0.1765511707368064,False,10,"['acc_phone', 'gyro', 'orientation', 'acc_watch']","['909573e5-c9bd-470f-98bb-0edc60088f83', '5a91f9c5-3a1b-4ee2-8133-199f7b57f57a', '8cfd79b4-b6b9-4c65-85c6-bcf110789599', '4169fa2d-a496-4d24-b960-a00f4dc02866']","['9c4ff544-50d9-4f1a-b6a0-4f8530fc893c', '99ab993b-7040-4dcc-a410-a792df700cde', '504456d3-8438-4b12-b2b4-b4746877a66f', 'b40994b9-de6b-4188-a6ec-a9773f69a8b0', '72934c87-21f8-434b-9d46-40d5e543ef5e', '633b0956-0760-4025-9d27-4465702bcdf4', '73f77ac5-330c-43e5-b8b0-a1234e352aff', '8adab81d-e2cc-49be-97bc-ee751cdfdf18', 'f9fa9b1d-1002-44a8-b04c-045d99163f7f', 'a541d7d7-78ce-40cf-a10f-7fb6165e5ae7', 'e30253be-fce5-4c0f-a965-5bd2a8108765', 'a382da7f-c818-46d1-b628-b2d3f14f6421']","{'walking': 0.32455265146848644, 'exiting': 0.07360731488338534, 'throwing': 0.06819414688199431, 'loitering': 0.06455780223682446, 'closing': 0.06412490994777666, 'sitting': 0.06366373870496238, 'jumping': 0.03458588850208783, 'standing': 0.03222936905429278, 'carrying_light': 0.022005226436224157, 'Carrying_light': 0.02077405510504102, 'carrying_heavy': 0.017050629949338675, 'picking_up': 0.014216475882348626, 'drinking': 0.013993539429579191, 'setting_down': 0.012366629730598674, 'running': 0.012057154970933438, 'looking_around': 0.011344660530603713, 'pocket_out': 0.010268106719320574, 'kicking': 0.009924865152665654, 'crouching': 0.009865986598659867, 'talking_on_phone': 0.009437928897062417, 'carrying': 0.009389469550147307, 'opening': 0.00937239786010815, 'using_pc': 0.00907827167419032, 'entering': 0.009012257277881582, 'talking': 0.007894419351125928, 'checking_time': 0.00786361276893289, 'sitting_down': 0.007788073760563179, 'waving_hand': 0.007166272182773833, 'using_phone': 0.007144194739640442, 'pushing': 0.007062539762077946, 'pulling': 0.006060606060606061, 'fall': 0.006010184351768511, 'standing_up': 0.005149416442221367, 'transferring_object': 0.005081556779922843, 'pointing': 0.00385719944543474, 'pocket_in': 0.003248446910418741}",True
6195ab6b-c141-48c9-9188-436c087a91c5,1761596753.5037065,0.6565729431188645,False,9,"['video', 'acc_watch']","['fdecdd69-1933-4a83-8f91-a31ef2f2f693', '4496df89-9602-477c-874e-725462e6f377']","['92dd3f95-4331-43b5-be99-4ea9ceda4cf2', 'bbb3d352-775b-462f-b51a-0552c532b293', '833c1d0c-58d6-43c8-bc36-b7e5b1da9662', 'c838db83-fd84-458e-931e-37369804a6ec', 'e1b29a15-9220-43ff-86b2-661b9758d9ec', '2e65b86f-e9bb-46c1-91cc-ac42b2bb5765']","{'transferring_object': 0.22507640358732225, 'pocket_out': 0.20172157395403637, 'carrying': 0.12235948452348398, 'opening': 0.09027777777777778, 'loitering': 0.03033339218455744, 'carrying_light': 0.030060693917601813, 'closing': 0.023970516569200778, 'throwing': 0.02392714528098168, 'Carrying_light': 0.021688962532447703, 'standing_up': 0.017882705896686158, 'sitting_down': 0.0174673917756963, 'standing': 0.016994852582846002, 'using_pc': 0.016806279964174702, 'sitting': 0.016155853947167505, 'kicking': 0.015594541910331383, 'picking_up': 0.014787155576629261, 'entering': 0.01368184602818052, 'running': 0.013265384028095892, 'waving_hand': 0.013108179540194677, 'drinking': 0.012499999999999999, 'using_phone': 0.010040160642570281, 'carrying_heavy': 0.009722222222222222, 'exiting': 0.006940040865215247, 'crouching': 0.006756756756756757, 'walking': 0.006024096385542168, 'looking_around': 0.005630630630630631, 'checking_time': 0.005555555555555556, 'pocket_in': 0.004166666666666667, 'setting_down': 0.003840638837990533, 'pointing': 0.0020080321285140565, 'talking_on_phone': 0.0010040160642570282, 'fall': 0.0006510416666666666}",True
9751368d-a08d-4abc-8e3e-9a289808ac9c,1761596753.568766,0.0540187375324974,False,3,['gyro'],['93269ef3-5713-4b97-a7bb-ba64765b37cc'],"['91221f86-48b3-47e4-a11b-33a3b463566c', 'ef4b5a17-f8f6-443e-8562-b2287a173775', 'fcfc837b-1c60-4e9b-94ed-d9b4c7f094a3']","{'walking': 0.27134986225895313, 'carrying': 0.19444444444444445, 'carrying_heavy': 0.14352025303540455, 'fall': 0.03311111111111111, 'standing_up': 0.032, 'checking_time': 0.030172839506172836, 'standing': 0.029333333333333333, 'pocket_in': 0.028044077134986228, 'setting_down': 0.02474237322722171, 'pulling': 0.024691358024691357, 'closing': 0.0242716049382716, 'pocket_out': 0.021333333333333333, 'sitting': 0.020278543005815733, 'using_pc': 0.018666666666666668, 'exiting': 0.018518518518518517, 'waving_hand': 0.016, 'looking_around': 0.013333333333333334, 'pointing': 0.010666666666666666, 'running': 0.009641873278236915, 'opening': 0.008264462809917356, 'Carrying_light': 0.008, 'picking_up': 0.006887052341597796, 'loitering': 0.005509641873278237, 'jumping': 0.004132231404958678, 'pushing': 0.0030864197530864196}",True
153ac434-bab6-472a-9e72-7001cc97e478,1761596753.6423464,0.4886195339231253,False,6,"['acc_phone', 'gyro', 'video', 'orientation', 'acc_watch']","['bf0fa1c4-8d35-4d4a-a547-276883822362', '696a81c1-9f36-4c36-87f3-3cdd0afbaffd', '0c12351d-41de-4581-8924-a6c4797ece89', 'ec6404bd-f37a-430d-829f-60a951456473', '58ce44a8-d8b3-405e-89c2-25979247605c']","['87d7293e-cfae-4d5c-99cd-f4eb3490f09a', 'c47c621f-4eac-433a-a20e-ee6a52faa28f', 'ec42df49-68c4-44eb-8191-bc24191643fd', '617ece63-c898-4a02-be08-4f7defbd8bf7', '6164b707-9099-47ad-9cc5-629a3f35bdb5', 'e3a7de97-02b9-44a8-bca2-3f4056ddeb01', '213b00e2-4ae8-469d-a8ee-8ba81cffe586', '1d92372c-3ad2-4073-ae78-4352b82148d0', '6797c77b-d77b-4cf4-b47a-8471ebb8293d', 'aaa0ecee-8abb-4a2c-a658-2c55f88e83ff', '7e800687-b299-455a-90fe-1f0ea930948e', '44e4f795-7d22-4e1c-9581-bc9498163318', 'de15b7e1-76f1-4724-a136-a4d0d216788e', 'e9ac165e-82d6-4480-88fb-ca9369420e32', '256e4f08-297b-4a48-9b30-c6b8608b7b3a']","{'using_pc': 0.3225899642809619, 'waving_hand': 0.09936214609477877, 'pulling': 0.07337741658060302, 'talking_on_phone': 0.06797563927657646, 'kicking': 0.05944667068787412, 'carrying_light': 0.03618822003563004, 'picking_up': 0.03385911483123539, 'entering': 0.031950907276584714, 'Carrying_light': 0.02975085305794351, 'standing': 0.028464473680134418, 'sitting_down': 0.02644311749028739, 'talking': 0.017037607045395, 'carrying': 0.013232281211829322, 'closing': 0.012592196148235835, 'exiting': 0.010825902718318264, 'pocket_out': 0.01057680789162103, 'walking': 0.010398680262540936, 'crouching': 0.009081880281656188, 'throwing': 0.008589341793795228, 'jumping': 0.008588847696035502, 'pointing': 0.007688300147177016, 'drinking': 0.007333184826041933, 'sitting': 0.00728521230362674, 'looking_around': 0.00709133263715961, 'pushing': 0.00684130902579608, 'carrying_heavy': 0.006532574390485218, 'fall': 0.006508691915849103, 'using_phone': 0.0059724128565918485, 'standing_up': 0.005788385950741699, 'transferring_object': 0.004975468975468976, 'loitering': 0.004546187475732175, 'checking_time': 0.004435606164547781, 'running': 0.004180844672239475, 'setting_down': 0.0039013090355902364, 'pocket_in': 0.003713315409632095, 'opening': 0.002873795871282896}",True
34b80504-b086-4f13-acc4-b34595faaa0c,1761596753.7396617,0.0166355728583221,False,8,['acc_watch'],['66095a5d-d6cd-4f70-ba33-8127dfbff740'],"['6d573143-08cf-40ef-beca-c0595ccc7017', 'c15abdfc-12a7-4cb6-941c-27550638e11d', '50f981d1-b98e-43be-a55c-32acb514efe3']","{'opening': 0.24853951890034365, 'looking_around': 0.20239117983963342, 'drinking': 0.19441841091325626, 'closing': 0.041168006210180526, 'throwing': 0.03744225289445533, 'Carrying_light': 0.03451561065197429, 'sitting': 0.026245704467353952, 'pulling': 0.023865648045591815, 'using_pc': 0.023401777853511687, 'entering': 0.018055555555555557, 'talking_on_phone': 0.016666666666666666, 'carrying_heavy': 0.015277777777777777, 'exiting': 0.013888888888888888, 'pocket_out': 0.013774104683195593, 'setting_down': 0.01145475372279496, 'sitting_down': 0.011019283746556474, 'using_phone': 0.010309278350515464, 'waving_hand': 0.009163802978235968, 'walking': 0.008333333333333333, 'picking_up': 0.008264462809917356, 'standing_up': 0.006944444444444444, 'standing': 0.005555555555555556, 'carrying_light': 0.005509641873278237, 'running': 0.003923253150057274, 'pushing': 0.003436426116838488, 'checking_time': 0.0027548209366391185, 'jumping': 0.002290950744558992, 'crouching': 0.001388888888888889}",True
722e75fd-4926-4b0e-8c85-2344a1f73d7c,1761596753.846324,0.0015299205151147,True,2,"['orientation', 'acc_watch', 'gyro']","['14af7b6a-7e6a-44cc-9c51-3eb2a7fc1f70', '4ef986d8-ef0b-4d95-8682-86523767a851', '251181ac-4ab0-4f2a-b5ac-b7db9a5b1c18']","['13634132-d1f0-420d-ac6b-2abf5b5e19f2', 'caf3ad86-03af-4e94-befe-d7d9b68ec4c0', '47c305c0-c037-4315-b435-53e3ba720f3a', '835f3cf5-0483-4dd8-9b83-9d2518d23988', '2155b13c-a9c4-4832-bb92-3127cb97c076', 'bbdaad92-37b6-4339-a827-db49b4957878', '5385875d-7642-444a-8305-f7be486f728d', 'd4fdbdf7-67d0-4f61-a82b-d2160140ede0', 'b1cd0d70-2fe5-4c8d-8e64-dad2861acb58']","{'drinking': 0.11542449650172634, 'transferring_object': 0.08741036431019583, 'pulling': 0.07012316839315738, 'waving_hand': 0.06960280329379041, 'checking_time': 0.06479167365616703, 'picking_up': 0.06347621542114654, 'setting_down': 0.0587909986879418, 'closing': 0.057364547400572424, 'pointing': 0.047210300429184546, 'exiting': 0.045087855606385605, 'carrying_heavy': 0.0352112464431305, 'standing': 0.03516559657619401, 'talking': 0.03147725672440501, 'crouching': 0.02991780915353659, 'looking_around': 0.02718114819508989, 'loitering': 0.01750914385142573, 'carrying_light': 0.013964700634246655, 'talking_on_phone': 0.013303054513910088, 'opening': 0.011689875879562805, 'pocket_in': 0.009947124807759847, 'fall': 0.009379993608181527, 'running': 0.00932900128083905, 'standing_up': 0.008840425252131835, 'Carrying_light': 0.008274953869832208, 'jumping': 0.007279963414784877, 'sitting_down': 0.006861351439319967, 'kicking': 0.006584151620183269, 'walking': 0.00627561262920379, 'pushing': 0.006049382716049383, 'carrying': 0.005722460658082976, 'entering': 0.005555555555555556, 'using_pc': 0.005539300882883845, 'pocket_out': 0.003602204689161211, 'using_phone': 0.003507078507078507, 'throwing': 0.001430615164520744, 'sitting': 0.0011185682326621924}",True
