query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
5468f71a-c259-4ace-b2cd-8cf62807d9b8,1761648745.0614994,0.3040995761751472,False,6,"['acc_phone', 'video', 'gyro', 'acc_watch']","['04af51d9-d7b7-41e6-b5a1-6c8252e064b6', 'fd70c0b8-3594-461f-b7c6-178ebf006cff', '52ab14c1-e02c-4411-93bb-a6aaa3dc0cdd', '070657ca-2705-4f72-b2fc-a620521efdfc']","['9b1dbc62-26f0-4df7-a7c0-67e89ffca1ef', 'c61fdafe-9f4d-430a-9b52-7ddd7e4ec20d', '412220e4-6285-49d8-ab02-d1aa2d6d03da', '9c6f04fc-f2bc-4313-af06-9952c52e4f28', '49b27198-717a-497d-93b4-dd531bd756d2', '85546f4d-44cc-4b34-b6e2-8d316d1b522b', '24a78f23-7788-442f-812f-b2e816c95d81', '4c675cbd-68f1-4e2e-be07-f563ff8aa492', '6a26a973-4f4e-48b9-931a-7ef1b8bc7f7f', '11b6125a-1909-41d4-ba52-c1605d0489f3', 'd0da16d4-56b0-462f-bc94-fa772ce70bfb', 'b34f118f-7ed2-42de-acb0-7ce05b01ae76']","{'running': 0.17621286967794872, 'carrying_light': 0.06550772445455771, 'pointing': 0.06434066440285345, 'transferring_object': 0.06198965862511343, 'pushing': 0.06172954281105603, 'jumping': 0.06132770872315312, 'pulling': 0.058132700916779266, 'crouching': 0.052739067970330976, 'Carrying_light': 0.03990118850193477, 'standing_up': 0.02705317906414352, 'closing': 0.025689359742249656, 'using_phone': 0.025676313067044765, 'exiting': 0.023114410294390986, 'pocket_in': 0.021304190214943054, 'waving_hand': 0.01884899836943862, 'walking': 0.01753629686275162, 'sitting_down': 0.017339410400435063, 'loitering': 0.015812742573826036, 'talking': 0.01521404372326877, 'opening': 0.01463824433785947, 'talking_on_phone': 0.014517714497474611, 'standing': 0.013324159890155415, 'drinking': 0.012595046582308736, 'using_pc': 0.01157709773281245, 'carrying': 0.010410295841517392, 'fall': 0.009805426744154922, 'checking_time': 0.009614904662074474, 'sitting': 0.008838427033282139, 'looking_around': 0.007334905660377359, 'throwing': 0.007317280771941431, 'carrying_heavy': 0.007179711157698578, 'picking_up': 0.006785935384398864, 'kicking': 0.005880074765135929, 'entering': 0.00475093373019848, 'setting_down': 0.0036619572967090696, 'pocket_out': 0.00229781351568106}",True
a6030405-5ea8-4657-9dff-f65edcb7c165,1761648745.1417978,0.034948684547753,False,1,"['gyro', 'acc_phone']","['eeb5b8e1-38a9-4eff-b93f-4a5ad828f210', '61e32e2d-2df6-4407-9e77-1d5812bc1972']","['17327049-2304-4f2a-87c2-ce14111be60c', '5f9aa8f8-09f4-4932-9e52-52df93319bf5', '5bec3780-fe3d-4b9b-90a9-2df20940b8d9', '67143765-b5e9-40aa-a105-a23fd99f3d88', '6ae97098-02c7-4afb-8f49-a0ab38c05c36', '4718f42b-c87c-4551-a71a-3b1d54af5fdd']","{'pointing': 0.23403284899427443, 'running': 0.13023784295153254, 'fall': 0.09263507770714796, 'transferring_object': 0.059495525461313065, 'checking_time': 0.05176767676767677, 'sitting': 0.04084884450266901, 'Carrying_light': 0.03419524598405987, 'sitting_down': 0.03288839499046764, 'carrying': 0.02389720440326285, 'looking_around': 0.022785102937774693, 'pocket_out': 0.021413609429138628, 'carrying_light': 0.02043240674744595, 'using_phone': 0.019919436704896435, 'crouching': 0.01964634730980566, 'pocket_in': 0.018390425999121652, 'exiting': 0.016800071759927915, 'pushing': 0.01554563207498527, 'drinking': 0.013965995836224843, 'setting_down': 0.013373343898241684, 'waving_hand': 0.013180575874074327, 'carrying_heavy': 0.012925413080211843, 'opening': 0.011586938360393739, 'kicking': 0.01092896174863388, 'jumping': 0.010101010101010102, 'entering': 0.008838383838383838, 'loitering': 0.008583176605081682, 'talking': 0.00833889671883886, 'standing': 0.007575757575757576, 'walking': 0.007537783853573327, 'throwing': 0.007246376811594203, 'standing_up': 0.006787330316742082, 'using_pc': 0.004098360655737705}",True
1caf6951-4646-4ab8-94ef-ab65bf1abef4,1761648745.2092974,0.5024169748145092,False,6,"['orientation', 'acc_phone', 'acc_watch', 'gyro', 'video']","['6b461758-3d70-43ea-a890-2b523c153cf4', 'c44c1f02-7b2a-450d-bdb9-20556ca74d87', 'c97d0b26-2c6d-4ea5-9dd6-6857a2cc9129', '8a42840d-d4dd-42d1-9497-b00c5579d79d', '11efae13-abd7-49eb-8352-bb168ddde518']","['a841b537-a593-4a8a-abad-e9bd2968748c', '3deecd2f-7285-47a3-a72e-d977a421c28f', '1d07f1cf-b615-4730-8e6b-ca3cee8ae3a2', '35aa714a-209c-4e75-9d73-b0ba68cc5f28', 'c835eb7f-b50e-46f3-bb16-6eaeca4cfbdb', '18a65e42-a429-4d4a-9a68-74521963635a', 'c7fbf7c6-3bf6-456f-8e9e-018987214878', 'b88244de-2ab1-4005-9934-5dd4592296bb', 'dff2c6bc-5aed-40f8-b9b9-e0ad9bbd0ce0', '0c29da8d-d50a-4608-85ef-f191a15fa2c3', '9aa981b4-e4e9-455e-8b70-cc2d7c59f903', 'f42c4ac4-b147-45cf-900f-3fe1d8b9873a', '6be4b3a6-9db6-4dce-9509-f3e65760bc9f', '7aa390c7-55de-4a6c-9880-8473a8379576', '8aff3c48-409d-4d68-933f-ee2f40ca211f']","{'carrying_heavy': 0.15184189546063287, 'pointing': 0.0888982928027049, 'closing': 0.06865749938336278, 'pocket_in': 0.06682225360762294, 'drinking': 0.0594079794374988, 'exiting': 0.05783907638593997, 'fall': 0.045899903737382106, 'checking_time': 0.04146255004627589, 'sitting': 0.03892607061945987, 'using_pc': 0.037104763321718234, 'kicking': 0.032720756391548055, 'talking': 0.03186635294099895, 'standing_up': 0.029535061426581247, 'pushing': 0.02504527296583891, 'standing': 0.0242258003888987, 'jumping': 0.022781581292819566, 'talking_on_phone': 0.020853083352850747, 'sitting_down': 0.01980398918500655, 'throwing': 0.01848582108879853, 'carrying': 0.013388632479386682, 'pulling': 0.01285062261206105, 'crouching': 0.011369808531544396, 'Carrying_light': 0.010665034761362279, 'running': 0.009755790517299748, 'carrying_light': 0.009091686716316426, 'loitering': 0.007687961277729219, 'setting_down': 0.007432594934833222, 'opening': 0.006300386799014526, 'walking': 0.005815812971017845, 'looking_around': 0.005567909047798422, 'pocket_out': 0.004920515876597073, 'picking_up': 0.004009730727287979, 'using_phone': 0.003822301888445386, 'transferring_object': 0.0022155048043252935, 'entering': 0.0018778334526366022, 'waving_hand': 0.0010498687664041995}",True
48b0cc82-cb32-4399-88dd-e8dad8747e7a,1761648745.2967875,0.0785169292867714,False,6,"['gyro', 'acc_phone']","['b4b78da7-4bdd-44de-95ed-ec00e15ed14c', '9ab664c5-d01d-4556-a23f-e9167bbb5f86']","['a2f2e95a-aad8-40e1-9c1d-18b9fad3bb61', '2b125288-2034-495e-9abf-e2f67d50e4b9', '9f04a06a-97a9-454e-8bbe-878143703902', 'de254823-4d7f-4277-994e-ac885be43f45', '4b79d77f-d550-4d16-a3fa-7bba36b441f2', '9734dc01-02a3-46a6-a086-11c7e8e2ae91']","{'using_phone': 0.36021894771894775, 'checking_time': 0.09254459858741626, 'exiting': 0.0908574237303519, 'closing': 0.08502942729462067, 'entering': 0.0800461509025045, 'running': 0.03729281767955801, 'standing': 0.025144300144300146, 'jumping': 0.02091143969597008, 'sitting': 0.017232767232767232, 'carrying': 0.01578205020884579, 'pulling': 0.01542901542901543, 'picking_up': 0.015254884004884006, 'pointing': 0.014585414585414588, 'pocket_in': 0.014304445554445553, 'pocket_out': 0.01327838827838828, 'opening': 0.011030636030636032, 'fall': 0.010683837341295905, 'transferring_object': 0.009655944117270084, 'drinking': 0.008790963487096085, 'loitering': 0.008226495726495727, 'Carrying_light': 0.007638888888888889, 'throwing': 0.006993006993006993, 'crouching': 0.005827505827505828, 'carrying_light': 0.005494505494505495, 'walking': 0.005036630036630036, 'waving_hand': 0.00437768569674647, 'looking_around': 0.004273504273504273, 'using_pc': 0.004166666666666667, 'kicking': 0.002777777777777778, 'carrying_heavy': 0.002564102564102564, 'setting_down': 0.002302025782688766, 'sitting_down': 0.0011655011655011655, 'standing_up': 0.0010822510822510823}",True
50e20f7e-5ad1-490d-898e-620f66172a78,1761648745.353041,0.7033633882345947,False,4,"['acc_phone', 'acc_watch', 'video']","['7df8ddf7-1c7f-4fc5-a1d7-57dfc15793a7', '62a1508b-3354-4f25-b1ee-222f7256f95c', '168f0ebb-3e12-49f9-893a-7d2e471d86bf']","['86ca84b5-8cec-4b45-8f14-865fa7fffdba', 'f69b3f9e-83a2-4a41-8188-b0a981365fed', '12198148-ef5e-4363-8745-3b8d7e8ce787', '7d4d0ec5-3461-40f3-b0c0-63151f958a6d', 'aca972f5-7e5c-46e2-a37f-a45fb3f96e4b', 'b7c81b54-6574-47c0-8569-43141af13dff', '679c8b48-4617-4043-ab8a-44a69d119b77', '49de2c61-cffb-4c25-9479-0a58fe90c181', '86d5cd5c-7518-4d81-be8a-6cd6a9569ff9']","{'pointing': 0.1855497355002781, 'loitering': 0.08867690209579794, 'kicking': 0.06476047129253609, 'closing': 0.06246670791255896, 'Carrying_light': 0.0550800160761947, 'using_phone': 0.04812659870071766, 'carrying': 0.045230789665936105, 'picking_up': 0.04449214909809654, 'carrying_light': 0.04139115570122189, 'pocket_out': 0.03982140381171431, 'fall': 0.037014137562866214, 'running': 0.030755445502220584, 'throwing': 0.02981113840022401, 'sitting': 0.022386762559019342, 'waving_hand': 0.019285070818929356, 'checking_time': 0.01785936771498036, 'carrying_heavy': 0.015051425005134653, 'setting_down': 0.014512944657748954, 'looking_around': 0.013561799064505636, 'jumping': 0.013305908876332734, 'pulling': 0.012998200957675577, 'talking': 0.011931497489825624, 'drinking': 0.011768687733446696, 'entering': 0.011510616770376009, 'walking': 0.010711463118810776, 'exiting': 0.009665182945606227, 'transferring_object': 0.008923099682388613, 'opening': 0.007511431019342336, 'standing_up': 0.00596579593898218, 'crouching': 0.004535147392290249, 'sitting_down': 0.004084097799740729, 'using_pc': 0.004067519099592676, 'standing': 0.003405704555129842, 'pocket_in': 0.002337772912485556, 'pushing': 0.0014438525672927456}",True
92327b88-c97b-4eb7-a60c-bf3d50f483b4,1761648745.4004145,0.1481616899656941,False,2,"['gyro', 'orientation', 'video', 'acc_watch', 'acc_phone']","['1623a371-3572-409f-800a-e8957d8d2c74', '5c6ccecb-b760-4fb0-86ee-73465518f374', '282ded0d-3644-4eeb-8e62-ab167fb3e236', '1da1c6f9-04cd-47e3-a1db-c900a3122a4b', '0178e591-4da6-4094-96ef-fbe571b56619']","['a51f532b-3536-4f83-b3e8-7ab85ef5a99d', '65f71a70-7492-4223-9a98-259befe55cf9', 'e8bdd325-25c8-4380-80f8-c4d3a8248f99', 'a936fee3-5cf5-41b8-a9f4-2dcb3f6ddd40', '2e92eaab-6815-40fa-9cb6-dab3385a03da', '1fc71754-f7a3-4f95-a098-ba83df531606', '6fa1c1c6-036c-43df-8c9c-5305c20cfd5c', '1c0a2c46-18dc-4107-93ea-73e6b0786a7a', 'ca7feacc-394c-44ef-81f3-61821ba735e2', 'f872cc2b-73b3-450c-baa3-a133a4264220', '0d26af8c-4b3f-4017-bc16-db6e49d5aafb', 'fadeb30d-c6d3-4422-9021-d107781a2c55', 'c88f3f94-88da-4ec4-89cb-22e1348fcb47', '08200ab1-1933-47d0-9190-a1b175ecfb57', '06fb0790-5228-46d8-8a2f-4723a636657e']","{'throwing': 0.14046681314134954, 'pocket_out': 0.08655273262677537, 'sitting_down': 0.0680152258649886, 'using_pc': 0.059300270651864724, 'drinking': 0.05309929414194587, 'entering': 0.05232080936421996, 'standing_up': 0.05077756201559656, 'pocket_in': 0.04379297816292704, 'crouching': 0.04076110256657443, 'setting_down': 0.039346924429907, 'talking': 0.03922449994878773, 'sitting': 0.03915797396460966, 'picking_up': 0.03612152819117346, 'closing': 0.033230448878102524, 'standing': 0.02894885849868804, 'looking_around': 0.027503690330408264, 'exiting': 0.016480264849469684, 'opening': 0.013899661788640636, 'loitering': 0.013325190491004724, 'walking': 0.013255648128490607, 'transferring_object': 0.01298413294365824, 'checking_time': 0.011716363133986317, 'running': 0.009279765819697016, 'kicking': 0.008847870973325093, 'carrying': 0.00854872102069754, 'jumping': 0.007888091194161543, 'fall': 0.007719057232959609, 'pointing': 0.006029189802009275, 'carrying_light': 0.006003242265972749, 'Carrying_light': 0.005878020443571208, 'pushing': 0.005758847311911075, 'talking_on_phone': 0.004014310236175743, 'pulling': 0.003934825620514821, 'carrying_heavy': 0.0024690980798230053, 'waving_hand': 0.002135231316725979, 'using_phone': 0.0012117545692863297}",True
15645389-ea2a-4cbc-ba34-0e5b61eeb2b7,1761648745.4619536,0.0808243283616945,False,7,"['gyro', 'acc_phone', 'orientation', 'acc_watch']","['da7bfe02-260e-4d9d-a498-40d73b5f077f', '64bb09cd-7e91-4e9a-a3a2-e0a29a7de44c', '2f94518b-141d-4bf5-abf3-0789945a1c70', '22be8391-f133-4358-85c1-07301f4bb097']","['2981edf7-b579-42f5-af9f-e9d331de9db2', '71ee5e6c-e1b1-424f-9b10-03ee9457ba75', 'b669f806-0a3c-409f-aed4-3c0ece1c44be', '46832010-4aa0-4df5-97c8-4abdf2eb5e64', '4e3b24e1-a255-4dad-9689-4a2f253df010', '1869dcaf-4b78-4d36-ba3b-c9d62b92e39f', 'c86d825a-a7eb-47be-8106-2682b5b989d2', 'f0b17937-b2d0-453a-848a-a2628a7403f9', '310a0278-74c1-4d36-aa21-c2bd44e27d59', '48c2c57d-413d-4974-8d18-6f25a47dd992', 'ef6246ed-f5f4-4430-b679-250b60bc7b45', '1c81698a-afb6-4403-9ffa-f257d70b0ca4']","{'loitering': 0.15515591823542815, 'setting_down': 0.1518514289594146, 'picking_up': 0.08294922402958625, 'entering': 0.07426694365466477, 'talking': 0.07419905324363267, 'transferring_object': 0.06018252384176343, 'pointing': 0.05613120429081791, 'running': 0.051554052227282106, 'carrying': 0.048322876877693065, 'Carrying_light': 0.019115516180899895, 'pocket_in': 0.018913174842879552, 'talking_on_phone': 0.01688008423912678, 'looking_around': 0.016349441158144528, 'standing': 0.013515521274688016, 'waving_hand': 0.011780219782346743, 'pushing': 0.011372064526447822, 'carrying_heavy': 0.010498473871769413, 'pulling': 0.010455166289106713, 'kicking': 0.010096975324234187, 'carrying_light': 0.009036632260675977, 'opening': 0.009016459828548644, 'sitting_down': 0.008637804220964145, 'walking': 0.008498155643624964, 'using_pc': 0.0077468618278651175, 'fall': 0.007501050750389486, 'drinking': 0.007223682435302289, 'throwing': 0.006731121475703519, 'checking_time': 0.006003087696082485, 'pocket_out': 0.005701214749912059, 'jumping': 0.005695616053169734, 'using_phone': 0.005407853843449131, 'closing': 0.005055753636435648, 'sitting': 0.00494521112986632, 'crouching': 0.004242545486877309, 'standing_up': 0.0037415959151281017, 'exiting': 0.0012254901960784314}",True
8c9fbd71-4b7b-4318-9460-10e4386a03fa,1761648745.542287,0.1759485228029163,False,3,"['gyro', 'video', 'acc_watch', 'acc_phone', 'orientation']","['e85893c3-7334-4bbc-89b1-83fb9d3478e4', 'cf1a3cb3-6efb-4cec-b84d-7d802e00a7f2', '2a51a68c-8f88-44ca-922b-7be4e378e43d', '1c7d64e4-fdc3-47ac-929f-203173eebc06', '962e1fa9-bb42-405b-bd47-a4ff5e5861f5']","['6f67a6e1-cf1b-4b16-8b3b-e34a13278685', '043e3951-83d8-432b-92dc-a837721cfee6', '59709598-3dea-48dc-9686-c1c6b9d364ab', 'dafad356-b639-447c-bc66-51dacfc56085', 'e8b1f0d5-18f7-4562-a17b-a62b52530500', '1c5c26ab-28fd-47db-8630-13d3660828ef', 'de2b604c-a9f0-4189-b766-b4deda575c80', 'ec9cd26f-2083-4b4c-9672-0ec770ad8922', '3b204b9b-7340-4564-b5cd-d0c2b3d9f79c', 'a124f1d9-d79e-47b2-ac98-fdc5a76db580', '26538ff8-6969-4764-91c8-d152ffbf87df', 'b8cc7bea-7911-42c8-98f2-ff561276c1a6', '9867fe65-0683-4ff6-b3b1-f6d19f0905a9', 'ab46950f-be98-4820-b025-7ae6f73e90ed', '5e71b68b-5ea5-4c90-81cf-92a5af81aa98']","{'jumping': 0.2555299902145169, 'sitting': 0.0719506510517006, 'fall': 0.07163056573961682, 'carrying_light': 0.05816320765055985, 'pocket_in': 0.05589894281407528, 'using_pc': 0.05189095698422443, 'throwing': 0.04696267989392438, 'transferring_object': 0.043814073293348625, 'crouching': 0.033932954812340155, 'kicking': 0.03131842676521736, 'opening': 0.022775772373689107, 'entering': 0.022241212827748016, 'talking_on_phone': 0.020688487046216186, 'waving_hand': 0.017649542502812254, 'closing': 0.013279531472432726, 'carrying': 0.012990642234580267, 'pulling': 0.012817523557071072, 'picking_up': 0.01187087293161902, 'Carrying_light': 0.011748723391165252, 'pointing': 0.011611379284551915, 'pushing': 0.011156246207267443, 'sitting_down': 0.010968325394947073, 'setting_down': 0.010872745047262171, 'standing_up': 0.010152147135214186, 'loitering': 0.008963314113277979, 'looking_around': 0.008538691592353454, 'exiting': 0.008506134945417446, 'running': 0.007702138094294958, 'drinking': 0.007675697118015141, 'carrying_heavy': 0.00695319211937709, 'using_phone': 0.006551806996311525, 'talking': 0.006351576374516937, 'checking_time': 0.005700300837809987, 'standing': 0.005188416390553943, 'pocket_out': 0.0032007208477796713, 'walking': 0.002752409944190766}",True
d2b877bb-1bae-4d91-84db-16303e99e8b7,1761648745.5951526,0.0373655543094263,False,9,"['acc_watch', 'gyro']","['7c86b82f-1f73-45a1-86a3-7b7ef8167d83', '68664521-e241-4538-9be7-8a69bacb0691']","['a7b5e856-f002-4c2a-8c41-b4f4d7368fdc', '93118c97-f2a4-47c6-8e0d-24b4eb550dc9', '66550879-fc15-41e5-8ad6-39a1cb32a896', 'd17a941b-8cbf-4895-9180-6dac5fd1fb17', '7bc80d3d-4ef7-455f-8947-a9b86fc55bd6', 'c26bff3e-e492-4018-b0c5-8dbdaeea2039']","{'waving_hand': 0.17501438641922026, 'talking_on_phone': 0.11293532338308458, 'using_phone': 0.10210212657590186, 'carrying': 0.08983419651848655, 'Carrying_light': 0.08275290215588722, 'pointing': 0.08270522547273872, 'checking_time': 0.08189304296743874, 'running': 0.03556220433928667, 'loitering': 0.02557390339648404, 'opening': 0.024806071170644473, 'sitting_down': 0.01983633121974647, 'jumping': 0.016910036925142664, 'using_pc': 0.014336917562724016, 'entering': 0.01328125, 'pocket_out': 0.013169642857142857, 'looking_around': 0.011423716012084592, 'standing_up': 0.01075268817204301, 'standing': 0.010151024522403091, 'kicking': 0.009815098725907223, 'pushing': 0.009316392452390616, 'carrying_heavy': 0.009201913393756296, 'carrying_light': 0.008960573476702509, 'crouching': 0.008307668009160546, 'setting_down': 0.007268938122412443, 'drinking': 0.004179467485919099, 'picking_up': 0.0038062133861763527, 'throwing': 0.0035714285714285713, 'transferring_object': 0.0025176233635448137, 'exiting': 0.0024184632393587616, 'walking': 0.0023809523809523807, 'pulling': 0.001851851851851852, 'closing': 0.0015105740181268884, 'talking': 0.001388888888888889, 'fall': 0.000462962962962963}",True
074359f9-454f-4b95-9c21-106b99a404ef,1761648745.666288,0.5606776361991167,False,4,"['acc_phone', 'video', 'gyro', 'acc_watch', 'orientation']","['897d2464-2be8-4bd8-86a0-f92ba0792fb9', '8ebe5323-fe8c-4a58-bf5c-72f11c1dc85c', '9a38aa49-6f2a-41a8-9336-0f3c95d1b9d1', 'e2c9095f-02a2-45ac-b6d8-fb636ad38acd', '30edd889-ac63-4b23-9cbd-45db08b3829f']","['5c91b09c-82e5-42b4-a914-38acd0603c18', '53d85a3c-129c-4a9a-9f1c-d12ff97d970d', 'f5f29649-9633-4045-ac35-46c2d6eb56c3', 'dc34f288-71e5-4784-864d-88591707fc18', '200a4e38-600a-483c-835d-8c5e4987c55d', 'e0ba6fc7-03b3-4e67-b99c-d1968493205e', 'e69b2a57-ce83-48a4-8b5a-5a7000768249', 'f6e9fcb2-19d4-423d-97b8-177c72070b79', '08831775-6e5b-4309-86e8-972c5352b8db', 'd615c474-bb2b-4151-b8c3-e126bd0842e9', '3e89d9ff-7e87-494a-b95e-ccaef59602be', 'a179a76e-5ef0-450b-85db-0ebff1cc6d52', 'dd6a9959-1153-49e0-a51d-665ef8ac80cb', '70fad401-79ab-41cf-ae50-de8decbde5fa', '7b30a88e-fac7-47c6-a72a-1dcb4b55a824']","{'throwing': 0.1433558525236626, 'setting_down': 0.06318161587141219, 'carrying_light': 0.06298850953711538, 'drinking': 0.05922751516537605, 'walking': 0.05508777411794295, 'closing': 0.053391277741630404, 'loitering': 0.05010379487389503, 'crouching': 0.04927099454495451, 'using_phone': 0.0489100224538015, 'fall': 0.04031173007962063, 'jumping': 0.038198956231741535, 'carrying_heavy': 0.034646652597165484, 'pushing': 0.03372391364587845, 'sitting_down': 0.03204000622464871, 'standing_up': 0.02148435987585079, 'kicking': 0.01863374934978967, 'standing': 0.016183435472153406, 'talking': 0.01544666789552259, 'pointing': 0.013079128083775649, 'carrying': 0.012667519602604642, 'talking_on_phone': 0.012607044266024721, 'looking_around': 0.012346204968422207, 'pocket_out': 0.011786333330214135, 'sitting': 0.011629305729360646, 'opening': 0.011503832982669509, 'exiting': 0.011191331339857955, 'pulling': 0.010821680177987665, 'checking_time': 0.009305255244909483, 'running': 0.0084538307270364, 'using_pc': 0.00790315205163424, 'picking_up': 0.007236191245407836, 'entering': 0.006086454586497813, 'transferring_object': 0.005452311552304817, 'waving_hand': 0.005035297473617608, 'Carrying_light': 0.0044543572044220435, 'pocket_in': 0.0022539412310907535}",True
