query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
f7a1786a-5ff9-4c5a-9ad2-11fec4039415,1761643333.0649693,0.1391451403109699,False,1,"['acc_watch', 'gyro', 'orientation', 'acc_phone', 'video']","['292b3b58-c938-433b-97cd-c6bbd9d26172', 'd875d070-c99f-4407-8010-921737bf9dbb', 'fca432e6-a276-4d3c-ac0f-a6407031b9c2', '313f7811-5c47-402f-9909-4e155cf607c7', 'fec6d757-954a-4ffc-badb-7ef0143ad987']","['4c0dcb93-4866-4605-b8ac-f7fe32d0878d', '04308749-1339-4c2c-b8fc-5626398e3b0b', 'd17b71a8-d5ab-4acb-9da0-76b53cc0f091', '2b917d79-9845-4622-95ef-a9da05f41fdd', 'a35d8746-9888-43d7-b1c0-2608c058e641', '20182e38-aa77-4ec7-8caa-2f11a8e0b074', '5d87d3b7-6cfc-45da-aa8b-0fe9dbec7c23', 'c456b945-94e8-41f8-8aaf-6fd9be1274f9', '8763c661-290d-4536-8e02-ae599c516369', 'f776bd51-f101-4759-9b93-83da59f1e70c', 'ef3897ca-4a68-4c6c-a1f9-bc31aca00045', '397f5437-678e-4572-aba6-1e4ff4b6ff99', 'd010229e-865c-4c52-8fee-ab0489f7d47b', 'a420b819-4b70-41b5-8994-3d3970c59655', '624d4f68-198c-44c7-a6f0-5cb555685e61']","{'pocket_in': 0.22023910432781477, 'talking': 0.10094329982648907, 'throwing': 0.07025041419021137, 'using_pc': 0.05341043008810482, 'crouching': 0.05146319497293634, 'kicking': 0.04456683668386216, 'pulling': 0.04308019671388041, 'pocket_out': 0.04206395716263764, 'carrying_heavy': 0.038659476568776975, 'pointing': 0.0343026846896871, 'sitting_down': 0.029063474038123354, 'talking_on_phone': 0.022662425039434365, 'standing_up': 0.02121304080929077, 'looking_around': 0.015630669426924464, 'walking': 0.015567497516692988, 'pushing': 0.015014830447638117, 'transferring_object': 0.014642749092587441, 'checking_time': 0.013746078341641713, 'carrying': 0.013537965296233611, 'carrying_light': 0.013497239828162803, 'entering': 0.013298320540893657, 'fall': 0.01290954096785077, 'setting_down': 0.012169871668381715, 'using_phone': 0.011089101212948864, 'Carrying_light': 0.010215687394175743, 'exiting': 0.009932495153093034, 'waving_hand': 0.009708023415221166, 'picking_up': 0.007899329449904291, 'standing': 0.007704613718555909, 'sitting': 0.006452094978002728, 'jumping': 0.006278079009246277, 'opening': 0.005851094541384424, 'running': 0.004262616364527193, 'drinking': 0.004031609548274507, 'loitering': 0.0032683368299806655, 'closing': 0.0013736201464288145}",True
2ea6b717-e226-40f9-b673-20fa2f5f289a,1761643333.1311152,0.0283340634742032,False,3,"['acc_watch', 'orientation', 'acc_phone']","['e30afaa2-0f0c-4d3a-969b-bb0125bb3290', '884f792f-05ec-4018-a9aa-a30b3c6e9d21', '62b8d952-c0af-410a-9f38-c4eb38b9449f']","['11dfe304-4b1c-4ea8-8ceb-489ac96cf964', 'ebd877ef-b581-4e35-891a-79267e3ba118', 'ca096135-e4da-4958-ad93-d94388073fa0', '52f07c63-e2a4-4cb2-aad8-8133e3cf9628', '9ab5ab23-6bc1-43f0-9e03-eeded0e962f6', 'b13cd040-b1ef-4d4f-9e12-984d0eaa39ce', '35da9f30-18bb-408b-9594-f1cd3f325239', '72dce3f7-e0cc-4a9f-965b-b36a224a5888', '5973072f-622b-4996-9fca-b0b33ce3cdf3']","{'transferring_object': 0.14382075011610015, 'using_pc': 0.0980292977222757, 'pushing': 0.08796152430510419, 'opening': 0.08342322905429701, 'exiting': 0.08267489711934156, 'carrying_heavy': 0.07871376389622856, 'waving_hand': 0.0710478391994146, 'fall': 0.05822164784485359, 'talking_on_phone': 0.054421644154265265, 'setting_down': 0.018439447094417853, 'running': 0.017547691974606754, 'walking': 0.014643560326203342, 'entering': 0.014541607723425906, 'checking_time': 0.013802747471089179, 'pulling': 0.012981456490228423, 'Carrying_light': 0.01297228005832936, 'picking_up': 0.0126019679519935, 'pocket_in': 0.011636636636636636, 'looking_around': 0.01114900495135001, 'loitering': 0.010555089502457923, 'kicking': 0.009886539711101115, 'throwing': 0.009122099290111065, 'drinking': 0.00911184006452013, 'sitting': 0.008989449180836741, 'using_phone': 0.00865309754198643, 'jumping': 0.008619486320491344, 'talking': 0.008484875111669371, 'crouching': 0.00812207838906868, 'pointing': 0.005302648927244396, 'standing': 0.00449842555105713, 'closing': 0.003440333537420916, 'standing_up': 0.0020576131687242796, 'sitting_down': 0.0019753086419753087, 'pocket_out': 0.001799370220422852, 'carrying': 0.0007507507507507507}",True
9b786fe8-27e4-4368-8dc5-e591add61d23,1761643333.211115,0.2306551278428209,False,2,"['orientation', 'acc_watch', 'video', 'gyro']","['c1b87157-ad98-4c34-802a-7146fcf7ec7e', '726719f0-d2b9-460b-9166-0dd33f112148', '6636bbf3-ecb7-4ad8-93df-cf138f3174b7', '30896ddd-c349-4150-b157-970d91f22d9b']","['5c58dc8f-53e5-4903-ae05-8a65aafa9cb2', 'f3da354f-5bb6-4400-b2ed-8bc39a31ff0b', 'dec83fc9-78c9-421f-99ae-bed19804a752', '22a83f62-03dd-4a36-97e7-7c35b7643265', '37c3f7a4-102c-4617-a0c2-2b60e52e53b8', '84691999-6a09-44ed-8a47-44516052b6b1', '334eadf2-f892-4f42-9dc8-7b118115bbc9', 'cc7c3570-03a1-49f0-86be-a04e30a202d5', '4d9560a4-4841-4d62-b9ea-e663b4418f43', '6a79cd74-03b5-4daf-9d75-e433ae71e8f4', '0f8d9a7d-874e-457d-ba29-fc41f2071347', '0a48de4f-d1a2-4bd1-ad99-5bec20256f93']","{'talking_on_phone': 0.3232782738869316, 'pulling': 0.11977356838150127, 'running': 0.09260212170210895, 'using_pc': 0.07359791024780028, 'looking_around': 0.06387786291497989, 'transferring_object': 0.046069551604606955, 'pocket_out': 0.02454683027696704, 'setting_down': 0.017183332556691952, 'pushing': 0.01611015712754206, 'fall': 0.0154336236763773, 'Carrying_light': 0.01445657933250201, 'kicking': 0.01249513805649389, 'using_phone': 0.012330964998853234, 'entering': 0.011217354981657041, 'waving_hand': 0.010821362853124834, 'walking': 0.010625129055085692, 'standing_up': 0.01014870155083555, 'closing': 0.009901272087936416, 'exiting': 0.009612484489324934, 'carrying_light': 0.009518815153826595, 'loitering': 0.00918092763592809, 'drinking': 0.008832182249559544, 'talking': 0.008790402937282194, 'carrying_heavy': 0.007662874630009219, 'standing': 0.007525318617278221, 'crouching': 0.0071551585674141036, 'picking_up': 0.006911201385839068, 'sitting': 0.006521451677673761, 'pointing': 0.005658084605453026, 'throwing': 0.005317240672406724, 'jumping': 0.0045644017046231064, 'pocket_in': 0.003949338264895331, 'checking_time': 0.0038580246913580245, 'sitting_down': 0.0035350420321637425, 'carrying': 0.00352811499129484, 'opening': 0.0034092004016735393}",True
1f14768c-34e2-490a-a10b-465e980658ff,1761643333.2622323,0.0457777185022699,False,1,['orientation'],['792c6d30-4894-439d-9fb4-de9f3a261e85'],"['3e56f87b-209f-4c2b-aa93-e00e697c42e8', 'c8b38160-9554-4e37-bcae-d023ddb12552', '5ea310fa-92ed-4469-b44f-8a55d51d80bf']","{'pushing': 0.4239839796885337, 'pocket_in': 0.19091889771501425, 'waving_hand': 0.13333333333333333, 'entering': 0.03439924102907529, 'pocket_out': 0.02851721636252023, 'using_pc': 0.027362072151000966, 'throwing': 0.017288911211563146, 'pointing': 0.017240364813180347, 'talking': 0.015048841686185461, 'crouching': 0.014732965009208102, 'kicking': 0.012313230464815509, 'Carrying_light': 0.012121212121212121, 'carrying_light': 0.011049723756906077, 'transferring_object': 0.00970873786407767, 'checking_time': 0.007551240560949299, 'opening': 0.007366482504604051, 'sitting': 0.006472491909385113, 'setting_down': 0.006060606060606061, 'running': 0.0055248618784530384, 'looking_around': 0.005393743257820927, 'loitering': 0.004314994606256743, 'standing_up': 0.00404040404040404, 'fall': 0.0032362459546925564, 'pulling': 0.00202020202020202}",True
7ef929e1-1608-4cf6-a14f-cc42ff6d79b7,1761643333.322997,1.211014574435834,False,10,"['acc_watch', 'video', 'orientation', 'gyro', 'acc_phone']","['e0d99b1c-71d3-41e5-a7f6-e303c75c6118', 'd4efd0ae-c4a4-4ebc-9006-ed65ac723c65', 'b372712e-b383-4703-9429-9d62f61da8c4', '422daeef-aae9-4d25-8d47-fcda3deb0285', '9cd95142-2f94-4266-934e-72969ecba1be']","['5d71d378-c486-4789-bd7c-a24c6e198dbc', 'fc122ccc-8e4e-4516-be47-31063dff50a3', '79057cec-7e40-4f1d-b3b6-d3eeef2d0386', '417b1af4-fd89-48d8-b396-508d812ab460', 'e04b85b6-1fb6-49e7-9f95-d6b304c5906e', '1baa596b-811d-4fb2-a38d-828ca319b33f', '8f637c02-9e65-45ae-abff-36ceb4d06e03', '260cefc5-d917-49b3-9f56-929709d2dbc1', 'cd5ea2fa-a501-4c17-8513-a00f5789db65', '50618e8c-5e53-4575-98ca-bcf3df219060', 'eca15969-d823-4bb5-9341-47bbe07de32f', 'fcb8bf6e-645b-4d00-9d16-1b80473e49b1', 'f36255da-1ab5-4276-8ff4-08a09b150224', '543ab936-1e48-4f60-a85b-bd018116bc0e', '1fccc477-72db-4964-a628-e83d9028aa1a']","{'carrying_heavy': 0.33398862716492833, 'pushing': 0.07520918016004145, 'pocket_in': 0.06576751292756475, 'throwing': 0.06121714673455494, 'jumping': 0.059622212771261195, 'carrying_light': 0.04586119008660651, 'running': 0.04210258812864255, 'talking': 0.03017301141186727, 'transferring_object': 0.025985871545337803, 'sitting_down': 0.02142188388951339, 'drinking': 0.021413495748573142, 'opening': 0.020209120327419134, 'checking_time': 0.013833246777301637, 'loitering': 0.013639619756675518, 'using_pc': 0.012541921805528967, 'closing': 0.012526611829938018, 'exiting': 0.012197516865137314, 'setting_down': 0.0105256846532846, 'crouching': 0.009614250141957891, 'kicking': 0.009500225156429613, 'fall': 0.009458276964151678, 'standing_up': 0.009437343454764264, 'walking': 0.009432350749144452, 'Carrying_light': 0.008507864671669002, 'carrying': 0.008492584266803287, 'waving_hand': 0.008451292443656045, 'entering': 0.00712734494112574, 'sitting': 0.006370138673866019, 'pointing': 0.00633941780774779, 'standing': 0.00512756496308163, 'using_phone': 0.004889718753646867, 'pocket_out': 0.004781493893797179, 'talking_on_phone': 0.0038249433420181954, 'looking_around': 0.003547931377843401, 'pulling': 0.0035478656850267696, 'picking_up': 0.0033129501290936267}",True
304c295f-c3c4-41a1-aa74-db1b85f5c9d9,1761643333.402218,0.3062625064373276,False,7,"['gyro', 'video']","['9b9162f3-f314-4352-906c-872342eb6fee', '4627d2c1-74fc-4a07-b48d-e91d2399da44']","['8750531c-8d96-4531-b343-c07989e4925d', 'dcb2f4da-f6e2-4440-a0b4-866a9acdd8bb', '0c2df50b-3340-491e-9bbc-0b2f933bf55a', '421d99e0-d31c-4848-9350-dcbca70925e0', 'eb516178-ce9a-4d4d-a3bd-d8a707b9f97f', '464f9d0e-aa83-4fb7-8c8d-ff7918358075']","{'pointing': 0.24282744423612865, 'throwing': 0.14352513974232686, 'waving_hand': 0.11679346113980277, 'carrying': 0.10139388036158876, 'fall': 0.08449431857640073, 'running': 0.06840398228840568, 'pocket_in': 0.027653213751868463, 'kicking': 0.018265073796599928, 'using_pc': 0.017371394395148083, 'standing': 0.0173486452483967, 'looking_around': 0.01563283594360176, 'sitting_down': 0.015191967772433923, 'entering': 0.014032803167373181, 'pushing': 0.011982570806100218, 'Carrying_light': 0.011973785930142667, 'talking_on_phone': 0.010686121083801283, 'picking_up': 0.010272868489697821, 'loitering': 0.010078108683020889, 'carrying_heavy': 0.009117092745523673, 'pulling': 0.008907532716204087, 'pocket_out': 0.008644317942230655, 'exiting': 0.007811094124391324, 'carrying_light': 0.006565927703741131, 'talking': 0.005973715651135005, 'standing_up': 0.005355309875982297, 'drinking': 0.0029895366218236174, 'checking_time': 0.002934272300469484, 'closing': 0.0025157232704402514, 'using_phone': 0.0012578616352201257}",True
b9c45898-2ce0-4f2d-8059-b0fd0655121b,1761643333.475568,0.5287829339171217,False,8,"['video', 'gyro']","['0c3bd91e-f957-4cb0-8ca9-3d930f3f9c66', '0a69dc65-11a3-48b7-8b31-f7dff6dcb6eb']","['c2831d28-5ccb-41d5-8968-b65f8db9821f', 'bc60cbf6-f2a5-4bc4-89c5-681e389a96f3', '54480185-6d73-4b5a-8565-cec82b88cc95', '0e726cce-08e3-406c-87b1-338ed2d99079', '6bc0c448-b13d-4853-9490-6c997ac42a11', '9022eab2-dbbb-4024-b7d8-2df12a76d20c']","{'jumping': 0.474641574203259, 'sitting': 0.115801010506185, 'pushing': 0.048954895489548955, 'kicking': 0.02706094205452259, 'picking_up': 0.021576223321034444, 'pulling': 0.021519148148336494, 'using_phone': 0.01876264211480784, 'carrying_heavy': 0.01857456771215295, 'sitting_down': 0.018237840733225867, 'transferring_object': 0.017144753141224694, 'fall': 0.017048915212231956, 'waving_hand': 0.016892006212548435, 'using_pc': 0.016465786091746117, 'pocket_out': 0.015638396549930256, 'throwing': 0.015536723163841809, 'carrying_light': 0.015119850395786697, 'standing': 0.014124293785310734, 'pocket_in': 0.012898763197098114, 'crouching': 0.010502253594793896, 'opening': 0.010485576052434631, 'looking_around': 0.009303387628094873, 'checking_time': 0.008807014530449327, 'talking_on_phone': 0.0075507717906434305, 'pointing': 0.007411996879159208, 'setting_down': 0.007295173961840629, 'walking': 0.006725895705000022, 'exiting': 0.005649717514124294, 'loitering': 0.005611672278338945, 'entering': 0.005334127476125068, 'talking': 0.0049504950495049506, 'running': 0.0022446689113355778, 'drinking': 0.0011001100110011, 'closing': 0.0010288065843621398}",True
9b7ecd17-d51e-4845-9979-a8d1d86f9c9f,1761643333.540197,0.2104453002718603,False,7,"['video', 'gyro', 'orientation', 'acc_watch', 'acc_phone']","['3b802e91-a271-4603-aae7-a637f612ca73', '8d9baa51-2dce-49b7-9a95-d425a8b6056b', '9e2c50fb-23f8-4417-90f8-3746af0e4f10', '13d015ba-b1a8-4805-96c1-8185afa1bd5a', 'a33e0c77-c9ee-470e-881c-61d2279c5bb0']","['23b133ef-a7c4-4125-a6dc-57698296ea96', '7cbf0f96-09c3-46fc-8d91-71b32c9b108d', '3ae6b5c3-2a32-4005-ae01-e3eaf1b2c597', 'f8218b41-fee9-4c40-a110-970f08cc2c9a', '979f8c7b-656f-4ed5-bce4-84dc2ff923fa', 'd913bf1d-906d-496c-a794-8c85739d9044', '9436edb7-cef4-414a-99e5-e03cba2a8015', '8dd20cae-9aa7-4086-afe9-272fbccb42d4', '34e23782-388f-4d11-8781-67c05ea299cf', '59470973-1549-4f80-bbbe-9d1074581109', '6cd46b9d-9a73-4600-b65f-514171a7e303', '558fa138-33f8-4623-a65e-74eb65b241d7', '2d18c4c5-c511-4420-9c73-78ef139d30fc', '6e03f2a7-ea57-49d4-8ee4-1618caaace3b', '60e7d2ca-4431-4c0d-901e-eeba13e82788']","{'fall': 0.13414950389965535, 'throwing': 0.10921982007607492, 'pushing': 0.09693020599484962, 'standing': 0.08317010367499617, 'pocket_out': 0.06312862043809006, 'pocket_in': 0.05386430011019907, 'waving_hand': 0.049266102174385235, 'talking_on_phone': 0.03759599821196265, 'using_phone': 0.03458616920570926, 'using_pc': 0.03323733706127069, 'opening': 0.030192917526216927, 'carrying': 0.02558287275268407, 'pulling': 0.022084207608266467, 'standing_up': 0.02133085683787953, 'carrying_heavy': 0.01620154224461982, 'jumping': 0.014717692111449776, 'Carrying_light': 0.013617562568001736, 'setting_down': 0.01333070345261892, 'closing': 0.013243026295827848, 'talking': 0.012552185553530099, 'drinking': 0.011434830609628776, 'sitting': 0.010844024639328568, 'entering': 0.010632589306555092, 'sitting_down': 0.010421120499507958, 'pointing': 0.010051266319363539, 'checking_time': 0.010039897689357646, 'walking': 0.009006093799682757, 'loitering': 0.00890685931146235, 'transferring_object': 0.007679218056576548, 'picking_up': 0.006418122074484982, 'carrying_light': 0.006045425309358267, 'looking_around': 0.005328106401448824, 'kicking': 0.0051735772615841644, 'running': 0.005102001122540275, 'crouching': 0.00328899886586246, 'exiting': 0.0016261409349695888}",True
ae11b0ab-22f9-4ca5-b439-ec1e9fac1bbd,1761643333.6159103,0.5298377031853783,False,5,"['acc_phone', 'video', 'orientation', 'gyro']","['fafbf7b6-5419-41e4-8857-f765aa37d188', '2176d8d6-6524-4b23-9b9d-a67b9e5bacc8', 'cd5428e9-8dde-450d-8990-89b0f7c1bb1e', '17e9b401-ea6e-4ca1-9ad2-fe304ce16305']","['bd52a209-fc9b-47e5-922d-5a74a1404ff4', 'c5fc956b-35ec-499d-a600-c20a9ef09877', '50c57120-1131-4bcc-b269-bc9488453efa', 'fb9d20a6-1ad5-4b41-bba1-c448a5012252', '1bf47d0a-5b8a-4a46-a09c-9df8b236b8ac', '4bba5c05-c72c-429f-9540-c4e1f7555250', 'b1d96b64-347c-4dae-8236-8101e5e55798', '61d14f0d-ec6e-4ae3-8f02-3410c231444b', 'dbf58ce0-eaad-4162-abde-83d7644c4ce9', 'b381d5a6-45cd-47ec-9542-a3ffd7b21d4a', '1086eff8-c9e5-42d4-a962-bf447010c1b5', '80377410-cb40-44d0-abed-a5a26d89361b']","{'jumping': 0.3013665493311282, 'standing': 0.11525409295550948, 'standing_up': 0.0637854709256959, 'carrying_heavy': 0.06347297922086416, 'pulling': 0.06228386606970653, 'checking_time': 0.04623314651000517, 'using_phone': 0.027913255840062486, 'waving_hand': 0.02749661796286489, 'kicking': 0.025992150104757205, 'transferring_object': 0.024235175301640422, 'closing': 0.0210310672111246, 'Carrying_light': 0.019240322133437904, 'pushing': 0.017768480737358663, 'picking_up': 0.016233293937780082, 'sitting_down': 0.015825585442168708, 'carrying': 0.013216760036058648, 'opening': 0.011840082633674554, 'using_pc': 0.011668809611091157, 'running': 0.011489471367903488, 'exiting': 0.01097324115127359, 'walking': 0.009910172457325324, 'looking_around': 0.009744439724217277, 'drinking': 0.00874235175976259, 'entering': 0.007555517009864174, 'pocket_out': 0.007552750847847476, 'loitering': 0.006880924789889734, 'fall': 0.006618841667272556, 'sitting': 0.0056260745133162446, 'talking_on_phone': 0.00452342535105873, 'talking': 0.004453131177417792, 'pocket_in': 0.004369717939010609, 'carrying_light': 0.0043154823824830164, 'throwing': 0.004166666666666667, 'crouching': 0.0033200531208499337, 'pointing': 0.0028629316420014095, 'setting_down': 0.002037100466910638}",True
302d7ede-cb13-421b-9b99-d3185e47bb44,1761643333.6676688,0.2832974374519497,False,5,"['video', 'orientation', 'acc_watch']","['acab5054-85f1-4edf-9b70-3bf51d4d7e0d', '7afddd53-ebba-4313-ade7-2be1810ca7fc', '40749be2-d567-4bca-a099-3ac9b2c57a56']","['d4e5db67-6c6c-4b45-8071-b075773fcef2', '8f5ea1a3-4aab-4959-82a8-6bf967ab9418', '88461225-e5fe-48e7-8a4d-f8eda2c79077', '6ea50c3d-c056-4d0d-b682-2a9e8b996aac', '26b06e2a-cf11-44cf-b980-b2954dbcf230', '53c77209-28d1-4b9a-b628-23e677fe4644', '6eaa3abc-7879-43f0-8d6b-3df5e91f02ec', '3fcb8843-035a-4dc8-84d9-8a0bf291fba5', '3d45267b-4321-4377-b74d-3ee423723c58']","{'pushing': 0.30378695766557473, 'loitering': 0.08803418803418803, 'entering': 0.06490214591234605, 'using_pc': 0.06454110297614912, 'transferring_object': 0.0558029689608637, 'checking_time': 0.04306204449676473, 'walking': 0.040933507785964336, 'closing': 0.040868394446226475, 'standing_up': 0.021698174040196375, 'pocket_in': 0.02067437844580331, 'looking_around': 0.0192734713357004, 'sitting_down': 0.01795169344849473, 'kicking': 0.016423886050989614, 'jumping': 0.014920328854152383, 'carrying_light': 0.013600200151740524, 'carrying': 0.013258001785219185, 'drinking': 0.013232554200542005, 'crouching': 0.012285345364778065, 'talking_on_phone': 0.012186141950794814, 'setting_down': 0.01119111325474864, 'throwing': 0.011010599415204679, 'exiting': 0.010757196580013352, 'using_phone': 0.010441953964213931, 'opening': 0.00980392156862745, 'pulling': 0.008903902826333856, 'pocket_out': 0.008452703574654795, 'talking': 0.008148516859318253, 'pointing': 0.007659437124400648, 'fall': 0.00734508547008547, 'Carrying_light': 0.006963970195820314, 'sitting': 0.0059198542805100176, 'standing': 0.005296711724666859, 'waving_hand': 0.004065040650406504, 'picking_up': 0.00404040404040404, 'running': 0.002564102564102564}",True
