query_id,time_window,response_time,model_id,model_version,device_id,instance_id,explainability,data_source,inf_id,inf_result,metadata
d1482b53-a532-43c2-843a-1664cae2ad02,6,0.0141622693898573,minirocket_v7,v7,beelinkbt3,946b4c17-f1de-45c4-bc53-7c0ba0b5810f,True,gyro,a83974a4-72de-4375-b998-e77a93cdb474,"{'standing_up': 0.3375796178343949, 'closing': 0.16560509554140126, 'sitting': 0.07643312101910828, 'jumping': 0.07006369426751592, 'fall': 0.06369426751592357, 'setting_down': 0.05732484076433121, 'talking': 0.050955414012738856, 'Carrying_light': 0.044585987261146494, 'entering': 0.03821656050955414, 'walking': 0.03184713375796178, 'carrying_heavy': 0.025477707006369428, 'pushing': 0.01910828025477707, 'standing': 0.012738853503184714, 'pointing': 0.006369426751592357, 'inf_result': 601346.3491086569}",
d1482b53-a532-43c2-843a-1664cae2ad02,7,0.0071278075267135,minirocket_v16,v16,jetson_agx_orin,70dd8a83-1a37-404c-a7f5-80f3773dac0c,False,gyro,476d7aea-0a2d-4bc7-a059-f4decb4d052d,"{'standing_up': 0.6780487804878049, 'sitting_down': 0.05365853658536585, 'pocket_out': 0.04878048780487805, 'transferring_object': 0.04390243902439024, 'talking': 0.03902439024390244, 'exiting': 0.03414634146341464, 'walking': 0.02926829268292683, 'setting_down': 0.024390243902439025, 'using_pc': 0.01951219512195122, 'checking_time': 0.014634146341463415, 'running': 0.00975609756097561, 'standing': 0.004878048780487805, 'inf_result': 601346.2991599236}",
d1482b53-a532-43c2-843a-1664cae2ad02,3,0.0066008442692476,minirocket_v15,v15,hp_z240,0e01b59c-57f4-4369-aee1-651c20b49283,False,gyro,6d0aba42-4549-48ec-a3d6-a65c074e931f,"{'pocket_out': 0.5787037037037037, 'exiting': 0.06018518518518518, 'fall': 0.05555555555555555, 'opening': 0.05092592592592592, 'standing_up': 0.046296296296296294, 'walking': 0.041666666666666664, 'pocket_in': 0.037037037037037035, 'jumping': 0.032407407407407406, 'kicking': 0.027777777777777776, 'carrying_heavy': 0.023148148148148147, 'pushing': 0.018518518518518517, 'carrying_light': 0.013888888888888888, 'carrying': 0.009259259259259259, 'talking_on_phone': 0.004629629629629629, 'inf_result': 601346.3975745211}",
d1482b53-a532-43c2-843a-1664cae2ad02,5,0.0588760413666888,x3d_m_v3,v3,hp_z240,dae11ba2-09c0-4c00-aff0-fb686212f20d,True,video,3907a8ae-c001-4733-9d09-b050f1f5af79,"{'Carrying_light': 0.7756653992395437, 'pointing': 0.053231939163498096, 'picking_up': 0.034220532319391636, 'standing': 0.030418250950570342, 'standing_up': 0.026615969581749048, 'closing': 0.022813688212927757, 'pulling': 0.019011406844106463, 'jumping': 0.015209125475285171, 'transferring_object': 0.011406844106463879, 'sitting': 0.0076045627376425855, 'exiting': 0.0038022813688212928, 'inf_result': 601346.368027089}",
d1482b53-a532-43c2-843a-1664cae2ad02,4,0.0260584970942446,x3d_xs_v3,v3,jetson_super_nano,23d6208b-88b9-46bd-99b3-989a90cc768c,False,video,2026e65f-1287-4404-90d1-5cb4393ef30d,"{'standing_up': 0.5783783783783784, 'pocket_in': 0.06486486486486487, 'drinking': 0.05945945945945946, 'setting_down': 0.05405405405405406, 'closing': 0.04864864864864865, 'exiting': 0.043243243243243246, 'pushing': 0.03783783783783784, 'sitting_down': 0.032432432432432434, 'carrying_light': 0.02702702702702703, 'picking_up': 0.021621621621621623, 'crouching': 0.016216216216216217, 'checking_time': 0.010810810810810811, 'standing': 0.005405405405405406, 'inf_result': 601346.2822590099}",
d1482b53-a532-43c2-843a-1664cae2ad02,10,0.0153472454199741,x3d_xs_v1,v1,precision_5820_tower,b420fdc5-f05f-4125-a9cb-e9842d622bc1,False,video,d613f522-eb40-49a9-a7d4-173b1ad014e6,"{'fall': 0.8493723849372385, 'jumping': 0.03347280334728033, 'exiting': 0.029288702928870293, 'drinking': 0.02510460251046025, 'walking': 0.02092050209205021, 'setting_down': 0.016736401673640166, 'pocket_in': 0.012552301255230125, 'carrying_light': 0.008368200836820083, 'closing': 0.0041841004184100415, 'inf_result': 601346.34394009}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,1,0.006872423637791,minirocket_v12,v12,hp_z240,70cd8a9d-e250-4442-99d9-00bcbaaeb63b,True,orientation,ec613e97-ea75-4487-97a3-71aa91af0f27,"{'Carrying_light': 0.47115384615384615, 'entering': 0.09615384615384616, 'sitting': 0.08653846153846154, 'kicking': 0.07692307692307693, 'using_pc': 0.0673076923076923, 'running': 0.057692307692307696, 'carrying_light': 0.04807692307692308, 'walking': 0.038461538461538464, 'sitting_down': 0.028846153846153848, 'setting_down': 0.019230769230769232, 'pocket_out': 0.009615384615384616, 'inf_result': 601346.7009508184}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,3,0.0076673603933255,minirocket_v9,v9,jetson_agx_orin,6e758dad-155e-49c2-8e50-00d276940048,False,orientation,cb85f54c-2952-452a-a494-dd16edc676cb,"{'standing_up': 0.4972375690607735, 'jumping': 0.0718232044198895, 'talking_on_phone': 0.06629834254143646, 'sitting_down': 0.06077348066298342, 'setting_down': 0.055248618784530384, 'looking_around': 0.049723756906077346, 'using_phone': 0.04419889502762431, 'closing': 0.03867403314917127, 'pointing': 0.03314917127071823, 'opening': 0.027624309392265192, 'kicking': 0.022099447513812154, 'Carrying_light': 0.016574585635359115, 'pocket_out': 0.011049723756906077, 'crouching': 0.0055248618784530384, 'inf_result': 601346.7099799084}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,9,0.0062442608454419,minirocket_v7,v7,beelinkser8,9609dcd9-9d61-4828-8e77-ec4d7c8253a3,False,orientation,e89cebfb-d74a-43a6-bd09-3ee2fefd2575,"{'carrying_heavy': 0.6818181818181818, 'setting_down': 0.045454545454545456, 'walking': 0.04195804195804196, 'transferring_object': 0.038461538461538464, 'picking_up': 0.03496503496503497, 'exiting': 0.03146853146853147, 'talking_on_phone': 0.027972027972027972, 'checking_time': 0.024475524475524476, 'using_phone': 0.02097902097902098, 'pocket_in': 0.017482517482517484, 'jumping': 0.013986013986013986, 'pushing': 0.01048951048951049, 'sitting': 0.006993006993006993, 'sitting_down': 0.0034965034965034965, 'inf_result': 601346.5807694666}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,7,0.0081093636459266,minirocket_v8,v8,precision_5820_tower,ff80a1d8-783d-4e6b-9e1c-4c5b0ea9c3f9,True,acc_phone,e3ac8ba1-0d0f-4a1f-80de-167e999d7682,"{'transferring_object': 0.42207792207792205, 'pulling': 0.11688311688311688, 'exiting': 0.1038961038961039, 'crouching': 0.06493506493506493, 'looking_around': 0.05844155844155844, 'talking_on_phone': 0.05194805194805195, 'setting_down': 0.045454545454545456, 'pocket_in': 0.03896103896103896, 'walking': 0.032467532467532464, 'sitting': 0.025974025974025976, 'opening': 0.01948051948051948, 'pocket_out': 0.012987012987012988, 'jumping': 0.006493506493506494, 'inf_result': 601346.5945511509}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,8,0.0073921593523069,minirocket_v2,v2,beelinkser8,056f4775-e546-48cd-b9e2-1a20d7ac50db,False,acc_phone,26f06489-1ae9-40db-bb08-5619116a2a45,"{'carrying_light': 0.29651162790697677, 'loitering': 0.25, 'sitting_down': 0.06976744186046512, 'looking_around': 0.06395348837209303, 'entering': 0.05813953488372093, 'closing': 0.05232558139534884, 'using_phone': 0.046511627906976744, 'talking_on_phone': 0.040697674418604654, 'carrying_heavy': 0.03488372093023256, 'setting_down': 0.029069767441860465, 'carrying': 0.023255813953488372, 'running': 0.01744186046511628, 'walking': 0.011627906976744186, 'talking': 0.005813953488372093, 'inf_result': 601346.5095528682}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,8,0.0100566446535744,minirocket_v10,v10,jetson_agx_orin,cdb4824e-e272-409a-8d0a-70dd1147d1a4,False,acc_phone,d69b6cca-0a84-45d7-8bbd-a0622cad1b5b,"{'pocket_out': 0.622478386167147, 'pulling': 0.11239193083573487, 'transferring_object': 0.07780979827089338, 'crouching': 0.03170028818443804, 'looking_around': 0.02881844380403458, 'drinking': 0.025936599423631124, 'standing': 0.023054755043227664, 'Carrying_light': 0.020172910662824207, 'jumping': 0.01729106628242075, 'pocket_in': 0.01440922190201729, 'setting_down': 0.011527377521613832, 'pointing': 0.008645533141210375, 'using_phone': 0.005763688760806916, 'inf_result': 601346.6955296828}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,9,0.010600225910394,minirocket_v1,v1,jetson_agx_orin,782532ad-ac19-424d-a660-896f2640e538,True,gyro,7c4980c1-087c-4c5a-ae20-1ff8376fbc38,"{'transferring_object': 0.45263157894736844, 'talking': 0.07368421052631578, 'Carrying_light': 0.06842105263157895, 'waving_hand': 0.06315789473684211, 'carrying_heavy': 0.05789473684210526, 'entering': 0.05263157894736842, 'opening': 0.04736842105263158, 'standing': 0.042105263157894736, 'using_pc': 0.03684210526315789, 'talking_on_phone': 0.031578947368421054, 'standing_up': 0.02631578947368421, 'carrying_light': 0.021052631578947368, 'sitting': 0.015789473684210527, 'pocket_in': 0.010526315789473684, 'inf_result': 601346.6784045695}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,8,0.0144219126964933,minirocket_v13,v13,beelinkbt3,a0394d5d-3831-4578-9923-d6627d6ce4f9,False,gyro,a510e9a8-40ef-407d-a3e2-b3159b9b2a5d,"{'transferring_object': 0.5505050505050505, 'throwing': 0.18686868686868688, 'loitering': 0.03535353535353535, 'waving_hand': 0.03282828282828283, 'setting_down': 0.030303030303030304, 'talking_on_phone': 0.027777777777777776, 'pulling': 0.025252525252525252, 'pocket_out': 0.022727272727272728, 'walking': 0.020202020202020204, 'pushing': 0.017676767676767676, 'using_phone': 0.015151515151515152, 'talking': 0.012626262626262626, 'opening': 0.010101010101010102, 'crouching': 0.007575757575757576, 'standing': 0.005050505050505051, 'inf_result': 601346.447463245}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,9,0.0061479281808392,minirocket_v5,v5,hp_z240,d74fca54-7ed1-4286-8c6a-aaf0f4717ed0,False,gyro,9cbe433b-e11d-472f-89c6-40da41cf731e,"{'sitting_down': 0.42105263157894735, 'crouching': 0.09649122807017543, 'pocket_out': 0.08771929824561403, 'walking': 0.07894736842105263, 'drinking': 0.07017543859649122, 'using_phone': 0.06140350877192982, 'pulling': 0.05263157894736842, 'carrying_heavy': 0.043859649122807015, 'picking_up': 0.03508771929824561, 'entering': 0.02631578947368421, 'looking_around': 0.017543859649122806, 'opening': 0.008771929824561403, 'inf_result': 601346.6605266477}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,9,0.0345582243739489,x3d_xs_v3,v3,jetson_agx_orin,b1298052-bc39-4caf-b1c9-f6aa61b9e212,True,video,f8f1bf1e-1e93-4123-ae26-778607b34712,"{'pulling': 0.6556603773584906, 'kicking': 0.12264150943396226, 'throwing': 0.05660377358490566, 'waving_hand': 0.03773584905660377, 'pocket_out': 0.0330188679245283, 'crouching': 0.02830188679245283, 'setting_down': 0.02358490566037736, 'pocket_in': 0.018867924528301886, 'sitting_down': 0.014150943396226415, 'closing': 0.009433962264150943, 'inf_result': 601346.5352204246}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,3,0.0476546235773732,x3d_s_v3,v3,jetson_agx_orin,49d86f49-f217-47e8-95db-e8b3b976eac9,False,video,3be930b5-c009-43c1-9790-7d615cdd2154,"{'exiting': 0.5848375451263538, 'Carrying_light': 0.22743682310469315, 'drinking': 0.036101083032490974, 'closing': 0.032490974729241874, 'sitting': 0.02888086642599278, 'carrying': 0.02527075812274368, 'loitering': 0.021660649819494584, 'carrying_heavy': 0.018050541516245487, 'running': 0.01444043321299639, 'jumping': 0.010830324909747292, 'inf_result': 601346.4665056955}",
7b98cae2-734e-4a8f-a1fd-e7c5163f2d6a,3,0.0270469290389791,x3d_s_v4,v4,precision_5820_tower,9f70418c-63eb-4d47-b649-d88bda4e630a,False,video,06a97db3-e9af-4711-9b11-bcd1074bf4bc,"{'Carrying_light': 0.3723849372384937, 'carrying': 0.36401673640167365, 'looking_around': 0.04602510460251046, 'running': 0.04184100418410042, 'standing_up': 0.03765690376569038, 'jumping': 0.03347280334728033, 'pocket_out': 0.029288702928870293, 'using_pc': 0.02510460251046025, 'checking_time': 0.02092050209205021, 'crouching': 0.016736401673640166, 'waving_hand': 0.012552301255230125, 'inf_result': 601346.7002291955}",
6e8a2674-1330-4307-96e2-a6ee488ce4a4,1,0.0076099252167582,minirocket_v8,v8,precision_5820_tower,1a1b5eb8-3288-4f51-9303-bf90c944a102,True,acc_watch,cbf78373-39ee-4d30-b8f9-e918734adc54,"{'talking_on_phone': 0.6642066420664207, 'walking': 0.04797047970479705, 'opening': 0.04428044280442804, 'pulling': 0.04059040590405904, 'drinking': 0.03690036900369004, 'using_phone': 0.033210332103321034, 'standing_up': 0.02952029520295203, 'exiting': 0.025830258302583026, 'pointing': 0.02214022140221402, 'picking_up': 0.01845018450184502, 'waving_hand': 0.014760147601476014, 'sitting': 0.01107011070110701, 'carrying_light': 0.007380073800738007, 'crouching': 0.0036900369003690036, 'inf_result': 601346.7418022598}",
6e8a2674-1330-4307-96e2-a6ee488ce4a4,1,0.0088173652222116,minirocket_v2,v2,jetson_agx_orin,4541db44-f56c-4c1c-a8b0-59028134e489,False,acc_watch,07f3c156-fd72-4263-8f14-fd87bb70d926,"{'carrying_heavy': 0.75, 'kicking': 0.045454545454545456, 'throwing': 0.04090909090909091, 'pocket_in': 0.03636363636363636, 'looking_around': 0.031818181818181815, 'waving_hand': 0.02727272727272727, 'pointing': 0.022727272727272728, 'talking': 0.01818181818181818, 'pushing': 0.013636363636363636, 'crouching': 0.00909090909090909, 'drinking': 0.004545454545454545, 'inf_result': 601346.7430129676}",
6e8a2674-1330-4307-96e2-a6ee488ce4a4,6,0.0091321820298465,minirocket_v16,v16,beelinkser8,31512b13-3837-415c-b39f-8126a4436a41,False,acc_watch,96372d00-50e9-440f-a731-53eb1d9f3587,"{'fall': 0.4108527131782946, 'carrying': 0.09302325581395349, 'pulling': 0.08527131782945736, 'Carrying_light': 0.07751937984496124, 'using_phone': 0.06976744186046512, 'transferring_object': 0.06201550387596899, 'walking': 0.05426356589147287, 'carrying_heavy': 0.046511627906976744, 'standing': 0.03875968992248062, 'crouching': 0.031007751937984496, 'checking_time': 0.023255813953488372, 'sitting_down': 0.007751937984496124, 'inf_result': 601346.7297443777}",
6e8a2674-1330-4307-96e2-a6ee488ce4a4,2,0.0099888120511454,minirocket_v12,v12,jetson_super_nano,0246b6f9-1428-4e18-922f-f66f2db8efa5,True,acc_phone,1c857fd8-fd45-4e25-b16e-136a99875cd2,"{'closing': 0.6583850931677019, 'pocket_in': 0.062111801242236024, 'sitting_down': 0.055900621118012424, 'walking': 0.049689440993788817, 'picking_up': 0.043478260869565216, 'looking_around': 0.037267080745341616, 'fall': 0.031055900621118012, 'exiting': 0.024844720496894408, 'entering': 0.018633540372670808, 'talking': 0.012422360248447204, 'pocket_out': 0.006211180124223602, 'inf_result': 601346.7548281312}",
6e8a2674-1330-4307-96e2-a6ee488ce4a4,10,0.0060588048623176,minirocket_v9,v9,hp_z240,8cf7af0e-ad89-438a-8f6a-ba957c4a2275,False,acc_phone,0cdf3cf5-a801-4140-9205-4fcd7fde9c86,"{'standing_up': 0.3901098901098901, 'using_phone': 0.24725274725274726, 'pushing': 0.06043956043956044, 'running': 0.054945054945054944, 'jumping': 0.04945054945054945, 'setting_down': 0.04395604395604396, 'exiting': 0.038461538461538464, 'crouching': 0.03296703296703297, 'pulling': 0.027472527472527472, 'loitering': 0.02197802197802198, 'closing': 0.016483516483516484, 'sitting_down': 0.01098901098901099, 'pocket_out': 0.005494505494505495, 'inf_result': 601346.809606499}",
