query_id,ground_truth
96073284-92b9-4fb1-b6ef-c235a364f585,carrying_heavy
02245dad-8ee8-4bab-9ae8-788194a313b0,setting_down
e14e21d8-6a01-4f05-ae3a-bb2259216952,talking_on_phone
3d12333c-6f22-431b-a951-011901625a11,carrying_light
fbb2376a-5ab2-472b-b833-26ad56920aae,waving_hand
19c91abf-9b2f-46a7-a2c0-126d70134bfb,standing
3070813b-d413-4a71-99f7-603ca31f91af,setting_down
6fca2ae7-8fe9-4645-b680-46ed3e8ac266,opening
2d64e35b-ba5e-4b1d-a9a1-cb862eeeac24,looking_around
d9db3c0f-4f95-4acc-bd13-348c24a7f096,looking_around
b9990683-4d07-4c8e-bfa9-11d0071a6496,pulling
4f5f0492-b801-47f0-8355-8020a263299c,checking_time
f17ffda0-581c-4451-a02d-cd3a1fd154aa,closing
717e90dd-6c83-4b57-9ec8-86e04ae3006c,pushing
bbe4caa6-8139-42f0-9c69-ff22d50709c1,carrying_heavy
54b02e6d-5d12-496f-95f9-6a861a595e61,jumping
c8384943-c487-4d69-8e30-b01a19bb7cdb,looking_around
a697ac80-7abd-4c38-890e-53a0aae42435,pulling
6b139aa7-fb19-48c9-ae2d-e8c58dc2b1f7,drinking
64d72e92-7ae1-4a0e-b408-90d6800f334e,talking_on_phone
e6edb026-586a-4ad4-8240-d08fddf72d2e,entering
136c9a59-ee27-4278-83e7-09a37e5aab79,exiting
88fb0d39-9c78-4888-9f53-0e1326f82b0b,throwing
fe3e5e67-73a1-4285-b2a8-65eeba234380,standing_up
9bda6fd4-3ae5-4224-8de7-b8c0c351029a,carrying
c8c8d50d-5380-470e-83c9-4f4c7b686735,sitting_down
a8637e59-fd29-4430-86b7-724e6a95b4f0,talking_on_phone
5d8dd41b-899c-43ed-a2df-c128756f69ff,pocket_in
550a786e-22c6-4fca-ac55-6bd29a3b8db0,checking_time
26295184-0394-432e-a8b6-81fb057b577a,crouching
c6857719-cda6-4aa5-b6f4-325d844875c8,picking_up
05938bc4-0d48-459b-b2ba-f704b6d47af4,exiting
d15bb4c3-3373-4b5a-9db5-7f1094370d6d,loitering
79a780c2-d67a-4a73-8e9a-38465bcc7fb0,Carrying_light
a09e45d4-e37b-414e-bc5f-9a0213f914d6,looking_around
a778d46a-c430-46d9-a664-483e33b88e3d,running
6600dd84-b6e2-474d-8aba-5a795d2c2d7f,setting_down
55c82e2e-7f84-418e-88c9-cda4f51e4205,fall
f3730b19-e6f4-4bc7-a8a7-8673e2805009,pocket_in
f37f1c90-19e1-472e-bf73-9d34397cecd4,carrying_heavy
a5417e21-4f33-45f3-bd4a-4122b9487df7,kicking
ee8bdc06-e6e6-421e-86b5-f2efd242a80e,closing
90764e95-63fb-4dec-9b4a-09b08e368cbd,looking_around
824b7e4e-144f-44d0-8010-54677a3b50b5,pocket_in
c7282486-6607-4fc1-a89f-12fe7b4809f0,waving_hand
8aa59390-5366-4c16-be99-17f14dbe4991,kicking
fcf0f1cd-48c0-4a4f-9c3d-4fa46890f18e,pulling
8ee37c99-8118-4381-a1ce-416afb4f76e0,using_phone
20eb53a2-29a5-42c4-9c37-10708294c351,jumping
0f81e818-08e1-4508-9257-3372fda3e6de,pointing
fe3e359d-ed38-437e-b283-20b9e5a2c33c,standing
bde8f801-57a5-47c9-934f-ba8f9e0ab287,talking_on_phone
838b7445-6aa0-42ac-b8c0-ed74afebdaa8,talking_on_phone
40c2d7be-d4b6-4091-a73d-933ac210caa0,kicking
f4e056c8-10cb-4c0b-8cde-2be97c0db6c6,looking_around
c772545d-ebfe-40fe-8156-8a713ac6fc04,waving_hand
56508cb7-36d1-46f0-b19c-8449c54293d0,exiting
ce77f8ea-f6cc-47a9-849a-b1b25e403011,jumping
b099a690-5747-4816-bf9b-f1c758980072,pointing
edbbe5dd-fc3f-464a-b126-c15d783af4eb,crouching
1d536e43-9334-4b5e-a649-b28c37dd1b21,checking_time
0a259b72-080f-4716-b985-d72477bb81d9,talking_on_phone
175c5825-63e5-45d6-b655-c2a2c1c4edae,waving_hand
205bb913-c7f7-4e0f-ac44-601ee4780374,closing
83da85f1-5172-4355-ae57-7c1fd9722630,pocket_out
a13b8ab3-0c4d-411a-a2cb-77c1bfa5afde,looking_around
83725282-54cf-445b-b249-84124cf842ca,exiting
840f8f64-8667-48b5-a83a-887220b51efb,talking
f3542668-cf4f-4f32-9f9d-13a49a2b034f,standing
895d2951-1761-405f-bde2-12f1100da57c,pocket_out
9b871507-b561-49df-bb6c-576ec8ce9eb9,waving_hand
e477fdd7-9d35-4617-828b-cb5606737081,carrying_light
40281c8d-63bf-4d69-993b-d77ba2b17b1b,waving_hand
b8c7835d-f11d-473f-af2a-8eddc3083a20,fall
957bd170-7e82-4b4a-97e5-7637b06bcc0a,talking_on_phone
92328c35-3c01-4e3a-9338-486742472df6,loitering
2bdfcc21-7392-4611-82a9-e08205760b73,walking
89df61f5-38d8-4e5b-b8a3-1f341198e62e,carrying_heavy
c28ced13-22ee-4dd5-8449-7d4bbbe6e4fd,fall
311d0b7e-a702-41df-9278-08ba59ee7bf5,opening
dea05e4e-2155-4772-90fd-fcd2063ca581,using_phone
4934dcb2-82e4-414e-8db5-7775deb368ad,talking
113d1423-14a9-434f-bb05-c395251a4a2f,pocket_in
f39d9ce9-ea81-4e64-bc35-7b700d47b464,jumping
072f8e95-c3ce-4aac-9c21-94b5b02a13d3,pointing
2c6eac5e-6531-46d7-8b91-4f4c1afb4b31,Carrying_light
ed586f03-5481-45de-b326-ae0627d210e1,picking_up
3cd664a6-00e6-445a-a004-28a35458315c,sitting_down
f80f9843-30b2-4d9d-b0ca-326b60ee1401,carrying_light
9c3ebfc9-f91c-48f1-bdd1-98dfd0633536,setting_down
dcb6a79a-2fa6-49cf-992f-c62a37ff91dd,pointing
b0418cd3-fd4f-4d91-8a4f-1ca0317779e1,checking_time
fc7a3de9-e1b1-425f-983e-1e36d983d7a4,exiting
fd052211-f119-488f-9fb9-0199b8417375,fall
876200f2-5548-480c-8d72-6cd1dc7b3ca5,sitting
64e97f77-75ee-4515-b55a-959767a09a61,sitting_down
eabd2a7f-3b9d-451f-a2bc-cdd7a272ed2e,using_phone
83c86cf5-7ac0-48d4-9e67-f830ea320c5f,using_phone
17d134b0-729d-46ce-9494-66491e34efd0,talking_on_phone
fde70138-40a0-4acb-ab13-a81c538288c7,crouching
f9816b32-eb47-43bb-a6b2-32e40233a793,standing_up
7685beda-8d23-4349-9358-41fe867d19f1,kicking
6288ef19-ee6b-469a-9dc5-6e8d337f9a8d,sitting
e0d3ab92-6e1f-4fed-b6f1-a4d4e53b63c6,crouching
3073161f-2309-4faf-ac97-459ab796950f,walking
9f642424-89ad-402f-a8e5-48e949bf0c9a,looking_around
8c0578a1-0192-4e3d-9089-42afe74bdd01,using_phone
a3e11ec4-ad21-499f-a767-789e4c615a2b,standing_up
47144584-379e-4894-918f-d9bd05001c8d,pushing
15056d0e-9739-4cd7-b608-5674044ad700,closing
7cd930fe-363b-4c3d-9b6f-bd7397c332da,throwing
7921999f-bcef-42a3-965b-3f153102007d,pointing
7efd4c2f-26c9-4fe8-be96-94406ef1c0b4,pocket_in
83ec849e-0dab-4a63-9b5e-d2a53a6dfed5,sitting_down
3f2cdc53-312b-494a-9ddb-3fd1ef21ecf2,using_pc
5542a490-4b73-48e3-8c59-da550f21fd94,running
efb1309d-00e5-4d43-8d2a-683cfeb8d493,transferring_object
011ce5e1-859c-4934-9ce0-21b05347d3b2,picking_up
f574cfba-34ba-4196-9966-63064885c191,fall
b604e702-17ad-4d4d-aa4c-42e15ee8eb1b,exiting
ca963f7e-f469-471b-a461-af96f5b67b95,standing
46f403f4-af2b-4318-bf4c-a76bb57f0d20,opening
1b859e9e-f16c-4d98-99cc-1d5fc9fbeb4e,sitting
243bb81b-e78a-4a32-9eb0-1512ccce9d40,transferring_object
dcfe74ec-3ba4-4c44-9f31-0aa15daa4fc7,jumping
bc4c09ad-34fc-4398-a2b1-94518c92ac70,opening
f473f74e-0136-4bc4-9651-d5054a63720a,standing_up
7f2aeb60-f707-4e6f-b96b-091200b41f30,kicking
6df11a4e-5cde-4f1f-86e0-032ac6e336ed,using_phone
04dadc1c-2bac-4cbc-b7fa-f1c1e245c52f,pocket_out
5a1f085b-500b-4772-ba6e-eda6df898c93,pointing
fc936e08-c50f-449e-9aa1-ce2d1414c0bf,opening
d4a0f8a5-983c-4921-9c5d-98fdbf15a613,closing
2937b272-cb13-436c-b055-d2dc7f2b2785,using_pc
b6f51395-a5a2-4157-ad97-d667b36dca94,using_phone
7d645a5a-3949-4dc8-b2e7-135980352e5e,standing
32e1a139-a6c6-4852-89b4-af96a3ede0c6,standing_up
f84a2521-c33a-414e-9315-0d47eb456298,sitting
b3e33a8a-034f-4d20-9238-134abed7fa64,looking_around
d7c3b141-de53-4166-a1fd-b02becffab33,using_pc
932ea0ba-b5ee-4c4f-9be5-d27edce282ce,pocket_out
b29a4c30-d3fd-4661-98da-e5a8bd7bb03a,crouching
a2322cc5-55fc-407c-8859-6283a89e2362,transferring_object
166e8b15-e9db-4ef8-860b-0c58b959839e,drinking
eacc26d2-6a2e-407c-8139-acdc144b332d,checking_time
ca1439b7-0ae2-4aa5-8d2e-5179ca2321d8,using_pc
e55ad362-465f-4ff0-a48a-1b2c83b36fb5,throwing
b5d7c8fa-3b0e-486a-b66b-ad4200bf318d,using_phone
9382cb32-93e9-4ce8-9d2f-2fcace4447b1,pocket_out
425dcee4-ee9c-4823-bfe3-b8d9aa5e0e2e,carrying_heavy
5944000f-c4c8-431f-8caf-4bee7b22911d,pocket_in
d0b2aa3b-05b0-43e1-bc88-6bd0a3274420,looking_around
50089540-0cb0-4c13-a699-1108cdd19b2e,looking_around
bd63f376-8652-433c-bd92-a1f5d38323bc,entering
d3b9ef4a-af9f-4b79-b4c7-9358af4d4884,using_phone
00d0a697-6582-420a-b673-0504062bfce6,sitting
2c0ef1f7-96fb-4b1f-872d-38abba1d21c9,entering
c99cb06f-b45d-4061-b705-071949593417,checking_time
2ef21303-23e8-4a32-9995-615433533612,pocket_out
f47d64d4-e295-4304-9deb-e940602aa9db,drinking
4f595d83-96e0-4510-a9b9-9fb97f561552,checking_time
ec07d21a-e9e8-4d0a-b84c-18f9312c6e92,checking_time
0fd2a563-f01a-4013-937f-20c303f1dc58,pointing
