query_id,time_window,response_time,model_id,model_version,device_id,instance_id,explainability,data_source,inf_id,inf_result,metadata
b572e1ea-8d94-411d-9bc9-816463b04860,1,0.0108413864730614,minirocket_v5,v5,jetson_super_nano,0dd2b807-4afb-4678-9878-a2667743b5c6,True,acc_phone,fd2275d3-83c6-4e83-9439-497606c61100,"{'pushing': 0.5897435897435898, 'transferring_object': 0.266025641025641, 'drinking': 0.028846153846153848, 'carrying_heavy': 0.02564102564102564, 'pulling': 0.022435897435897436, 'waving_hand': 0.019230769230769232, 'jumping': 0.016025641025641024, 'entering': 0.01282051282051282, 'closing': 0.009615384615384616, 'using_pc': 0.00641025641025641, 'carrying': 0.003205128205128205, 'inf_result': 650169.575086344}",
b572e1ea-8d94-411d-9bc9-816463b04860,6,0.0101257510772994,minirocket_v3,v3,jetson_agx_orin,ef871d85-0056-4bd2-8532-d98ea4610f35,False,acc_phone,97102148-a659-496a-a790-af6b27efdf29,"{'carrying': 0.6666666666666666, 'Carrying_light': 0.08571428571428572, 'jumping': 0.0380952380952381, 'sitting_down': 0.03492063492063492, 'drinking': 0.031746031746031744, 'pointing': 0.02857142857142857, 'pulling': 0.025396825396825397, 'carrying_light': 0.022222222222222223, 'running': 0.01904761904761905, 'picking_up': 0.015873015873015872, 'standing_up': 0.012698412698412698, 'pocket_out': 0.009523809523809525, 'throwing': 0.006349206349206349, 'entering': 0.0031746031746031746, 'inf_result': 650169.5551782125}",
b572e1ea-8d94-411d-9bc9-816463b04860,2,0.0112377626417321,minirocket_v8,v8,beelinkbt3,97b445fb-e9b7-4248-ade8-de469d993499,False,acc_phone,aab60351-90da-4cba-8d7f-56447de634a3,"{'checking_time': 0.3900709219858156, 'transferring_object': 0.18203309692671396, 'Carrying_light': 0.1607565011820331, 'using_phone': 0.1111111111111111, 'pulling': 0.026004728132387706, 'jumping': 0.02364066193853428, 'waving_hand': 0.02127659574468085, 'pocket_out': 0.018912529550827423, 'closing': 0.016548463356973995, 'pointing': 0.014184397163120567, 'throwing': 0.01182033096926714, 'carrying': 0.009456264775413711, 'carrying_light': 0.0070921985815602835, 'setting_down': 0.004728132387706856, 'entering': 0.002364066193853428, 'inf_result': 650169.5704477557}",
b572e1ea-8d94-411d-9bc9-816463b04860,7,0.0129243229083601,x3d_xs_v1,v1,precision_5820_tower,33ec1953-b360-4c9c-9e72-40f1036e36f9,True,video,50eb8c7a-ddfe-4851-b73a-b24cc7720b87,"{'carrying': 0.4340659340659341, 'throwing': 0.37362637362637363, 'carrying_heavy': 0.04395604395604396, 'entering': 0.038461538461538464, 'drinking': 0.03296703296703297, 'kicking': 0.027472527472527472, 'talking': 0.02197802197802198, 'fall': 0.016483516483516484, 'crouching': 0.01098901098901099, 'inf_result': 650169.5351220794}",
b572e1ea-8d94-411d-9bc9-816463b04860,3,0.0512005610140915,x3d_m_v3,v3,hp_z240,34ff1a40-e3d1-40d3-826d-59e5571badad,False,video,9fa2161d-c9d5-4e38-aab0-ed0b356432cd,"{'pocket_in': 0.2777777777777778, 'throwing': 0.23504273504273504, 'Carrying_light': 0.20512820512820512, 'drinking': 0.04700854700854701, 'setting_down': 0.042735042735042736, 'jumping': 0.038461538461538464, 'pointing': 0.03418803418803419, 'sitting_down': 0.029914529914529916, 'crouching': 0.02564102564102564, 'waving_hand': 0.021367521367521368, 'picking_up': 0.017094017094017096, 'looking_around': 0.01282051282051282, 'walking': 0.008547008547008548, 'pocket_out': 0.004273504273504274, 'inf_result': 650169.5439858233}",
b572e1ea-8d94-411d-9bc9-816463b04860,1,0.046512808011506,x3d_s_v3,v3,jetson_super_nano,5e11912e-e90e-4147-b7f2-e5f06f734797,False,video,0bd99be5-213c-4e89-8655-5c7cf65cafe5,"{'Carrying_light': 0.7216828478964401, 'standing': 0.06796116504854369, 'jumping': 0.03559870550161812, 'walking': 0.032362459546925564, 'picking_up': 0.02912621359223301, 'fall': 0.025889967637540454, 'sitting': 0.022653721682847898, 'pushing': 0.019417475728155338, 'pocket_out': 0.016181229773462782, 'loitering': 0.012944983818770227, 'transferring_object': 0.009708737864077669, 'pulling': 0.006472491909385114, 'inf_result': 650169.5795717523}",
b572e1ea-8d94-411d-9bc9-816463b04860,8,0.0089563063598452,minirocket_v16,v16,jetson_super_nano,b0d7259d-b52c-41df-84b4-42bec28aca62,True,gyro,890a79e7-5bdc-4dd4-8844-3b0b4eeb82da,"{'entering': 0.7303921568627451, 'pushing': 0.049019607843137254, 'setting_down': 0.04411764705882353, 'running': 0.0392156862745098, 'picking_up': 0.03431372549019608, 'transferring_object': 0.029411764705882353, 'drinking': 0.024509803921568627, 'standing_up': 0.0196078431372549, 'pocket_in': 0.014705882352941176, 'Carrying_light': 0.00980392156862745, 'carrying_heavy': 0.004901960784313725, 'inf_result': 650169.5754118435}",
b572e1ea-8d94-411d-9bc9-816463b04860,1,0.005741731130639,minirocket_v5,v5,hp_z240,d74fca54-7ed1-4286-8c6a-aaf0f4717ed0,False,gyro,6e43552a-a568-4594-b175-0206f3b616f5,"{'pocket_in': 0.6405529953917051, 'sitting_down': 0.055299539170506916, 'jumping': 0.05069124423963134, 'loitering': 0.04608294930875576, 'crouching': 0.041474654377880185, 'looking_around': 0.03686635944700461, 'standing_up': 0.03225806451612903, 'picking_up': 0.027649769585253458, 'entering': 0.02304147465437788, 'waving_hand': 0.018433179723502304, 'opening': 0.013824884792626729, 'exiting': 0.009216589861751152, 'kicking': 0.004608294930875576, 'inf_result': 650169.600526015}",
b572e1ea-8d94-411d-9bc9-816463b04860,7,0.010809336707476,minirocket_v14,v14,beelinkbt3,80769161-b234-449a-80cb-2f03ba7f58ca,False,gyro,e133dc9f-65f7-4c6d-8f33-1d0669449eb1,"{'walking': 0.6544943820224719, 'talking_on_phone': 0.0898876404494382, 'throwing': 0.03651685393258427, 'crouching': 0.033707865168539325, 'carrying_light': 0.03089887640449438, 'Carrying_light': 0.028089887640449437, 'fall': 0.025280898876404494, 'closing': 0.02247191011235955, 'pointing': 0.019662921348314606, 'opening': 0.016853932584269662, 'carrying': 0.014044943820224719, 'checking_time': 0.011235955056179775, 'carrying_heavy': 0.008426966292134831, 'talking': 0.0056179775280898875, 'exiting': 0.0028089887640449437, 'inf_result': 650169.5876402279}",
b572e1ea-8d94-411d-9bc9-816463b04860,3,0.0101604539760344,minirocket_v8,v8,jetson_agx_orin,2d598355-c619-49c2-ad51-621a5ecb7a98,True,acc_watch,bed06e69-cf3c-447b-8f2c-5f99c37fc490,"{'setting_down': 0.8132780082987552, 'walking': 0.03734439834024896, 'carrying_light': 0.03319502074688797, 'pocket_in': 0.029045643153526972, 'closing': 0.024896265560165973, 'jumping': 0.02074688796680498, 'drinking': 0.016597510373443983, 'running': 0.012448132780082987, 'looking_around': 0.008298755186721992, 'using_pc': 0.004149377593360996, 'inf_result': 650169.5289289227}",
b572e1ea-8d94-411d-9bc9-816463b04860,3,0.0062763435273129,minirocket_v14,v14,hp_z240,b144e685-9d38-4419-9f09-e55e1aedf76e,False,acc_watch,ef5b1317-ca89-42f2-bd6e-b278ebd1059e,"{'pocket_in': 0.3696969696969697, 'drinking': 0.08484848484848485, 'closing': 0.07878787878787878, 'pulling': 0.07272727272727272, 'entering': 0.06666666666666667, 'crouching': 0.06060606060606061, 'looking_around': 0.05454545454545454, 'using_phone': 0.048484848484848485, 'sitting_down': 0.04242424242424243, 'walking': 0.03636363636363636, 'exiting': 0.030303030303030304, 'talking': 0.024242424242424242, 'pointing': 0.01818181818181818, 'throwing': 0.012121212121212121, 'inf_result': 650169.5593730675}",
b572e1ea-8d94-411d-9bc9-816463b04860,9,0.0057568673658845,minirocket_v12,v12,hp_z240,2758696b-9f10-436f-ae5c-9196b8e9ff04,False,acc_watch,88170b4e-efad-406f-b600-4a14f5ea5a5e,"{'using_pc': 0.782608695652174, 'checking_time': 0.043478260869565216, 'looking_around': 0.03864734299516908, 'drinking': 0.033816425120772944, 'sitting': 0.028985507246376812, 'using_phone': 0.024154589371980676, 'picking_up': 0.01932367149758454, 'carrying_light': 0.014492753623188406, 'running': 0.00966183574879227, 'loitering': 0.004830917874396135, 'inf_result': 650169.5787993687}",
3340b674-8b65-4d27-b8d4-23b97b138333,6,0.0066957529267171,minirocket_v7,v7,precision_5820_tower,cd8f320f-9f6a-4812-9db0-dea56ce4b17f,True,orientation,b2a9ac5b-f4de-4501-bcdd-fd44b6663294,"{'talking_on_phone': 0.7012195121951219, 'pocket_in': 0.06097560975609756, 'closing': 0.036585365853658534, 'exiting': 0.03353658536585366, 'carrying': 0.03048780487804878, 'pulling': 0.027439024390243903, 'pushing': 0.024390243902439025, 'running': 0.021341463414634148, 'walking': 0.018292682926829267, 'setting_down': 0.01524390243902439, 'sitting_down': 0.012195121951219513, 'loitering': 0.009146341463414634, 'throwing': 0.006097560975609756, 'fall': 0.003048780487804878, 'inf_result': 650169.7006767397}",
3340b674-8b65-4d27-b8d4-23b97b138333,2,0.0084325388703849,minirocket_v10,v10,jetson_agx_orin,39de60b1-6988-4a5b-b9a2-9c28e2d3d31c,False,orientation,fd3c2387-9b10-4387-b267-c65257b6066b,"{'crouching': 0.46206896551724136, 'setting_down': 0.08275862068965517, 'loitering': 0.07586206896551724, 'Carrying_light': 0.06896551724137931, 'talking_on_phone': 0.06206896551724138, 'picking_up': 0.05517241379310345, 'using_pc': 0.04827586206896552, 'carrying': 0.041379310344827586, 'carrying_heavy': 0.034482758620689655, 'jumping': 0.027586206896551724, 'pointing': 0.020689655172413793, 'fall': 0.013793103448275862, 'pushing': 0.006896551724137931, 'inf_result': 650169.6261613532}",
