query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
12095683-dfe5-4618-897b-76bf116c6ce6,1761658304.0674272,0.3843372311218976,False,6,"['video', 'gyro', 'acc_watch']","['7a9ccc8c-a425-4b63-b71d-5bd1f7656632', 'd13f7457-c7c2-417e-b4eb-6b7f6fffd824', 'abe03a26-9316-4f85-ba78-5c9f8bca376d']","['884fee01-5d8b-4f2f-975c-1802d96331c1', '0a9ce755-5bb5-4472-a0b6-d9fa5ead4b6b', 'f37243a3-ad3b-4459-b2d2-0ac07223a71d', 'cae6051e-0d67-42ea-9f53-ae66376aa768', '0300176f-677e-4c1f-832f-3afda4f9d490', '4109cca0-a7b9-44d9-9226-daa912322ee0', 'f8535ad5-99ea-43c6-a234-09d116ae5442', '42c65212-6d82-4adf-9f84-73c0dd629245', '8cc1e110-5bf0-4953-b64b-eecccbc2033e']","{'Carrying_light': 0.11686054931428284, 'pointing': 0.08429383808054419, 'standing_up': 0.07237674018315483, 'closing': 0.06994969286522913, 'crouching': 0.06860168334165088, 'fall': 0.0683719150624873, 'talking_on_phone': 0.06586605402394877, 'setting_down': 0.0575246822669503, 'using_phone': 0.05572179129352808, 'sitting_down': 0.0383404255795651, 'opening': 0.038212815990593764, 'pocket_out': 0.028630217519106407, 'pocket_in': 0.018138607790233865, 'checking_time': 0.01566782175668306, 'jumping': 0.01532980163669121, 'carrying': 0.013782930275076872, 'talking': 0.013383313855134374, 'loitering': 0.013336765324011114, 'waving_hand': 0.012686075767273526, 'pulling': 0.012658985142452148, 'using_pc': 0.011655926347637544, 'throwing': 0.011419599338066272, 'walking': 0.01114771464744335, 'carrying_heavy': 0.010848243366886957, 'standing': 0.010025208454527826, 'transferring_object': 0.009545213287410802, 'looking_around': 0.008248777283013358, 'sitting': 0.0074473945301983735, 'running': 0.0068171832373236825, 'pushing': 0.006609115381045205, 'drinking': 0.0062503553823476665, 'carrying_light': 0.005764443427099194, 'exiting': 0.0056194961120505215, 'picking_up': 0.004026988688470572, 'kicking': 0.002777777777777778, 'entering': 0.002061855670103093}",False
5131631c-6d81-4da5-837d-6997bed02247,1761658304.1431491,0.1982432736373625,False,8,"['acc_watch', 'video', 'acc_phone', 'orientation']","['1163f7bd-cd45-4371-89cf-db953de1f6cf', 'a9e2a677-fb77-434e-acc7-3bd66cad4a2d', '99d64fd8-5d41-4ce8-bb18-e836ca3566f7', 'b0a17cf0-260a-46f2-990e-7b0b8e9cdd23']","['5d5afdd1-13a7-4552-9205-a4e5e0fa4ed1', 'b63d17e6-8974-4e86-8f91-76800803736f', '9c546193-73af-44e8-a7de-80b694c116ab', '0f98b023-b922-43d8-92a5-4a58700f84bb', '10348138-3244-427c-a976-033d5a3f4bda', '1863cac7-2c1f-46bc-9174-2fc68b65dae6', '9511e1d1-eba3-4f52-b794-81c0c804073a', '7efaf8bb-15c4-4057-9644-899062996dc0', '2fcb4da1-626a-41af-b2e2-4413b9e565c9', '24cfab90-940d-4a0b-83a8-c8901cfb5b09', 'b817d925-faa6-4d9c-8de3-f90f150af1f5', '412ef404-d255-4e9f-afd2-470ed53af6a7']","{'loitering': 0.14011462720225118, 'sitting_down': 0.10927540928305629, 'pulling': 0.09041727534081963, 'picking_up': 0.07092654030179059, 'pocket_out': 0.06275808385098003, 'kicking': 0.0625484159633525, 'running': 0.058736699993061324, 'jumping': 0.05463076283831001, 'setting_down': 0.05094505837405056, 'walking': 0.03570210234208503, 'Carrying_light': 0.029678743590718263, 'checking_time': 0.021815723631518142, 'carrying_heavy': 0.01743363268572053, 'standing': 0.017409470752089137, 'fall': 0.01686263353510336, 'sitting': 0.015648087959408714, 'throwing': 0.012558260651380463, 'talking': 0.010304798846373647, 'standing_up': 0.01025900900900901, 'using_pc': 0.010236486486486488, 'crouching': 0.009871254828216334, 'carrying_light': 0.00916658941866534, 'using_phone': 0.008622722840280093, 'opening': 0.00840902040875788, 'talking_on_phone': 0.008112329658587776, 'waving_hand': 0.007770385287794758, 'carrying': 0.007520810873228176, 'exiting': 0.007062024193171733, 'pocket_in': 0.00613123901073087, 'drinking': 0.005004206048774294, 'looking_around': 0.004850003206549168, 'transferring_object': 0.004806572416635309, 'pointing': 0.004146825396825396, 'closing': 0.0037403474903474902, 'pushing': 0.003472222222222222, 'entering': 0.003051624061648239}",False
26559deb-c8c6-47d0-bb06-f6c8b8d5d7b1,1761658304.1953876,0.2859179662757283,False,7,"['gyro', 'video']","['d11e013d-5360-4b5c-941a-f6269dfa7630', 'be7d4fcd-1eac-493c-9628-28f227592b7f']","['efe598be-90b2-4ba2-9e8f-f2e1b9052b3c', '3eefe9eb-51e9-4870-917b-45268d27e672', '9abdb08d-7816-481f-ba88-edc82395e18b', '8ebe2888-f79b-4a37-bf5d-4758051f3b2f', '86c76945-46dd-4a9e-beb1-fc33d4b1b41b', 'ec7c83ee-2aeb-471b-9ae0-11021db261a9']","{'jumping': 0.40514409280258684, 'carrying_heavy': 0.21237957579707434, 'entering': 0.08597016788366724, 'talking_on_phone': 0.02320395749428549, 'running': 0.023016861411291407, 'standing': 0.02209434884099669, 'exiting': 0.022026089746918536, 'looking_around': 0.02202037764940082, 'using_phone': 0.021721148332082597, 'crouching': 0.017729721858162226, 'pointing': 0.01735260594427743, 'carrying_light': 0.012379440131733711, 'pushing': 0.012071101683969734, 'loitering': 0.011339496229894719, 'pocket_out': 0.010356386732533522, 'sitting_down': 0.009959881388452817, 'pulling': 0.009040184559257472, 'Carrying_light': 0.008110142219453961, 'using_pc': 0.007987830240577493, 'standing_up': 0.006410256410256411, 'setting_down': 0.0063613231552162855, 'transferring_object': 0.005792356910671992, 'sitting': 0.005116959064327485, 'drinking': 0.00486697682822169, 'kicking': 0.0043859649122807015, 'pocket_in': 0.003501438575538787, 'checking_time': 0.0031806615776081427, 'carrying': 0.002564102564102564, 'closing': 0.0025445292620865138, 'opening': 0.0013720197930724247}",False
d21d85af-99af-43c3-ba3e-852c941c9263,1761658304.2773304,0.6745202664725123,False,8,"['orientation', 'acc_watch', 'gyro', 'video']","['53459e49-9fdc-4eb7-89ad-0317b9753d72', 'edb1bab6-9c19-44d1-a05b-b6ab5fc66e03', '051b3b9b-5d88-40a8-9fbc-5569a471ec6a', 'd404ed28-2d16-4e10-be33-cdb32c12ab37']","['4f808480-489e-4ccb-93b6-9009d51ad5a4', '180a1f6a-6cdf-47ef-947e-0ac60da5790a', '259b61e1-ebc7-4636-95cb-5a2fe8e62fd1', 'a29b71f7-578c-4c54-994e-88897742fd5e', 'de9be958-73b4-4579-a125-676e39910551', 'aeb17b35-7f65-422b-b1af-7b3696d24011', '45d5ee60-0dd8-4638-95b2-8811967444fd', 'e3c4008b-8776-47be-ad5e-a143e8dcf21d', 'e18dc6fa-46c4-4f7e-87e7-918da21e7a0c', 'f51fb76c-d54b-4a2c-8700-d236a3a6448f', '24adc455-c6a3-421b-a582-42e3ab70d76b', '1b167c5c-9f97-4deb-83a1-46f71331f023']","{'waving_hand': 0.2882513468017344, 'sitting': 0.1308216376805926, 'using_pc': 0.08041998850822381, 'drinking': 0.0618634171674419, 'carrying_heavy': 0.05632053583141419, 'carrying': 0.04161756686449399, 'walking': 0.030247280190480785, 'looking_around': 0.03020534472265693, 'running': 0.021149288975486125, 'standing': 0.017632551269067948, 'kicking': 0.016361976333590943, 'using_phone': 0.01631432364168496, 'standing_up': 0.015815871852972414, 'Carrying_light': 0.014835581550410886, 'talking': 0.014093429682423012, 'closing': 0.01285982145296283, 'talking_on_phone': 0.012414875242202722, 'entering': 0.011930548572705436, 'pocket_out': 0.011821116556072346, 'throwing': 0.010326272483266759, 'sitting_down': 0.010275480897872903, 'jumping': 0.01011007629993725, 'picking_up': 0.009702919161056875, 'pushing': 0.0084478061786356, 'setting_down': 0.008127867654815697, 'crouching': 0.0074018959435626095, 'opening': 0.007138469907955812, 'loitering': 0.0058224554866167545, 'pulling': 0.005658436213991769, 'carrying_light': 0.0056152547090823806, 'transferring_object': 0.00537664765605942, 'checking_time': 0.0053754470951573674, 'fall': 0.004910714285714286, 'pocket_in': 0.004747103356424662, 'pointing': 0.00444343989668836, 'exiting': 0.0015432098765432098}",False
e4dcb803-bd42-41e7-b65b-870ee8823692,1761658304.3506737,0.190939124247445,False,8,"['acc_phone', 'video', 'gyro', 'orientation', 'acc_watch']","['d0d6190c-45a5-4647-988d-e0aaeb0f44e6', '9c5b4056-678f-4639-8861-72d1c871539d', 'f8dba663-5cd2-4f17-a09b-537cd8ecbe67', '21535fce-2deb-4d14-9024-48193cc1a5e1', '890b2f50-8701-4a75-a0c4-41ccb594104b']","['ef8ebe75-27a3-49d4-bbe4-f359ab954cf4', '6e4ab77d-0f9b-4414-80cc-88f1d87a4121', '0d200ee5-f730-4cba-8617-75f0d0cf8d97', '6a9b163a-5258-4571-ab8d-e78d02fb511a', '2b2dfeed-ac24-4c02-b44d-500d0f05063d', '8f025f74-75a2-40dc-8a7c-ec84255dd419', 'e8210109-6799-4d5b-8cbc-e794d39d09cd', '7effc067-0fc3-4a99-92c2-0473bc93494c', '5bffab82-6c92-43c7-af5d-c973f83968e0', 'f19420de-1492-4875-8f01-30b8d649bcf5', '7400d6f6-52ce-4061-8e9b-6a8084973a18', '2c96349a-40ef-4c4a-b345-c17c2f631347', 'f6393eca-2ca8-4cf2-9bc3-e6bb41a17def', '04b3ada5-1e8c-461e-8e18-2de8571dfcca', '71d58b3e-a736-4599-89f3-13cadc9aa32e']","{'kicking': 0.3481895844359766, 'loitering': 0.11016443261829495, 'looking_around': 0.06343154034761105, 'checking_time': 0.060079391842278486, 'using_pc': 0.04893500771667076, 'pushing': 0.04799270348750418, 'Carrying_light': 0.03329721410289416, 'closing': 0.028229796236877887, 'pocket_in': 0.02706824748534431, 'exiting': 0.026347856070935014, 'carrying': 0.0216615689992452, 'talking_on_phone': 0.020278284246755072, 'using_phone': 0.01663645577200414, 'pocket_out': 0.012107081014776417, 'standing': 0.011988323976383738, 'transferring_object': 0.01096989966555184, 'pulling': 0.010718883276165485, 'fall': 0.009807057588119674, 'setting_down': 0.009087109834138695, 'sitting': 0.008895885136600131, 'opening': 0.008574345632550402, 'pointing': 0.0070732848719308634, 'sitting_down': 0.006516382419359254, 'entering': 0.005777953957581852, 'jumping': 0.005446652927327624, 'talking': 0.005380187946357097, 'carrying_light': 0.005367275693010059, 'drinking': 0.005239892028841462, 'crouching': 0.004687249282153022, 'walking': 0.0046596885647152775, 'waving_hand': 0.002923348166582435, 'carrying_heavy': 0.0028451254318762205, 'picking_up': 0.0027729850289975404, 'throwing': 0.002772138416145572, 'running': 0.002464695561322121, 'standing_up': 0.00161247021712138}",False
336d1087-0a80-43b5-a7b6-3a2738853a04,1761658304.4118855,0.3636259715059817,False,1,"['video', 'acc_phone']","['efa4354d-35ef-4ee8-afa1-f48188025101', '52384759-8b80-4c57-8055-7a7b97ae4f59']","['89d68a63-91ff-4893-88b2-e8ae66e8b9a8', '1e3dadf7-7f2a-4b28-bea7-f164e0eafad9', 'c97a501c-8412-48a0-9fd1-0447fa716263', '19141591-7eab-4f25-a409-f7ae51f401f6', '48b5df6b-0538-4cec-bb2f-81e9a3054233', 'fd2410c4-6c8e-4816-8289-f77517eb5181']","{'loitering': 0.12753130964204848, 'talking': 0.11869618696186962, 'throwing': 0.11224042185267245, 'carrying_light': 0.1059190031152648, 'Carrying_light': 0.09730909399101617, 'kicking': 0.08841244129181836, 'drinking': 0.025489663523427176, 'exiting': 0.025399358641478142, 'carrying': 0.02366597386164412, 'pulling': 0.022213981191545273, 'checking_time': 0.017736219725630924, 'using_phone': 0.017352848689062037, 'picking_up': 0.0166833205979741, 'entering': 0.015927082347746552, 'transferring_object': 0.014910669116276592, 'standing': 0.014282513153125427, 'talking_on_phone': 0.014245014245014245, 'running': 0.013872857789355347, 'crouching': 0.013480281901334533, 'fall': 0.012722511482913361, 'sitting_down': 0.012018514921991326, 'closing': 0.011756328089596686, 'opening': 0.010391030899644516, 'carrying_heavy': 0.010315073071430743, 'pushing': 0.008619651752524568, 'pocket_out': 0.008566978193146417, 'setting_down': 0.008519453615588786, 'pocket_in': 0.008385744234800839, 'using_pc': 0.007894736842105263, 'waving_hand': 0.006150061500615006, 'pointing': 0.004539766222009213, 'looking_around': 0.0024154589371980675, 'sitting': 0.001557632398753894, 'jumping': 0.000778816199376947}",False
3f4b3a28-6054-42a5-8aad-b4bbced05e71,1761658304.4721525,0.0359967782330981,True,2,"['video', 'orientation', 'acc_watch']","['76afdd43-06a0-4c69-affb-214da38399cf', '394f4f15-4aeb-48e5-b101-cb7d79588f4a', '4de34fa9-db0a-4215-8e89-415dfe7db1e5']","['ccf0a40f-6daf-4dac-9334-8a412da5f162', 'f000c827-ab09-4346-8cb6-c931a9b3bd92', '3bcd0990-ac6a-4fd4-a55b-6a2b665095bf', '6c98b39f-a840-4f95-9fc8-05380c5bfc68', '921d5d72-cf24-4d53-a8c1-1e11ce1559fd', '601f6656-2aad-452f-b698-6f5564154b0f', '8d77ed84-63db-4a5e-b7b2-144b19318f57', '047a076e-cdb8-4cac-9a0e-49779aff9b23', 'a7cddb7f-c176-42a7-b619-23659b5a5581']","{'pushing': 0.28579479915225675, 'standing': 0.09254797684974862, 'checking_time': 0.08632555046413083, 'pocket_out': 0.08505361210739427, 'setting_down': 0.06350421498056052, 'talking': 0.05139024126365899, 'carrying_light': 0.04215300639351273, 'drinking': 0.024826794804394828, 'pulling': 0.019936051019577548, 'transferring_object': 0.017938545564662865, 'sitting': 0.016743774534716677, 'picking_up': 0.015336775823992704, 'pointing': 0.015214630685181233, 'carrying_heavy': 0.014384447266740298, 'fall': 0.013310768812762684, 'throwing': 0.01296158969056949, 'carrying': 0.012566562450925807, 'pocket_in': 0.011880009309711413, 'looking_around': 0.011429740711508667, 'loitering': 0.010966390819096915, 'entering': 0.010186556312972248, 'using_pc': 0.00996237432799105, 'crouching': 0.009058335007702097, 'standing_up': 0.008755562563509582, 'kicking': 0.008236449115021034, 'waving_hand': 0.00804973646422959, 'sitting_down': 0.007358351729212657, 'closing': 0.007035807278419536, 'running': 0.005679974034404414, 'jumping': 0.00520087371298444, 'opening': 0.00461361014994233, 'talking_on_phone': 0.0033051461295166965, 'using_phone': 0.002554278416347382, 'Carrying_light': 0.0024554941682013503, 'walking': 0.001702852277564921, 'exiting': 0.0015791156068768126}",False
01570833-bec5-4f71-b982-fc3ec11a92ad,1761658304.5308366,0.0848027145323656,False,1,"['acc_watch', 'acc_phone']","['6ef3c6d0-d299-4bf5-b1c6-a1a0d2b2de8a', 'c4d28e59-ef92-441c-ab57-48da3f4852cc']","['d844b9d6-4e56-4387-be86-04cbc898dcb0', 'fefa4310-354e-4b5e-bcf4-d291ff2b87f3', '20281cb1-de5a-495a-9ce1-d4d70bbe492c', '2a919464-2963-430d-8c39-289ae75f6a94', '76f6f2c4-e479-4fbf-93df-41b6cc907e62', 'e2b5f971-3529-4860-a028-3921f2cf2493']","{'looking_around': 0.21575335229918746, 'crouching': 0.12500250893598427, 'throwing': 0.10890700850540208, 'walking': 0.08787878787878788, 'drinking': 0.07608821473349353, 'entering': 0.06008926474042753, 'sitting': 0.05470004211817101, 'using_pc': 0.031153425940377715, 'pocket_in': 0.021713933926046546, 'fall': 0.01945683576917753, 'standing_up': 0.01630594435646981, 'pulling': 0.016081592048249375, 'talking_on_phone': 0.012121212121212121, 'carrying_heavy': 0.011869356906035538, 'pocket_out': 0.011545223212250605, 'waving_hand': 0.01119291982745798, 'closing': 0.011092856273579164, 'checking_time': 0.01087911177396636, 'carrying_light': 0.010641296687808314, 'transferring_object': 0.009532036286409544, 'opening': 0.008013768000132091, 'setting_down': 0.007809955336098617, 'running': 0.007295173961840629, 'standing': 0.006734006734006735, 'picking_up': 0.006201550387596899, 'Carrying_light': 0.005988023952095808, 'carrying': 0.005434194691222804, 'pointing': 0.005134632489690305, 'jumping': 0.005050505050505051, 'pushing': 0.004494024000192386, 'sitting_down': 0.003875968992248062, 'talking': 0.0033670033670033673, 'kicking': 0.002994011976047904, 'exiting': 0.002796420581655481, 'using_phone': 0.0016835016835016836, 'loitering': 0.0011223344556677889}",False
ae48b7f6-f77c-40b8-b40d-8d6d4bce8d78,1761658304.594945,0.3096448544682946,False,8,"['gyro', 'acc_phone', 'video', 'acc_watch', 'orientation']","['b4ae85f9-0d69-4bad-8492-f9fcea56e906', 'd8d28d47-152a-4d0c-b0b2-2201b9c6ef4d', 'ed078586-30c2-441b-8758-5a0ff6f09c9e', 'ca236885-fd92-4440-85c0-e19dc4761e23', '6f723298-d3ab-411a-ad9f-5e5e94cecf8e']","['4a8ba441-d3d9-43f6-b5bd-b011dbcabfba', '2a34b3ec-4919-4fab-827a-fa05c2dde92a', '8a1e23c0-0e76-4833-abeb-09a6bde163df', '68a8cf3e-49bd-41bb-9101-7b952cf07f6c', 'fedad4fa-1c29-4418-a803-bbce71ecdc61', 'beee73c8-8ae5-4eb0-a8dd-774f1eba577c', 'bcb1ba45-e6f6-4adb-aea3-1863a17d71fe', '0cf8dac7-c225-40d4-ab0c-492a3ae9559b', '683f2bf8-9820-4a2a-b358-5438ff187110', '7f1774df-dc1f-4365-be93-23f0e6c3def9', '9fb69454-6e62-47ed-97df-640af762862a', '02bdcb2a-abd9-440d-bbc6-5645e98dc6ec', '711e9821-37a2-482d-8538-db92ae9eb2a2', '29a7d9a4-79f0-4c16-87d8-6d684fac47d5', '29cdfd65-10ea-47f9-a9d9-2d389acc2e99']","{'Carrying_light': 0.17271787019700105, 'waving_hand': 0.08735899554543654, 'standing_up': 0.07187914457980916, 'pocket_out': 0.06043215573234218, 'talking_on_phone': 0.055129643711589446, 'opening': 0.05268142607834449, 'loitering': 0.050062711955704775, 'pulling': 0.04464973118770587, 'pocket_in': 0.04357044571654465, 'carrying_heavy': 0.03937824485756102, 'kicking': 0.03818511821102203, 'running': 0.031957167032787004, 'carrying_light': 0.02126844778678109, 'looking_around': 0.01862544029852127, 'drinking': 0.01858150539964426, 'using_pc': 0.01751975722861805, 'sitting_down': 0.01609218113819341, 'checking_time': 0.015160876276271199, 'walking': 0.01412775154675933, 'setting_down': 0.013961455534956816, 'entering': 0.012599200749677944, 'using_phone': 0.012200539292563832, 'picking_up': 0.011081439642218608, 'pointing': 0.00975156291587657, 'pushing': 0.008930261948974113, 'throwing': 0.008458956191753934, 'transferring_object': 0.007302128588981346, 'carrying': 0.00701907257078841, 'exiting': 0.006322868340477001, 'standing': 0.006233148688625489, 'crouching': 0.005383398815660704, 'fall': 0.004906117278965092, 'closing': 0.0047689245194941325, 'talking': 0.004579082389439967, 'sitting': 0.0042924931006412936, 'jumping': 0.002830734950267901}",False
a4f3f3bc-52f6-4800-9e37-dbcc14d91d43,1761658304.6540222,0.0077500933598858,True,3,"['orientation', 'video', 'acc_watch']","['4621ad3e-ce02-4e67-81d9-cdaaa8aacd74', '15dc45f6-4ca0-46f3-bf4d-e51a7f89e0f9', 'e88c210d-2957-4f01-9d54-6db4816d79dc']","['640d068a-68ef-4ef8-99ba-033666953c1e', 'eda82aac-c560-4fb6-bd77-b46304248f04', '6a2738d5-0c84-4b36-8d95-035376a76f97', '1a9a2222-99a6-4bb7-b554-b23332e5adfb', '7689fe77-74d9-41b7-ae19-2bc41689edf1', 'b957fc06-eb7b-4eb5-903b-c40a22b14fca', '6544d9f7-b348-4489-81b2-1c989167d8cf', '0a232695-3497-499f-8330-1fe54b1ba704', 'd50c8e16-abd2-43ed-a325-ddf134d35efd']","{'sitting': 0.14360621293228532, 'exiting': 0.09639176628152749, 'pocket_out': 0.08899398275401389, 'throwing': 0.07982246714969499, 'entering': 0.07693233543417367, 'transferring_object': 0.07386566961586397, 'carrying_heavy': 0.058624961960423244, 'standing_up': 0.04603101304934212, 'carrying': 0.04376786976823688, 'jumping': 0.032552083333333336, 'pocket_in': 0.03149801587301587, 'walking': 0.023248792270531404, 'pulling': 0.015700961531294844, 'looking_around': 0.014542427650389926, 'Carrying_light': 0.014540777757868415, 'pointing': 0.014273394543002384, 'crouching': 0.014011268216526521, 'loitering': 0.013915994536581152, 'running': 0.012584535261559289, 'fall': 0.01257415089591653, 'talking': 0.010687189448643782, 'kicking': 0.009788698087930823, 'standing': 0.009112363242398409, 'setting_down': 0.008190626976040382, 'waving_hand': 0.0078015581232493, 'using_phone': 0.0068560354898803315, 'talking_on_phone': 0.006614458518152943, 'opening': 0.006491056291916668, 'closing': 0.00531108344506161, 'checking_time': 0.004894762604013706, 'using_pc': 0.004485852311939268, 'drinking': 0.0029613535316957373, 'carrying_light': 0.002667416945840313, 'picking_up': 0.0025319599205320896, 'pushing': 0.002259490615003923, 'sitting_down': 0.0018674136321195143}",False
