query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
286100a8-badb-479b-af3c-7a70c36d4677,1761546761.0820005,0.2900880514269617,False,9,"['acc_phone', 'acc_watch', 'video', 'orientation', 'gyro']","['cf58c16d-236c-48fd-94d8-fbeede145393', 'abca89bc-3ae9-4392-a2bb-0b1703aeff3b', '560ad733-023d-49a1-9413-90509c17c655', '6a30e5d3-c8ea-46cc-90ce-dfad5924cd7b', '4a3fe7d7-5e92-48fa-8eec-d134fa71ccdf']","['1a5a63e7-b14d-49b9-ad84-a4f510c4c6bc', 'fde76b3d-c0ac-4336-89e5-4327a535203f', '0cafdc37-98c0-4a2a-ab15-bf8c9b7a82b5', '8027bb18-bac2-4060-9e45-e139fd485840', 'e4f98803-ad79-4c13-a8ad-3e00f57030de', 'd4870a73-d25f-4f61-ab46-356582562ade', '1817ff60-bcd3-4868-9231-86969dde176a', 'a4b07326-0438-4508-8b9c-8c7ff464e132', 'f1da2b3f-56b2-45a2-a34d-ac1427e877e6', 'ff71578c-2c5f-49df-b2c5-b1fae4ed9b72', '69be361a-6e89-4003-9930-c1e5c76dd2e2', '9bea7d9b-e1d4-4988-bcaa-d2a837016024', '07dcfc01-ee9f-4da7-9972-92b1942500f7', 'ed3ea025-89a4-45c2-842f-6cff7e268178', 'e48e6e94-ff50-4f87-ad87-c0e32208c223']","{'walking': 0.15209683204085003, 'using_phone': 0.10001430686054942, 'using_pc': 0.06348599494876897, 'sitting': 0.053316370467224795, 'fall': 0.05151276496486694, 'loitering': 0.051257296364645585, 'pointing': 0.05068792606982833, 'Carrying_light': 0.046115525609355466, 'throwing': 0.043874858099218726, 'talking_on_phone': 0.04378854760944314, 'carrying_light': 0.04018019158960686, 'pulling': 0.03565406973326433, 'carrying': 0.03508385685385459, 'sitting_down': 0.023222736773921372, 'waving_hand': 0.02127307776541949, 'transferring_object': 0.020111497350894257, 'exiting': 0.017437011046951285, 'pocket_out': 0.013697463382831253, 'opening': 0.011002815702361252, 'kicking': 0.010178015710506156, 'standing': 0.010048089351852228, 'carrying_heavy': 0.01004092495254123, 'closing': 0.009968751666400042, 'jumping': 0.009937367597593614, 'pocket_in': 0.009255465337287612, 'pushing': 0.008409274210664834, 'standing_up': 0.007937691873274243, 'checking_time': 0.00782090191272512, 'looking_around': 0.0076104705314064235, 'crouching': 0.007255292940876301, 'talking': 0.0063721135714790616, 'running': 0.0062755132116656155, 'setting_down': 0.005820901954037149, 'picking_up': 0.004575770432048759, 'entering': 0.00416551099698505, 'drinking': 0.0005148005148005148}",True
f169a985-b1dc-4320-913b-b38d2fcebe03,1761546761.1439798,0.1388213344981602,False,2,"['video', 'orientation']","['e1c51528-1527-4b83-96f4-e2c8686a628b', '5697bc2f-a2fa-4664-9240-928e470df04d']","['70d2336a-042c-4b95-809e-da8488833af1', '935394f4-37bf-4dbb-a991-a6f7ef0855fa', 'b4b2ace3-523e-4068-a686-13b27d432714', 'b9526082-7d86-42be-a1f8-c061bd5139a9', '0de917d9-9a2e-45bb-91a3-49ab78a57ef2', 'fb02cd9e-d8da-44a7-be2c-9ac9090b3883']","{'carrying': 0.11917098445595854, 'closing': 0.11787907492771244, 'looking_around': 0.10308285163776493, 'crouching': 0.09924213345527895, 'standing': 0.09856372766208832, 'pocket_out': 0.09615384615384615, 'transferring_object': 0.04575479707930039, 'jumping': 0.031531531531531536, 'drinking': 0.026231366070748236, 'pointing': 0.019847997501838768, 'kicking': 0.01758585995759915, 'carrying_heavy': 0.01758002605955296, 'pulling': 0.016829260392403983, 'pushing': 0.016274744254018866, 'talking_on_phone': 0.01614308609127262, 'exiting': 0.015864319552844144, 'setting_down': 0.01420907062948877, 'fall': 0.01329214826624153, 'talking': 0.01182526491496168, 'picking_up': 0.011009601697225127, 'sitting_down': 0.01100356597045339, 'carrying_light': 0.00971797180675485, 'Carrying_light': 0.009633911368015413, 'running': 0.009516138655211503, 'using_phone': 0.009038106611659972, 'opening': 0.008258258258258258, 'checking_time': 0.0068982917343573084, 'loitering': 0.005454275974507188, 'entering': 0.005210899090452502, 'standing_up': 0.004816955684007707, 'sitting': 0.004415011037527594, 'walking': 0.004098360655737705, 'pocket_in': 0.003003003003003003, 'throwing': 0.0008635578583765113}",True
1777d064-53bd-4906-ae07-1929b8915369,1761546761.225031,0.2954569657279997,False,3,"['video', 'acc_phone']","['678814cf-752d-4961-a00d-4cf53031396d', '1d2112b7-14ef-4a7f-bb08-c28239c51ca2']","['3a819299-cf2d-4e55-bc44-be693163bb36', '9c7b96fe-ed82-48c8-9895-086d945e536e', '34f7c249-4390-484a-8c24-68126ded02d1', 'd0c4279a-68be-46ed-8c34-0ab7c77ba4f8', 'f147a6fe-d3ef-4558-8e98-78e2c02a0a4d', '80463fe1-4efb-41e5-aab3-b386eb3ba319']","{'standing_up': 0.26504499001943, 'standing': 0.12878787878787878, 'drinking': 0.10943396226415093, 'pocket_in': 0.08529683595210132, 'carrying_light': 0.04113039851956108, 'kicking': 0.035147392290249435, 'closing': 0.026720365422072522, 'pulling': 0.02431033387441976, 'entering': 0.02159526297457332, 'walking': 0.019544501619973318, 'talking': 0.0195296075489402, 'Carrying_light': 0.018305661983822902, 'using_phone': 0.017957351290684622, 'setting_down': 0.01750788810537238, 'crouching': 0.016943380161770966, 'transferring_object': 0.015151515151515152, 'opening': 0.015146750524109014, 'talking_on_phone': 0.014101741325461001, 'pushing': 0.013888888888888888, 'waving_hand': 0.011526832955404383, 'jumping': 0.011422991349099723, 'loitering': 0.010719439290867864, 'looking_around': 0.01056252176941832, 'throwing': 0.008620799186836923, 'pocket_out': 0.008565438754117999, 'exiting': 0.007575757575757576, 'using_pc': 0.005660377358490566, 'sitting_down': 0.005131777545570649, 'sitting': 0.003401360544217687, 'carrying_heavy': 0.0033670033670033673, 'pointing': 0.0030864197530864196, 'carrying': 0.0025157232704402514, 'checking_time': 0.0022988505747126436}",True
89df9b14-6eaf-44fd-9f1a-0275cb6eaec5,1761546761.282148,0.0556437671130682,False,9,['acc_watch'],['3a7823d5-fccb-4887-b972-24a47c029f74'],"['317847d4-f178-454c-a3e9-72c95b117529', '4e01aba2-192d-4132-b120-d042b32c92d4', '5818ad13-484b-4b81-b0d8-4197bb3b67d2']","{'picking_up': 0.22098765432098766, 'pushing': 0.20281552535749178, 'opening': 0.19208013044491032, 'closing': 0.09224318658280922, 'walking': 0.07113420374811262, 'pocket_in': 0.029683758234502543, 'using_pc': 0.02306599165112354, 'talking_on_phone': 0.020225329170625764, 'pocket_out': 0.01961097788435918, 'using_phone': 0.016538551129746098, 'carrying': 0.013402611244337864, 'looking_around': 0.011990407673860911, 'sitting_down': 0.011111111111111112, 'throwing': 0.010482180293501049, 'Carrying_light': 0.00959232613908873, 'pointing': 0.008385744234800839, 'exiting': 0.008242462633666651, 'kicking': 0.007337526205450733, 'loitering': 0.006289308176100628, 'checking_time': 0.0049382716049382715, 'standing': 0.004831690203392841, 'standing_up': 0.003703703703703704, 'crouching': 0.003144654088050314, 'running': 0.0024691358024691358, 'talking': 0.0023980815347721825, 'drinking': 0.0020964360587002098, 'pulling': 0.0011990407673860913}",True
f06fe186-fb35-46cb-8a26-03da4df6fd21,1761546761.396459,0.0408496694674071,False,7,['acc_phone'],['114aaa7f-0e50-4f5b-aa69-e2963c44253b'],"['ec1e80f9-970a-497a-9dc3-e4fd35b056da', '6424b2aa-7422-43b2-8186-3ae70d49684f', '28200c8e-d0f6-4859-8405-305c0be1f7ac']","{'drinking': 0.6545326166882257, 'throwing': 0.04952404120083772, 'looking_around': 0.03082940651082571, 'exiting': 0.02985925036188364, 'sitting': 0.02653300070836798, 'fall': 0.024176907203794385, 'pointing': 0.021013192391203916, 'kicking': 0.0189873417721519, 'walking': 0.014767932489451477, 'running': 0.012658227848101266, 'picking_up': 0.012593141727493916, 'waving_hand': 0.0121654501216545, 'carrying_heavy': 0.010948905109489052, 'pulling': 0.010548523206751056, 'jumping': 0.010416666666666666, 'closing': 0.010074513381995134, 'talking': 0.009114583333333334, 'using_pc': 0.00851581508515815, 'using_phone': 0.008438818565400843, 'entering': 0.007869044319196772, 'opening': 0.0078125, 'pocket_in': 0.00390625, 'loitering': 0.0026041666666666665, 'carrying': 0.002109704641350211}",True
6f7f1fd1-588a-460c-8192-4c4db4aa49c9,1761546761.445041,0.1303942524831503,False,1,"['acc_phone', 'gyro', 'acc_watch', 'orientation']","['51418b40-1b19-49d5-b7e6-95965f27d847', '70368485-a80e-4634-9d07-4ad06595d42b', '1e2acaae-ba15-4cc4-84a2-cf9c95a8a6bc', 'cbca0472-394b-4c9c-992b-da6ed34cf016']","['dee1a5a7-e122-4bd7-9dd4-2cf5608ed2dd', '36229db7-42ad-4848-8975-52efcd0e6d9f', 'd9085dbd-fb0e-4b18-bf9d-4e62a0e8ee61', 'fd92c4f3-0cd3-4323-8e5d-79f9ec914626', 'e81805b2-9830-44c8-843e-35185a4387cb', '27f0cf36-3320-43ac-8c24-ef9934227eca', 'b3c109f3-7393-4435-9ce0-9a33a1d88e85', '21e0e8a2-b505-4d7c-ab88-47733c8cec5d', 'a05d5577-01ae-4af4-840a-4367d8eb2ba1', '9dd75dc4-359a-49d1-8fd1-f0a56e8b1937', 'be8682f6-56b0-4db9-a4b2-29ab6dc572e2', '6d536676-5ac4-4c4f-80fa-ecb0b04edd96']","{'carrying_light': 0.3191495005513179, 'pocket_out': 0.12241495641275761, 'using_pc': 0.059967688215007704, 'talking_on_phone': 0.05749582165760966, 'transferring_object': 0.05577142297849507, 'opening': 0.054639881327335466, 'pointing': 0.03465408733421614, 'kicking': 0.01821273706928189, 'fall': 0.018136040919318204, 'carrying': 0.01807458408229864, 'sitting_down': 0.0173916210033847, 'checking_time': 0.016224719427898396, 'looking_around': 0.016089408486929316, 'jumping': 0.015865247055267137, 'exiting': 0.013434363709353673, 'crouching': 0.013235444299636004, 'talking': 0.013187904139998078, 'sitting': 0.012426274745237283, 'standing': 0.011356815831524003, 'closing': 0.011088614683216326, 'waving_hand': 0.009873261131891813, 'pulling': 0.009723519929241562, 'using_phone': 0.00954938874264443, 'running': 0.00952340746765608, 'entering': 0.009346535754649552, 'Carrying_light': 0.009072861689133821, 'pushing': 0.0067805716741886944, 'drinking': 0.006619336618194929, 'setting_down': 0.006530666013424635, 'standing_up': 0.005908146819429365, 'pocket_in': 0.005627449776385946, 'loitering': 0.00546448087431694, 'carrying_heavy': 0.0027411910390633793, 'throwing': 0.002492877492877493, 'picking_up': 0.001929171046818106}",True
b1e8d2f2-6b2b-4c31-aebc-ea5d156529d4,1761546761.556003,0.721786442801287,False,3,"['acc_phone', 'gyro', 'video', 'acc_watch', 'orientation']","['09fb28b9-755f-4596-aeb8-19cfaef9b95f', 'd69b27f3-c3bc-4df8-9f68-54cc9d20e33d', '454264c0-0b1b-47fd-88ae-78c78977fd37', 'b5d76deb-aaab-4535-b324-5224b8396429', '23172ffb-f280-4634-b78d-b380978c202f']","['eacf5f89-9987-4e8b-b3ff-6d884911bfb8', 'c9100aee-b8d0-4b2d-863b-d483f108a6d7', '795a134d-5601-4f8b-8349-8c86d3d85930', '7b1c30be-6eff-4618-80ed-dd2bbd763681', '62318697-13dd-452d-90e3-8746fea21509', '2714d97d-62fb-42b5-9a83-8f8236032ee5', '0365f687-3886-48fe-ac07-3a4f0206a64c', '6073f586-4945-49e1-a2bc-927ab3a29d16', 'bdb1eac9-00de-4949-99d1-e48e9071c4f1', 'd42537ca-541d-4fbf-846e-1865c28e5a7a', '48f122c9-6692-46bf-b0be-b3326d47548b', 'cabf020f-7d50-42ba-af7e-0bd45a7fe5e0', '38af1222-a199-418f-918b-77a5f638261e', '87d0746f-da93-4e15-ab50-c1e6f9f77cf0', '3c970c79-0d81-4bbd-8504-c4baefde9bfa']","{'opening': 0.19740055119608874, 'pushing': 0.06866600708362759, 'sitting_down': 0.06302374186062247, 'jumping': 0.0628936187035349, 'sitting': 0.06178472757191871, 'standing_up': 0.055860640179318646, 'setting_down': 0.047348087756746524, 'fall': 0.04577577881095164, 'entering': 0.04377985680457133, 'Carrying_light': 0.04354939355445764, 'closing': 0.043512912742272446, 'pocket_out': 0.028870466452292198, 'loitering': 0.025714727948817965, 'using_phone': 0.023095803646610798, 'checking_time': 0.02298884817138083, 'walking': 0.014481132756845488, 'transferring_object': 0.013538376793955963, 'running': 0.01188750815723163, 'throwing': 0.011773888139548548, 'standing': 0.011413761018196503, 'picking_up': 0.010612060905273769, 'crouching': 0.009329155669784947, 'using_pc': 0.008288854729217943, 'drinking': 0.008005381665670287, 'carrying_light': 0.007590919079954574, 'exiting': 0.007452950790395446, 'carrying': 0.007447136498946722, 'talking': 0.007252771041725768, 'talking_on_phone': 0.0071844326455625255, 'carrying_heavy': 0.00602556857724507, 'looking_around': 0.005033547426856409, 'pulling': 0.0049448113356049105, 'waving_hand': 0.00482866391338319, 'pointing': 0.003612088560475733, 'kicking': 0.0030710434971866754, 'pocket_in': 0.00196078431372549}",True
921d8ae6-02c7-4385-9896-93e9e86df7ed,1761546761.5845747,0.1856633463466024,False,8,"['video', 'acc_phone']","['d88e1ef7-83d9-4632-9363-e4cbb156954f', 'd4a4b30d-38dc-4ea8-a36c-ddcfe40517dc']","['9b6e9bf7-f391-40f0-8f2e-028e7fcec873', 'b8940347-c551-4ada-a05c-7f9f6b7093f7', '479356b7-0ce7-4558-b0fa-696432f79920', 'b610ced1-5545-4346-aced-4423b1912355', 'd35f60fe-a4b4-40be-baa0-ff193f3aedb9', '3f208fb6-731d-4913-8901-84944ac4061b']","{'using_pc': 0.13970853782943315, 'pointing': 0.12445972630735876, 'talking_on_phone': 0.10637467578821937, 'transferring_object': 0.10320781032078102, 'loitering': 0.09998688182447191, 'Carrying_light': 0.0873079749368873, 'talking': 0.04945164132573469, 'throwing': 0.0264111330690478, 'standing': 0.025343647493892802, 'entering': 0.020125460401243297, 'sitting': 0.01739227603878522, 'pocket_out': 0.015625640774754992, 'carrying_heavy': 0.013476272241433223, 'pocket_in': 0.013354008562353836, 'carrying': 0.012663228177414942, 'waving_hand': 0.01246097582731246, 'walking': 0.011820330969267141, 'crouching': 0.011815825934057842, 'carrying_light': 0.010638297872340425, 'jumping': 0.010529295607385006, 'sitting_down': 0.009537426345374264, 'closing': 0.009456264775413711, 'using_phone': 0.009009009009009009, 'opening': 0.008804527348683571, 'fall': 0.008179534208364378, 'setting_down': 0.007460571909712101, 'kicking': 0.0070839997218552254, 'pushing': 0.007042575570494353, 'pulling': 0.006050605060506051, 'exiting': 0.005922165820642978, 'picking_up': 0.00338409475465313, 'drinking': 0.0020920502092050207, 'running': 0.0018018018018018018, 'checking_time': 0.0014716771566086635, 'standing_up': 0.00055005500550055}",True
63d66bd7-372f-48a5-8146-94d25df4b5db,1761546761.7028067,0.8364980912885643,False,5,"['acc_phone', 'orientation', 'video', 'gyro']","['69390dd3-af85-406f-a315-5babd000993d', '93491760-c7c6-4526-bfe8-f6385bbb7361', '6f3b13e2-ce94-47da-b90e-028144d8218a', 'de89d83d-140c-48c4-9312-9ce34d40f421']","['6130d830-2984-48b5-80bb-a79c0ca7d1ca', '0adad2cb-e8e3-427e-acc7-ea4e290b40a3', '1c4e3eb2-25ef-4149-9b5e-081db47ba425', '338b53f7-911a-4886-a7ee-13d9ea8e6d01', '179c21a7-4d8d-4daa-8c8a-3b502e59132c', 'a39ae84d-b875-4287-bcb1-4d0eac83cc1d', '53c54193-7d62-4d18-95f7-74819bd41b81', '5471c10c-0d7f-4daf-8a4e-0a0467fcb5c0', 'c18cd0c6-42d6-4f8b-98c6-84c0ae636b9d', 'b08db5c7-0a95-4b09-945b-dfa9b49ad294', 'ee9a08db-43a7-4b9e-a468-90d220b68bcc', 'e6e33691-2f8e-404e-8261-a50b0b767019']","{'looking_around': 0.17771209579534375, 'standing': 0.07560846390404961, 'exiting': 0.07111457304116882, 'waving_hand': 0.06042944041986845, 'throwing': 0.051199048945559676, 'fall': 0.05091039461574948, 'Carrying_light': 0.05087346192161623, 'opening': 0.048584191012823276, 'sitting_down': 0.04852307952215528, 'kicking': 0.048146879708828465, 'drinking': 0.04196111311362272, 'using_pc': 0.0339095744680851, 'talking_on_phone': 0.029742382318031804, 'loitering': 0.01786479639593488, 'carrying': 0.01627738451758499, 'pocket_out': 0.015782940540991244, 'pulling': 0.01567341694129152, 'setting_down': 0.015232065566988057, 'carrying_heavy': 0.013711675047314983, 'sitting': 0.013682718023275538, 'using_phone': 0.012620991658294757, 'talking': 0.01252942579617107, 'transferring_object': 0.011738758525934674, 'jumping': 0.009534419828537475, 'pocket_in': 0.009216727880588728, 'running': 0.008304904081276801, 'pushing': 0.0065850445900270844, 'pointing': 0.006531773704413264, 'checking_time': 0.006086465593989534, 'walking': 0.00528494221341843, 'entering': 0.004519169474546944, 'picking_up': 0.004105744939913048, 'closing': 0.00261437908496732, 'crouching': 0.0018587360594795538, 'standing_up': 0.001528820748157419}",True
99719555-4aeb-461f-9537-bd7b2dd6b4bb,1761546761.7399669,0.3545784135752983,False,6,"['video', 'acc_watch', 'gyro', 'acc_phone']","['18e68fb1-e61a-4c80-9d2b-ae8ccb398500', 'e6d5b92c-5836-461b-8d57-bd1701a76c5b', '06f6d800-6167-4d62-b18a-307c486f7783', '76be8b06-28ef-4e5a-bff0-aae91039686c']","['373eccc5-47c5-498f-901a-6b58f6f0e0cd', '01413fed-ba5b-49da-9f6f-7f4a6e6ffb69', '3bc49721-d139-4d80-99cf-0ad5903e4ea0', 'c4197dde-1a60-4e7e-9a6c-796a9a47fb04', 'fd2c873e-2b20-4ef2-b395-dfee70aa2c7c', '0e568d9a-a431-49cd-b29b-5f2c9a67e0a2', '379f2fdd-65e4-461b-b194-ea608989ff5c', '0dd9d1c8-995e-44c6-8261-9817024256d0', 'da61bc12-1ab2-435d-b40b-c911cae0c9f7', '93176fa3-5bff-4b7b-a3cc-59202f651b03', '9c363244-4c88-452f-9826-9ad7b40ded3f', '9d3451da-e554-45cb-a5a6-1db36276292c']","{'standing': 0.24225450271033366, 'talking': 0.07286786506153102, 'carrying_heavy': 0.062263184843830005, 'carrying': 0.06187535500319985, 'jumping': 0.05671180766256211, 'standing_up': 0.05161117243070885, 'setting_down': 0.042991205082172274, 'pulling': 0.04106389179559015, 'pocket_out': 0.035951682725876274, 'talking_on_phone': 0.033646794810553785, 'carrying_light': 0.03240976243333774, 'exiting': 0.024530584306944738, 'opening': 0.022206570957259014, 'using_phone': 0.01818181818181818, 'kicking': 0.01693594344260712, 'pointing': 0.016168459688058447, 'fall': 0.01565001794010887, 'entering': 0.014013049592597906, 'looking_around': 0.012760394308608597, 'picking_up': 0.012515058049714466, 'waving_hand': 0.011663809663613278, 'sitting': 0.011592803638704083, 'Carrying_light': 0.010173598651625001, 'crouching': 0.009574347966340218, 'running': 0.008086198264322757, 'walking': 0.007683799495868751, 'loitering': 0.007683786139132376, 'transferring_object': 0.007159992768262079, 'closing': 0.0070149619818494, 'drinking': 0.0068269762299613046, 'pocket_in': 0.006117566643882434, 'sitting_down': 0.005987654320987654, 'using_pc': 0.004713028906577294, 'pushing': 0.0035060630787307327, 'checking_time': 0.0030864197530864196, 'throwing': 0.002519871469643159}",True
