query_id,inf_time,remaining_inference_time,time_violation,time_window,data_sources,task_id,inf_id,data,explainability
4aa0ca16-4f54-431c-9a7f-85e7311499f0,1761540075.152071,0.5106756099069766,False,4,"['video', 'acc_phone', 'gyro', 'acc_watch', 'orientation']","['fd8f0f98-bb2b-43bc-87e6-0954a19babf3', 'f5afb02a-3b73-4095-8ebb-06fb779010ef', '53ef77ae-5e5f-4bde-afe5-d3b2afe38e06', '93fd7f47-a004-41ff-8307-34ad88df2048', 'f0c30966-2139-4d77-8335-f04050602501']","['ec76f8bc-d7eb-4fda-9538-f2633d72c923', 'af372d65-0ee2-41e3-aca0-bf832f37f90c', '7c6cad34-81f6-4126-ba46-5c8b00a30330', 'b6f29d4e-29fc-42ec-9be4-266c5d0e7174', '32fa6e7e-a68a-445b-8316-0dac90f4e5e5', '713ee760-0fea-4147-b612-be485a656e2a', 'fd14be84-0115-40c4-852f-0b95b17324c7', '68856712-655a-4069-a18c-fcc8c4b0e34e', 'fbd8bb41-d062-46ce-ae41-544c4b5ddb52', 'c5c797a7-efde-4d88-85bc-adb63b266331', 'dc8ef7ab-c992-4232-8904-3e9a0cd029c8', '474dcd2d-fc21-47a1-88ea-18437557a7c3', '147b25a4-9377-4214-8f4e-bc9e095bf499', '082bdebc-bde2-41d9-ac83-a75ec5b7fc1c', '125e18f0-c285-4ec2-9a85-21d561615430']","{'waving_hand': 0.22039676012215365, 'jumping': 0.09121867640247065, 'looking_around': 0.060737603191529425, 'pocket_out': 0.057207105351969274, 'checking_time': 0.050406059731664274, 'drinking': 0.04870012422198346, 'opening': 0.047990529877352875, 'using_phone': 0.046523522771604424, 'loitering': 0.046281681958909006, 'pushing': 0.03496884156887361, 'throwing': 0.029525442810573167, 'carrying_light': 0.02936018360078046, 'picking_up': 0.02549614888610565, 'standing': 0.023294785730149238, 'closing': 0.02282674915068605, 'Carrying_light': 0.016667028288146767, 'walking': 0.012800264631912842, 'setting_down': 0.01222478004057158, 'talking_on_phone': 0.010812284828493966, 'running': 0.010129275881562833, 'pulling': 0.009466821839966149, 'using_pc': 0.009292158458825124, 'standing_up': 0.0091878423249391, 'fall': 0.009082020501198584, 'talking': 0.008787345958109786, 'sitting': 0.008660989200165828, 'pocket_in': 0.00856583607022209, 'sitting_down': 0.008427870192576074, 'exiting': 0.005847317025110571, 'carrying': 0.005458506634977223, 'pointing': 0.005361843258434511, 'carrying_heavy': 0.00531332614665948, 'crouching': 0.004451822340268556, 'entering': 0.0028846153846153843, 'transferring_object': 0.001643835616438356}",True
07f54168-0085-480a-9147-c61179cafc96,1761540075.270339,0.0453958340722286,False,5,['acc_phone'],['8dc14339-ac8d-4a3c-9ae4-48612eb01e7d'],"['ea2de0a2-9fc8-445f-b085-57e6119a3f4b', 'ae1609f9-2816-493b-9d6e-3060744210f3', '2b15085f-898f-460e-b206-7f938d1b5fe6']","{'talking': 0.23394198394198393, 'waving_hand': 0.22165820642978004, 'sitting': 0.20260242671410186, 'pocket_in': 0.04601139601139601, 'fall': 0.03492953746760854, 'exiting': 0.029759129759129758, 'drinking': 0.027013727013727017, 'walking': 0.018518518518518517, 'closing': 0.017719496145892084, 'standing_up': 0.01692047377326565, 'looking_around': 0.016666666666666666, 'talking_on_phone': 0.015228426395939085, 'using_pc': 0.014814814814814815, 'using_phone': 0.013986013986013986, 'Carrying_light': 0.01353637901861252, 'kicking': 0.011844331641285956, 'setting_down': 0.011655011655011656, 'pocket_out': 0.009324009324009324, 'picking_up': 0.007407407407407408, 'throwing': 0.00724760293288212, 'standing': 0.006993006993006993, 'pushing': 0.00676818950930626, 'crouching': 0.005715097085655461, 'transferring_object': 0.005076142131979696, 'sitting_down': 0.004662004662004662}",True
0f0fa1a8-4b1b-468d-a013-bfe18374a964,1761540075.3692403,0.4850470877499743,False,7,"['orientation', 'gyro', 'acc_phone', 'acc_watch', 'video']","['8153a70f-dd78-4d12-9d3f-39df71ad7a29', '38dbca56-b4b2-4b2d-b9df-66e1022bf333', '500bf7c9-b46f-4aa5-82f7-8951e881c628', 'c64601dc-6252-4e53-9d58-89faa4101ac6', '7c6177aa-351c-4d98-bca0-d4d1a786602a']","['4673ac4a-7879-4ab4-bde2-d8d3ad6ff39c', '169d844b-e4d8-4abe-b051-9c789c780e07', '5d2dc3a3-e7c3-4dfa-9e48-6bf2b6bb0536', '650ecee4-2078-4bbd-8676-1fcf8febdb93', 'b27e91be-3b5a-40a0-9037-0ea2f2f7c86e', 'aaeb92e7-1a2e-4fdc-b9f5-9c74c19743fe', 'b2d72ca6-72d4-4aac-ac2d-de7a0a3f0634', 'd742eef0-35d0-491a-add3-4dcbb81efba5', '755c58a0-37b0-4073-b721-9f0b8d567e2b', '1f4f7569-2fe8-4f11-8475-0e85b797c6fb', 'c3af4494-e2f8-4148-89ee-7b256b35264d', '2a5d8c62-4b6e-451a-8c18-b80f273b19f5', '9e1f397f-ab7e-4dab-bee5-0610dc31cbeb', 'c602ab63-b8e9-4f5a-bb7b-6a8bdf244fd7', 'f60c26e1-4bbd-45b6-a95d-fadd486f81ce']","{'carrying_heavy': 0.1506079009214499, 'setting_down': 0.09893221318234427, 'kicking': 0.08661727817455873, 'carrying': 0.058741594102743114, 'entering': 0.05643121505037637, 'standing': 0.05475107636423929, 'talking': 0.05429127528137429, 'Carrying_light': 0.05049504132862557, 'carrying_light': 0.049616852698168665, 'transferring_object': 0.04941267687947026, 'jumping': 0.04751882392696717, 'pointing': 0.03246913206544665, 'sitting_down': 0.022657284587565076, 'using_phone': 0.016717528233185442, 'opening': 0.014272709848232552, 'waving_hand': 0.013971625732553011, 'checking_time': 0.011633429248028938, 'fall': 0.010666642938082466, 'exiting': 0.010471139641698657, 'picking_up': 0.009945005687350277, 'pushing': 0.009390639890464687, 'sitting': 0.008948106598383321, 'walking': 0.008564706290678402, 'using_pc': 0.008491789198647608, 'running': 0.007890763267795425, 'crouching': 0.007132651590780749, 'throwing': 0.006924442800751235, 'pocket_out': 0.006912800901948976, 'talking_on_phone': 0.0051611113101393226, 'looking_around': 0.004775037224056451, 'pocket_in': 0.004661051006634981, 'drinking': 0.004613637806028377, 'standing_up': 0.0045030745515220304, 'closing': 0.0044947679527118775, 'loitering': 0.004125825470272844, 'pulling': 0.003189148246723008}",True
2d68e294-6d79-4f86-87a6-52b277006371,1761540075.4442098,0.1772036170629485,False,7,"['orientation', 'video']","['e64dfbff-a472-4984-944f-248b9305123d', '5ba57cea-67bd-4385-83d3-004dc8faaa35']","['84d1bdcd-d134-427c-b08b-bb743a44f2d9', 'e5408a17-6338-4533-8014-6b9ff3120d56', 'e8cb121b-e302-43dc-82a2-c2b1ededc3be', 'e5b9dc64-0b73-469d-839e-eb377fb0d364', 'd611ca70-ba55-4be0-9be1-db81df42d0b6', '422bc1a8-eb84-4295-b6ff-c1d78636f0fd']","{'pushing': 0.2300775762120446, 'drinking': 0.11783327531990788, 'sitting_down': 0.11487521677187347, 'picking_up': 0.11134751773049645, 'exiting': 0.07236368860811157, 'running': 0.05245523661418173, 'pocket_out': 0.04084693657280245, 'using_pc': 0.029712718799589602, 'carrying_heavy': 0.02104500460401812, 'waving_hand': 0.02058152069752746, 'throwing': 0.01847680777736125, 'standing': 0.01823803134549887, 'standing_up': 0.01816097635742651, 'looking_around': 0.017098157437869663, 'checking_time': 0.012202548705779451, 'kicking': 0.01119055923729799, 'talking_on_phone': 0.00987074569443448, 'carrying_light': 0.009607617248913238, 'closing': 0.009396900373560557, 'carrying': 0.00816928917857221, 'setting_down': 0.007752515666566126, 'crouching': 0.0073245983090916384, 'talking': 0.0067264573991031385, 'walking': 0.005333587313681605, 'jumping': 0.00523168908819133, 'transferring_object': 0.0047814207650273225, 'loitering': 0.00476515993050215, 'using_phone': 0.004176839902336937, 'entering': 0.003952569169960474, 'pocket_in': 0.0034153005464480873, 'Carrying_light': 0.0029895366218236174}",True
06886689-4b07-4822-bc4b-ed9786eb3297,1761540075.56478,0.1589491990773799,False,3,"['gyro', 'orientation', 'acc_phone', 'acc_watch']","['239e8d1c-3d41-4a87-8534-081e4b7d267c', 'aa116cfc-f8ac-4d88-bf0f-649d9739a094', '13ef8f45-c2f0-4ad1-891a-d80f41f9adec', '91e706bf-0e55-4d47-89ea-548b3dd69a6f']","['bc2dac7f-611f-4e22-af8e-1b31d14487c5', '32cc6fd4-ae62-4974-b786-78658b40ec44', '7355331d-63ea-4e81-afa1-a73d3ad730f8', '61b0ceae-8acf-4798-8146-34943596b281', 'a654f65a-d95e-4044-a885-f62ebbc0f9a3', 'db02712b-ee23-4bd5-ad01-56a9381ca060', '08d7175e-fd54-443c-b61d-63712b1cf828', '5d447378-41ae-4a23-849c-8e90bdee2a51', '0a70236b-567c-4cf6-8282-4d46fc48a294', 'a9650b27-58f7-4d18-98bf-5ac210b99a36', 'e614d587-46db-4815-958d-31d2445e1fcd', '84315f35-df67-4e2f-89c0-8a3d861f97eb']","{'carrying_light': 0.2401095794531588, 'exiting': 0.10556900777766598, 'pushing': 0.07503065982324894, 'opening': 0.07481340254813897, 'throwing': 0.06122959209926932, 'entering': 0.0471811078056442, 'closing': 0.03529774028050981, 'pulling': 0.034809437399043415, 'loitering': 0.02669895665796723, 'carrying_heavy': 0.025814222325339326, 'talking_on_phone': 0.020136969608505032, 'crouching': 0.019535515295431443, 'standing_up': 0.01645243943179887, 'sitting': 0.014042736081807644, 'fall': 0.012870905285768829, 'drinking': 0.012332189300016186, 'waving_hand': 0.011316176698004513, 'carrying': 0.011149381142661072, 'pocket_out': 0.011108633771664106, 'setting_down': 0.010748473037348985, 'using_pc': 0.010534037256328803, 'Carrying_light': 0.010388294426826546, 'standing': 0.010214007653037531, 'picking_up': 0.010059346230959837, 'kicking': 0.009914567962335846, 'transferring_object': 0.009646302833928153, 'pointing': 0.009629617657970647, 'looking_around': 0.009294202962897185, 'using_phone': 0.009148167127330341, 'sitting_down': 0.00860821849159425, 'jumping': 0.008307558121110859, 'talking': 0.006602307207166942, 'running': 0.006598235117244521, 'walking': 0.006226053639846744, 'checking_time': 0.004549699423913027, 'pocket_in': 0.004032258064516129}",True
b3948730-6c7e-475d-9da4-2b8484298f8c,1761540075.704631,0.198561019783831,False,2,"['video', 'gyro', 'acc_watch', 'orientation', 'acc_phone']","['1a180377-1fd1-409b-8f78-ddbe3a1125bd', 'a306df41-1b9a-47e3-9789-c232462bd9b9', 'ceb983d3-0b26-42da-88c6-07433ca4a316', '4477c2d8-8c16-4490-8728-94a362a8acc7', 'b3f563c0-fcfb-4a30-94af-920b48f802e1']","['eaf1dc0b-7313-4ef0-bdfd-d1fdba7ee8da', '75b54e89-6a36-4016-9973-0fbe72419f4c', 'bc3f3aef-04e3-4481-8b43-3dc4b0b1a4f1', 'c6003a20-cef2-4cf5-b8b5-5de3d75c2614', 'f3ab8ce7-4e67-4ee8-8f69-37ccdbcb99bd', '4c157e47-7791-4748-9a2f-491dec5fb678', '1322c5d9-52f4-4687-bcd8-b0bc4ccaddac', '0bae5eb2-35bd-4d88-abba-6a156db017d5', '2d961c5e-e097-428c-9d25-1bd6e3d6ba1a', 'e73af65f-83ce-450a-bfff-041260036f89', '88019883-040d-42a5-98e5-5b19ea7071f7', 'e2b5518a-6824-4c7e-aa09-042eeabdfa4a', '93a94624-16f4-40a9-8a57-3549ccf0296e', '3f6e338c-03d5-432a-a03b-771084d65c61', 'edd305d8-94b1-4475-ac24-195ea20d527a']","{'using_phone': 0.27472943013546197, 'sitting': 0.07969496359901033, 'pocket_in': 0.06250848237436941, 'looking_around': 0.05853805681391977, 'carrying_heavy': 0.053090551366413434, 'opening': 0.05002070052220832, 'pulling': 0.04961745336786202, 'talking_on_phone': 0.04835343033110557, 'fall': 0.03728418848974595, 'exiting': 0.03637886619225412, 'drinking': 0.03407431044600329, 'standing': 0.03353696024798687, 'using_pc': 0.01469953013305285, 'checking_time': 0.014448669201520912, 'entering': 0.0127163162523528, 'standing_up': 0.011083517010345807, 'kicking': 0.009517895206600275, 'loitering': 0.00943898443898444, 'walking': 0.00902282815096488, 'picking_up': 0.008856860471768145, 'crouching': 0.008699463246195154, 'pocket_out': 0.008001829107193747, 'setting_down': 0.007631271373802607, 'waving_hand': 0.007408014493024726, 'carrying': 0.007117849623704425, 'pointing': 0.006775497527455866, 'carrying_light': 0.006452762109521458, 'Carrying_light': 0.005640691158210227, 'sitting_down': 0.005431495761008655, 'talking': 0.005408869818468494, 'jumping': 0.005400948258091115, 'transferring_object': 0.004493918779633065, 'closing': 0.004384669817886907, 'pushing': 0.004307250618726029, 'running': 0.003966046432205902, 'throwing': 0.0012674271229404308}",True
97bf17ec-b0e4-4fa7-bcf2-09cd1d56ac05,1761540075.769558,0.2765241699282593,False,10,"['gyro', 'video']","['54faafcc-423b-43d4-8722-767f33522bb0', '48f4124d-7f64-4518-b5bf-488142390e1c']","['96c1f16b-bb84-48f7-aac3-198522296bda', '4dec11d3-2318-43dd-acd8-558490c82df4', '2a5deb5f-e94b-4209-918d-3c1fde409654', '04740ee1-7fac-4495-8509-7c0c535ae9e2', '2c21496e-6fc3-4839-9ad5-ce827b3cc2b9', 'a66a7b4d-e23d-482b-a532-a010d12fdd56']","{'pocket_out': 0.14326890842042359, 'crouching': 0.1019769052386802, 'picking_up': 0.09307665060835107, 'Carrying_light': 0.07703195059516899, 'transferring_object': 0.07219303280498035, 'carrying_heavy': 0.06730011740681821, 'pointing': 0.06526037501110815, 'throwing': 0.06306827380163951, 'jumping': 0.04819270416777748, 'standing': 0.044682529103350216, 'opening': 0.022173863571713037, 'using_pc': 0.020973223860691417, 'drinking': 0.015873015873015872, 'pulling': 0.015791232861125337, 'looking_around': 0.014604923695832786, 'loitering': 0.014038004011605354, 'pocket_in': 0.0138623598486409, 'fall': 0.012362534231316447, 'sitting': 0.01146384479717813, 'talking_on_phone': 0.011430672350212579, 'checking_time': 0.009459224482698661, 'exiting': 0.009156141548614667, 'sitting_down': 0.007936507936507936, 'closing': 0.007749734575837653, 'walking': 0.007054673721340388, 'kicking': 0.006858403410127548, 'carrying_light': 0.005097876309997522, 'talking': 0.00485197687502425, 'setting_down': 0.004702194357366771, 'running': 0.003932667763692134, 'waving_hand': 0.0025593477269047933, 'pushing': 0.0020161290322580645}",True
ed95505a-8579-4dc0-b1be-1808ba2283de,1761540075.849467,0.0778772884674297,False,7,"['acc_watch', 'acc_phone']","['6e10353f-6a0b-41c2-9fda-d411bad4088e', 'd14d6000-5bae-42b7-aafc-cd448c394fb4']","['4c913e88-d687-444b-a300-4142a60fc104', 'e3256827-4fed-4157-bbf3-14bb79d9c86b', 'fce2d4d5-b9de-4674-b050-04b10053dd82', '74cb417c-3c1e-4501-a2c8-e79e6ec974c4', '4b2166c7-a492-4a91-985e-89749b16d5bf', '669be429-0dbe-4727-9ae2-5f23624ee744']","{'running': 0.21014764764764768, 'loitering': 0.13804071246819338, 'throwing': 0.12623127697385123, 'pocket_out': 0.12239185750636132, 'entering': 0.08212782242632989, 'pushing': 0.05011261261261261, 'drinking': 0.041044776119402986, 'sitting_down': 0.02295411822343993, 'standing': 0.020269942056949, 'picking_up': 0.015345483682634562, 'walking': 0.01457301636069513, 'carrying': 0.013151656139009447, 'pointing': 0.013125221522168088, 'opening': 0.012626411810516729, 'using_pc': 0.011551155115511552, 'carrying_heavy': 0.010706084959816302, 'using_phone': 0.010251908707975687, 'exiting': 0.009950248756218905, 'Carrying_light': 0.00940342125815635, 'crouching': 0.008988154821488155, 'closing': 0.008706467661691543, 'checking_time': 0.007878480155707879, 'jumping': 0.006410256410256411, 'fall': 0.004775608942275609, 'waving_hand': 0.0045045045045045045, 'kicking': 0.0044004400440044, 'setting_down': 0.0038503850385038503, 'looking_around': 0.0038461538461538464, 'pulling': 0.0038078836586299277, 'carrying_light': 0.0025445292620865138, 'transferring_object': 0.0020576131687242796, 'sitting': 0.0019230769230769232, 'talking': 0.0012722646310432569, 'standing_up': 0.0010288065843621398}",True
60a997e9-5e97-480d-8d5e-caaa39d86ac8,1761540075.9287786,0.0045708032439172,True,8,['video'],['153005aa-76eb-4a9f-9ae7-3bd0d134b593'],"['6579477a-981e-4f69-a2a2-ca27bce6b62e', 'fe3b5d6f-0fc2-44a0-83f0-58508c35fc81', 'd2849765-16ab-4765-b2a8-06f746225959']","{'opening': 0.2498795696622598, 'throwing': 0.2286544247328561, 'exiting': 0.19330324722481584, 'fall': 0.03659273334245234, 'talking_on_phone': 0.03658315177923021, 'entering': 0.034843850255365176, 'pushing': 0.030517939659940405, 'jumping': 0.017171895887394827, 'sitting': 0.01680672268907563, 'crouching': 0.015432098765432098, 'carrying_heavy': 0.014861995753715497, 'running': 0.014576200850710654, 'carrying': 0.013888888888888888, 'using_phone': 0.013800424628450105, 'picking_up': 0.012738853503184712, 'carrying_light': 0.012158921129197137, 'pocket_in': 0.01167728237791932, 'looking_around': 0.010232118325037022, 'waving_hand': 0.009259259259259259, 'loitering': 0.007716049382716049, 'standing': 0.0056022408963585435, 'standing_up': 0.004246284501061571, 'checking_time': 0.003184713375796178, 'talking': 0.0030864197530864196, 'pulling': 0.0021231422505307855, 'closing': 0.0010615711252653928}",True
1774137a-83c7-4e17-b403-082d5f913aa4,1761540076.0415945,0.4928527848911961,False,3,"['acc_watch', 'video']","['5989724d-6b80-45fd-b28f-a614e923ab35', '2a7b664b-53db-4269-a0c2-9a8d73950976']","['4a2db739-4f3f-42c6-b7df-4027582944ca', '9a4b0a09-aa18-47ae-9501-041b0226cff5', '4897fd16-d93f-4e08-ada3-5e8f0d47df72', '810c3d20-18a2-49d3-bacd-8a4352487377', '899117ec-b05d-4c90-b666-cdba7629e27a', '147f0eda-d3cf-45d6-8149-7bc1e582b2a2']","{'pulling': 0.1737041636236102, 'looking_around': 0.14071256809929353, 'fall': 0.11125121577120152, 'exiting': 0.1023754719995561, 'crouching': 0.0974526994913489, 'checking_time': 0.07104777096801275, 'opening': 0.035442168797008025, 'throwing': 0.022131523759958135, 'jumping': 0.021755935640463048, 'talking': 0.018814733100447387, 'standing': 0.018112650465591643, 'talking_on_phone': 0.017808567470309424, 'running': 0.016970458830923945, 'loitering': 0.01425588129858879, 'closing': 0.013513513513513514, 'pushing': 0.012433432542603958, 'sitting_down': 0.011030427227042859, 'transferring_object': 0.010523610527358443, 'carrying_light': 0.010318457992876598, 'using_phone': 0.009044171218427202, 'carrying_heavy': 0.00837138508371385, 'pocket_out': 0.007923324368507094, 'walking': 0.007703081232492998, 'kicking': 0.0075075075075075074, 'carrying': 0.0071059431524547806, 'using_pc': 0.006852884511561873, 'picking_up': 0.0048515530243104996, 'waving_hand': 0.0045662100456621, 'setting_down': 0.00421179302045728, 'drinking': 0.003610108303249097, 'entering': 0.0030441400304414, 'Carrying_light': 0.003003003003003003, 'pointing': 0.0012033694344163659, 'sitting': 0.0007002801120448179, 'pocket_in': 0.0006459948320413437}",True
