query_id,time_window,response_time,model_id,model_version,device_id,instance_id,explainability,data_source,inf_id,inf_result,metadata
57908db5-571e-4b30-af9e-c6e068d23bbd,7,0.0063459490805386,minirocket_v11,v11,precision_5820_tower,fe005c11-07c7-4bf7-bf2d-e8d735e12559,True,gyro,a8878515-fa26-488c-bd53-fb2344c3fb0c,"{'carrying_light': 0.5031847133757962, 'fall': 0.15286624203821655, 'sitting_down': 0.06369426751592357, 'pocket_out': 0.05732484076433121, 'looking_around': 0.050955414012738856, 'crouching': 0.044585987261146494, 'talking': 0.03821656050955414, 'exiting': 0.03184713375796178, 'walking': 0.025477707006369428, 'kicking': 0.01910828025477707, 'pointing': 0.012738853503184714, 'inf_result': 699577.7105034961}",
57908db5-571e-4b30-af9e-c6e068d23bbd,7,0.0132699598086477,minirocket_v13,v13,beelinkbt3,0b07fbaa-f233-4653-a885-c44be4083dc2,False,gyro,2dc92a7f-3433-4f3d-b947-7a1317d5a7fd,"{'standing': 0.5458823529411765, 'fall': 0.18352941176470589, 'carrying': 0.1411764705882353, 'carrying_light': 0.023529411764705882, 'closing': 0.021176470588235293, 'picking_up': 0.018823529411764704, 'Carrying_light': 0.01647058823529412, 'drinking': 0.01411764705882353, 'loitering': 0.011764705882352941, 'transferring_object': 0.009411764705882352, 'pocket_in': 0.007058823529411765, 'crouching': 0.004705882352941176, 'setting_down': 0.002352941176470588, 'inf_result': 699577.6532060138}",
57908db5-571e-4b30-af9e-c6e068d23bbd,1,0.0087909222505655,minirocket_v8,v8,jetson_super_nano,2bfee946-4878-4c17-8489-740219312467,False,gyro,3e7b33ed-2d31-40d9-8154-0546640a4cd8,"{'pocket_in': 0.4675324675324675, 'carrying_light': 0.37662337662337664, 'sitting': 0.03463203463203463, 'throwing': 0.030303030303030304, 'looking_around': 0.025974025974025976, 'opening': 0.021645021645021644, 'jumping': 0.017316017316017316, 'walking': 0.012987012987012988, 'sitting_down': 0.008658008658008658, 'setting_down': 0.004329004329004329, 'inf_result': 699577.6936204885}",
57908db5-571e-4b30-af9e-c6e068d23bbd,8,0.0284151971392333,x3d_xs_v4,v4,jetson_agx_orin,fcf34455-fcca-4940-8341-ce944a48d0bb,True,video,8da6d338-1773-40fb-942a-7410fd475ba3,"{'carrying_light': 0.42735042735042733, 'talking': 0.10256410256410256, 'crouching': 0.08547008547008547, 'jumping': 0.07692307692307693, 'transferring_object': 0.06837606837606838, 'exiting': 0.05982905982905983, 'pocket_out': 0.05128205128205128, 'pointing': 0.042735042735042736, 'pushing': 0.03418803418803419, 'drinking': 0.02564102564102564, 'using_pc': 0.017094017094017096, 'carrying_heavy': 0.008547008547008548, 'inf_result': 699577.6539673816}",
57908db5-571e-4b30-af9e-c6e068d23bbd,5,0.1381949357627103,x3d_l_v2,v2,precision_5820_tower,8f4fb1cb-8547-45cf-93a8-d4f65064d3a6,False,video,723dfde0-5023-4b5d-bd91-179a8470fce1,"{'standing': 0.3170731707317073, 'checking_time': 0.21951219512195122, 'waving_hand': 0.08292682926829269, 'transferring_object': 0.05853658536585366, 'sitting': 0.05365853658536585, 'standing_up': 0.04878048780487805, 'crouching': 0.04390243902439024, 'pocket_out': 0.03902439024390244, 'carrying_heavy': 0.03414634146341464, 'exiting': 0.02926829268292683, 'setting_down': 0.024390243902439025, 'kicking': 0.01951219512195122, 'pocket_in': 0.014634146341463415, 'running': 0.00975609756097561, 'using_phone': 0.004878048780487805, 'inf_result': 699577.6455742386}",
57908db5-571e-4b30-af9e-c6e068d23bbd,4,0.0316391150156341,x3d_xs_v1,v1,jetson_agx_orin,e3b9d992-903f-4b19-b324-d38e43e0d021,False,video,2519294c-6b3e-4023-bcac-1d07e480e07d,"{'sitting_down': 0.7490494296577946, 'Carrying_light': 0.04182509505703422, 'pushing': 0.03802281368821293, 'talking_on_phone': 0.034220532319391636, 'kicking': 0.030418250950570342, 'using_phone': 0.026615969581749048, 'drinking': 0.022813688212927757, 'crouching': 0.019011406844106463, 'transferring_object': 0.015209125475285171, 'running': 0.011406844106463879, 'closing': 0.0076045627376425855, 'walking': 0.0038022813688212928, 'inf_result': 699577.7548887575}",
57908db5-571e-4b30-af9e-c6e068d23bbd,1,0.0056724345404426,minirocket_v6,v6,hp_z240,f858839c-cc4f-435a-ac75-83ff71a038d1,True,orientation,43413db7-9021-463b-a641-a20ace3414fc,"{'carrying_light': 0.5884615384615385, 'walking': 0.1576923076923077, 'pointing': 0.04230769230769231, 'transferring_object': 0.038461538461538464, 'Carrying_light': 0.03461538461538462, 'using_pc': 0.03076923076923077, 'sitting': 0.026923076923076925, 'jumping': 0.023076923076923078, 'standing_up': 0.019230769230769232, 'crouching': 0.015384615384615385, 'entering': 0.011538461538461539, 'carrying_heavy': 0.007692307692307693, 'using_phone': 0.0038461538461538464, 'inf_result': 699577.7286529053}",
57908db5-571e-4b30-af9e-c6e068d23bbd,1,0.0114446370788366,minirocket_v14,v14,jetson_super_nano,fadac13b-d023-4529-8a1f-a3189cfa74db,False,orientation,dd838962-c6cd-4509-8455-21e98a5d71d4,"{'carrying_light': 0.5263157894736842, 'sitting': 0.09473684210526316, 'jumping': 0.08421052631578947, 'pulling': 0.07368421052631578, 'running': 0.06315789473684211, 'crouching': 0.05263157894736842, 'picking_up': 0.042105263157894736, 'carrying_heavy': 0.031578947368421054, 'kicking': 0.021052631578947368, 'using_pc': 0.010526315789473684, 'inf_result': 699577.7433160702}",
57908db5-571e-4b30-af9e-c6e068d23bbd,4,0.0063533242648701,minirocket_v3,v3,beelinkser8,8c1d1a8b-b217-480f-9f66-06e8d79e4c99,False,orientation,cb64a707-2560-4779-9735-a023fc36e22a,"{'crouching': 0.6457142857142857, 'exiting': 0.14857142857142858, 'pointing': 0.045714285714285714, 'running': 0.04, 'entering': 0.03428571428571429, 'carrying_light': 0.02857142857142857, 'looking_around': 0.022857142857142857, 'checking_time': 0.017142857142857144, 'setting_down': 0.011428571428571429, 'talking': 0.005714285714285714, 'inf_result': 699577.7683317019}",
57908db5-571e-4b30-af9e-c6e068d23bbd,3,0.0061931258918493,minirocket_v9,v9,hp_z240,358aee90-fbf3-4eb2-8ddd-6846911f6cf7,True,acc_phone,edc0633e-3da2-4a54-a625-ca467ceb925b,"{'carrying_light': 0.6507936507936508, 'entering': 0.07142857142857142, 'throwing': 0.06349206349206349, 'transferring_object': 0.05555555555555555, 'fall': 0.047619047619047616, 'crouching': 0.03968253968253968, 'pushing': 0.031746031746031744, 'running': 0.023809523809523808, 'talking': 0.015873015873015872, 'inf_result': 699577.7156772749}",
57908db5-571e-4b30-af9e-c6e068d23bbd,9,0.0127761449066923,minirocket_v14,v14,beelinkbt3,da83d19a-c6f1-4b7d-a8bf-4a5c65c833cd,False,acc_phone,b1a5caf5-2c56-4688-8530-c8434f906813,"{'sitting': 0.46206896551724136, 'checking_time': 0.08275862068965517, 'pushing': 0.07586206896551724, 'jumping': 0.06896551724137931, 'carrying_heavy': 0.06206896551724138, 'exiting': 0.05517241379310345, 'talking_on_phone': 0.04827586206896552, 'closing': 0.041379310344827586, 'picking_up': 0.034482758620689655, 'walking': 0.027586206896551724, 'Carrying_light': 0.020689655172413793, 'loitering': 0.013793103448275862, 'running': 0.006896551724137931, 'inf_result': 699577.6900956971}",
57908db5-571e-4b30-af9e-c6e068d23bbd,1,0.0052278538911994,minirocket_v10,v10,hp_z240,c6d5bd44-4161-4bf7-8bbd-f01c3a0a71ee,False,acc_phone,65373e4e-8237-4d6e-8782-f02fbdd5d5ef,"{'Carrying_light': 0.48344370860927155, 'standing': 0.07947019867549669, 'fall': 0.0728476821192053, 'carrying_heavy': 0.06622516556291391, 'pocket_in': 0.059602649006622516, 'checking_time': 0.052980132450331126, 'exiting': 0.046357615894039736, 'waving_hand': 0.039735099337748346, 'drinking': 0.033112582781456956, 'pushing': 0.026490066225165563, 'pulling': 0.019867549668874173, 'pocket_out': 0.013245033112582781, 'talking_on_phone': 0.006622516556291391, 'inf_result': 699577.7737501594}",
57908db5-571e-4b30-af9e-c6e068d23bbd,6,0.0081923145397166,minirocket_v13,v13,jetson_agx_orin,63fac65b-c7d9-4695-903c-275fc7b3845e,True,acc_watch,b694d22d-22f7-4cc1-8907-b0b8d41f13b6,"{'carrying_light': 0.5844875346260388, 'transferring_object': 0.1994459833795014, 'jumping': 0.0332409972299169, 'pocket_in': 0.030470914127423823, 'pocket_out': 0.027700831024930747, 'closing': 0.024930747922437674, 'loitering': 0.0221606648199446, 'talking': 0.019390581717451522, 'running': 0.01662049861495845, 'talking_on_phone': 0.013850415512465374, 'fall': 0.0110803324099723, 'opening': 0.008310249307479225, 'pushing': 0.00554016620498615, 'carrying_heavy': 0.002770083102493075, 'inf_result': 699577.6137581514}",
57908db5-571e-4b30-af9e-c6e068d23bbd,2,0.011906291220966,minirocket_v9,v9,jetson_super_nano,e3939081-4ab2-484d-bef2-dee33a59498e,False,acc_watch,2060160a-5fc9-4e14-9769-e15f2c7fade8,"{'pocket_out': 0.3623853211009174, 'carrying_light': 0.3348623853211009, 'sitting_down': 0.05045871559633028, 'jumping': 0.045871559633027525, 'talking_on_phone': 0.04128440366972477, 'walking': 0.03669724770642202, 'talking': 0.03211009174311927, 'using_pc': 0.027522935779816515, 'throwing': 0.022935779816513763, 'carrying': 0.01834862385321101, 'pointing': 0.013761467889908258, 'kicking': 0.009174311926605505, 'sitting': 0.0045871559633027525, 'inf_result': 699577.7066134679}",
57908db5-571e-4b30-af9e-c6e068d23bbd,2,0.0105706299886851,minirocket_v10,v10,jetson_agx_orin,b1ac4167-5e9a-4f3f-98ec-1c18bde95e31,False,acc_watch,bbaef14d-cb4f-4c8b-8247-c7c7539225da,"{'carrying_light': 0.7783251231527094, 'throwing': 0.04433497536945813, 'carrying_heavy': 0.03940886699507389, 'waving_hand': 0.034482758620689655, 'pulling': 0.029556650246305417, 'pocket_out': 0.024630541871921183, 'exiting': 0.019704433497536946, 'talking': 0.014778325123152709, 'running': 0.009852216748768473, 'talking_on_phone': 0.0049261083743842365, 'inf_result': 699577.6703979602}",
74977291-9b7c-47cc-9869-19fce75db2ba,7,0.0089920275379707,minirocket_v10,v10,jetson_super_nano,66eca68f-9585-4b09-8733-dc8e580dde40,True,acc_phone,fb1e6a54-26bd-4be9-a4b5-78d43a8d3446,"{'pulling': 0.415625, 'using_phone': 0.2, 'pocket_in': 0.140625, 'crouching': 0.0375, 'checking_time': 0.034375, 'Carrying_light': 0.03125, 'fall': 0.028125, 'carrying': 0.025, 'running': 0.021875, 'jumping': 0.01875, 'closing': 0.015625, 'entering': 0.0125, 'waving_hand': 0.009375, 'pointing': 0.00625, 'looking_around': 0.003125, 'inf_result': 699577.8480550622}",
74977291-9b7c-47cc-9869-19fce75db2ba,6,0.0104627617745094,minirocket_v9,v9,jetson_super_nano,9dbf9f7c-0c92-4dc5-b251-6ed812817f08,False,acc_phone,42c206ae-4185-44cc-96f5-0711c20cf11d,"{'pointing': 0.8178137651821862, 'standing_up': 0.03643724696356275, 'standing': 0.032388663967611336, 'waving_hand': 0.02834008097165992, 'kicking': 0.024291497975708502, 'carrying': 0.020242914979757085, 'pocket_out': 0.016194331983805668, 'Carrying_light': 0.012145748987854251, 'talking': 0.008097165991902834, 'looking_around': 0.004048582995951417, 'inf_result': 699577.9000860943}",
74977291-9b7c-47cc-9869-19fce75db2ba,10,0.0111298845446023,minirocket_v15,v15,jetson_super_nano,8fd1bd20-e8e6-4695-a287-a65ae4563d4c,False,acc_phone,144286ed-5fc6-48d3-94ac-5e52b04e03f8,"{'pulling': 0.7236842105263158, 'using_phone': 0.0625, 'talking': 0.03618421052631579, 'carrying_heavy': 0.03289473684210526, 'standing_up': 0.029605263157894735, 'pocket_out': 0.02631578947368421, 'sitting': 0.023026315789473683, 'closing': 0.019736842105263157, 'loitering': 0.01644736842105263, 'pushing': 0.013157894736842105, 'Carrying_light': 0.009868421052631578, 'checking_time': 0.006578947368421052, 'inf_result': 699577.8499591659}",
74977291-9b7c-47cc-9869-19fce75db2ba,5,0.0116226830216101,minirocket_v6,v6,jetson_super_nano,4e9b2ee3-4da0-4d59-837b-6b57d0a73aad,True,acc_watch,c4516f8b-e147-4739-8e30-b26de51d7b34,"{'closing': 0.7452830188679245, 'loitering': 0.04716981132075472, 'talking_on_phone': 0.04245283018867924, 'throwing': 0.03773584905660377, 'fall': 0.0330188679245283, 'pushing': 0.02830188679245283, 'standing': 0.02358490566037736, 'pulling': 0.018867924528301886, 'waving_hand': 0.014150943396226415, 'jumping': 0.009433962264150943, 'inf_result': 699577.8827513161}",
