query_id,time_window,response_time,model_id,model_version,device_id,instance_id,explainability,data_source,inf_id,inf_result,metadata
fe1c346d-87cb-4cd8-9e53-d953526e7966,8,0.0064168968482785,minirocket_v4,v4,beelinkser8,13d5bb7c-7db1-465a-a72b-1e08d2934175,True,acc_phone,b6bed6cb-fef7-4128-8b98-23241aeacc9b,"{'closing': 0.6255144032921811, 'Carrying_light': 0.053497942386831275, 'using_pc': 0.04938271604938271, 'throwing': 0.04526748971193416, 'running': 0.0411522633744856, 'standing_up': 0.037037037037037035, 'pocket_out': 0.03292181069958848, 'carrying': 0.02880658436213992, 'crouching': 0.024691358024691357, 'carrying_heavy': 0.0205761316872428, 'opening': 0.01646090534979424, 'pulling': 0.012345679012345678, 'loitering': 0.00823045267489712, 'jumping': 0.00411522633744856, 'inf_result': 687195.0065966463}",
fe1c346d-87cb-4cd8-9e53-d953526e7966,9,0.0083297112830336,minirocket_v1,v1,beelinkser8,b2e22de1-efc5-425c-a3fe-a01a0b365756,False,acc_phone,31dc9561-501a-4920-90af-edbb447b4c4c,"{'talking': 0.5598591549295775, 'waving_hand': 0.11971830985915492, 'carrying_light': 0.045774647887323945, 'transferring_object': 0.04225352112676056, 'pocket_in': 0.03873239436619718, 'carrying': 0.035211267605633804, 'standing_up': 0.03169014084507042, 'standing': 0.028169014084507043, 'drinking': 0.02464788732394366, 'walking': 0.02112676056338028, 'entering': 0.017605633802816902, 'sitting_down': 0.014084507042253521, 'using_pc': 0.01056338028169014, 'throwing': 0.007042253521126761, 'pushing': 0.0035211267605633804, 'inf_result': 687194.8987807257}",
fe1c346d-87cb-4cd8-9e53-d953526e7966,10,0.006331659632382,minirocket_v3,v3,beelinkser8,63f45062-daf2-4a62-84cd-a7e4257b6948,False,acc_phone,1804127b-88e1-4109-9eb4-764bad524677,"{'kicking': 0.35384615384615387, 'setting_down': 0.23076923076923078, 'pocket_in': 0.07692307692307693, 'carrying_heavy': 0.06923076923076923, 'sitting_down': 0.06153846153846154, 'talking': 0.05384615384615385, 'using_pc': 0.046153846153846156, 'exiting': 0.038461538461538464, 'carrying': 0.03076923076923077, 'jumping': 0.023076923076923078, 'opening': 0.015384615384615385, 'inf_result': 687195.0546824194}",
fe1c346d-87cb-4cd8-9e53-d953526e7966,5,0.1401993132590794,x3d_l_v4,v4,hp_z240,0bdd85cf-a298-4f40-8f1c-b256129a28f5,True,video,634eaee9-0068-4a1c-8e8c-e68b260fedbc,"{'sitting': 0.5404411764705882, 'walking': 0.21691176470588236, 'waving_hand': 0.04044117647058824, 'using_pc': 0.03676470588235294, 'using_phone': 0.03308823529411765, 'opening': 0.029411764705882353, 'pulling': 0.025735294117647058, 'entering': 0.022058823529411766, 'jumping': 0.01838235294117647, 'picking_up': 0.014705882352941176, 'pointing': 0.011029411764705883, 'checking_time': 0.007352941176470588, 'pocket_out': 0.003676470588235294, 'inf_result': 687194.9736600519}",
fe1c346d-87cb-4cd8-9e53-d953526e7966,4,0.1126651414461039,x3d_m_v3,v3,jetson_super_nano,e732e00b-3883-42a0-9e17-edf65572ce66,False,video,ee0e8eaa-fcef-4316-9b6a-e899ed6c91c5,"{'fall': 0.6153846153846154, 'setting_down': 0.06993006993006994, 'closing': 0.06293706293706294, 'entering': 0.055944055944055944, 'pulling': 0.04895104895104895, 'exiting': 0.04195804195804196, 'standing_up': 0.03496503496503497, 'pointing': 0.027972027972027972, 'picking_up': 0.02097902097902098, 'opening': 0.013986013986013986, 'standing': 0.006993006993006993, 'inf_result': 687195.0193878339}",
fe1c346d-87cb-4cd8-9e53-d953526e7966,8,0.0527198243048354,x3d_s_v2,v2,jetson_super_nano,2fa3a4e0-0581-49b0-861c-bf82bc7d9ab5,False,video,96febfe6-bbee-4ad7-979d-9541ac9a8467,"{'carrying': 0.3192307692307692, 'checking_time': 0.27307692307692305, 'walking': 0.19615384615384615, 'transferring_object': 0.038461538461538464, 'using_pc': 0.03461538461538462, 'pointing': 0.03076923076923077, 'waving_hand': 0.026923076923076925, 'talking': 0.023076923076923078, 'Carrying_light': 0.019230769230769232, 'drinking': 0.015384615384615385, 'exiting': 0.011538461538461539, 'kicking': 0.007692307692307693, 'pushing': 0.0038461538461538464, 'inf_result': 687194.9202361922}",
5b4467de-f491-4d0b-8dfb-5833c0dcf88d,8,0.0097601880968882,minirocket_v4,v4,jetson_super_nano,efe38e98-e9b0-4f46-b664-00bcad98fafd,True,orientation,e30c2b32-7c6b-46bb-9a4c-e88dd65e226e,"{'sitting_down': 0.7454545454545455, 'drinking': 0.10454545454545454, 'kicking': 0.03636363636363636, 'transferring_object': 0.031818181818181815, 'setting_down': 0.02727272727272727, 'carrying_heavy': 0.022727272727272728, 'pushing': 0.01818181818181818, 'sitting': 0.00909090909090909, 'talking_on_phone': 0.004545454545454545, 'inf_result': 687195.1602968001}",
5b4467de-f491-4d0b-8dfb-5833c0dcf88d,5,0.0063784238778939,minirocket_v10,v10,beelinkser8,6a67e22f-1432-46e1-bde6-27201382b8d6,False,orientation,6ccd9a5a-b6d4-4817-91c1-661bb8c51ef3,"{'loitering': 0.4306569343065693, 'fall': 0.08759124087591241, 'pointing': 0.08029197080291971, 'talking': 0.072992700729927, 'crouching': 0.06569343065693431, 'using_phone': 0.058394160583941604, 'sitting_down': 0.051094890510948905, 'standing': 0.043795620437956206, 'pulling': 0.0364963503649635, 'sitting': 0.029197080291970802, 'throwing': 0.021897810218978103, 'Carrying_light': 0.014598540145985401, 'carrying': 0.0072992700729927005, 'inf_result': 687195.1444760512}",
5b4467de-f491-4d0b-8dfb-5833c0dcf88d,7,0.0088053064965915,minirocket_v14,v14,beelinkser8,a2dd7e8d-035a-4ab2-a67e-11b935f68b0d,False,orientation,da1b6b7c-6922-450e-9ff7-16d076509d5b,"{'talking_on_phone': 0.5277044854881267, 'closing': 0.23218997361477572, 'waving_hand': 0.03430079155672823, 'walking': 0.0316622691292876, 'transferring_object': 0.029023746701846966, 'throwing': 0.026385224274406333, 'pushing': 0.023746701846965697, 'pulling': 0.021108179419525065, 'using_phone': 0.018469656992084433, 'picking_up': 0.0158311345646438, 'using_pc': 0.013192612137203167, 'talking': 0.010554089709762533, 'running': 0.0079155672823219, 'setting_down': 0.005277044854881266, 'fall': 0.002638522427440633, 'inf_result': 687195.1508890727}",
2b2f343a-52f3-4a62-86a2-4112c4fce00c,7,0.0087123740839168,minirocket_v5,v5,jetson_super_nano,34d83195-272a-4ad2-a2eb-7c4fe913af01,True,gyro,b28b9256-4cbb-4f78-8f44-a82baad5ee9b,"{'closing': 0.6571428571428571, 'talking_on_phone': 0.15, 'carrying': 0.03571428571428571, 'standing': 0.03214285714285714, 'Carrying_light': 0.02857142857142857, 'exiting': 0.025, 'checking_time': 0.02142857142857143, 'fall': 0.017857142857142856, 'using_pc': 0.014285714285714285, 'pushing': 0.010714285714285714, 'looking_around': 0.007142857142857143, 'inf_result': 687195.1910374977}",
