timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770012000,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.03,942.8,0.45
1770012005,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.44,1017.5,0.65
1770012010,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.84,1162.6,1.08
1770012015,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.86,1383.2,1.73
1770012020,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,4.49,1678.1,3.07
1770012025,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,5.85,1999.7,5.17
1770012030,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,7.12,2289.9,7.68
1770012035,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,8.01,2500.1,8.74
1770012040,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.28,2647.0,9.28
1770012045,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.53,2743.4,9.32
1770012050,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.37,2789.1,11.84
1770012055,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.31,2826.6,13.5
1770012060,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,12.13,2844.9,14.32
1770012065,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,12.84,2854.0,13.87
1770012070,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.78,2867.8,15.36
1770012075,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,12.05,2851.6,14.66
1770012080,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,12.4,2848.9,13.2
1770012085,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.71,2839.6,13.09
1770012090,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,13.05,2852.0,13.75
1770012095,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,13.19,2856.9,14.53
1770012100,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,12.25,2853.6,14.73
1770012105,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.3,2863.5,14.2
1770012110,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.55,2991.7,13.66
1770012115,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.02,2980.0,13.27
1770012120,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.44,2986.8,13.29
1770012125,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.98,2982.0,13.31
1770012130,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.61,2952.6,12.01
1770012135,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,17.27,3299.8,17.3
1770012140,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,15.91,3310.1,18.67
1770012145,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,15.6,3320.8,19.38
1770012150,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,15.67,3327.5,18.62
1770012155,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.34,2212.2,2.09
1770012160,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.57,2195.2,1.74
1770012165,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.74,2180.1,1.74
1770012170,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.24,2179.1,1.78
1770012175,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.96,2186.3,1.79
1770012180,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.26,2197.0,1.88
1770012185,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.92,2178.8,1.63
1770012190,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,8.81,2943.9,11.25
1770012195,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.09,2966.1,13.23
1770012200,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.24,2955.6,10.14
1770012205,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.55,2947.5,8.52
1770012210,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.88,2967.2,10.57
1770012215,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.93,2964.6,11.31
1770012220,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.46,2991.4,13.0
1770012225,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.12,2998.4,12.9
1770012230,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.6,3004.7,11.12
1770012235,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.83,2999.0,11.82
1770012240,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.98,3003.3,11.7
1770012245,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.97,3021.3,10.1
1770012250,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.04,3003.4,9.38
1770012255,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,8.34,2997.7,8.15
1770012260,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,7.75,3005.8,6.01
1770012265,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,7.61,3017.6,7.76
1770012270,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.38,3028.1,10.04
1770012275,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.17,3018.6,9.02
1770012280,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,8.82,3028.5,9.12
1770012285,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.18,3047.4,10.17
1770012290,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,8.88,3049.7,8.11
1770012295,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.43,3054.0,8.4
1770012300,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.3,3068.5,9.36
1770012305,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.54,3063.4,9.21
1770012310,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.08,3072.1,10.15
1770012315,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.77,3078.5,11.49
1770012320,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.85,3111.1,11.1
1770012325,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.92,3120.3,9.65
1770012330,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.74,3116.5,10.13
1770012335,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.81,3139.7,13.28
1770012340,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.08,3131.6,13.02
1770012345,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.96,3142.0,12.68
1770012350,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,12.34,3146.2,12.66
1770012355,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.99,2342.0,1.88
1770012360,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.49,2345.8,2.11
1770012365,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.85,2453.9,2.06
1770012370,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.77,2460.7,2.01
1770012375,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.16,2444.3,1.94
1770012380,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.81,2424.7,1.7
1770012385,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.08,2411.1,1.57
1770012390,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.03,2405.0,1.61
1770012395,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.49,2395.7,1.56
1770012400,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.53,2398.2,1.41
1770012405,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.17,2396.0,1.41
1770012410,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.5,2407.8,1.53
1770012415,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.91,2407.7,1.37
1770012420,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.87,2401.8,1.56
1770012425,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.32,2393.9,1.5
1770012430,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.65,2378.3,1.53
1770012435,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.6,2370.3,1.38
1770012440,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,1.34,2364.2,1.2
1770012445,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.86,2384.2,1.49
1770012450,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.6,3583.3,12.04
1770012455,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,13.92,3582.6,10.88
1770012460,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.61,3200.5,9.34
1770012465,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.4,3206.1,11.03
1770012470,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,14.25,3212.4,12.56
1770012475,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,15.04,3226.2,14.13
1770012480,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,13.92,3222.4,14.03
1770012485,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,17.89,3598.5,18.16
1770012490,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,16.96,3613.4,19.42
1770012495,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,15.82,3605.9,18.37
1770012500,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,14.66,3615.9,16.87
1770012505,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.16,3254.7,12.09
1770012510,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.06,3269.0,12.15
1770012515,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.8,3262.3,9.9
1770012520,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.48,3263.5,8.79
1770012525,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.36,3236.6,9.73
1770012530,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,8.25,3229.7,9.81
1770012535,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,9.09,3222.2,8.58
1770012540,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.87,3238.5,10.87
1770012545,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.4,3222.4,9.7
1770012550,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.23,3221.2,10.7
1770012555,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.18,3235.1,11.05
1770012560,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.3,3236.0,9.89
1770012565,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,10.12,3242.7,11.2
1770012570,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.47,3243.2,12.04
1770012575,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.51,3242.7,10.66
1770012580,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.33,3263.1,10.24
1770012585,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.64,3260.8,10.4
1770012590,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,11.32,3264.6,10.71
1770012595,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,13.05,3289.3,12.91
1770012600,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.01,2445.5,1.9
1770012605,a061ea89-4bc4-42ca-9466-ce9b56666b57,jetson_agx_xavier,2.08,2445.0,1.95
