timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770012000,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,1.87,241.5,0.45
1770012005,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,1.06,261.5,0.66
1770012010,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,2.94,294.6,1.06
1770012015,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,2.71,348.3,1.82
1770012020,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,2.92,422.5,3.15
1770012025,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,5.49,505.0,5.44
1770012030,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,6.88,582.2,7.1
1770012035,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,8.61,638.4,8.1
1770012040,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,8.63,670.2,9.1
1770012045,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,8.65,689.1,8.72
1770012050,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,8.01,703.7,8.44
1770012055,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,7.93,702.1,8.55
1770012060,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,8.28,709.3,8.84
1770012065,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,9.31,713.5,8.55
1770012070,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,9.94,715.1,11.2
1770012075,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,9.36,712.8,12.17
1770012080,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,8.85,704.0,12.24
1770012085,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,9.43,704.3,12.8
1770012090,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,11.38,703.1,13.0
1770012095,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,12.05,703.9,13.33
1770012100,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,12.15,704.5,13.67
1770012105,d904a0e1-e902-4799-a5d7-214fc5bffcb0,jetson_nano,10.89,707.4,13.05
