timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770012000,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,1.91,4194.3,0.6
1770012005,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,2.77,4556.6,0.96
1770012010,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,1.23,5141.2,1.67
1770012015,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,2.96,6061.0,2.45
1770012020,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,3.84,7391.4,4.75
1770012025,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,4.97,8818.6,6.5
1770012030,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,5.95,10067.0,7.67
1770012035,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,6.63,11004.7,8.88
1770012040,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,6.84,11638.0,9.83
1770012045,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,6.82,11938.2,10.92
1770012050,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,6.58,12169.0,11.08
1770012055,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,8.39,12282.8,13.07
1770012060,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,9.24,12354.6,12.82
1770012065,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,10.22,12390.9,12.48
1770012070,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,10.57,12440.3,12.06
1770012075,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,11.83,12470.7,12.27
1770012080,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,10.39,12470.1,10.57
1770012085,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,10.88,12476.7,9.58
1770012090,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,10.98,12441.0,10.4
1770012095,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,11.65,12478.7,12.57
1770012100,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,12.32,12499.7,12.89
1770012105,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,13.87,12589.6,14.34
1770012110,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,11.91,12598.5,14.6
1770012115,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,11.28,12691.7,14.75
1770012120,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,12.11,12699.5,14.47
1770012125,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,12.43,12679.6,14.5
1770012130,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,12.97,12676.6,14.02
1770012135,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,17.18,14118.0,20.26
1770012140,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,16.86,14039.7,20.0
1770012145,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,19.06,14033.0,20.52
1770012150,fd3510d5-9280-4bd5-a511-c391c1da5d27,jetson_agx_orin,17.06,14087.6,18.88
