timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770022800,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,2.16,1193.2,0.65
1770022805,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,2.79,1509.4,1.97
1770022810,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,3.04,1715.2,3.61
1770022815,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,5.18,2040.7,6.59
1770022820,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,8.53,2485.8,9.94
1770022825,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,12.11,2970.5,13.71
1770022830,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,15.12,3415.2,17.2
1770022835,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,17.18,3747.4,19.11
1770022840,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,14.47,3533.7,16.36
1770022845,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,16.14,3629.7,16.62
1770022850,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,17.01,3696.1,18.18
1770022855,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,16.81,3713.0,18.99
1770022860,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,17.0,3704.5,19.55
1770022865,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,16.9,3728.1,18.38
1770022870,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,16.33,3763.8,17.89
1770022875,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,17.16,3763.7,19.36
1770022880,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,15.86,3795.3,18.64
1770022885,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,14.77,3786.4,18.64
1770022890,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,15.26,3792.8,18.26
1770022895,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,14.8,3795.0,17.73
1770022900,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,13.48,3778.3,16.35
1770022905,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,13.85,3780.9,16.24
1770022910,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,14.75,3801.8,17.52
1770022915,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,14.08,3790.3,16.19
1770022920,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,12.85,3778.7,15.13
1770022925,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,13.05,3768.0,15.33
1770022930,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,12.57,3786.6,14.86
1770022935,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,12.45,3765.8,14.48
1770022940,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,13.28,3787.1,15.18
1770022945,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,13.22,3782.2,14.3
1770022950,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,12.32,3774.6,12.29
1770022955,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,12.7,3780.8,13.01
1770022960,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,14.06,3793.0,14.06
1770022965,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,13.29,3782.7,15.08
1770022970,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,13.38,3792.8,15.02
1770022975,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,19.15,4211.7,19.59
1770022980,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,19.65,4171.4,17.07
1770022985,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,14.45,3743.0,13.67
1770022990,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,13.4,3748.7,13.01
1770022995,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,12.94,3748.9,12.76
1770023000,1587d334-5617-45a3-a030-fdf7248315f6,jetson_agx_xavier,10.98,3723.2,11.4
