timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770022800,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,2.73,602.0,0.61
1770022805,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,2.88,743.5,1.81
1770022810,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,3.29,846.7,3.16
1770022815,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,5.52,1011.4,5.99
1770022820,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,9.41,1230.4,9.53
1770022825,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,12.13,1469.8,12.26
1770022830,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,16.31,1680.5,15.56
1770022835,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,19.22,1841.2,17.94
1770022840,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,16.24,1732.2,14.68
1770022845,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,16.89,1773.5,15.22
1770022850,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,17.05,1818.1,16.84
1770022855,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,14.39,1827.4,16.73
1770022860,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,15.9,1850.1,17.55
1770022865,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,16.1,1854.4,17.81
1770022870,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,17.07,1856.3,18.01
1770022875,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,17.4,1850.3,17.17
1770022880,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,16.81,1836.9,15.76
1770022885,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,18.13,1845.5,15.94
1770022890,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,20.02,1847.8,17.62
1770022895,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,19.33,1848.6,17.29
1770022900,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,17.66,1850.7,16.06
1770022905,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,16.33,1854.8,15.15
1770022910,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,17.22,1857.5,15.61
1770022915,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,16.97,1851.9,14.97
1770022920,3cf110f8-3106-4482-9b90-861d884788b5,jetson_nano_super,14.72,1846.5,11.14
