timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770022800,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.12,2403.5,0.0
1770022805,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.99,2927.9,0.0
1770022810,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,3.31,3332.5,0.0
1770022815,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,5.96,3933.6,0.0
1770022820,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,9.29,4782.3,0.0
1770022825,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,12.75,5730.6,0.0
1770022830,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.47,6580.6,0.0
1770022835,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.54,7166.0,0.0
1770022840,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,14.8,6752.5,0.0
1770022845,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,16.1,6946.2,0.0
1770022850,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.36,7087.3,0.0
1770022855,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.75,7130.4,0.0
1770022860,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.94,7189.9,0.0
1770022865,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.97,7244.9,0.0
1770022870,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.1,7276.3,0.0
1770022875,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.06,7268.5,0.0
1770022880,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.73,7263.4,0.0
1770022885,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.43,7212.3,0.0
1770022890,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,16.92,7219.3,0.0
1770022895,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.08,7198.5,0.0
1770022900,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.5,7202.5,0.0
1770022905,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.16,7236.8,0.0
1770022910,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.74,7225.2,0.0
1770022915,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.64,7174.3,0.0
1770022920,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,15.83,7198.3,0.0
1770022925,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,16.41,7237.5,0.0
1770022930,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,15.99,7230.3,0.0
1770022935,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.49,7252.1,0.0
1770022940,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.67,7274.5,0.0
1770022945,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,17.55,7282.1,0.0
1770022950,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,16.9,7307.9,0.0
1770022955,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,16.78,7325.9,0.0
1770022960,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,15.49,7334.7,0.0
1770022965,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,14.43,7323.5,0.0
1770022970,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,13.9,7320.0,0.0
1770022975,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,21.37,8219.1,0.0
1770022980,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,21.85,8207.6,0.0
1770022985,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,13.58,7322.6,0.0
1770022990,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,13.16,7331.7,0.0
1770022995,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,12.89,7373.9,0.0
1770023000,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,10.88,7366.6,0.0
1770023005,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,10.92,7393.6,0.0
1770023010,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,11.65,7398.6,0.0
1770023015,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,11.98,7319.0,0.0
1770023020,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,12.69,7280.6,0.0
1770023025,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,13.03,7246.1,0.0
1770023030,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,11.43,7185.3,0.0
1770023035,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,12.97,7150.8,0.0
1770023040,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,12.44,7141.4,0.0
1770023045,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,13.93,7164.2,0.0
1770023050,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,15.51,7232.7,0.0
1770023055,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,15.64,7212.0,0.0
1770023060,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,14.2,7196.4,0.0
1770023065,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,13.73,7213.2,0.0
1770023070,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,13.89,7206.6,0.0
1770023075,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,13.17,7167.5,0.0
1770023080,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,12.1,7209.6,0.0
1770023085,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,11.0,7233.4,0.0
1770023090,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,10.52,7262.5,0.0
1770023095,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.99,5394.0,0.0
1770023100,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,1.84,5349.0,0.0
1770023105,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.9,5349.2,0.0
1770023110,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.64,5362.2,0.0
1770023115,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.75,5392.9,0.0
1770023120,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,1.88,5422.5,0.0
1770023125,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,1.86,5403.8,0.0
1770023130,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.58,5423.1,0.0
1770023135,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.46,5440.5,0.0
1770023140,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,2.22,5432.6,0.0
1770023145,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.26,8114.3,0.0
1770023150,a8ba24a1-b8d4-416a-b703-c8ff9ae6e18f,bee_ser8,18.2,8092.2,0.0
