timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770033600,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,1.44,3440.6,0.0
1770033605,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,1.82,3736.6,0.0
1770033610,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,3.18,4232.1,0.0
1770033615,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,5.62,5013.4,0.0
1770033620,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,5.92,5421.5,0.0
1770033625,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,8.41,6473.9,0.0
1770033630,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,11.16,7437.2,0.0
1770033635,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,13.34,8114.4,0.0
1770033640,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,14.66,8636.3,0.0
1770033645,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,13.88,8926.7,0.0
1770033650,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,15.32,9031.6,0.0
1770033655,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,15.83,9088.2,0.0
1770033660,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,16.52,9116.5,0.0
1770033665,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,22.87,10285.0,0.0
1770033670,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,20.89,10280.9,0.0
1770033675,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,23.19,10309.6,0.0
1770033680,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,23.42,10252.0,0.0
1770033685,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,24.97,10326.1,0.0
1770033690,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,16.91,9229.4,0.0
1770033695,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,16.51,9269.3,0.0
1770033700,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,16.44,9318.4,0.0
1770033705,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,18.05,9318.4,0.0
1770033710,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,18.63,9318.7,0.0
1770033715,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,16.85,9319.7,0.0
1770033720,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,18.07,9331.5,0.0
1770033725,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,18.96,9321.6,0.0
1770033730,78b9e610-b10d-4884-96f3-dc7528493eab,bee_ser8,19.31,9326.3,0.0
