timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770033600,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,2.9,400.8,0.93
1770033605,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,2.28,436.1,1.62
1770033610,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,4.12,498.5,3.21
1770033615,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,7.21,592.6,5.73
1770033620,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,8.1,639.2,6.75
1770033625,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,10.73,769.7,9.09
1770033630,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,13.77,877.4,12.07
1770033635,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.23,959.2,13.56
1770033640,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.74,1013.2,14.3
1770033645,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.65,1040.8,15.72
1770033650,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.62,1054.6,17.59
1770033655,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.17,1061.9,15.55
1770033660,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.97,1064.0,14.42
1770033665,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,22.99,1193.3,20.08
1770033670,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,22.96,1200.9,19.04
1770033675,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,22.89,1209.4,20.87
1770033680,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,21.3,1208.5,21.87
1770033685,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,20.5,1222.1,22.32
1770033690,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,14.25,1087.2,14.77
1770033695,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,13.35,1083.9,13.92
1770033700,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,12.36,1077.4,13.25
1770033705,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,14.21,1079.2,14.24
1770033710,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.17,1076.9,14.98
1770033715,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.28,1074.1,14.03
1770033720,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.73,1073.4,15.01
1770033725,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.59,1078.0,14.8
1770033730,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.83,1072.7,15.89
1770033735,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.64,1067.6,16.25
1770033740,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.54,1076.1,16.48
1770033745,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.14,1081.5,15.85
1770033750,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.13,1079.7,16.23
1770033755,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,14.94,1075.8,15.86
1770033760,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,14.98,1078.1,14.11
1770033765,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,13.61,1075.6,12.41
1770033770,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,13.62,1077.9,12.4
1770033775,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,14.99,1077.6,13.34
1770033780,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.1,1080.9,16.52
1770033785,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.83,1085.7,16.44
1770033790,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.15,1082.0,17.44
1770033795,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.45,1080.4,16.22
1770033800,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,16.57,1076.5,18.28
1770033805,866107a4-d746-4420-b31a-762e77ac1af5,jetson_nano,15.92,1077.3,17.78
