timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770044400,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,1.32,1859.1,0.96
1770044405,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.83,2026.2,1.77
1770044410,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.42,2296.1,3.02
1770044415,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,5.68,2717.1,4.96
1770044420,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,8.5,3286.1,7.98
1770044425,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,12.24,3920.7,10.76
1770044430,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,14.96,4498.8,12.79
1770044435,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,15.9,4916.6,14.55
1770044440,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,17.87,5191.4,17.14
1770044445,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,17.32,5328.0,16.34
1770044450,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,17.41,5411.8,16.19
1770044455,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,18.78,5479.4,16.24
1770044460,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,18.41,5503.4,15.82
1770044465,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,18.68,5497.9,16.75
1770044470,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.18,5523.2,18.86
1770044475,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.96,4084.9,2.65
1770044480,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.94,4096.8,2.77
1770044485,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.93,4100.2,2.85
1770044490,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,28.23,6123.6,24.96
1770044495,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,27.69,6159.5,23.83
1770044500,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,28.56,6141.4,25.99
1770044505,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,27.15,6136.7,25.83
1770044510,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,26.79,6176.7,26.83
1770044515,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.14,4124.6,3.12
1770044520,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.14,4134.8,3.1
1770044525,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.25,4122.3,3.17
1770044530,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,29.51,6205.6,27.61
1770044535,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,29.41,6227.4,28.67
1770044540,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.84,5567.2,21.55
1770044545,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.42,5552.5,20.29
1770044550,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.34,5524.8,19.46
1770044555,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.94,5495.8,20.17
1770044560,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.51,5455.0,18.3
1770044565,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.04,5475.2,18.2
1770044570,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.12,5506.1,18.15
1770044575,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.31,5484.9,18.8
1770044580,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.92,5472.4,19.98
1770044585,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.16,5489.5,18.83
1770044590,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.48,5456.3,17.82
1770044595,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.78,5435.6,17.73
1770044600,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.19,5428.6,17.37
1770044605,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.34,5487.3,18.88
1770044610,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.92,4081.2,2.8
1770044615,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.08,4071.2,2.93
1770044620,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.03,4051.6,2.91
1770044625,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.3,4090.9,3.16
1770044630,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.31,4098.9,3.05
1770044635,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,29.86,6149.5,28.84
1770044640,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,31.13,6129.3,29.42
1770044645,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,30.11,6106.4,28.25
1770044650,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,31.07,6095.9,30.49
1770044655,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,31.87,6109.2,29.78
1770044660,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,29.79,6110.4,29.64
1770044665,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,28.99,6090.2,28.98
1770044670,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,25.22,6090.9,27.97
1770044675,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,26.95,6032.8,27.62
1770044680,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,24.79,6019.9,26.82
1770044685,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.7,5371.5,21.19
1770044690,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.69,5390.2,21.22
1770044695,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,18.47,5402.7,21.08
1770044700,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.25,5424.9,19.8
1770044705,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.25,5455.8,21.05
1770044710,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.61,5449.5,23.01
1770044715,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.11,4064.7,3.58
1770044720,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.14,4057.7,3.35
1770044725,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.11,4052.7,3.26
1770044730,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.06,4020.5,3.15
1770044735,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.9,4007.8,2.95
1770044740,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.87,3988.4,2.99
1770044745,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.84,3976.4,2.97
1770044750,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.77,3997.5,3.12
1770044755,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.78,4002.8,3.21
1770044760,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.99,3980.3,3.34
1770044765,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.08,3974.0,3.26
1770044770,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.09,3991.5,3.26
1770044775,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.08,3998.9,3.05
1770044780,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.16,3995.3,3.1
1770044785,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.17,4001.0,3.35
1770044790,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,30.37,6022.1,30.04
1770044795,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,29.29,6052.9,30.21
1770044800,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,31.54,6079.7,32.27
1770044805,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.94,5461.6,22.72
1770044810,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,24.29,5460.5,23.48
1770044815,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.95,5429.4,21.17
1770044820,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.72,5423.7,19.03
1770044825,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.82,5419.9,20.03
1770044830,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,22.53,5416.0,20.11
1770044835,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,30.6,6041.9,26.93
1770044840,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,29.74,6063.5,24.75
1770044845,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,30.81,6078.2,23.88
1770044850,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.65,5448.5,17.99
1770044855,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.87,5422.6,18.14
1770044860,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,21.43,5435.4,18.64
1770044865,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.22,4024.7,2.75
1770044870,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.22,4010.0,2.66
1770044875,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.28,4030.1,2.77
1770044880,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.18,4033.0,2.66
1770044885,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.19,4028.2,2.63
1770044890,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.25,4001.8,2.9
1770044895,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.28,4011.9,3.13
1770044900,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.31,4036.2,3.13
1770044905,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.15,4039.4,3.12
1770044910,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.13,4047.1,3.04
1770044915,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.22,4046.8,2.76
1770044920,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.08,4052.3,2.74
1770044925,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,2.96,4050.4,2.76
1770044930,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.13,4065.8,2.87
1770044935,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.15,4055.9,3.08
1770044940,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.15,4062.9,2.92
1770044945,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.13,4056.9,2.72
1770044950,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,3.15,4061.9,2.86
1770044955,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.27,5467.0,18.01
1770044960,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.49,5471.9,17.76
1770044965,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.95,5446.8,16.61
1770044970,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.81,5466.8,16.51
1770044975,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.44,5488.4,19.74
1770044980,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,19.85,5450.7,18.1
1770044985,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.07,5448.5,18.53
1770044990,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,20.1,5470.0,18.8
1770044995,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,28.48,6083.0,26.51
1770045000,1006bfbd-c61f-4592-8ed7-a6bae31bf91d,jetson_agx_xavier,29.62,6043.2,26.4
