timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770044400,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.3,913.2,0.84
1770044405,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,1.83,991.2,1.52
1770044410,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.58,1127.5,2.97
1770044415,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,5.65,1331.9,4.59
1770044420,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,8.52,1619.6,7.52
1770044425,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,11.83,1942.4,10.74
1770044430,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,12.91,2225.5,12.53
1770044435,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,16.51,2453.2,14.26
1770044440,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.1,2593.7,15.89
1770044445,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.0,2670.7,15.76
1770044450,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.23,2678.4,15.79
1770044455,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,17.68,2685.3,15.93
1770044460,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,17.89,2694.8,18.0
1770044465,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.4,2684.1,17.49
1770044470,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.8,2693.2,17.02
1770044475,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.84,2004.9,2.69
1770044480,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.78,1999.8,2.65
1770044485,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.69,2013.8,2.68
1770044490,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,24.11,3026.4,23.87
1770044495,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,25.67,3009.4,23.46
1770044500,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,28.28,3010.2,23.91
1770044505,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,29.11,2994.3,22.05
1770044510,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,27.55,2984.2,21.7
1770044515,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.77,1984.2,2.31
1770044520,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.05,1982.8,2.7
1770044525,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.74,1981.5,2.56
1770044530,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,24.34,2977.9,22.14
1770044535,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,28.08,2983.8,23.77
1770044540,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.97,2659.0,17.55
1770044545,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.11,2651.9,16.93
1770044550,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.61,2662.9,18.28
1770044555,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.35,2648.2,18.92
1770044560,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.37,2661.2,16.85
1770044565,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.3,2654.2,15.38
1770044570,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.62,2637.5,14.47
1770044575,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.69,2650.6,16.12
1770044580,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.09,2650.0,17.85
1770044585,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.11,2634.5,17.11
1770044590,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.43,2635.1,15.91
1770044595,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.14,2627.4,15.27
1770044600,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.12,2633.6,15.57
1770044605,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.6,2636.5,14.86
1770044610,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.04,1956.0,2.42
1770044615,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.11,1960.7,2.71
1770044620,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.27,1957.9,2.67
1770044625,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.34,1977.5,2.78
1770044630,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.54,1971.3,2.59
1770044635,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,33.68,2941.2,25.07
1770044640,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,32.32,2927.4,26.28
1770044645,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,31.87,2935.6,27.39
1770044650,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,32.52,2946.4,28.09
1770044655,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,32.61,2938.9,28.12
1770044660,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,34.88,2929.2,28.09
1770044665,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,36.9,2927.9,28.99
1770044670,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,34.39,2913.5,29.29
1770044675,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,33.68,2921.2,27.73
1770044680,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,30.76,2917.1,27.64
1770044685,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.53,2606.4,21.68
1770044690,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.29,2594.5,20.41
1770044695,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.55,2605.5,19.77
1770044700,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.97,2614.3,19.88
1770044705,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.59,2621.6,20.9
1770044710,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,23.29,2613.6,20.84
1770044715,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.78,1946.6,3.13
1770044720,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.76,1952.4,3.06
1770044725,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.58,1944.3,2.93
1770044730,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.81,1947.5,3.08
1770044735,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.57,1934.7,3.06
1770044740,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.45,1931.1,2.94
1770044745,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.31,1935.4,2.83
1770044750,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.31,1943.4,2.89
1770044755,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.64,1940.2,3.02
1770044760,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.58,1947.3,3.02
1770044765,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.51,1950.0,3.19
1770044770,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.6,1947.8,3.1
1770044775,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.3,1929.4,2.92
1770044780,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.07,1924.1,2.77
1770044785,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.3,1918.9,2.82
1770044790,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,32.3,2887.3,28.29
1770044795,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,32.81,2878.9,27.65
1770044800,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,33.09,2885.6,28.04
1770044805,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,23.1,2592.1,20.82
1770044810,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,24.6,2608.8,21.72
1770044815,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,23.02,2617.9,20.72
1770044820,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,22.27,2615.8,19.24
1770044825,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.85,2615.4,20.4
1770044830,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.15,2621.5,18.45
1770044835,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,29.37,2914.5,22.35
1770044840,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,30.19,2929.9,21.62
1770044845,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,26.95,2923.3,21.76
1770044850,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.84,2612.4,16.01
1770044855,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.09,2615.9,16.73
1770044860,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,22.81,2620.7,17.41
1770044865,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.44,1950.9,2.66
1770044870,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.02,1950.6,2.43
1770044875,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.11,1950.7,2.42
1770044880,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.26,1944.6,2.48
1770044885,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.31,1943.5,2.57
1770044890,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.32,1947.4,2.59
1770044895,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.27,1951.6,2.4
1770044900,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.13,1974.3,2.37
1770044905,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.21,1993.0,2.66
1770044910,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.2,1990.7,2.67
1770044915,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.15,1984.1,2.63
1770044920,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.81,1964.8,2.44
1770044925,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.66,1959.4,2.39
1770044930,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.76,1965.3,2.43
1770044935,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.13,1966.7,2.55
1770044940,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.22,1963.7,2.68
1770044945,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.22,1955.8,2.56
1770044950,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,3.35,1965.4,2.59
1770044955,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.52,2647.2,17.77
1770044960,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.09,2647.2,18.2
1770044965,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.52,2663.5,19.01
1770044970,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.51,2660.2,18.89
1770044975,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.99,2672.5,19.77
1770044980,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.58,2682.5,18.91
1770044985,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,16.62,2685.3,18.85
1770044990,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,16.68,2686.3,19.83
1770044995,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,25.96,3029.0,28.16
1770045000,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,26.53,3034.0,30.2
1770045005,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.93,2705.5,21.54
1770045010,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.15,2698.3,20.7
1770045015,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.62,2018.1,3.17
1770045020,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.82,2019.4,3.16
1770045025,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.7,2013.3,3.04
1770045030,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.69,2021.4,2.93
1770045035,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.66,2014.6,2.84
1770045040,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.75,2010.6,2.95
1770045045,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.72,1993.4,2.87
1770045050,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.92,1983.1,2.86
1770045055,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.76,1984.7,2.88
1770045060,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.76,1984.4,2.83
1770045065,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.7,1963.8,2.81
1770045070,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.86,1960.4,2.83
1770045075,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.82,1952.4,3.04
1770045080,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.91,1953.4,2.8
1770045085,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.9,1957.9,2.7
1770045090,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,2.81,1957.4,2.73
1770045095,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,17.01,2620.7,16.8
1770045100,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,16.25,2632.4,16.76
1770045105,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,16.6,2636.7,17.28
1770045110,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,15.56,2635.8,16.13
1770045115,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,15.21,2762.6,15.11
1770045120,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,15.73,2776.8,14.8
1770045125,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.38,2791.1,15.81
1770045130,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,17.94,2767.3,15.84
1770045135,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,16.65,2760.8,15.4
1770045140,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,17.47,2632.0,14.27
1770045145,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.07,2636.8,14.55
1770045150,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.1,2631.6,14.74
1770045155,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.82,2631.5,15.65
1770045160,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.36,2643.4,15.52
1770045165,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,17.83,2653.2,16.6
1770045170,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,17.55,2658.5,15.03
1770045175,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.0,2657.1,16.74
1770045180,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.67,2664.3,16.94
1770045185,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.11,2666.1,15.97
1770045190,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.62,2668.1,18.09
1770045195,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.86,2674.4,18.21
1770045200,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.13,2666.8,18.76
1770045205,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.59,2671.4,17.11
1770045210,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.02,2674.1,16.06
1770045215,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.49,2676.3,16.69
1770045220,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.65,2679.4,17.36
1770045225,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.05,2670.2,18.48
1770045230,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.31,2681.0,17.73
1770045235,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.49,2676.2,16.88
1770045240,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,22.42,2671.7,17.17
1770045245,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.83,2666.6,17.72
1770045250,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.76,2669.8,17.97
1770045255,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.85,2689.1,18.64
1770045260,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,20.65,2705.6,17.16
1770045265,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.49,2698.8,15.79
1770045270,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.92,2702.5,16.35
1770045275,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,17.99,2699.6,17.41
1770045280,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.25,2698.4,18.29
1770045285,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,18.86,2690.6,17.8
1770045290,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.03,2673.0,16.62
1770045295,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.66,2675.8,17.71
1770045300,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,19.71,2680.2,17.32
1770045305,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,21.33,2681.9,17.96
1770045310,3ac11cb7-23b5-4e43-bf3e-5f9187db44ed,jetson_nano_super,30.05,3015.1,27.74
