timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770044400,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.93,3675.5,0.0
1770044405,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.32,3983.2,0.0
1770044410,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.42,4547.6,0.0
1770044415,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,5.74,5363.0,0.0
1770044420,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,9.08,6518.2,0.0
1770044425,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,13.48,7755.0,0.0
1770044430,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,16.63,8889.7,0.0
1770044435,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,18.42,9776.5,0.0
1770044440,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,20.91,10277.6,0.0
1770044445,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,20.57,10597.5,0.0
1770044450,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,20.37,10677.7,0.0
1770044455,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,19.74,10857.5,0.0
1770044460,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,19.03,10871.9,0.0
1770044465,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,19.6,10888.1,0.0
1770044470,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,20.61,10830.0,0.0
1770044475,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.99,8024.1,0.0
1770044480,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.07,7984.8,0.0
1770044485,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.02,7974.4,0.0
1770044490,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,27.58,11939.3,0.0
1770044495,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,27.33,11916.8,0.0
1770044500,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,27.91,11931.5,0.0
1770044505,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,27.26,12011.3,0.0
1770044510,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,26.97,11938.2,0.0
1770044515,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.17,7958.4,0.0
1770044520,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.36,7978.2,0.0
1770044525,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.2,8023.8,0.0
1770044530,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,28.24,12035.9,0.0
1770044535,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,28.18,12012.4,0.0
1770044540,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,19.47,10696.5,0.0
1770044545,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,19.81,10819.4,0.0
1770044550,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,20.26,10867.1,0.0
1770044555,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,21.97,10838.8,0.0
1770044560,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,21.48,11350.7,0.0
1770044565,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,21.5,11281.2,0.0
1770044570,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,20.73,11232.9,0.0
1770044575,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,19.93,11290.7,0.0
1770044580,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,20.28,11294.7,0.0
1770044585,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,19.41,11238.0,0.0
1770044590,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,18.02,10659.9,0.0
1770044595,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,18.17,10634.5,0.0
1770044600,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,18.82,10730.2,0.0
1770044605,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,18.63,10776.6,0.0
1770044610,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.69,8051.5,0.0
1770044615,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.75,8054.3,0.0
1770044620,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.49,7995.4,0.0
1770044625,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.86,8015.9,0.0
1770044630,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.72,8016.1,0.0
1770044635,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,23.76,12034.1,0.0
1770044640,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,26.35,12050.9,0.0
1770044645,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,26.86,12046.7,0.0
1770044650,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,29.19,12030.7,0.0
1770044655,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,29.29,12034.5,0.0
1770044660,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,30.23,11958.3,0.0
1770044665,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,31.33,12007.1,0.0
1770044670,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,31.23,12033.1,0.0
1770044675,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,29.69,12061.0,0.0
1770044680,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,29.27,12078.5,0.0
1770044685,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,20.93,10817.2,0.0
1770044690,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,21.09,10785.2,0.0
1770044695,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,21.41,10849.1,0.0
1770044700,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,22.38,10920.2,0.0
1770044705,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,21.97,10975.0,0.0
1770044710,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,22.03,10930.7,0.0
1770044715,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.5,8189.0,0.0
1770044720,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.39,8137.8,0.0
1770044725,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.09,8144.4,0.0
1770044730,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.08,8122.0,0.0
1770044735,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.86,8071.0,0.0
1770044740,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.82,8133.2,0.0
1770044745,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.74,8083.1,0.0
1770044750,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.68,8006.8,0.0
1770044755,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.74,8013.5,0.0
1770044760,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,2.96,8041.0,0.0
1770044765,42ec563c-4378-4621-a18c-4826d6c5f3d3,bee_ser8,3.29,8048.0,0.0
