timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770044400,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.72,880.1,0.93
1770044405,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.51,954.5,1.64
1770044410,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,3.13,1088.1,3.13
1770044415,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,5.03,1305.6,4.71
1770044420,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,8.32,1589.4,7.62
1770044425,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,11.23,1893.5,9.18
1770044430,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,14.8,2174.2,12.36
1770044435,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,17.01,2389.0,13.54
1770044440,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,18.67,2516.9,14.4
1770044445,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,18.14,2595.1,14.47
1770044450,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,17.83,2649.6,14.48
1770044455,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,17.71,2665.0,13.45
1770044460,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,17.64,2679.2,14.0
1770044465,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,17.77,2691.3,15.58
1770044470,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,19.3,2697.5,16.95
1770044475,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,3.05,2013.7,2.6
1770044480,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.89,1996.6,2.51
1770044485,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.85,1995.7,2.5
1770044490,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,26.22,3008.2,24.22
1770044495,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,26.42,3018.1,24.32
1770044500,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,25.99,3018.2,25.9
1770044505,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,25.54,3032.9,26.32
1770044510,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,25.03,3024.8,24.21
1770044515,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.65,2024.8,2.59
1770044520,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.89,2012.3,2.82
1770044525,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.99,2005.1,2.63
1770044530,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,27.58,3015.8,25.38
1770044535,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,28.3,3020.5,26.47
1770044540,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,20.6,2683.2,19.45
1770044545,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,19.8,2670.3,17.32
1770044550,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,20.95,2667.6,17.69
1770044555,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,23.15,2655.7,19.16
1770044560,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,21.03,2643.3,16.01
1770044565,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,20.92,2636.6,15.61
1770044570,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,20.18,2626.2,15.8
1770044575,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,20.1,2627.0,17.0
1770044580,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,19.42,2634.2,19.45
1770044585,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,17.67,2631.4,17.59
1770044590,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,18.14,2641.9,17.84
1770044595,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,19.04,2639.0,17.93
1770044600,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,19.0,2647.3,18.15
1770044605,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,20.22,2653.0,19.22
1770044610,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.94,1967.5,2.84
1770044615,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,3.02,1979.6,3.15
1770044620,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.92,1869.2,2.98
1770044625,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.79,1862.2,3.11
1770044630,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.95,1874.4,3.01
1770044635,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,27.84,2821.5,30.48
1770044640,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,28.74,2807.7,29.75
1770044645,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,29.09,2810.4,28.54
1770044650,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,31.27,2831.3,29.42
1770044655,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,28.6,2833.5,29.59
1770044660,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,29.59,2830.2,29.5
1770044665,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,29.79,2850.6,29.87
1770044670,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,29.35,2849.3,28.71
1770044675,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,29.13,2862.3,27.48
1770044680,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,28.33,2851.4,25.67
1770044685,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,20.8,2551.2,20.69
1770044690,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,19.85,2553.6,20.61
1770044695,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,19.97,2546.3,19.53
1770044700,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,19.8,2532.4,19.05
1770044705,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,21.24,2561.3,19.78
1770044710,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,22.42,2538.2,20.63
1770044715,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,3.39,1885.7,3.37
1770044720,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,3.27,1890.9,3.46
1770044725,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,3.4,1878.8,3.29
1770044730,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,3.38,1872.1,3.27
1770044735,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,3.15,1876.5,3.03
1770044740,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.93,1861.3,2.77
1770044745,8a998e62-e8ce-40c3-9f8f-5a2e92fbeedb,jetson_nano_super,2.98,1858.9,2.66
