timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770055200,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,2.23,496.1,0.91
1770055205,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,2.3,533.4,1.48
1770055210,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,4.38,610.1,3.01
1770055215,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,7.73,720.2,4.94
1770055220,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,11.98,873.6,7.57
1770055225,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,16.32,1042.8,11.66
1770055230,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,21.52,1201.4,15.62
1770055235,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.52,977.8,2.46
1770055240,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.76,1038.3,2.69
1770055245,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,4.08,1077.3,2.75
1770055250,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,4.06,1092.8,2.76
1770055255,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,38.23,1648.2,26.66
1770055260,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,38.29,1665.6,26.76
1770055265,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,39.01,1673.2,26.79
1770055270,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,37.94,1676.1,25.95
1770055275,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,38.26,1669.8,27.99
1770055280,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.28,1495.1,19.76
1770055285,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.79,1496.3,19.73
1770055290,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.31,1501.0,19.33
1770055295,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,33.93,1680.4,26.68
1770055300,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,34.78,1690.4,28.61
1770055305,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,32.85,1686.0,25.71
1770055310,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,32.37,1675.8,25.93
1770055315,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,22.83,1511.4,19.57
1770055320,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,23.72,1515.4,19.32
1770055325,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,32.72,1701.0,27.55
1770055330,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,32.14,1699.4,26.59
1770055335,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,23.67,1512.3,20.2
1770055340,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,24.95,1515.0,21.85
1770055345,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.3,1524.8,22.55
1770055350,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.89,1523.8,22.46
1770055355,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.19,1535.1,23.54
1770055360,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,35.52,1715.6,34.11
1770055365,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,35.13,1712.6,32.16
1770055370,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,34.51,1701.6,33.48
1770055375,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.93,1513.0,23.08
1770055380,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.91,1511.3,23.53
1770055385,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.3,1512.8,25.83
1770055390,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.9,1515.7,26.11
1770055395,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,28.82,1508.8,24.27
1770055400,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.54,1514.0,21.69
1770055405,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.94,1505.0,19.71
1770055410,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.38,1501.8,18.84
1770055415,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.17,1497.4,19.37
1770055420,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.48,1504.2,20.14
1770055425,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.55,1506.7,21.35
1770055430,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.92,1505.3,21.03
1770055435,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.75,1505.5,21.3
1770055440,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,28.24,1508.8,22.55
1770055445,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,30.02,1512.7,22.37
1770055450,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,29.46,1514.4,24.22
1770055455,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,29.78,1514.0,23.48
1770055460,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,29.66,1508.2,22.99
1770055465,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,29.76,1509.8,22.27
1770055470,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,28.99,1500.2,24.18
1770055475,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,29.34,1497.3,24.01
1770055480,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,28.6,1500.5,24.68
1770055485,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.17,1492.2,23.25
1770055490,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.45,1487.6,22.17
1770055495,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.18,1485.8,21.4
1770055500,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,37.9,1672.0,29.41
1770055505,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,37.4,1675.2,28.16
1770055510,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,38.1,1678.6,27.34
1770055515,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,37.15,1684.1,27.85
1770055520,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.16,1499.3,20.54
1770055525,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.27,1497.2,20.33
1770055530,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.65,1497.8,19.09
1770055535,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.24,1497.5,18.69
1770055540,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,24.91,1487.8,17.58
1770055545,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.49,1492.0,19.2
1770055550,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.44,1487.5,19.84
1770055555,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.48,1476.3,18.05
1770055560,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,24.84,1473.6,18.28
1770055565,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,24.39,1473.5,18.02
1770055570,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.19,1472.6,20.24
1770055575,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.9,1481.0,20.9
1770055580,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.19,1484.9,22.87
1770055585,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.8,1492.3,22.49
1770055590,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,36.08,1669.9,29.7
1770055595,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,37.38,1674.2,31.25
1770055600,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,35.21,1672.6,31.13
1770055605,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,34.39,1666.3,30.81
1770055610,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,24.41,1497.0,21.33
1770055615,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.66,1502.9,22.13
1770055620,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.08,1505.2,20.54
1770055625,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,23.31,1507.3,20.21
1770055630,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,24.37,1505.7,20.26
1770055635,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,23.46,1497.9,20.73
1770055640,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,23.98,1498.8,21.12
1770055645,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,24.98,1502.5,22.87
1770055650,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.61,1511.0,24.34
1770055655,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.25,1507.5,25.26
1770055660,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.21,1510.4,25.24
1770055665,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.72,1511.8,25.35
1770055670,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,37.46,1676.6,32.46
1770055675,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,37.27,1671.2,30.86
1770055680,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,28.98,1494.1,22.89
1770055685,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,28.46,1497.7,22.4
1770055690,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,40.66,1673.4,29.41
1770055695,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,40.48,1675.5,29.54
1770055700,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,40.3,1680.5,30.71
1770055705,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,37.9,1665.8,27.67
1770055710,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,34.59,1668.5,25.95
1770055715,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,34.04,1664.0,25.83
1770055720,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,25.85,1489.2,18.48
1770055725,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,28.33,1492.9,20.62
1770055730,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.65,1488.4,20.32
1770055735,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.63,1490.3,22.81
1770055740,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.1,1488.1,23.96
1770055745,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.34,1489.2,22.83
1770055750,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.32,1491.1,21.89
1770055755,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.66,1485.9,21.84
1770055760,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.34,1493.9,22.04
1770055765,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.83,1493.3,20.57
1770055770,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,27.64,1486.9,21.13
1770055775,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,26.52,1487.5,21.5
1770055780,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.65,1110.2,3.05
1770055785,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.63,1115.1,2.98
1770055790,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.78,1121.1,3.0
1770055795,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.96,1129.9,3.0
1770055800,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,4.22,1130.4,3.2
1770055805,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,4.27,1129.3,3.21
1770055810,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,4.27,1132.2,3.37
1770055815,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,4.01,1125.0,3.23
1770055820,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.82,1120.9,3.08
1770055825,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.84,1127.2,3.27
1770055830,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.96,1124.1,3.35
1770055835,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.9,1120.0,3.31
1770055840,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.87,1117.4,3.07
1770055845,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.81,1116.4,3.09
1770055850,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,3.94,1109.1,3.07
1770055855,443e89bb-5598-4c87-8e68-d2f248f4b9e7,jetson_nano,4.17,1110.8,3.33
