timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770055200,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,2.47,968.4,1.05
1770055205,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,2.74,1050.6,1.84
1770055210,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,4.47,1194.5,3.46
1770055215,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,7.61,1416.6,5.58
1770055220,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,11.84,1725.4,9.11
1770055225,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,17.67,2057.3,13.61
1770055230,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,22.33,2370.9,18.29
1770055235,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,3.6,1923.7,3.05
1770055240,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,3.91,2034.3,3.1
1770055245,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,4.14,2104.5,3.22
1770055250,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,4.12,2140.9,3.2
1770055255,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,40.27,3249.4,30.54
1770055260,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,40.81,3263.0,30.09
1770055265,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,38.95,3276.6,29.93
1770055270,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,36.9,3255.5,27.33
1770055275,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,37.46,3259.4,29.99
1770055280,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,28.67,2914.0,22.05
1770055285,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,29.17,2921.1,22.43
1770055290,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,26.93,2916.9,21.87
1770055295,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,37.52,3279.0,28.37
1770055300,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,36.67,3262.7,27.44
1770055305,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,34.82,3241.1,27.09
1770055310,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,35.33,3242.7,25.7
1770055315,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.48,2893.2,17.86
1770055320,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,24.41,2886.5,17.63
1770055325,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,36.17,3221.0,24.93
1770055330,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,36.4,3228.8,24.46
1770055335,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.72,2889.0,17.38
1770055340,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,26.66,2891.5,17.65
1770055345,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,24.86,2884.2,17.98
1770055350,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.35,2876.4,18.49
1770055355,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.0,2880.8,18.61
1770055360,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,37.63,3239.7,26.87
1770055365,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,37.97,3258.2,26.57
1770055370,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,36.18,3273.2,26.57
1770055375,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,24.92,2920.9,17.76
1770055380,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,26.24,2928.2,19.51
1770055385,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.53,2955.6,21.17
1770055390,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,26.97,2958.2,20.46
1770055395,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.86,2946.7,20.57
1770055400,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.28,2945.2,18.99
1770055405,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,23.94,2947.2,18.36
1770055410,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.9,2954.9,20.13
1770055415,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.44,2952.2,20.48
1770055420,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.55,2951.1,21.94
1770055425,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,29.44,2968.9,23.5
1770055430,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,29.04,2979.5,24.81
1770055435,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,30.86,2983.1,24.14
1770055440,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,29.1,2988.5,24.62
1770055445,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.05,2982.8,25.6
1770055450,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,28.86,2995.4,26.75
1770055455,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.95,2978.8,25.74
1770055460,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,28.26,2984.4,24.69
1770055465,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.38,2975.5,23.66
1770055470,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,28.08,2994.7,24.03
1770055475,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.05,2989.6,24.94
1770055480,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.38,2986.6,24.21
1770055485,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.08,3003.1,23.34
1770055490,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.11,3002.9,22.9
1770055495,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,24.49,3006.3,21.42
1770055500,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,34.38,3362.3,29.88
1770055505,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,33.97,3378.3,28.63
1770055510,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,34.72,3380.0,28.74
1770055515,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,35.84,3366.6,28.88
1770055520,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,26.39,3010.4,20.22
1770055525,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.99,2996.9,20.33
1770055530,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.88,3003.4,19.03
1770055535,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.08,3004.2,19.23
1770055540,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,24.91,2998.0,17.73
1770055545,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.32,3004.8,19.31
1770055550,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.46,2990.5,21.24
1770055555,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.9,2997.1,19.87
1770055560,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,26.02,3012.8,19.92
1770055565,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.15,3024.8,20.65
1770055570,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,24.2,3172.8,22.08
1770055575,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.26,3161.2,21.82
1770055580,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.74,3340.5,22.56
1770055585,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.74,3318.9,20.09
1770055590,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,35.35,3731.7,27.61
1770055595,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,34.78,3750.9,29.81
1770055600,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,34.3,3742.9,27.98
1770055605,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,33.48,3732.6,27.54
1770055610,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,23.82,3336.5,17.75
1770055615,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,22.44,3320.9,18.24
1770055620,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,21.89,3331.0,17.95
1770055625,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,22.3,3339.8,19.03
1770055630,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,23.87,3351.2,19.53
1770055635,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,24.92,3378.0,19.89
1770055640,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,25.07,3370.1,21.48
1770055645,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.51,3350.9,23.11
1770055650,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,29.13,3342.1,24.42
1770055655,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,29.74,3358.2,25.5
1770055660,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,29.21,3368.0,25.53
1770055665,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,29.78,3374.5,25.49
1770055670,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,39.97,3769.9,33.54
1770055675,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,38.28,3765.7,31.75
1770055680,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,27.92,3378.1,23.07
1770055685,b75bc2a0-9c46-4ab8-a151-c83ff7e1b697,jetson_nano_super,28.37,3377.0,23.25
