timestamp,device_id,device_type,cpu_usage,memory_usage,gpu_usage
1770055200,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,2.07,8848.4,1.01
1770055205,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,2.44,9577.2,1.83
1770055210,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,4.48,10924.8,3.19
1770055215,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,7.49,13064.9,5.3
1770055220,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,11.54,15796.7,8.24
1770055225,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,16.6,18983.8,12.42
1770055230,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,20.49,21741.8,16.42
1770055235,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,3.41,17699.2,2.71
1770055240,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,3.7,18684.7,2.79
1770055245,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,3.74,19334.2,2.94
1770055250,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,3.83,19694.4,2.9
1770055255,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,36.91,29765.5,29.07
1770055260,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,39.09,29756.0,29.85
1770055265,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,39.38,29810.7,30.13
1770055270,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,38.1,30126.7,29.52
1770055275,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,41.0,30068.6,31.46
1770055280,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,29.87,26839.3,24.03
1770055285,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,29.03,26785.5,23.02
1770055290,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,29.22,26891.8,23.53
1770055295,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,39.9,30121.1,31.31
1770055300,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,38.94,30019.7,29.72
1770055305,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,35.98,31593.6,27.86
1770055310,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,37.22,31707.8,28.66
1770055315,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,26.07,28286.7,19.85
1770055320,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,26.19,28132.4,19.37
1770055325,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,39.11,31351.8,27.54
1770055330,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,39.21,31532.2,28.05
1770055335,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,29.31,28217.0,19.61
1770055340,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,31.91,28380.0,21.86
1770055345,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,32.65,28618.5,22.64
1770055350,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,31.18,28445.3,20.92
1770055355,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,30.85,28501.8,20.94
1770055360,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,44.13,31795.8,29.6
1770055365,c23d80f0-df5c-4a2d-8397-491222c1f36f,jetson_agx_orin,45.21,31734.0,29.94
