response_time,norm_time
0.051,407.616
0.059,407.656
0.043,407.687
0.058,407.721
0.05,407.754
0.05,407.797
0.053,407.827
0.063,407.848
0.042,407.886
0.048,407.916
0.058,407.95
0.061,407.995
0.047,408.024
0.054,408.052
0.04,408.093
0.045,408.133
0.065,408.169
0.052,408.2
0.051,408.238
0.038,408.281
0.052,408.329
0.044,408.365
0.057,408.406
0.06,408.456
0.046,408.486
0.042,408.517
0.043,408.563
0.045,408.615
0.043,408.659
0.062,408.688
0.048,408.731
0.059,408.773
0.064,408.809
0.045,408.834
0.045,408.864
0.059,408.899
0.049,408.931
0.07,408.97
0.045,409.025
0.056,409.058
0.047,409.092
0.068,409.136
0.049,409.184
0.046,409.227
0.044,409.253
0.059,409.293
0.06,409.325
0.04,409.366
0.056,409.412
0.054,409.427
0.057,409.456
0.044,409.486
0.053,409.524
0.045,409.557
0.045,409.585
0.054,409.636
0.049,409.657
0.059,409.698
0.036,409.74
0.056,409.776
0.043,409.807
0.056,409.851
0.05,409.869
0.047,409.889
0.046,409.939
0.053,409.97
0.054,410.014
0.069,410.063
0.059,410.089
0.054,410.124
0.057,410.16
0.047,410.188
0.057,410.235
0.058,410.273
0.038,410.301
0.04,410.324
0.051,410.366
0.044,410.398
0.047,410.429
0.049,410.468
0.057,410.498
0.056,410.546
0.051,410.574
0.042,410.587
0.053,410.619
0.053,410.643
0.08,410.702
0.055,410.728
0.052,410.767
0.05,410.81
0.045,410.833
0.049,410.861
0.048,410.899
0.054,410.94
0.048,410.987
0.056,411.017
0.048,411.047
0.05,411.093
0.044,411.13
0.037,411.175
0.054,411.209
0.06,411.244
0.042,411.297
0.043,411.332
0.057,411.352
0.05,411.396
0.059,411.433
0.064,411.475
0.06,411.521
0.05,411.576
0.05,411.623
0.049,411.667
0.059,411.692
0.058,411.706
0.054,411.746
0.052,411.788
0.062,411.836
0.055,411.869
0.053,411.918
0.052,411.945
0.053,411.989
0.053,412.027
0.042,412.056
0.053,412.094
0.045,412.117
0.057,412.144
0.058,412.177
0.068,412.209
0.042,412.257
0.057,412.298
0.054,412.341
0.059,412.371
0.053,412.407
0.043,412.448
0.048,412.499
0.063,412.536
0.06,412.566
0.065,412.606
0.047,412.641
0.052,412.684
0.059,412.733
0.048,412.762
0.043,412.793
0.06,412.829
0.054,412.869
0.053,412.903
0.055,412.936
0.05,412.957
0.058,412.989
0.062,413.035
0.061,413.088
0.059,413.129
0.054,413.176
0.051,413.226
0.048,413.244
0.065,413.269
0.044,413.32
0.041,413.363
0.044,413.387
0.047,413.436
0.042,413.465
0.054,413.511
0.058,413.552
0.057,413.592
0.06,413.619
0.065,413.656
0.048,413.691
0.06,413.724
0.057,413.749
0.044,413.8
0.055,413.843
0.041,413.874
0.053,413.896
0.064,413.932
0.063,413.969
0.054,413.995
0.053,414.021
0.043,414.057
0.037,414.091
0.051,414.116
0.048,414.142
0.053,414.17
0.051,414.213
0.047,414.237
0.056,414.254
0.043,414.308
0.057,414.342
0.062,414.393
0.054,414.432
0.05,414.46
0.051,414.517
0.04,414.564
0.062,414.603
0.06,414.644
0.048,414.699
0.059,414.721
0.065,414.756
0.046,414.799
0.055,414.857
0.052,414.879
0.057,414.927
0.056,414.976
0.052,415.025
0.055,415.062
0.048,415.089
0.072,415.122
0.05,415.162
0.05,415.204
0.04,415.237
0.037,415.267
0.061,415.302
0.054,415.333
0.057,415.373
0.05,415.421
0.06,415.441
0.067,415.468
0.053,415.493
0.071,415.536
0.065,415.56
0.041,415.603
0.053,415.641
0.049,415.684
0.058,415.72
0.065,415.749
0.058,415.798
0.056,415.825
0.041,415.856
0.057,415.881
0.05,415.915
0.053,415.976
0.04,416.003
0.045,416.04
0.064,416.085
0.044,416.129
0.064,416.164
0.05,416.205
0.044,416.23
0.049,416.267
0.038,416.299
0.055,416.337
0.045,416.379
0.061,416.427
0.04,416.47
0.042,416.497
0.044,416.535
0.043,416.572
0.059,416.614
0.049,416.653
0.054,416.677
0.053,416.707
0.056,416.735
0.048,416.76
0.042,416.799
0.045,416.837
0.052,416.854
0.05,416.885
0.049,416.936
0.053,416.971
0.053,417.008
0.048,417.052
0.047,417.083
0.062,417.117
0.064,417.158
0.045,417.208
0.054,417.261
0.049,417.306
0.052,417.338
0.066,417.359
0.047,417.367
0.059,417.404
0.046,417.446
0.053,417.481
0.063,417.503
0.049,417.544
0.065,417.578
0.046,417.622
0.072,417.662
0.061,417.689
0.055,417.725
0.044,417.759
0.047,417.798
0.053,417.836
0.06,417.874
0.051,417.911
0.051,417.947
0.051,417.973
0.054,418.006
0.049,418.043
0.063,418.088
0.048,418.116
0.058,418.154
0.062,418.191
0.063,418.216
0.043,418.262
