response_time,norm_time
0.039,427.285
0.046,427.325
0.04,427.358
0.034,427.38
0.045,427.422
0.038,427.446
0.04,427.475
0.038,427.52
0.033,427.551
0.036,427.582
0.033,427.614
0.04,427.652
0.042,427.682
0.048,427.719
0.035,427.769
0.047,427.804
0.043,427.83
0.039,427.856
0.04,427.881
0.047,427.912
0.038,427.945
0.035,427.991
0.041,428.037
0.034,428.061
0.041,428.096
0.03,428.141
0.036,428.166
0.031,428.191
0.04,428.237
0.035,428.276
0.03,428.311
0.035,428.359
0.038,428.404
0.032,428.443
0.038,428.498
0.041,428.53
0.039,428.572
0.042,428.604
0.041,428.627
0.035,428.661
0.041,428.701
0.036,428.732
0.033,428.757
0.036,428.781
0.037,428.806
0.042,428.832
0.04,428.865
0.033,428.898
0.037,428.932
0.037,428.983
0.03,429.022
0.04,429.063
0.041,429.101
0.043,429.122
0.041,429.143
0.038,429.179
0.037,429.207
0.038,429.236
0.041,429.273
0.038,429.317
0.038,429.35
0.043,429.379
0.04,429.423
0.035,429.458
0.046,429.509
0.038,429.534
0.042,429.592
0.043,429.632
0.046,429.666
0.042,429.69
0.036,429.729
0.037,429.775
0.041,429.813
0.035,429.864
0.032,429.894
0.036,429.923
0.045,429.962
0.036,430.017
0.033,430.06
0.042,430.084
0.039,430.112
0.035,430.143
0.035,430.17
0.035,430.206
0.038,430.229
0.037,430.281
0.038,430.306
0.047,430.353
0.031,430.387
0.04,430.422
0.038,430.474
0.038,430.506
0.031,430.545
0.034,430.572
0.037,430.597
0.036,430.63
0.037,430.656
0.039,430.677
0.036,430.705
0.037,430.739
0.03,430.772
0.038,430.801
0.031,430.829
0.041,430.871
0.043,430.898
0.034,430.933
0.044,430.963
0.043,431.001
0.033,431.05
0.031,431.079
0.042,431.107
0.036,431.13
0.042,431.166
0.034,431.2
0.035,431.229
0.04,431.256
0.04,431.288
0.042,431.335
0.04,431.377
0.045,431.408
0.04,431.44
0.04,431.471
0.031,431.511
0.037,431.555
0.046,431.604
0.048,431.638
0.039,431.676
0.036,431.715
0.037,431.747
0.042,431.795
0.034,431.813
0.036,431.843
0.042,431.864
0.031,431.895
0.038,431.923
0.05,431.958
0.037,431.996
0.042,432.029
0.034,432.07
0.048,432.125
0.038,432.155
0.033,432.185
0.04,432.223
0.033,432.257
0.038,432.292
0.033,432.313
0.037,432.36
0.031,432.395
0.03,432.434
0.04,432.462
0.037,432.506
0.033,432.54
0.031,432.581
0.037,432.622
0.038,432.659
0.033,432.692
0.041,432.722
0.041,432.748
0.035,432.774
0.044,432.789
0.03,432.823
0.035,432.859
0.031,432.889
0.035,432.931
0.042,432.96
0.038,432.98
0.04,433.009
0.046,433.05
0.036,433.092
0.034,433.111
0.041,433.143
0.034,433.195
0.046,433.237
0.031,433.279
0.033,433.315
0.036,433.353
0.042,433.388
0.035,433.417
0.039,433.435
0.043,433.457
0.044,433.487
0.042,433.513
0.037,433.552
0.037,433.585
0.035,433.624
0.043,433.666
0.04,433.691
0.04,433.723
0.042,433.762
0.037,433.791
0.043,433.814
0.046,433.853
0.041,433.909
0.031,433.921
0.031,433.955
0.041,433.994
0.038,434.028
0.037,434.06
0.031,434.095
0.033,434.15
0.036,434.195
0.03,434.213
0.034,434.248
0.037,434.291
0.042,434.353
0.039,434.413
0.041,434.443
0.034,434.48
0.039,434.522
0.041,434.562
0.034,434.581
0.04,434.619
0.038,434.647
0.037,434.674
0.038,434.699
0.039,434.753
0.039,434.78
0.031,434.815
0.037,434.85
0.039,434.898
0.04,434.944
0.037,434.975
0.03,435.016
0.041,435.052
0.047,435.079
0.041,435.125
0.037,435.155
0.042,435.191
0.035,435.223
0.033,435.258
0.038,435.298
0.046,435.332
0.039,435.378
0.036,435.408
0.037,435.452
0.038,435.49
0.036,435.536
0.039,435.578
0.031,435.6
0.038,435.639
0.034,435.677
0.04,435.717
0.043,435.741
0.042,435.776
0.031,435.808
0.03,435.847
0.031,435.868
0.041,435.893
0.036,435.924
0.046,435.967
0.053,436.0
0.036,436.025
0.039,436.048
0.038,436.078
0.037,436.11
0.044,436.143
0.038,436.188
0.034,436.223
0.035,436.242
0.043,436.276
0.036,436.305
0.045,436.348
0.031,436.383
0.043,436.412
0.033,436.458
0.035,436.486
0.031,436.551
0.042,436.603
0.04,436.643
0.045,436.695
0.034,436.728
0.031,436.766
0.039,436.785
0.038,436.825
0.035,436.858
0.035,436.881
0.038,436.909
0.04,436.952
0.033,436.979
0.034,437.013
0.04,437.05
0.044,437.088
0.045,437.114
0.046,437.137
0.048,437.177
0.042,437.209
0.035,437.236
0.044,437.272
0.03,437.313
0.037,437.341
0.046,437.372
0.043,437.402
0.04,437.435
0.035,437.472
0.04,437.513
0.032,437.547
0.045,437.591
0.04,437.617
0.043,437.659
0.037,437.694
0.04,437.72
0.039,437.766
0.036,437.781
0.032,437.826
0.039,437.878
0.04,437.922
0.035,437.954
0.051,437.985
0.034,438.027
0.037,438.056
0.036,438.075
0.043,438.113
0.033,438.158
0.033,438.172
0.038,438.209
0.041,438.248
0.036,438.266
0.032,438.292
0.033,438.339
0.042,438.351
0.031,438.378
0.039,438.407
0.041,438.445
0.034,438.477
0.036,438.514
0.038,438.541
0.042,438.576
0.04,438.596
0.042,438.629
0.041,438.653
0.033,438.689
0.038,438.716
0.043,438.751
0.038,438.793
0.039,438.817
0.045,438.859
0.037,438.907
0.039,438.942
0.042,438.974
0.039,439.007
0.038,439.041
0.043,439.061
0.045,439.089
0.045,439.127
0.043,439.166
0.034,439.217
0.035,439.253
0.027,439.29
0.032,439.315
0.038,439.331
0.04,439.381
0.037,439.403
0.031,439.435
0.038,439.483
0.034,439.514
0.041,439.548
0.037,439.573
0.039,439.602
0.038,439.64
0.041,439.681
0.04,439.709
0.037,439.746
0.031,439.783
0.035,439.79
0.037,439.832
0.032,439.865
0.042,439.898
0.044,439.926
0.033,439.951
0.043,439.994
0.039,440.037
0.035,440.077
0.045,440.11
0.034,440.149
0.042,440.192
0.039,440.23
0.042,440.271
0.035,440.293
0.04,440.328
0.036,440.366
0.042,440.392
0.041,440.429
0.034,440.45
0.029,440.486
0.036,440.521
0.037,440.538
0.03,440.562
0.035,440.592
0.043,440.611
0.041,440.639
0.038,440.668
0.04,440.693
0.035,440.729
0.038,440.761
0.047,440.799
0.043,440.849
0.038,440.886
0.041,440.933
0.041,440.96
0.041,441.015
0.037,441.05
0.033,441.092
0.039,441.133
