cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
331,105,3.24,13,9,140,21,408
265,95,3.92,13,9,137,29,409
283,118,3.62,13,9,141,10,410
286,118,3.44,13,9,139,27,411
324,128,3.51,13,9,140,27,412
316,114,4.09,14,9,136,20,413
300,119,3.41,13,9,132,22,414
280,110,3.79,13,9,133,23,415
319,128,4.23,13,9,138,14,416
330,56,3.8,13,9,142,18,417
329,103,3.02,13,8,137,20,418
286,133,3.82,13,9,135,24,419
304,105,3.2,13,9,143,16,420
286,127,3.51,13,9,139,27,421
307,151,3.66,13,9,141,8,422
289,124,3.62,13,9,136,25,423
333,121,3.02,13,9,140,19,424
308,120,3.68,13,9,136,21,425
266,123,3.27,13,9,147,16,426
336,122,3.62,13,9,135,27,427
283,138,3.25,13,9,143,22,428
265,128,3.63,14,9,163,23,429
175,131,3.17,13,9,164,13,430
195,127,3.36,13,9,140,23,431
264,136,3.49,13,9,127,19,432
257,131,3.86,13,9,124,21,433
248,123,3.65,13,9,170,19,434
225,130,3.73,10,9,139,18,435
274,114,3.95,10,9,150,15,436
211,131,3.16,10,9,149,17,437
187,136,3.37,10,9,171,21,438
235,138,3.87,10,9,157,16,439
232,124,3.66,11,9,163,20,440
266,129,3.59,10,9,153,19,441
229,131,3.85,10,9,168,17,442
216,128,3.43,10,9,159,26,443
271,137,3.3,10,9,144,22,444
235,136,3.25,10,9,167,19,445
245,114,4.18,10,9,170,27,446
228,102,4.11,10,9,140,37,447
186,119,3.63,10,9,139,23,448
266,104,3.2,10,10,134,20,449
281,116,3.11,10,9,121,17,450
284,109,3.54,10,9,125,24,451
321,112,3.17,10,7,122,14,452
259,106,3.62,10,7,125,15,453
288,103,3.21,10,7,116,12,454
265,112,3.95,10,7,124,15,455
288,103,3.54,10,6,118,20,456
262,116,3.14,10,7,121,15,457
243,109,3.66,10,7,118,11,458
336,110,3.98,10,7,129,10,459
234,115,3.0,10,7,124,24,460
239,115,3.75,10,6,118,13,461
312,116,3.3,11,7,118,12,462
270,113,3.43,11,6,114,16,463
284,124,3.55,11,7,126,18,464
285,115,3.47,12,7,118,11,465
238,118,3.74,12,7,125,17,466
233,116,3.18,11,11,121,18,467
385,118,3.65,11,7,120,11,468
396,114,3.99,11,7,125,16,469
367,116,3.91,11,7,126,16,470
375,115,3.21,12,7,113,20,471
394,115,4.16,12,7,113,18,472
362,116,3.88,11,7,118,20,473
375,117,3.97,12,7,122,18,474
369,113,3.41,11,7,123,23,475
405,119,3.34,12,7,114,20,476
358,113,3.67,12,7,123,22,477
394,114,3.24,12,7,121,23,478
342,114,4.07,12,7,111,22,479
385,117,3.24,12,6,119,21,480
398,115,3.66,12,7,111,22,481
431,118,3.9,12,7,113,21,482
418,116,3.75,12,7,121,17,483
401,127,3.81,12,7,126,20,484
354,127,4.12,11,7,115,21,485
391,128,3.55,11,7,112,25,486
383,128,3.35,12,7,124,19,487
129,128,3.39,11,7,113,18,488
248,127,3.3,12,7,123,20,489
271,128,3.37,12,4,122,19,490
219,127,3.96,12,7,112,21,491
280,127,3.22,12,7,134,20,492
262,127,3.95,12,7,129,24,493
282,127,3.62,12,7,133,14,494
213,128,3.26,13,7,118,19,495
300,127,3.23,12,9,161,31,496
278,127,3.62,12,9,140,7,497
244,126,3.22,12,9,100,19,498
288,126,3.06,12,12,146,8,499
202,128,3.32,12,9,130,20,500
326,126,3.48,12,9,136,14,501
286,126,3.29,12,9,161,18,502
241,147,3.95,12,9,137,21,503
257,177,3.09,11,9,145,14,504
226,166,3.47,12,9,154,12,505
196,123,3.29,12,9,124,22,506
272,149,3.74,12,9,134,5,507
296,128,3.78,12,11,135,22,508
292,165,3.34,12,9,161,24,509
319,126,3.11,12,9,133,8,510
348,157,3.86,12,9,148,15,511
301,148,3.63,12,9,165,16,512
297,178,3.45,12,9,136,13,513
335,164,3.8,12,9,135,20,514
306,138,4.07,12,9,126,19,515
285,151,3.39,10,9,144,15,516
321,126,3.96,10,9,133,15,517
316,142,4.18,10,7,142,18,518
354,144,3.97,10,7,143,22,519
351,134,3.39,10,7,132,25,520
294,93,3.87,10,7,131,24,521
325,108,3.97,10,7,135,20,522
270,106,3.75,10,7,136,20,523
282,113,3.76,10,7,129,21,524
324,100,3.57,10,7,132,20,525
343,111,3.44,10,7,141,20,526
315,100,3.18,10,7,143,20,527
306,112,3.23,10,7,129,23,528
269,121,3.41,10,7,132,23,529
293,124,3.9,10,7,142,11,530
276,95,3.34,10,6,129,19,531
306,119,3.35,10,7,124,21,532
310,114,3.47,10,7,119,23,533
312,108,4.02,10,7,136,24,534
299,96,3.03,10,7,118,15,535
328,105,3.73,10,7,119,17,536
275,119,3.76,10,7,129,15,537
316,107,3.87,10,7,115,16,538
309,101,3.1,10,7,121,26,539
326,112,3.46,10,7,130,17,540
322,146,3.45,10,7,136,19,541
291,137,3.43,10,7,113,18,542
291,149,3.93,11,7,141,23,543
289,146,3.62,11,1,124,20,544
221,147,3.79,11,7,114,19,545
283,118,3.71,12,7,140,21,546
263,148,3.63,12,7,119,19,547
316,125,3.45,12,7,128,22,548
312,127,3.76,11,7,116,20,549
302,119,3.88,12,7,138,31,550
320,109,3.27,12,9,111,18,551
304,138,3.09,11,7,125,24,552
312,114,3.16,12,7,104,22,553
302,118,3.06,11,7,56,10,554
316,124,3.62,11,7,150,16,555
