core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
28.11,10.86,3.57,2.48,1.57,1.39,1.39,1.85,119.9,3.36,419
28.08,11.03,4.87,2.29,1.28,1.57,1.0,1.27,118.03,3.22,420
25.19,11.92,3.85,2.46,1.53,1.29,1.22,1.96,120.68,3.32,421
28.13,11.12,3.74,2.71,1.47,1.36,0.85,1.72,118.46,3.55,422
28.09,10.43,3.98,2.89,1.3,1.72,1.13,1.83,120.13,4.2,423
27.95,11.72,3.46,2.72,1.36,1.57,1.23,1.73,120.7,3.76,424
27.98,11.51,3.72,2.69,1.78,1.38,1.22,2.21,118.62,3.1,425
28.03,11.44,3.74,2.73,1.54,1.32,1.26,1.78,120.84,3.09,426
28.25,11.6,4.09,2.82,1.65,1.69,1.06,1.99,107.67,3.68,427
27.88,10.38,3.49,2.38,1.52,1.48,1.01,2.59,121.99,3.84,428
28.17,10.83,3.92,2.59,1.25,1.72,1.2,2.32,121.18,3.78,429
27.91,11.24,3.67,2.95,1.4,1.62,1.07,1.67,121.83,3.44,430
28.37,11.9,3.36,2.89,1.64,1.83,1.04,1.62,120.6,3.44,431
28.14,10.56,3.94,3.08,1.39,1.6,0.89,1.74,122.26,3.69,432
28.32,10.93,3.5,2.78,0.69,1.55,1.43,1.98,117.93,3.46,433
27.96,11.04,3.66,2.81,1.54,1.5,0.91,2.0,120.07,3.37,434
28.21,10.82,3.62,2.68,1.44,1.77,1.08,1.87,120.23,2.85,435
28.0,10.68,3.68,2.62,1.33,1.66,1.33,1.99,121.31,3.26,436
26.2,12.1,3.63,2.5,1.54,1.52,1.34,1.94,119.95,3.52,437
27.92,9.63,3.51,2.46,1.25,1.69,0.81,2.01,121.58,3.59,438
28.09,11.34,3.22,2.85,1.55,1.51,1.09,1.36,120.89,3.27,439
27.9,12.1,3.6,2.72,1.25,1.36,1.26,1.67,107.86,3.52,440
27.98,10.17,3.9,2.9,1.49,1.68,1.03,1.72,107.73,3.93,441
28.06,12.61,4.05,2.54,1.76,1.4,1.12,1.99,107.77,3.4,442
27.98,13.2,4.05,2.82,1.71,1.41,1.1,2.02,108.07,3.65,443
28.19,12.74,3.7,2.67,2.0,1.31,1.08,1.68,107.62,3.37,444
28.15,13.13,3.68,2.66,1.52,1.46,1.58,1.86,108.13,3.69,445
32.42,13.7,3.54,2.75,1.37,1.47,0.89,2.09,107.7,3.96,446
27.76,12.67,3.82,2.72,1.9,1.52,1.07,1.98,107.86,3.64,447
30.37,13.42,3.88,2.6,0.91,1.65,1.37,2.18,29.36,3.88,448
27.59,12.46,3.59,2.59,1.68,1.54,0.88,1.76,107.68,3.67,449
27.91,13.55,3.6,2.75,1.35,1.28,1.18,2.18,107.89,3.45,450
28.09,13.33,3.45,2.53,1.49,1.64,1.14,2.43,107.85,3.47,451
31.41,13.3,3.72,2.92,1.39,2.03,0.99,2.11,108.16,3.31,452
27.95,12.93,3.16,2.93,1.5,1.66,0.78,1.97,107.74,3.49,453
28.1,13.86,3.68,2.59,1.64,1.34,1.19,1.93,107.77,3.48,454
25.72,13.01,3.8,2.99,1.76,1.52,1.47,2.37,108.04,3.13,455
28.01,12.96,3.87,2.55,1.7,1.45,1.25,2.11,107.92,3.3,456
30.59,12.87,3.09,2.75,1.99,1.3,1.22,2.17,107.89,3.27,457
30.04,11.4,3.23,2.74,1.87,1.45,1.43,2.31,107.85,3.18,458
30.11,12.53,3.1,2.03,2.11,1.43,1.14,2.21,107.91,3.45,459
30.48,11.75,3.34,2.2,1.75,1.42,1.29,2.21,107.85,3.58,460
29.97,13.65,2.98,2.44,1.34,1.55,1.48,1.94,144.93,3.52,461
35.61,11.4,3.24,2.12,1.59,1.43,1.07,2.04,144.04,3.29,462
30.06,13.04,3.28,2.26,2.08,1.29,1.12,2.12,143.96,3.4,463
30.27,12.81,3.23,2.2,1.66,1.23,1.33,2.28,144.08,3.39,464
30.19,13.5,3.14,2.26,2.09,1.26,1.07,1.87,144.09,3.18,465
30.29,13.26,3.49,2.42,2.07,1.43,0.81,1.75,139.37,3.37,466
29.93,10.61,3.26,2.05,1.93,1.36,1.11,2.04,143.98,3.28,467
30.23,12.57,3.36,2.49,1.92,1.11,1.16,2.01,144.19,3.63,468
29.96,12.39,3.12,2.53,1.41,1.13,0.94,1.92,144.21,3.24,469
30.27,12.88,2.97,2.23,2.14,1.28,0.87,2.07,143.75,3.19,470
30.11,11.56,3.22,2.3,2.13,1.18,1.05,1.64,143.51,3.65,471
30.26,11.69,3.27,2.03,1.71,1.3,1.12,2.04,143.48,3.5,472
30.44,11.47,3.2,2.56,1.77,1.45,2.16,2.0,143.89,3.32,473
30.11,12.39,3.22,2.27,2.26,1.57,1.3,2.43,143.65,3.38,474
30.28,11.96,3.3,2.0,1.55,1.08,1.35,1.45,143.82,2.88,475
30.45,12.08,2.76,2.52,1.59,1.48,1.09,1.96,143.82,3.41,476
30.43,11.07,3.8,2.39,2.15,1.04,1.22,1.68,144.04,3.67,477
30.63,12.1,3.08,2.22,1.78,1.44,1.4,1.48,143.56,3.81,478
30.49,11.97,3.3,2.28,1.7,1.6,1.08,1.93,143.72,3.46,479
30.18,12.07,3.19,2.48,1.57,1.32,1.06,1.8,143.73,3.26,480
30.09,11.54,3.27,2.37,1.72,1.04,0.86,1.67,143.71,3.15,481
30.14,9.99,3.43,2.11,1.88,1.35,0.77,2.96,125.75,3.7,482
30.19,12.21,3.45,2.53,1.7,1.44,0.86,1.81,126.05,3.72,483
30.23,11.55,3.04,2.39,1.85,1.2,1.22,1.71,125.97,3.31,484
30.22,12.36,3.08,2.26,1.82,1.91,1.12,1.51,126.3,3.5,485
30.53,10.61,3.23,2.13,1.94,1.26,1.08,1.77,125.82,3.61,486
30.28,11.87,3.52,2.0,1.55,1.93,1.61,1.81,86.09,3.68,487
30.21,10.16,2.96,2.11,1.99,1.57,1.16,1.6,125.67,3.69,488
30.19,12.12,3.2,2.11,2.09,1.42,1.22,1.84,125.78,3.99,489
30.17,10.75,3.18,1.99,1.9,1.56,1.14,1.69,126.37,3.86,490
29.96,8.17,2.96,2.22,1.84,1.45,0.94,1.92,126.0,3.71,491
30.44,9.7,3.32,3.43,1.59,1.22,1.48,1.87,126.07,3.85,492
29.83,8.94,3.23,2.26,1.47,1.55,1.77,1.76,125.51,3.85,493
31.27,9.49,3.37,2.63,1.41,1.56,1.29,1.98,125.63,3.58,494
28.76,9.79,3.23,2.36,1.56,1.46,1.43,2.1,126.0,3.7,495
29.46,9.31,2.94,2.15,1.78,1.37,1.38,1.71,125.82,3.28,496
28.93,10.11,2.72,2.21,1.75,1.48,1.62,1.93,125.97,3.92,497
28.57,9.58,3.37,2.18,1.46,1.34,1.44,1.75,125.71,3.53,498
28.11,8.84,3.06,1.9,1.56,1.64,1.47,1.9,125.97,3.54,499
28.29,9.98,3.22,2.55,1.74,1.36,1.13,1.79,125.64,3.74,500
30.31,9.87,3.04,2.01,1.59,1.42,1.48,2.14,126.07,3.46,501
27.28,8.54,3.12,2.29,1.57,1.27,1.18,1.98,125.92,3.57,502
34.75,9.19,3.23,1.89,1.61,1.42,1.68,0.79,139.94,4.0,503
