core1,core2,core3,core4,mem,gpu,norm_ex_time
31.17,4.87,6.03,4.27,115.3,3.43,363
31.43,5.18,5.41,4.2,115.28,3.15,364
31.5,5.02,5.57,4.31,115.36,3.51,365
30.54,5.0,5.96,4.86,115.38,3.35,366
32.66,5.09,5.62,4.34,115.27,3.57,367
31.32,5.08,5.59,4.27,115.1,3.26,368
33.08,4.98,5.69,4.32,115.19,3.28,369
31.75,4.98,5.49,4.41,115.34,3.68,370
31.58,5.26,5.74,4.25,129.37,3.21,371
30.17,4.74,5.06,4.32,114.98,3.21,372
31.63,4.71,5.49,4.33,114.69,3.44,373
31.59,4.8,5.71,4.18,115.34,3.2,374
30.16,5.16,5.46,4.71,115.41,3.5,375
29.56,5.31,5.67,4.33,115.54,3.47,376
31.69,5.01,5.29,4.51,115.32,3.11,377
32.06,4.92,5.08,4.25,115.19,1.18,378
32.15,4.87,5.66,4.55,115.45,3.34,379
30.14,5.19,5.73,4.62,115.48,3.1,380
30.68,5.3,5.6,4.59,115.32,3.44,381
32.41,5.27,5.7,4.38,115.16,3.31,382
30.55,4.84,5.65,4.49,115.2,2.94,383
32.12,4.73,5.61,4.06,115.35,3.29,384
31.96,4.86,5.17,5.81,115.27,4.0,385
31.39,4.74,5.39,5.88,115.55,3.2,386
31.64,4.76,5.84,5.97,113.68,3.13,387
24.16,4.87,5.72,5.94,91.32,3.13,388
27.49,4.95,6.13,6.07,115.7,3.11,389
27.68,4.97,6.16,5.69,113.05,3.4,390
25.32,4.52,5.93,5.98,117.59,3.38,391
26.48,5.05,6.15,5.81,113.22,2.93,392
22.99,4.96,5.27,5.94,110.9,3.27,393
27.02,5.12,5.47,5.92,115.86,3.39,394
28.87,5.21,5.94,6.17,112.58,3.59,395
26.16,6.39,6.25,6.2,117.2,3.43,396
24.68,5.04,5.94,5.87,114.24,2.94,397
26.45,5.24,5.98,5.92,115.53,3.4,398
27.55,5.85,5.4,5.92,113.73,4.52,399
24.67,6.1,5.61,6.04,111.91,3.98,400
30.51,5.17,6.03,5.96,113.71,3.32,401
29.67,5.23,6.1,6.05,113.09,3.51,402
27.35,4.28,5.62,5.95,110.02,2.75,403
25.49,5.89,5.22,5.93,116.55,2.84,404
28.41,4.82,5.8,5.81,113.66,3.46,405
25.38,5.68,5.66,5.94,115.89,3.56,406
25.47,4.71,4.66,4.57,117.58,3.14,407
26.14,4.68,4.45,4.21,119.96,3.59,408
29.38,4.66,4.62,4.05,112.59,3.71,409
26.23,3.4,4.82,4.27,115.5,4.0,410
25.15,6.1,4.57,4.1,127.91,3.55,411
25.2,5.34,4.79,3.84,128.46,3.26,412
28.03,5.42,4.72,3.84,127.48,3.83,413
27.89,5.46,4.86,4.73,128.01,3.45,414
27.65,4.91,4.55,4.22,143.0,3.2,415
27.76,5.92,4.52,4.18,126.47,2.93,416
27.95,5.18,4.87,4.59,127.4,3.6,417
28.1,5.77,4.69,4.14,128.29,3.21,418
28.09,5.82,4.59,4.12,128.19,2.21,419
27.94,6.1,4.71,3.58,127.77,3.08,420
27.76,5.55,4.84,4.2,128.83,3.0,421
27.67,5.61,4.67,4.24,127.88,3.53,422
27.71,5.97,4.63,4.32,128.36,3.4,423
28.12,5.36,2.62,3.44,127.37,3.26,424
27.81,5.33,4.47,3.67,127.78,3.74,425
27.94,5.39,4.91,4.28,127.78,2.7,426
27.84,6.01,4.9,3.97,127.11,2.91,427
27.75,5.48,4.79,4.27,120.96,3.71,428
27.85,4.64,4.81,5.42,128.14,3.04,429
27.6,5.05,4.1,5.46,130.07,3.45,430
27.55,5.03,4.26,5.13,127.52,2.72,431
28.14,4.78,4.59,5.3,128.43,2.81,432
27.9,4.56,6.13,4.77,127.75,3.33,433
28.76,4.85,5.0,4.92,126.92,3.07,434
27.95,4.98,5.03,5.0,111.74,3.42,435
27.87,5.1,5.67,5.14,115.21,3.27,436
27.51,4.73,4.45,5.32,117.44,3.01,437
31.57,4.7,4.74,4.97,111.93,2.86,438
31.04,5.03,4.93,5.27,114.42,3.06,439
31.44,4.63,5.62,4.84,113.13,3.24,440
29.57,4.53,5.51,5.29,119.06,3.14,441
30.5,4.62,4.27,5.09,113.79,3.39,442
31.97,4.77,4.75,5.15,103.12,3.0,443
31.19,4.79,4.47,5.14,116.84,3.24,444
30.99,4.84,4.71,5.09,113.2,3.29,445
31.05,4.94,4.14,5.21,115.15,2.92,446
30.62,4.65,5.46,5.36,115.96,2.95,447
31.11,4.79,5.19,5.46,112.55,3.39,448
33.16,4.7,4.0,5.1,119.26,3.27,449
32.24,4.47,4.58,5.07,110.68,3.07,450
30.89,4.8,5.43,5.21,114.87,3.06,451
30.52,4.88,5.72,5.16,130.32,2.93,452
30.89,5.02,5.81,4.84,121.39,3.17,453
32.14,4.74,5.62,4.91,113.64,3.21,454
30.49,5.0,5.65,5.25,125.09,2.95,455
30.84,4.99,5.88,4.76,112.54,3.07,456
30.46,4.44,5.82,5.21,115.04,3.31,457
31.67,4.95,5.71,4.83,117.26,4.12,458
30.88,4.65,5.89,4.88,117.95,3.16,459
30.64,4.8,5.72,5.11,118.15,3.18,460
31.15,4.92,5.68,5.36,118.07,3.08,461
31.67,4.89,5.36,5.16,117.96,3.02,462
42.06,4.95,5.47,5.19,117.67,3.05,463
36.36,5.12,5.52,5.21,118.04,3.13,464
43.02,4.79,6.15,5.24,118.24,3.15,465
36.25,4.68,5.67,4.83,117.63,3.03,466
39.47,5.02,5.64,5.29,117.85,2.86,467
35.03,4.69,5.4,5.11,118.27,3.02,468
35.86,4.92,5.51,4.87,118.05,3.06,469
34.11,4.57,5.66,5.04,117.88,3.39,470
