response_time,norm_time
0.176,450.709
0.188,450.763
0.107,450.821
0.081,450.87
0.123,450.934
0.153,451.033
0.153,451.088
0.114,451.132
0.152,451.21
0.142,451.312
0.17,451.364
0.206,451.427
0.216,451.482
0.165,451.533
0.132,451.598
0.158,451.671
0.124,451.739
0.19,451.803
0.094,451.874
0.172,451.967
0.149,452.041
0.172,452.086
0.169,452.146
0.089,452.221
0.154,452.299
0.113,452.408
0.117,452.458
0.101,452.528
0.158,452.592
0.179,452.651
0.178,452.693
0.187,452.786
0.108,452.848
0.092,452.915
0.084,452.985
0.163,453.031
0.115,453.101
0.155,453.138
0.125,453.205
0.178,453.298
0.099,453.371
0.121,453.435
0.141,453.512
0.108,453.589
0.146,453.64
0.138,453.697
0.152,453.768
0.143,453.88
0.146,453.967
0.182,454.04
0.16,454.115
0.172,454.16
0.18,454.223
0.095,454.317
0.165,454.421
0.201,454.507
0.111,454.569
0.113,454.627
0.105,454.693
0.145,454.748
0.129,454.811
0.127,454.91
0.137,454.963
0.115,455.018
0.164,455.125
0.197,455.163
0.167,455.24
0.142,455.307
0.124,455.385
0.143,455.422
0.175,455.48
0.126,455.547
0.129,455.613
0.142,455.665
0.152,455.761
0.214,455.809
0.126,455.866
0.111,455.945
0.108,455.989
0.127,456.026
0.158,456.076
0.132,456.142
0.174,456.233
0.109,456.314
0.127,456.398
0.12,456.419
0.148,456.518
0.178,456.58
0.14,456.639
0.17,456.678
0.089,456.742
0.111,456.787
0.122,456.87
0.158,456.956
0.162,457.066
0.181,457.122
0.093,457.198
0.106,457.295
0.102,457.382
0.117,457.451
0.133,457.557
0.206,457.594
0.124,457.667
0.163,457.731
0.114,457.819
0.134,457.889
0.14,457.937
0.17,458.034
0.094,458.103
0.161,458.188
0.13,458.253
0.121,458.312
0.187,458.388
0.11,458.492
0.144,458.559
0.176,458.609
0.118,458.654
0.095,458.713
0.16,458.776
0.141,458.842
0.2,458.891
0.109,458.965
0.143,459.007
0.149,459.065
0.169,459.145
0.117,459.224
0.181,459.314
0.152,459.403
0.116,459.451
0.135,459.505
0.188,459.589
0.107,459.675
0.124,459.757
0.136,459.818
0.099,459.871
0.189,459.943
0.099,459.998
0.101,460.077
0.181,460.155
0.142,460.236
0.204,460.279
0.096,460.33
0.16,460.402
0.206,460.491
0.095,460.562
0.132,460.603
0.158,460.682
0.138,460.77
0.185,460.813
0.17,460.862
0.13,460.926
0.187,460.984
0.145,461.083
0.094,461.147
0.149,461.208
0.095,461.274
0.093,461.351
0.132,461.394
0.181,461.464
0.155,461.553
0.191,461.602
0.198,461.671
0.112,461.723
0.141,461.801
0.227,461.875
0.136,461.926
0.137,461.968
0.172,462.055
0.09,462.113
0.091,462.172
0.154,462.254
0.179,462.33
0.13,462.42
0.119,462.489
0.098,462.559
0.172,462.613
0.201,462.691
0.133,462.752
0.151,462.795
0.191,462.884
0.123,462.944
0.121,463.004
0.156,463.062
0.162,463.098
0.116,463.19
0.163,463.271
0.163,463.379
0.205,463.459
0.177,463.544
0.174,463.626
0.088,463.69
0.114,463.754
0.142,463.876
0.207,463.915
