response_time,norm_time
0.123,493.128
0.102,493.202
0.106,493.265
0.101,493.322
0.14,493.377
0.095,493.446
0.076,493.492
0.124,493.542
0.149,493.578
0.114,493.623
0.111,493.684
0.096,493.751
0.099,493.835
0.139,493.902
0.148,493.976
0.12,494.041
0.12,494.13
0.143,494.161
0.118,494.205
0.149,494.251
0.127,494.311
0.131,494.353
0.135,494.421
0.158,494.5
0.145,494.555
0.108,494.6
0.115,494.66
0.085,494.745
0.112,494.808
0.118,494.861
0.135,494.917
0.115,494.982
0.117,495.035
0.112,495.124
0.088,495.241
0.109,495.317
0.087,495.392
0.128,495.473
0.142,495.536
0.109,495.611
0.105,495.666
0.077,495.739
0.101,495.808
0.117,495.866
0.133,495.944
0.135,495.986
0.075,496.079
0.117,496.167
0.123,496.224
0.144,496.297
0.102,496.348
0.082,496.416
0.109,496.474
0.152,496.53
0.118,496.589
0.107,496.657
0.136,496.775
0.116,496.852
0.104,496.914
0.108,496.965
0.137,497.004
0.145,497.047
0.135,497.111
0.132,497.185
0.129,497.236
0.114,497.286
0.092,497.367
0.118,497.446
0.118,497.514
0.11,497.567
0.116,497.64
0.147,497.68
0.105,497.728
0.113,497.773
0.079,497.834
0.124,497.892
0.163,497.926
0.114,497.989
0.109,498.056
0.116,498.141
0.129,498.202
0.099,498.265
0.118,498.354
0.112,498.407
0.131,498.492
0.124,498.541
0.115,498.597
0.128,498.683
0.113,498.722
0.12,498.795
0.105,498.877
0.121,498.956
0.139,499.086
0.081,499.13
0.133,499.186
0.115,499.27
0.092,499.33
0.095,499.374
0.127,499.465
0.134,499.544
0.097,499.625
0.122,499.754
0.108,499.79
0.121,499.85
0.111,499.899
0.148,499.998
0.119,500.051
0.083,500.121
0.134,500.213
0.134,500.267
0.115,500.341
0.136,500.445
0.101,500.534
0.109,500.597
0.115,500.66
0.117,500.736
0.104,500.791
0.116,500.846
0.11,500.9
0.117,500.976
0.153,501.059
0.125,501.148
0.123,501.176
0.158,501.273
0.115,501.342
0.114,501.408
0.088,501.445
0.136,501.536
0.124,501.647
0.11,501.704
0.122,501.783
0.127,501.853
0.127,501.926
0.128,501.989
0.126,502.053
0.106,502.12
0.113,502.203
0.115,502.295
0.133,502.344
0.126,502.424
0.121,502.512
0.126,502.568
0.102,502.634
0.099,502.712
0.119,502.786
0.135,502.861
0.115,502.913
0.121,502.984
0.111,503.069
0.136,503.133
0.119,503.192
0.085,503.223
0.139,503.289
0.116,503.367
0.122,503.433
0.119,503.511
0.1,503.563
0.125,503.614
0.118,503.676
0.116,503.744
0.096,503.821
0.144,503.882
0.161,503.957
0.092,504.012
0.103,504.075
0.106,504.133
0.147,504.191
0.092,504.235
0.122,504.308
0.12,504.37
0.116,504.452
0.149,504.493
0.101,504.56
0.107,504.621
0.089,504.68
0.109,504.747
0.13,504.793
0.14,504.882
0.171,504.936
0.13,504.964
0.098,505.033
0.132,505.069
0.106,505.134
0.125,505.178
0.132,505.261
0.105,505.342
0.105,505.39
0.121,505.436
0.098,505.494
0.142,505.551
0.108,505.63
0.127,505.706
0.126,505.806
0.148,505.864
0.115,505.933
0.136,505.991
0.129,506.044
0.123,506.104
0.147,506.193
0.141,506.266
0.142,506.341
0.127,506.411
0.106,506.467
0.14,506.531
0.128,506.612
0.13,506.701
0.122,506.765
0.124,506.812
0.151,506.878
0.154,506.943
0.092,507.028
0.128,507.102
0.11,507.168
0.12,507.195
0.107,507.268
0.122,507.315
0.087,507.422
0.089,507.486
0.097,507.566
0.126,507.639
0.133,507.699
0.12,507.751
0.1,507.815
0.123,507.859
0.119,507.911
0.087,507.99
0.146,508.018
0.132,508.09
0.146,508.161
0.14,508.286
0.103,508.335
0.091,508.419
0.107,508.481
0.093,508.539
0.102,508.646
0.135,508.699
0.108,508.768
0.123,508.829
0.11,508.887
0.154,508.983
0.154,509.051
0.09,509.107
0.103,509.16
0.122,509.267
0.139,509.369
0.124,509.448
0.114,509.513
0.166,509.561
0.147,509.637
0.126,509.717
0.11,509.82
0.125,509.872
0.092,509.978
0.12,510.03
0.131,510.094
0.087,510.164
0.119,510.208
0.129,510.297
0.103,510.355
0.096,510.413
0.154,510.503
0.111,510.571
0.14,510.654
0.121,510.719
0.107,510.79
0.157,510.869
0.118,510.916
0.105,510.997
0.126,511.047
0.097,511.118
0.148,511.142
0.105,511.225
0.126,511.302
0.146,511.38
0.077,511.438
0.096,511.509
0.109,511.55
0.094,511.621
0.108,511.669
0.096,511.718
0.156,511.801
0.12,511.847
0.109,511.885
0.096,511.919
0.102,511.995
0.136,512.062
0.103,512.117
0.107,512.175
0.106,512.213
0.137,512.268
0.094,512.329
0.116,512.395
0.112,512.441
0.162,512.502
0.126,512.558
0.092,512.631
0.107,512.683
0.12,512.73
0.107,512.776
0.124,512.83
0.099,512.904
0.12,512.953
0.104,513.004
0.125,513.072
0.097,513.11
0.13,513.17
0.128,513.234
0.131,513.274
0.093,513.322
0.098,513.38
0.098,513.441
0.127,513.536
0.107,513.596
0.142,513.682
0.124,513.748
0.122,513.8
0.131,513.872
0.082,513.922
0.128,513.948
0.127,514.02
0.131,514.064
0.11,514.099
0.133,514.177
0.132,514.217
0.144,514.285
0.128,514.347
0.093,514.446
0.12,514.523
0.123,514.571
0.161,514.651
0.092,514.71
0.151,514.805
0.144,514.877
0.113,514.95
0.093,515.039
0.111,515.126
0.135,515.212
0.171,515.279
0.139,515.33
0.158,515.377
0.135,515.451
0.135,515.581
0.132,515.63
0.105,515.674
0.164,515.773
0.117,515.839
0.132,515.937
0.123,516.013
0.124,516.043
0.135,516.11
0.135,516.181
0.133,516.25
0.143,516.312
0.112,516.386
0.093,516.457
0.13,516.534
0.122,516.572
0.122,516.629
0.09,516.715
0.138,516.787
0.122,516.842
0.105,516.903
0.111,516.963
0.101,517.028
0.101,517.094
0.116,517.135
0.08,517.213
0.156,517.256
0.11,517.303
0.085,517.357
0.145,517.412
0.113,517.485
0.116,517.544
0.131,517.601
0.091,517.688
0.109,517.743
0.132,517.812
0.143,517.894
0.123,517.946
0.097,518.015
0.149,518.083
0.121,518.136
0.119,518.183
0.128,518.243
0.139,518.325
0.114,518.377
0.133,518.419
0.093,518.462
0.123,518.5
0.125,518.583
0.091,518.64
0.108,518.704
0.155,518.74
0.115,518.792
0.141,518.873
0.093,518.941
0.135,519.002
0.116,519.086
0.12,519.159
0.095,519.207
0.097,519.281
0.159,519.348
0.136,519.413
0.101,519.508
0.135,519.55
0.09,519.611
0.092,519.719
0.152,519.793
0.095,519.859
0.092,519.954
0.125,520.018
0.135,520.104
0.106,520.177
0.127,520.24
0.117,520.288
0.122,520.357
0.152,520.444
0.122,520.499
0.115,520.562
0.105,520.645
0.089,520.699
0.138,520.772
0.099,520.823
0.135,520.904
0.112,520.947
0.106,520.972
0.089,521.024
0.099,521.075
0.121,521.161
0.118,521.196
0.105,521.265
0.162,521.35
0.12,521.415
0.112,521.455
0.137,521.533
0.117,521.618
0.115,521.708
0.105,521.775
0.151,521.848
0.123,521.919
0.147,521.956
0.109,522.002
0.138,522.064
0.15,522.139
0.149,522.189
0.099,522.272
0.117,522.33
0.103,522.396
0.122,522.442
0.122,522.509
0.083,522.561
0.105,522.63
0.161,522.698
0.1,522.779
0.124,522.842
0.108,522.969
0.093,523.025
0.109,523.048
0.093,523.108
0.116,523.148
0.132,523.218
0.115,523.293
0.096,523.322
0.129,523.418
0.13,523.488
0.129,523.554
0.104,523.584
0.103,523.642
0.08,523.691
0.134,523.763
0.12,523.802
0.128,523.848
0.09,523.907
0.118,523.958
0.139,524.05
0.13,524.144
0.123,524.219
0.099,524.305
0.118,524.374
0.087,524.419
0.13,524.489
0.156,524.558
0.107,524.638
0.101,524.702
0.134,524.771
0.132,524.827
0.092,524.901
0.103,524.985
0.094,525.062
0.111,525.097
0.149,525.153
0.11,525.221
0.113,525.255
0.121,525.342
0.117,525.41
0.122,525.501
0.137,525.568
0.119,525.633
0.118,525.7
0.119,525.75
0.107,525.808
0.129,525.949
0.107,526.026
0.142,526.107
0.134,526.198
0.144,526.253
0.091,526.328
0.14,526.398
0.127,526.435
0.118,526.493
0.125,526.573
0.185,526.65
0.085,526.71
0.109,526.776
0.1,526.814
0.121,526.86
0.137,526.916
0.121,526.988
0.131,527.066
0.093,527.143
0.148,527.213
0.108,527.301
0.137,527.351
0.104,527.43
0.11,527.497
0.11,527.602
0.126,527.676
0.127,527.726
0.112,527.765
0.105,527.82
0.131,527.917
0.111,527.999
0.143,528.085
0.148,528.169
0.105,528.252
0.103,528.309
0.101,528.38
0.152,528.458
0.143,528.523
0.083,528.565
0.144,528.642
0.107,528.69
0.124,528.716
0.155,528.77
0.109,528.812
0.114,528.896
0.129,528.942
0.107,529.004
0.122,529.064
0.117,529.129
0.093,529.196
0.131,529.256
0.141,529.353
0.142,529.422
0.103,529.472
0.121,529.543
0.137,529.588
0.11,529.622
0.14,529.684
0.087,529.752
0.118,529.812
0.119,529.847
0.149,529.938
0.13,529.996
0.11,530.072
0.114,530.152
0.119,530.217
0.114,530.25
0.125,530.315
0.139,530.374
0.135,530.456
0.123,530.499
0.1,530.589
0.129,530.7
0.117,530.757
0.088,530.823
0.102,530.896
0.133,530.964
0.113,531.032
0.141,531.106
0.141,531.178
0.099,531.262
0.097,531.329
0.115,531.388
0.154,531.453
0.118,531.546
0.143,531.631
0.135,531.7
0.113,531.775
0.099,531.872
0.149,531.922
0.11,531.952
0.116,532.031
0.124,532.117
0.092,532.185
0.14,532.242
0.14,532.285
0.125,532.337
0.133,532.391
0.1,532.41
0.133,532.473
0.082,532.545
0.122,532.609
0.118,532.674
0.132,532.781
0.146,532.864
0.099,532.943
0.136,532.983
0.119,533.061
0.103,533.108
0.11,533.191
0.095,533.259
0.147,533.291
0.094,533.355
0.116,533.394
0.112,533.492
0.149,533.58
0.102,533.636
0.088,533.7
0.142,533.772
0.122,533.828
0.106,533.874
0.123,533.941
0.105,534.032
0.113,534.071
0.1,534.131
0.12,534.201
0.111,534.297
0.122,534.366
0.142,534.432
0.108,534.491
0.102,534.584
0.12,534.649
0.144,534.706
0.119,534.746
0.099,534.822
0.133,534.867
0.124,534.944
0.095,534.997
0.104,535.055
0.133,535.113
0.088,535.161
0.116,535.245
0.097,535.313
0.1,535.428
0.142,535.518
0.132,535.614
0.11,535.654
0.13,535.75
0.131,535.813
0.12,535.902
0.146,535.958
0.091,536.011
0.106,536.063
0.116,536.105
0.135,536.186
0.113,536.245
0.119,536.298
0.115,536.371
0.112,536.482
0.123,536.573
0.103,536.627
0.148,536.701
0.111,536.767
0.091,536.835
0.086,536.894
0.109,536.974
0.135,537.027
0.102,537.098
0.122,537.196
0.111,537.251
0.115,537.346
0.124,537.39
0.147,537.457
0.098,537.554
0.115,537.597
0.094,537.67
0.147,537.723
0.148,537.788
0.152,537.876
0.13,537.961
0.089,538.024
0.107,538.099
0.099,538.185
0.134,538.271
0.116,538.346
0.1,538.406
0.091,538.481
0.137,538.528
0.13,538.602
0.117,538.66
0.149,538.733
0.105,538.821
0.136,538.874
0.125,538.924
0.086,539.008
0.106,539.075
0.138,539.128
0.112,539.182
0.133,539.222
0.105,539.274
0.081,539.355
0.128,539.434
0.088,539.489
0.124,539.645
0.122,539.696
0.122,539.758
0.123,539.832
0.088,539.887
0.115,539.925
0.138,540.016
0.097,540.085
0.152,540.131
0.113,540.199
0.135,540.257
0.093,540.306
0.129,540.35
0.114,540.401
0.079,540.482
0.119,540.509
0.096,540.562
0.122,540.635
0.123,540.69
0.104,540.76
0.099,540.83
0.128,540.901
0.088,540.963
0.147,541.044
0.149,541.088
0.089,541.17
0.119,541.254
0.126,541.339
0.107,541.406
0.108,541.444
0.128,541.499
0.092,541.61
0.096,541.683
0.101,541.742
0.111,541.797
0.093,541.894
0.129,541.965
0.107,542.012
0.11,542.093
0.12,542.197
0.128,542.235
0.108,542.294
0.147,542.348
0.122,542.386
0.085,542.476
0.114,542.57
0.123,542.641
0.13,542.702
0.147,542.761
0.089,542.843
0.117,542.886
0.124,542.965
0.124,543.021
0.111,543.111
0.134,543.148
0.142,543.215
0.12,543.301
0.131,543.368
0.109,543.442
0.136,543.55
0.114,543.653
0.13,543.734
0.104,543.788
