cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
802,41,4.02,12,1,16,8,347
802,45,3.53,12,2,15,9,348
802,76,3.75,11,1,22,11,349
802,39,3.87,12,1,19,7,350
802,49,3.94,12,1,19,8,351
802,58,3.37,13,3,16,9,352
802,42,3.67,13,2,35,8,353
802,51,3.45,11,2,18,10,354
802,62,3.59,11,1,16,8,355
802,67,3.47,13,2,16,7,356
802,49,3.59,12,1,18,10,357
802,40,3.41,11,2,20,10,358
802,52,3.32,11,1,13,11,359
802,43,3.1,11,2,2,8,360
1132,46,3.78,12,1,9,8,361
802,55,3.89,11,2,15,9,362
802,63,3.59,12,1,15,9,363
802,48,3.24,12,1,30,13,364
802,63,3.47,13,2,16,9,365
802,50,4.07,10,2,13,11,366
802,54,3.53,11,2,12,5,367
802,57,3.91,11,1,19,7,368
802,52,3.76,12,1,22,9,369
802,48,3.22,11,1,23,9,370
802,62,3.38,12,1,18,12,371
802,42,3.63,12,2,16,10,372
802,44,3.62,12,1,19,8,373
802,26,3.85,11,1,17,11,374
802,52,3.61,13,1,12,11,375
802,51,3.2,16,1,20,10,376
882,39,3.85,16,2,18,5,377
883,42,3.09,16,1,11,10,378
854,45,3.24,18,1,17,7,379
910,59,3.78,15,2,14,7,380
902,55,3.8,16,2,22,8,381
890,37,4.02,16,2,15,13,382
864,28,3.26,17,1,18,9,383
924,49,3.58,16,2,14,12,384
874,48,3.76,16,2,18,13,385
876,35,3.96,16,2,14,7,386
870,45,3.48,16,2,17,11,387
933,50,3.04,16,2,17,8,388
863,53,3.18,16,1,12,11,389
941,45,3.82,16,1,13,9,390
897,55,3.75,16,1,15,8,391
927,26,3.67,16,2,15,7,392
888,46,3.27,16,2,9,9,393
901,49,3.43,16,1,16,12,394
917,69,3.74,16,1,16,8,395
853,36,3.9,16,2,15,8,396
883,55,3.54,16,2,21,8,397
839,44,3.22,16,2,12,7,398
964,35,3.4,15,2,17,7,399
918,47,3.72,16,2,17,11,400
909,44,3.39,15,2,15,7,401
881,39,3.55,16,2,19,7,402
884,51,3.6,16,2,12,11,403
911,51,3.37,15,2,16,7,404
942,47,3.93,15,1,12,11,405
837,38,3.13,14,2,15,8,406
1050,43,3.65,15,2,13,11,407
1051,40,3.57,15,2,15,9,408
712,52,3.56,15,2,11,7,409
1072,45,3.44,15,2,13,9,410
1115,40,3.94,14,2,16,9,411
1050,49,3.75,16,2,13,10,412
1051,48,3.74,15,2,20,4,413
1050,50,3.91,14,2,13,10,414
1074,45,3.61,15,1,10,10,415
1050,44,3.41,14,2,17,11,416
1050,53,3.33,15,2,21,17,417
1050,42,4.01,16,2,21,10,418
1050,59,3.67,16,2,14,13,419
1050,46,3.7,13,1,15,7,420
636,47,3.48,14,2,16,8,421
1050,41,3.66,15,1,19,6,422
941,35,3.76,17,1,13,10,423
1050,45,3.93,15,1,17,8,424
1051,38,4.15,14,1,21,7,425
1051,29,3.87,16,1,19,7,426
1050,49,3.32,15,1,15,9,427
1050,45,4.13,15,1,13,1,428
1050,41,3.58,15,1,17,8,429
1051,51,3.03,15,1,19,6,430
1051,55,3.7,15,1,16,8,431
1051,41,3.92,15,1,20,16,432
1152,36,3.72,14,1,14,8,433
1050,41,4.14,14,1,19,7,434
1050,45,3.29,14,1,22,8,435
1051,37,3.35,14,1,18,13,436
1041,30,3.82,14,1,17,8,437
1119,50,3.22,14,1,26,10,438
1047,45,3.6,14,1,19,10,439
1062,46,3.75,14,1,17,5,440
1072,48,4.12,15,1,12,7,441
1036,44,3.97,14,1,15,4,442
1082,37,3.46,14,1,6,3,443
964,37,3.46,14,1,22,8,444
998,47,3.48,15,1,16,6,445
1001,47,3.06,14,1,10,7,446
1076,57,3.91,15,1,22,15,447
990,48,3.86,14,2,23,13,448
1079,54,3.31,14,1,23,10,449
1035,67,3.13,14,1,28,10,450
1088,62,3.79,14,2,22,12,451
1057,54,4.02,14,2,21,16,452
1090,48,3.63,14,1,9,10,453
1089,60,3.55,14,1,16,18,454
1071,61,3.04,14,1,26,8,455
1066,55,3.39,14,2,19,8,456
992,51,3.08,14,1,9,4,457
1149,48,3.37,16,1,24,5,458
1048,66,3.74,14,2,16,7,459
1044,80,3.63,14,1,20,12,460
1089,51,3.21,14,2,17,12,461
1033,65,3.87,14,2,14,5,462
1039,66,3.45,11,1,16,5,463
1116,72,3.95,14,1,19,10,464
1034,59,4.01,13,1,13,9,465
1072,62,3.91,15,2,13,9,466
962,58,3.41,16,1,17,11,467
961,50,3.02,11,1,19,19,468
962,57,3.16,0,1,21,11,469
960,61,3.98,8,2,17,11,470
962,60,3.95,10,2,23,10,471
962,39,3.86,11,2,20,5,472
961,22,3.69,11,2,19,6,473
961,41,3.37,10,2,14,7,474
961,48,3.84,12,2,14,6,475
961,47,3.08,9,2,16,9,476
961,55,3.28,13,2,18,10,477
960,38,3.96,12,2,0,9,478
961,52,3.68,11,2,17,5,479
962,43,4.17,9,2,17,6,480
961,59,4.26,12,2,18,9,481
961,53,4.08,9,1,11,5,482
961,59,3.52,9,2,17,10,483
961,50,3.13,9,2,18,4,484
961,43,3.05,13,2,15,8,485
962,48,3.3,8,2,19,8,486
961,54,3.86,11,2,19,17,487
941,50,3.94,9,2,19,11,488
962,48,3.44,9,2,20,13,489
961,57,3.21,12,2,21,9,490
961,44,3.35,11,2,28,10,491
961,54,3.24,12,2,18,7,492
962,52,3.27,11,2,18,9,493
961,26,3.22,12,2,18,12,494
961,47,4.11,11,2,19,10,495
962,37,3.22,11,2,23,12,496
1244,41,3.07,12,1,25,13,497
1244,55,3.83,11,1,16,11,498
