core1,core2,core3,core4,mem,gpu,norm_ex_time
92.72,9.79,3.02,3.62,160.56,3.16,361
92.8,10.15,2.74,3.36,157.98,3.26,362
93.19,10.21,2.98,3.41,151.58,3.25,363
94.33,9.8,3.06,3.27,158.5,3.08,364
93.67,9.91,2.79,3.68,171.01,2.88,365
92.16,9.69,2.62,3.51,159.86,3.21,366
92.19,10.13,3.13,3.6,149.3,2.89,367
92.47,10.46,3.04,3.49,163.1,3.21,368
93.26,9.74,3.11,3.35,138.35,3.3,369
93.76,10.23,2.77,3.21,139.91,3.03,370
92.45,10.51,2.98,3.36,159.89,3.21,371
92.6,9.98,2.73,3.12,158.41,3.28,372
93.12,10.05,2.66,3.27,150.0,3.02,373
93.31,10.27,2.89,3.6,150.71,3.02,374
93.38,10.08,2.9,3.26,120.85,3.47,375
97.05,10.18,2.87,3.46,161.4,3.12,376
90.99,10.33,2.68,3.89,154.27,3.03,377
92.85,9.42,2.88,3.33,174.01,3.04,378
93.08,10.04,3.03,2.96,155.05,3.29,379
92.28,9.9,2.71,3.45,161.1,3.31,380
93.48,8.63,2.96,3.2,138.9,3.09,381
93.06,10.06,3.11,3.46,142.94,1.92,382
90.94,9.71,3.53,3.51,143.45,3.7,383
93.72,9.71,3.26,4.34,143.28,3.5,384
92.1,10.56,3.67,4.23,143.32,3.69,385
93.07,10.31,2.89,4.5,143.08,2.98,386
59.57,10.0,3.25,4.13,142.86,2.49,387
78.67,10.26,3.41,4.31,142.78,2.72,388
71.92,10.45,3.57,4.2,143.19,2.68,389
76.4,9.95,2.69,4.32,143.24,2.43,390
66.11,10.23,3.57,4.04,143.24,3.16,391
75.25,10.23,3.12,4.33,143.02,3.1,392
78.55,10.51,3.23,4.35,168.85,2.89,393
68.72,8.2,3.42,4.42,142.92,2.7,394
70.0,8.26,2.87,4.42,143.0,2.25,395
71.47,8.52,3.46,4.22,124.12,2.59,396
73.63,8.62,3.19,4.13,142.89,2.27,397
68.09,8.57,3.49,4.12,143.3,2.46,398
70.45,8.46,3.52,4.27,143.21,2.65,399
71.0,8.17,3.61,4.27,143.26,2.79,400
58.4,8.6,3.19,4.32,154.28,2.69,401
62.37,8.47,3.7,4.01,170.17,2.38,402
69.15,8.03,3.01,4.08,153.0,2.74,403
68.03,8.37,3.0,4.01,150.49,2.59,404
72.99,8.05,2.46,4.1,163.84,2.61,405
65.02,8.41,2.83,4.61,154.7,2.6,406
68.5,9.13,2.6,4.58,154.54,2.3,407
64.44,8.31,2.88,4.48,148.52,3.19,408
71.92,8.32,2.92,4.33,149.81,2.81,409
78.6,8.59,2.95,4.25,155.54,2.63,410
64.72,8.73,2.85,4.67,157.81,3.04,411
67.76,8.16,2.99,4.63,147.92,2.8,412
97.44,8.2,2.97,4.54,149.05,3.22,413
97.6,8.63,2.98,4.67,144.83,3.09,414
97.69,8.24,2.92,4.33,162.6,2.85,415
97.54,7.96,2.53,4.33,155.73,3.32,416
97.63,8.59,2.99,4.56,154.38,3.0,417
97.7,4.78,2.92,4.47,161.34,3.24,418
97.58,7.64,3.11,4.69,161.07,3.17,419
97.67,8.33,2.73,4.5,160.94,3.27,420
97.54,8.53,2.69,4.34,154.56,2.86,421
97.47,8.66,2.74,4.4,151.66,3.2,422
97.63,8.91,3.18,4.54,153.33,3.0,423
97.63,8.76,2.76,4.17,155.54,2.97,424
97.97,8.29,3.36,4.45,155.55,2.99,425
97.87,8.02,2.94,4.47,155.67,3.15,426
97.49,7.89,3.29,4.89,155.44,3.1,427
97.59,8.21,2.84,4.48,155.31,2.89,428
97.48,9.52,2.96,4.38,155.21,3.04,429
97.62,8.3,2.58,4.25,155.5,3.07,430
97.73,8.78,3.05,3.43,155.54,2.78,431
97.6,9.37,3.08,3.64,155.55,3.09,432
97.38,8.99,2.78,3.68,155.2,2.9,433
97.86,7.37,2.79,3.49,155.55,3.01,434
97.98,8.93,3.18,3.03,155.48,3.05,435
97.74,7.7,3.26,3.7,155.46,3.0,436
97.43,8.71,2.74,3.26,155.37,3.25,437
97.48,8.38,3.65,3.66,155.56,3.23,438
87.9,8.81,3.14,4.07,155.69,3.29,439
81.31,8.66,3.14,4.22,155.31,2.93,440
91.09,8.19,2.43,4.24,155.28,3.2,441
83.82,7.47,2.99,3.21,155.56,3.46,442
87.25,8.93,3.06,4.48,155.69,3.43,443
