core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
92.75,12.35,1.72,2.82,2.45,3.48,1.82,1.23,164.57,3.72,356
93.1,11.99,1.83,2.92,2.24,3.32,1.66,1.2,164.33,3.66,357
93.46,12.1,1.19,2.94,2.62,1.79,1.95,1.2,164.4,3.94,358
92.74,12.03,1.43,3.13,2.45,3.42,1.69,1.43,164.45,3.94,359
93.14,12.42,1.4,2.96,2.17,3.54,1.87,1.14,164.55,3.96,360
93.02,12.18,1.57,3.16,2.71,3.38,1.36,1.07,164.18,3.87,361
93.1,12.52,1.57,2.79,2.41,3.26,1.8,1.29,164.55,3.72,362
92.92,12.04,1.34,2.93,2.65,3.46,1.73,1.37,164.52,3.89,363
93.12,12.17,1.26,2.99,2.4,3.08,1.6,1.31,164.44,4.12,364
93.1,12.34,1.41,2.74,2.34,3.39,1.88,1.38,164.36,3.95,365
93.2,11.55,1.34,2.9,0.72,3.48,1.72,1.1,164.47,3.88,366
93.08,12.13,1.16,2.73,2.47,3.58,1.54,1.72,164.5,4.11,367
93.31,12.41,1.33,2.82,2.43,3.03,1.38,1.12,164.16,3.9,368
93.09,10.8,0.81,2.65,2.6,3.21,1.85,1.37,164.42,3.89,369
92.79,15.3,1.46,2.75,2.13,3.15,1.56,1.54,225.54,3.67,370
93.23,12.0,1.83,2.7,2.9,3.38,1.43,1.34,164.5,4.02,371
92.73,12.85,1.11,2.47,2.7,2.96,1.52,1.14,164.45,3.44,372
93.24,11.93,1.3,2.82,2.32,3.4,1.67,1.4,164.48,3.94,373
93.37,11.71,1.51,2.81,2.3,2.88,1.72,0.81,164.55,4.13,374
93.07,12.06,1.12,3.0,2.19,4.4,1.82,1.37,164.31,3.89,375
93.02,11.78,1.15,2.85,2.52,3.43,1.87,1.42,164.67,2.73,376
93.17,12.0,1.36,2.57,2.26,3.24,1.93,0.95,164.16,3.97,377
93.34,12.13,1.41,2.93,2.2,3.33,1.78,1.14,164.16,4.0,378
