response_time,norm_time
0.073,538.201
0.082,538.276
0.082,538.335
0.077,538.433
0.052,538.497
0.079,538.611
0.08,538.688
0.086,538.803
0.084,538.892
0.069,538.964
0.053,539.034
0.06,539.12
0.095,539.235
0.083,539.325
0.07,539.416
0.062,539.526
0.066,539.569
0.082,539.666
0.068,539.783
0.099,539.868
0.044,539.94
0.084,540.023
0.063,540.114
0.073,540.191
0.078,540.271
0.058,540.368
0.053,540.433
0.068,540.496
0.074,540.596
0.074,540.681
0.094,540.763
0.089,540.851
0.07,540.935
0.063,541.05
0.045,541.106
0.112,541.155
0.07,541.24
0.056,541.339
0.084,541.402
0.062,541.504
0.067,541.577
0.073,541.642
0.068,541.721
0.09,541.762
0.083,541.818
0.069,541.872
0.087,541.959
0.06,542.007
0.092,542.083
0.059,542.154
0.061,542.253
0.083,542.33
0.078,542.4
0.049,542.44
0.064,542.502
0.06,542.609
0.075,542.668
0.051,542.76
0.078,542.808
0.079,542.954
0.095,543.02
0.071,543.078
0.086,543.168
0.105,543.228
0.085,543.326
0.052,543.399
0.075,543.476
0.08,543.552
0.051,543.632
0.07,543.677
0.069,543.776
0.059,543.798
0.071,543.868
0.045,543.957
0.08,544.033
0.063,544.12
0.085,544.175
0.072,544.236
0.046,544.327
0.079,544.414
0.09,544.483
0.072,544.552
0.077,544.606
0.065,544.688
0.079,544.765
0.108,544.852
0.085,544.919
0.075,544.999
0.072,545.083
0.097,545.195
0.074,545.258
0.068,545.336
0.064,545.404
0.051,545.468
0.092,545.54
0.074,545.603
0.072,545.652
0.06,545.718
0.083,545.765
0.059,545.841
0.052,545.904
0.061,546.003
0.068,546.091
0.078,546.158
0.105,546.254
0.069,546.3
0.095,546.368
0.078,546.432
0.09,546.499
0.093,546.578
0.08,546.712
0.072,546.79
0.088,546.871
0.082,546.969
0.054,547.014
0.072,547.11
0.073,547.162
0.062,547.255
0.09,547.312
0.058,547.373
0.051,547.427
0.099,547.506
0.094,547.593
0.074,547.702
0.056,547.782
0.074,547.843
0.074,547.944
0.075,548.047
0.05,548.115
0.064,548.177
0.086,548.224
0.094,548.296
0.085,548.377
0.075,548.412
0.096,548.443
0.062,548.493
0.078,548.575
0.068,548.649
0.082,548.765
0.061,548.833
0.081,548.919
0.081,548.975
0.091,549.079
0.076,549.168
0.052,549.256
0.063,549.333
0.066,549.415
0.076,549.487
0.06,549.537
0.096,549.625
0.079,549.694
0.045,549.78
0.084,549.882
0.079,549.954
0.092,550.043
0.064,550.104
0.087,550.174
0.049,550.203
0.084,550.3
0.074,550.362
0.055,550.42
0.053,550.485
0.071,550.522
0.066,550.625
0.082,550.695
0.095,550.739
0.048,550.854
0.087,550.896
0.083,550.977
0.098,551.081
0.05,551.164
0.092,551.22
0.062,551.308
0.082,551.335
0.079,551.395
0.079,551.45
0.052,551.517
0.088,551.578
0.093,551.643
0.074,551.724
0.069,551.812
0.086,551.905
0.07,552.022
0.072,552.101
0.087,552.178
0.085,552.242
0.079,552.309
0.063,552.36
0.09,552.428
0.086,552.483
0.095,552.59
0.086,552.632
0.064,552.702
0.094,552.785
0.046,552.862
0.066,552.916
0.081,553.016
0.069,553.078
0.058,553.111
0.081,553.177
0.058,553.213
0.094,553.258
0.078,553.339
0.051,553.423
0.064,553.486
0.091,553.564
0.055,553.619
0.051,553.679
0.072,553.741
0.086,553.806
0.079,553.872
0.083,553.946
0.062,554.03
0.077,554.113
0.086,554.181
0.081,554.272
0.052,554.332
0.073,554.447
0.08,554.531
0.099,554.634
0.057,554.709
0.059,554.726
0.067,554.807
0.054,554.884
0.095,554.932
0.061,554.997
0.075,555.059
0.078,555.143
0.058,555.205
0.099,555.265
0.068,555.373
0.057,555.43
0.081,555.497
0.108,555.57
0.066,555.63
0.081,555.711
0.055,555.782
0.052,555.85
0.075,555.901
0.079,555.983
0.051,556.066
0.075,556.136
0.063,556.185
0.078,556.267
0.055,556.365
0.069,556.419
0.073,556.449
0.087,556.554
0.072,556.637
0.08,556.718
0.066,556.77
0.053,556.855
0.082,556.937
0.055,556.988
0.097,557.049
0.075,557.127
0.06,557.185
0.063,557.249
0.079,557.309
0.093,557.405
0.09,557.507
0.075,557.559
0.08,557.638
0.059,557.713
0.061,557.766
0.079,557.848
0.083,557.919
0.057,558.024
0.092,558.143
0.049,558.21
0.069,558.282
0.081,558.316
0.077,558.397
0.08,558.458
0.081,558.561
0.07,558.618
0.061,558.679
0.074,558.768
0.058,558.854
0.051,558.905
0.079,558.998
0.077,559.05
0.085,559.092
0.065,559.163
0.078,559.24
0.083,559.288
0.101,559.378
0.08,559.452
0.066,559.534
0.058,559.602
0.056,559.654
0.067,559.748
0.084,559.76
0.095,559.828
0.076,559.887
0.07,559.943
0.078,560.014
0.05,560.109
0.05,560.19
0.077,560.249
0.059,560.313
0.079,560.391
0.079,560.448
0.081,560.533
0.103,560.612
0.051,560.657
0.063,560.734
0.058,560.804
0.073,560.867
0.069,560.963
0.074,561.01
0.088,561.084
0.053,561.172
0.056,561.265
0.062,561.315
0.12,561.374
0.073,561.442
0.082,561.5
0.096,561.581
0.077,561.646
0.078,561.691
0.072,561.737
0.082,561.795
0.059,561.866
0.089,561.94
0.047,562.037
0.105,562.121
0.08,562.202
0.042,562.312
0.08,562.382
0.087,562.433
0.047,562.518
0.058,562.594
0.066,562.691
0.086,562.759
0.06,562.859
0.076,562.929
0.072,563.005
0.112,563.132
0.06,563.189
0.067,563.292
0.061,563.388
