response_time,norm_time
0.09,363.518
0.145,363.584
0.122,363.656
0.127,363.747
0.117,363.851
0.15,363.923
0.113,363.979
0.073,364.055
0.109,364.134
0.139,364.217
0.06,364.318
0.096,364.4
0.094,364.48
0.089,364.59
0.054,364.657
0.071,364.767
0.053,364.856
0.088,364.947
0.092,364.996
0.118,365.052
0.099,365.131
0.188,365.214
0.152,365.305
0.129,365.35
0.103,365.399
0.079,365.491
0.101,365.549
0.079,365.66
0.128,365.741
0.117,365.842
0.096,365.905
0.111,365.971
0.09,366.06
0.056,366.13
0.097,366.191
0.122,366.246
0.113,366.321
0.121,366.392
0.095,366.474
0.152,366.521
0.167,366.611
0.055,366.661
0.125,366.748
0.057,366.839
0.085,366.881
0.106,366.967
0.133,367.018
0.067,367.085
0.148,367.187
0.1,367.272
0.131,367.374
0.058,367.461
0.117,367.515
0.106,367.554
0.051,367.673
0.133,367.743
0.152,367.841
0.074,367.918
0.156,368.007
0.067,368.044
0.131,368.127
0.153,368.213
0.07,368.326
0.096,368.398
0.106,368.453
0.142,368.566
0.132,368.653
0.143,368.708
0.145,368.788
0.114,368.826
0.089,368.926
0.157,369.008
0.108,369.078
0.124,369.136
0.053,369.205
0.09,369.318
0.095,369.391
0.117,369.47
0.113,369.551
0.129,369.63
0.081,369.696
0.092,369.787
0.174,369.865
0.125,369.962
0.131,370.019
0.143,370.089
0.122,370.204
0.154,370.31
0.08,370.379
0.064,370.508
0.074,370.554
0.059,370.602
0.092,370.707
0.051,370.791
0.139,370.877
0.118,370.95
0.067,370.994
0.088,371.041
0.101,371.112
0.099,371.214
0.115,371.304
0.116,371.369
0.07,371.448
0.083,371.544
0.11,371.622
0.076,371.719
0.136,371.762
0.128,371.852
0.074,371.963
0.089,372.077
0.053,372.11
0.156,372.213
0.095,372.284
0.148,372.337
0.091,372.416
0.126,372.481
0.095,372.543
0.058,372.607
0.126,372.667
0.112,372.798
0.091,372.852
0.148,372.915
0.081,373.006
0.085,373.082
0.116,373.142
0.134,373.201
0.132,373.323
0.089,373.417
0.115,373.473
0.095,373.564
0.138,373.655
0.061,373.729
0.089,373.815
0.15,373.918
0.132,373.96
0.093,374.055
0.102,374.175
0.102,374.28
0.122,374.357
0.071,374.399
0.101,374.468
0.093,374.548
0.082,374.599
0.091,374.685
0.086,374.787
0.094,374.901
0.13,375.015
0.059,375.081
0.117,375.165
0.116,375.261
0.076,375.321
0.077,375.428
0.101,375.496
0.055,375.561
0.071,375.641
0.15,375.689
0.077,375.76
0.092,375.872
0.09,375.934
0.16,376.018
0.138,376.056
0.086,376.131
0.069,376.18
0.115,376.252
0.063,376.326
0.147,376.389
0.062,376.463
0.099,376.548
0.078,376.624
0.116,376.689
0.087,376.763
0.073,376.826
0.108,376.917
0.066,376.952
0.077,377.016
0.149,377.091
0.136,377.165
0.079,377.238
0.09,377.318
0.131,377.403
0.113,377.485
0.173,377.548
0.101,377.661
0.073,377.726
0.093,377.815
0.081,377.876
0.094,377.951
0.119,378.041
0.065,378.097
0.125,378.168
0.121,378.234
0.142,378.325
0.102,378.41
0.095,378.492
0.086,378.533
0.065,378.634
0.061,378.732
0.12,378.811
0.103,378.893
0.146,378.98
0.142,379.039
0.12,379.124
0.092,379.216
0.088,379.296
0.124,379.343
0.074,379.421
0.126,379.479
0.114,379.545
0.119,379.589
0.144,379.681
0.073,379.754
0.105,379.816
0.067,379.872
0.135,379.938
0.066,380.008
0.126,380.072
0.195,380.159
0.126,380.232
0.107,380.319
0.085,380.402
0.095,380.472
0.112,380.518
0.091,380.587
0.132,380.676
0.077,380.776
0.095,380.854
0.088,380.92
0.094,380.986
0.067,381.05
0.051,381.142
0.119,381.205
0.115,381.284
0.117,381.349
0.141,381.437
0.15,381.524
0.117,381.604
0.092,381.661
0.113,381.754
0.117,381.871
0.079,381.949
0.094,382.043
0.177,382.106
0.099,382.171
0.155,382.242
0.095,382.316
0.114,382.367
0.125,382.433
0.089,382.535
0.098,382.651
0.104,382.724
0.055,382.788
0.075,382.852
0.074,382.949
0.136,383.012
0.109,383.08
0.106,383.173
0.169,383.222
0.126,383.285
0.107,383.341
0.077,383.414
0.058,383.449
0.167,383.527
0.058,383.626
0.108,383.696
0.09,383.768
0.063,383.848
0.055,383.939
0.144,384.01
0.099,384.09
0.105,384.188
0.067,384.261
0.133,384.333
0.126,384.469
0.113,384.526
0.12,384.58
0.128,384.641
0.09,384.707
0.063,384.783
0.051,384.869
0.091,384.935
0.107,385.021
0.13,385.075
0.074,385.17
0.092,385.285
0.057,385.343
0.106,385.411
0.074,385.498
0.128,385.596
0.095,385.687
0.1,385.73
0.111,385.791
0.083,385.843
0.089,385.942
0.068,386.029
0.113,386.091
0.128,386.166
0.126,386.243
0.157,386.336
0.137,386.431
0.12,386.495
0.073,386.575
0.109,386.673
0.182,386.753
0.074,386.82
0.131,386.94
0.132,387.026
0.112,387.066
0.063,387.129
0.052,387.204
0.144,387.274
0.141,387.325
0.113,387.448
0.061,387.492
0.089,387.555
0.06,387.628
0.078,387.71
0.077,387.799
0.106,387.865
0.119,387.913
0.149,387.985
0.093,388.032
0.089,388.138
0.089,388.226
0.097,388.298
0.118,388.356
0.091,388.444
0.102,388.493
0.053,388.533
0.116,388.596
0.051,388.671
0.112,388.72
0.08,388.797
0.156,388.885
0.107,388.956
0.064,389.026
0.109,389.064
0.108,389.132
0.082,389.209
0.121,389.268
0.057,389.368
0.115,389.424
0.114,389.511
0.104,389.583
0.083,389.66
0.069,389.714
0.119,389.81
0.099,389.887
0.054,389.957
0.122,390.004
0.171,390.052
0.104,390.112
0.104,390.217
0.068,390.285
0.116,390.371
0.15,390.473
0.124,390.578
0.135,390.692
0.102,390.795
0.106,390.862
0.061,390.928
0.073,391.017
0.12,391.119
0.142,391.176
0.121,391.256
0.174,391.373
0.078,391.447
