cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
317,46,3.67,8,2,35,12,418
340,39,3.9,8,2,34,8,419
357,44,3.67,7,1,33,10,420
317,46,3.06,8,2,32,13,421
322,60,3.76,8,2,27,16,422
330,41,3.96,8,2,31,14,423
386,46,3.96,8,2,31,7,424
350,45,3.04,8,2,31,7,425
292,43,3.66,7,1,27,6,426
347,47,4.0,8,2,26,7,427
326,45,3.45,8,2,33,19,428
329,41,3.96,7,2,31,6,429
357,47,3.44,8,2,35,17,430
345,44,3.24,8,2,31,11,431
366,42,3.67,8,1,41,9,432
351,43,4.07,8,2,34,7,433
332,40,3.58,8,0,39,8,434
317,35,3.5,9,2,33,8,435
326,38,3.23,9,2,40,12,436
315,35,3.5,9,2,29,18,437
349,45,3.53,9,2,32,11,438
399,43,3.66,9,2,35,8,439
330,38,3.19,9,2,27,15,440
321,47,3.99,9,2,31,13,441
361,39,3.85,9,2,33,14,442
394,39,3.05,9,2,35,13,443
416,38,3.18,9,2,31,16,444
348,45,3.7,10,2,32,5,445
376,39,3.96,9,2,33,8,446
359,46,3.52,9,2,30,16,447
358,55,3.28,9,1,39,8,448
354,54,4.04,9,1,34,11,449
341,54,3.8,9,2,35,11,450
398,54,3.33,9,2,34,7,451
355,54,3.72,7,2,32,9,452
414,54,4.02,7,2,35,14,453
388,55,3.95,7,2,30,9,454
360,55,3.97,7,2,37,11,455
346,55,3.89,8,2,28,6,456
369,54,3.71,7,2,32,19,457
360,55,3.92,7,2,33,14,458
377,55,3.47,7,2,27,12,459
368,55,3.13,7,1,35,7,460
342,55,3.71,8,2,30,13,461
364,54,3.27,7,1,49,15,462
375,54,3.28,7,1,47,10,463
323,54,3.98,7,2,50,11,464
373,54,3.5,7,2,41,8,465
381,54,4.1,7,2,43,7,466
388,55,3.1,7,2,42,8,467
398,54,3.24,7,2,41,17,468
411,55,3.35,8,2,43,10,469
384,50,3.57,8,2,46,5,470
398,54,3.82,7,2,40,12,471
404,59,3.59,8,2,42,15,472
408,55,3.76,7,2,36,10,473
404,54,3.68,8,2,31,13,474
389,66,3.77,8,2,42,12,475
387,58,3.86,8,2,51,10,476
392,55,3.45,8,2,41,6,477
378,57,3.08,8,2,39,10,478
393,51,3.11,8,1,51,14,479
390,51,3.28,8,2,48,12,480
404,61,3.17,8,2,36,17,481
389,54,3.76,8,2,33,11,482
396,56,3.6,8,1,41,12,483
378,55,3.44,7,1,22,11,484
398,53,3.77,8,1,31,11,485
398,50,3.71,7,2,22,8,486
399,50,3.45,7,2,28,12,487
393,60,3.84,7,2,29,8,488
389,58,3.34,7,2,31,17,489
436,55,3.27,7,2,26,12,490
430,55,3.49,7,2,28,12,491
427,55,3.67,7,1,29,10,492
434,60,3.76,7,0,30,11,493
433,59,4.08,7,1,24,10,494
431,50,3.99,7,1,25,16,495
442,46,3.62,7,1,28,9,496
442,56,3.97,7,1,25,10,497
442,56,3.33,7,2,26,12,498
442,56,3.38,7,1,38,11,499
426,46,3.73,7,2,18,12,500
425,64,3.36,7,1,24,12,501
434,55,3.18,7,2,26,13,502
442,59,3.66,8,1,24,10,503
440,52,3.67,8,2,20,13,504
441,61,3.11,8,2,20,13,505
442,54,3.78,8,2,39,12,506
442,56,3.48,8,2,46,9,507
438,52,3.88,8,2,39,8,508
437,51,3.49,7,2,40,16,509
441,53,3.69,8,2,39,13,510
432,55,3.77,8,1,44,12,511
434,53,3.36,7,2,46,10,512
435,59,3.07,7,2,41,10,513
356,55,3.7,8,2,36,15,514
342,53,3.94,8,1,43,15,515
357,53,3.89,8,2,41,7,516
371,44,3.03,8,2,36,9,517
362,57,3.8,8,2,40,15,518
355,57,3.93,8,2,42,14,519
351,53,3.85,7,2,41,13,520
354,56,3.41,7,2,33,15,521
363,51,3.91,7,1,38,16,522
359,56,3.71,7,2,41,10,523
364,53,3.21,7,2,39,10,524
342,53,3.87,8,2,39,10,525
362,56,3.02,8,2,42,12,526
361,52,3.51,7,2,34,17,527
364,52,3.85,7,2,36,14,528
361,57,4.42,7,2,37,6,529
364,53,3.39,8,2,29,12,530
342,58,3.23,8,2,29,12,531
374,51,3.86,8,2,34,10,532
368,55,3.4,7,2,29,8,533
360,58,3.02,7,2,37,10,534
349,52,3.78,7,2,29,9,535
355,46,3.71,8,2,29,8,536
362,56,3.62,6,2,34,11,537
343,53,3.73,6,2,25,12,538
321,53,3.5,2,2,32,13,539
298,52,3.25,6,2,32,12,540
343,49,3.33,6,2,36,13,541
372,53,3.95,6,2,38,10,542
327,53,4.05,6,2,37,9,543
374,51,3.08,6,1,30,12,544
355,52,3.8,6,1,28,11,545
302,52,3.6,6,1,40,14,546
308,53,3.89,6,1,29,10,547
330,53,3.61,6,1,36,15,548
348,52,3.83,6,1,32,13,549
310,51,3.65,6,1,36,16,550
316,53,3.41,6,1,34,11,551
332,50,3.67,6,1,37,14,552
320,52,3.23,6,1,31,15,553
353,53,3.99,8,1,33,10,554
350,52,3.17,9,1,36,15,555
339,51,3.9,9,1,35,10,556
342,52,3.79,9,1,36,8,557
327,50,3.58,9,1,38,9,558
412,52,3.22,8,1,37,7,559
364,54,3.2,9,1,33,11,560
304,52,4.03,8,1,36,7,561
330,51,3.44,9,1,34,5,562
340,52,3.05,9,1,38,11,563
489,52,3.72,8,1,24,5,564
356,53,3.83,8,1,34,12,565
365,51,4.18,9,2,22,10,566
322,52,3.72,9,1,32,17,567
351,57,3.22,9,1,36,6,568
346,60,3.36,9,3,29,14,569
317,63,3.94,8,1,31,9,570
323,57,3.51,7,1,37,11,571
342,64,3.48,7,1,36,6,572
353,62,3.17,7,1,35,6,573
342,57,3.19,6,1,35,10,574
362,61,4.23,7,1,35,10,575
317,59,4.07,7,1,35,12,576
332,55,3.44,7,1,34,6,577
345,55,3.57,7,1,35,12,578
325,59,3.44,7,1,36,8,579
315,58,3.26,7,1,35,12,580
322,62,3.82,7,1,36,8,581
319,60,3.99,7,1,35,9,582
337,54,3.85,7,1,35,11,583
342,58,3.68,7,1,33,14,584
345,60,3.44,7,1,37,10,585
359,62,4.54,7,1,33,12,586
363,60,3.89,7,1,36,12,587
367,57,3.1,7,1,38,13,588
335,59,3.49,7,1,36,12,589
342,59,3.32,7,1,35,12,590
334,60,3.89,7,1,34,3,591
342,60,3.99,7,1,36,11,592
354,56,3.76,7,1,25,10,593
345,57,3.48,7,0,38,12,594
356,61,3.02,7,1,35,12,595
362,58,3.26,7,1,39,13,596
315,60,3.24,7,1,48,14,597
345,61,3.24,7,2,40,11,598
323,60,3.74,6,1,41,14,599
346,57,3.47,7,2,49,10,600
328,59,3.91,7,2,38,10,601
348,61,3.07,7,2,41,11,602
380,61,3.2,7,2,40,11,603
380,62,3.9,7,1,37,13,604
334,62,3.55,7,2,37,13,605
332,59,3.79,7,1,41,15,606
369,61,3.71,7,2,36,15,607
341,59,3.59,7,2,36,11,608
340,58,3.47,7,2,41,8,609
379,63,3.71,7,2,40,11,610
408,61,3.48,7,2,41,10,611
