core1,core2,core3,core4,mem,gpu,norm_ex_time
35.13,1.53,3.07,1.85,62.01,3.01,333
35.22,1.56,2.91,1.78,62.76,2.82,334
35.04,1.74,2.77,1.61,61.97,3.05,335
33.65,1.41,3.15,1.45,54.46,3.07,336
35.89,1.4,3.07,1.67,64.47,2.6,337
34.98,1.61,2.54,1.32,67.37,2.98,338
35.39,1.96,3.18,1.41,62.99,3.3,339
34.81,1.89,2.63,1.09,59.39,2.99,340
36.33,1.42,2.83,1.64,54.13,2.98,341
35.14,1.56,2.96,1.64,56.57,3.13,342
34.6,1.78,2.54,1.45,59.06,2.79,343
35.05,1.91,2.87,1.48,61.89,2.97,344
35.38,1.55,2.59,1.37,65.44,3.41,345
36.3,1.71,3.01,1.58,57.09,2.95,346
36.04,1.49,2.88,1.59,67.43,3.05,347
35.43,1.61,2.58,1.18,60.16,3.0,348
35.01,1.65,2.46,1.53,68.16,2.65,349
34.93,1.78,2.72,1.37,60.56,2.91,350
34.83,1.57,2.39,1.67,65.84,3.11,351
34.23,1.43,2.48,1.66,60.3,2.78,352
36.63,1.59,2.59,1.52,61.54,2.98,353
37.23,1.62,2.12,1.39,57.03,2.82,354
35.69,1.72,1.81,1.16,63.11,2.63,355
36.97,1.94,1.85,1.82,65.67,3.04,356
38.54,1.56,2.08,2.39,65.64,2.67,357
37.79,1.57,1.96,1.72,59.69,3.0,358
35.59,1.54,2.17,1.43,66.36,2.87,359
35.57,1.69,1.98,1.52,59.23,3.36,360
36.76,1.55,1.98,1.84,49.5,2.5,361
36.75,1.75,3.01,1.31,58.37,3.04,362
36.2,1.56,1.66,1.33,49.09,3.19,363
35.51,1.47,1.83,1.59,35.12,2.94,364
37.55,1.46,1.87,1.4,44.79,3.06,365
36.12,1.85,2.1,1.53,50.8,3.28,366
35.59,1.61,2.3,1.39,46.12,3.82,367
37.81,1.58,2.11,1.46,40.08,3.51,368
37.76,1.81,2.03,1.37,51.4,3.81,369
39.37,1.68,2.09,1.63,36.59,4.04,370
36.65,1.82,1.86,1.61,43.49,4.09,371
37.24,1.7,1.76,1.68,44.61,5.17,372
37.65,1.63,1.92,1.41,48.34,3.84,373
37.61,1.65,1.97,1.7,44.77,3.97,374
37.38,1.76,2.03,1.47,47.26,3.86,375
37.79,1.71,2.08,1.56,45.65,3.89,376
37.85,1.37,2.26,1.86,42.79,4.0,377
37.39,1.74,1.88,1.42,20.96,4.14,378
37.31,1.75,2.08,1.4,41.57,3.92,379
37.26,1.58,2.09,1.4,47.28,4.13,380
37.7,1.85,2.22,1.35,46.02,3.93,381
37.2,1.59,2.42,1.42,45.63,4.15,382
37.13,1.55,2.08,1.76,51.42,3.91,383
37.52,1.81,2.11,1.24,44.43,3.77,384
37.63,1.37,1.92,1.45,49.41,3.69,385
37.73,1.52,1.86,1.53,49.55,4.19,386
38.16,1.65,2.24,1.3,41.67,4.14,387
37.22,1.57,2.32,1.33,46.16,4.16,388
37.52,1.55,2.08,1.47,42.88,4.12,389
37.64,1.56,1.93,1.56,45.53,4.61,390
37.99,1.58,2.16,1.58,13.69,3.76,391
37.49,1.89,2.23,1.35,43.53,3.83,392
37.23,1.45,2.39,1.21,37.07,4.08,393
39.34,1.61,1.9,1.45,45.35,3.74,394
32.6,1.7,2.02,1.67,54.96,3.76,395
38.78,1.49,2.07,1.32,58.36,4.21,396
31.81,1.25,2.06,1.53,57.38,3.85,397
39.37,1.65,2.15,1.18,47.89,3.94,398
42.15,1.36,2.25,1.42,38.98,5.54,399
38.67,1.83,2.3,1.35,40.42,4.0,400
43.17,1.45,2.36,1.45,56.28,4.25,401
38.42,1.38,2.22,1.61,39.63,4.6,402
35.16,1.3,2.08,1.68,41.09,3.71,403
35.09,1.56,2.43,1.3,34.45,4.1,404
40.63,1.6,2.54,1.13,42.41,4.19,405
33.82,1.5,1.35,1.78,52.23,4.04,406
36.86,1.58,2.03,1.5,42.72,4.18,407
37.1,1.48,2.32,1.45,49.79,4.27,408
36.86,1.53,2.39,1.21,56.32,4.07,409
39.12,1.33,2.37,1.44,38.97,4.41,410
36.49,1.47,2.09,1.37,53.16,4.15,411
39.98,1.55,2.21,1.32,48.42,3.97,412
37.73,1.21,2.21,2.08,38.83,4.06,413
