core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
44.09,1.48,2.66,1.88,2.14,2.2,1.56,2.64,51.75,3.68,421
46.22,1.68,2.36,2.27,1.92,2.29,1.38,2.74,35.05,3.47,422
36.74,1.8,2.57,1.89,1.62,2.19,1.37,2.77,47.68,3.87,423
37.97,1.23,2.54,2.0,2.25,2.45,1.89,2.58,53.4,3.72,424
45.53,0.22,2.39,2.22,2.32,2.29,1.32,2.38,47.17,4.01,425
42.0,1.49,2.85,2.24,2.41,2.34,1.97,2.77,50.81,3.88,426
38.91,1.46,2.74,2.22,1.91,0.5,1.49,2.67,49.85,3.82,427
42.92,1.51,2.69,2.22,2.07,2.23,1.47,2.11,40.95,4.2,428
47.15,1.27,2.71,2.28,1.83,2.54,2.1,2.35,66.04,3.55,429
41.42,1.54,2.84,2.37,2.2,2.24,1.77,2.64,51.59,3.73,430
44.61,1.35,3.09,2.09,2.2,2.73,1.31,2.12,59.69,3.64,431
43.03,1.39,2.33,2.37,2.18,2.23,1.55,2.99,63.95,3.97,432
39.42,1.61,2.51,2.18,4.01,1.8,1.61,3.2,64.61,3.91,433
45.17,1.31,2.3,2.4,2.04,2.31,1.19,2.64,47.41,3.69,434
37.74,1.22,2.92,2.5,1.71,2.63,1.83,2.77,62.41,3.68,435
40.34,1.33,2.42,2.0,1.71,2.34,1.68,2.87,60.92,3.94,436
39.17,1.72,2.53,2.27,2.2,4.7,1.54,2.74,66.98,3.75,437
49.0,1.41,2.61,2.38,0.77,2.53,1.86,2.62,66.37,3.64,438
36.86,1.43,2.37,1.96,2.22,2.56,1.71,2.89,60.53,3.96,439
48.35,1.55,2.64,2.33,1.89,2.19,2.05,2.22,45.67,3.61,440
43.89,1.87,2.2,2.38,1.79,2.18,1.8,2.53,65.81,3.63,441
39.35,1.24,2.33,2.19,2.32,2.41,1.06,2.87,54.99,3.96,442
46.61,1.33,2.89,2.48,2.32,2.31,1.39,2.51,64.62,3.72,443
44.15,1.44,2.78,2.35,1.86,2.32,1.56,2.26,71.61,3.31,444
43.71,1.59,2.64,2.16,2.21,2.06,1.33,2.62,71.98,3.84,445
41.35,1.53,3.01,2.31,2.11,2.42,1.51,2.34,70.12,3.15,446
38.8,1.66,2.4,2.31,2.26,2.35,1.32,2.53,72.78,3.39,447
50.85,1.06,2.62,2.15,1.65,2.94,1.58,2.94,71.5,3.29,448
37.07,1.28,2.58,2.13,0.47,3.45,1.34,3.08,71.44,3.43,449
42.91,1.45,2.62,2.05,1.86,2.8,1.42,2.85,70.65,3.38,450
44.59,1.24,2.5,2.12,2.08,3.03,1.59,3.0,73.21,3.84,451
40.41,1.08,2.56,2.79,1.58,3.27,1.6,2.89,70.59,3.25,452
44.43,1.32,2.24,2.17,2.97,3.21,1.15,2.47,71.63,3.25,453
29.31,1.54,2.43,2.24,1.65,2.94,1.76,3.11,72.42,3.26,454
25.58,1.44,2.56,2.19,2.06,3.07,1.45,2.19,72.21,3.18,455
29.78,1.19,2.72,2.38,2.51,3.12,1.26,1.9,73.55,3.19,456
26.28,1.43,2.56,1.67,2.44,2.87,1.65,1.99,70.29,3.3,457
27.69,1.36,2.35,1.66,2.21,2.87,1.55,2.17,72.52,3.31,458
40.65,1.54,2.48,1.62,1.89,2.87,1.52,2.12,67.61,3.22,459
28.1,1.46,2.5,1.45,2.08,3.49,1.49,2.12,72.73,3.6,460
27.07,1.4,2.25,1.86,2.21,3.09,1.32,1.96,72.03,3.3,461
24.53,1.31,2.32,1.98,1.6,3.07,1.6,1.76,71.97,3.67,462
27.61,1.01,2.23,1.62,1.98,2.94,1.36,1.85,70.61,3.11,463
27.3,1.67,2.14,1.5,1.92,3.16,1.81,1.74,71.87,3.26,464
27.85,0.99,2.44,1.71,2.1,3.23,1.43,2.21,71.16,3.34,465
28.21,1.4,2.23,2.07,2.4,2.93,1.77,2.1,71.2,3.38,466
26.65,1.68,2.33,1.93,2.22,3.23,1.58,2.02,63.1,3.27,467
26.06,1.3,2.43,1.8,2.08,2.96,1.76,2.37,63.03,3.2,468
26.46,1.13,2.56,1.82,3.56,3.28,1.56,1.86,62.8,3.33,469
24.89,1.23,2.63,1.72,2.02,3.0,1.33,1.02,62.44,3.23,470
27.22,1.31,2.56,1.86,1.96,2.61,1.63,2.2,63.02,3.61,471
27.29,1.23,2.02,1.46,2.11,2.68,1.52,2.0,63.02,3.63,472
28.44,1.26,2.53,1.67,1.96,3.03,1.76,2.34,62.64,3.43,473
27.53,1.41,2.39,1.77,2.12,3.13,1.64,1.8,62.69,3.69,474
25.95,1.19,2.54,1.81,1.0,3.12,1.7,2.23,62.85,3.37,475
27.82,1.4,2.25,1.88,2.23,2.88,1.71,1.87,62.68,3.13,476
29.03,1.22,2.52,1.51,2.3,3.26,1.71,1.99,62.9,3.44,477
26.39,1.14,2.67,1.93,1.04,3.07,1.75,1.91,62.43,3.55,478
28.03,1.24,2.54,1.71,1.29,2.9,1.64,2.41,62.58,3.45,479
23.83,1.32,2.54,1.74,2.05,3.2,1.81,1.82,62.74,3.79,480
29.31,1.23,2.52,1.49,2.0,2.68,1.23,2.12,62.78,3.44,481
29.43,1.22,2.36,1.31,2.0,3.32,1.64,1.98,62.42,3.31,482
26.62,1.39,2.68,1.72,2.3,3.33,1.6,1.71,62.85,3.38,483
25.19,1.34,2.49,1.66,2.01,3.15,1.26,2.09,62.57,3.19,484
30.89,0.78,2.3,1.86,2.22,3.24,1.72,0.0,62.88,3.5,485
28.85,1.23,3.48,1.68,1.66,3.05,1.61,2.07,62.73,3.28,486
30.3,1.04,2.29,1.67,2.32,3.29,1.44,1.62,62.84,3.75,487
30.93,0.89,2.19,1.3,2.11,2.77,1.41,2.18,62.47,3.2,488
29.75,1.07,2.4,1.8,2.33,3.42,1.49,1.53,62.61,3.35,489
32.07,1.24,2.53,1.5,2.18,3.3,1.27,2.32,59.45,3.25,490
30.66,0.93,2.79,1.66,2.49,3.26,1.21,2.53,59.03,3.39,491
33.04,0.94,2.46,1.81,2.02,3.13,1.49,2.59,58.28,3.18,492
32.04,1.38,2.28,1.35,1.96,3.01,1.51,2.25,57.93,3.46,493
32.8,1.24,2.38,2.05,2.15,3.13,1.57,2.35,57.27,3.56,494
28.91,0.87,2.03,1.43,2.26,3.28,1.22,2.37,58.08,4.3,495
32.84,0.92,2.53,1.35,2.21,2.86,1.15,2.64,58.3,3.27,496
31.36,1.21,2.33,1.15,2.04,2.96,1.67,2.71,58.93,3.4,497
29.06,0.97,2.32,0.17,1.81,2.93,1.8,2.47,57.73,3.2,498
30.49,1.1,1.8,1.63,2.12,3.16,1.41,2.52,58.03,3.03,499
28.15,1.15,2.06,1.73,2.14,3.13,1.47,2.33,57.84,3.17,500
31.53,1.27,2.25,1.46,2.52,3.13,1.32,2.67,57.28,3.62,501
29.29,0.97,2.12,1.62,2.45,2.49,1.32,2.7,57.46,4.3,502
29.79,1.11,2.15,1.55,2.54,2.62,1.81,2.72,57.82,3.32,503
30.86,1.3,2.0,1.58,2.39,2.53,1.39,2.75,57.52,3.12,504
29.71,0.93,2.1,1.34,2.73,2.59,1.21,2.4,58.11,3.52,505
32.89,0.96,2.53,1.37,2.65,2.47,1.43,2.55,58.66,3.34,506
30.42,1.78,2.17,1.57,2.5,2.49,1.73,2.6,58.45,3.34,507
31.2,0.93,2.27,1.71,2.53,2.71,1.54,2.25,57.96,3.07,508
32.58,1.06,2.23,1.35,2.53,2.72,1.58,2.76,58.36,3.8,509
26.58,1.16,2.63,1.22,2.28,2.86,1.55,2.54,58.47,3.84,510
32.53,1.24,2.2,1.8,2.11,2.66,1.81,2.28,58.29,3.23,511
32.98,1.11,2.1,1.42,2.53,2.63,1.22,2.13,58.57,3.24,512
18.7,0.93,2.2,1.51,2.3,2.43,1.77,2.48,55.56,3.42,513
31.89,1.15,2.02,1.33,2.39,2.24,1.35,2.54,68.79,3.74,514
30.0,1.0,2.21,1.22,2.42,2.59,1.62,2.48,60.45,3.12,515
31.16,1.15,2.2,1.44,2.53,2.54,1.4,2.39,58.52,3.2,516
34.09,0.94,2.25,1.82,2.14,2.27,1.74,2.54,56.0,3.48,517
32.26,1.0,2.26,1.72,2.48,2.62,1.93,2.27,68.18,3.58,518
31.97,1.19,2.35,1.33,2.44,2.55,1.89,2.57,64.96,2.86,519
