response_time,norm_time
0.172,426.152
0.167,426.842
0.17,427.251
0.204,427.812
0.174,428.409
0.171,428.927
0.164,429.546
0.136,430.075
0.163,430.73
0.158,431.267
0.192,431.945
0.175,432.336
0.19,432.985
0.166,433.603
0.181,434.35
0.166,434.884
0.154,435.488
0.189,436.411
0.167,436.751
0.139,437.566
0.142,438.34
0.202,438.942
0.145,439.627
0.142,440.476
0.147,440.936
0.171,441.552
0.153,442.368
0.135,443.292
0.151,443.828
0.181,444.604
0.183,445.25
0.192,445.955
0.168,446.891
0.202,447.336
0.149,447.936
0.199,448.351
0.163,449.231
0.143,449.866
0.189,450.441
0.171,451.394
0.166,451.956
0.2,452.727
0.151,453.476
0.149,454.218
0.164,455.05
0.147,455.922
0.159,456.729
0.177,457.327
0.187,458.02
0.182,458.778
0.157,459.497
0.191,460.043
0.17,460.634
0.191,461.001
0.161,461.654
0.147,462.211
0.174,462.72
0.206,463.435
0.167,464.59
0.161,465.204
0.171,465.754
0.137,466.242
0.205,466.786
0.15,467.425
0.18,467.822
0.157,468.733
0.173,469.486
0.14,470.243
0.161,471.001
0.203,471.831
0.201,472.746
0.158,473.425
0.16,473.939
0.171,474.769
0.162,475.1
0.163,475.747
0.149,476.414
0.179,477.171
0.186,477.816
0.18,478.538
0.156,478.945
0.133,479.401
0.182,480.214
0.152,480.896
0.17,481.273
0.18,481.881
0.174,482.581
0.168,483.271
0.13,483.69
0.212,484.344
0.15,485.029
0.161,485.67
0.166,486.052
0.203,486.656
0.143,487.396
0.141,487.911
0.137,488.325
0.16,489.034
0.18,489.666
0.146,490.457
0.186,491.163
0.165,491.597
0.15,492.313
0.165,492.994
0.134,493.833
0.191,494.248
0.131,494.92
0.161,495.39
0.195,496.003
0.182,496.592
0.183,497.159
0.162,497.719
0.171,498.054
0.148,498.086
0.192,498.777
0.171,499.478
0.15,500.379
0.145,500.836
0.153,501.558
0.196,502.151
0.157,502.585
0.157,503.548
0.162,503.939
0.193,504.362
0.2,504.981
0.164,505.39
0.154,506.084
0.185,506.558
0.149,507.16
0.187,507.555
0.133,508.113
0.212,508.667
0.162,509.192
0.155,509.853
0.157,510.671
0.186,511.373
0.144,511.806
0.182,513.004
0.194,513.318
0.181,513.876
0.183,514.661
0.157,515.398
0.171,515.93
0.188,516.229
0.17,516.853
0.149,517.312
0.164,518.166
0.144,518.843
0.163,519.515
0.156,520.149
0.203,520.879
0.184,521.365
0.19,521.801
0.144,522.65
0.179,523.132
0.21,523.743
0.2,524.258
0.178,524.925
0.149,525.457
0.153,526.176
0.145,526.806
0.187,527.33
0.173,528.044
0.188,528.443
0.132,529.223
0.159,529.888
0.16,530.424
0.146,531.157
0.157,531.625
0.201,532.368
0.178,533.043
0.189,533.723
0.17,534.416
0.178,534.855
0.141,535.247
0.206,535.789
0.139,536.137
0.139,536.602
0.158,537.672
0.147,538.497
0.176,539.314
0.161,539.946
0.147,540.347
0.174,540.893
0.151,541.588
0.158,542.166
0.152,542.72
0.144,543.356
0.178,543.868
0.131,544.777
0.184,545.21
0.198,545.92
0.168,546.743
0.154,547.298
0.145,548.146
0.194,549.275
0.188,549.984
0.169,550.576
0.161,551.066
0.166,551.721
0.19,552.166
0.143,553.12
0.176,553.663
0.146,554.225
0.158,555.223
0.161,555.688
0.176,556.148
0.183,556.919
0.155,557.625
0.178,558.285
0.16,559.155
0.144,559.605
0.175,560.199
0.151,561.063
0.16,561.547
0.168,562.148
0.154,562.85
0.164,563.314
0.157,563.8
0.188,564.544
0.159,565.101
0.174,565.364
0.163,566.168
0.188,566.736
0.178,567.17
0.156,567.643
0.179,568.219
0.138,568.855
0.189,569.575
0.164,570.137
0.164,570.739
0.154,571.438
0.18,571.894
0.193,572.312
0.168,572.68
0.188,573.315
0.156,573.962
0.178,574.59
0.192,575.706
0.157,576.423
0.151,576.701
0.181,577.09
0.172,577.883
0.193,578.366
0.176,578.832
0.148,579.424
0.18,580.06
0.197,580.746
0.173,581.452
0.168,582.199
0.206,582.815
0.153,583.314
0.191,583.869
0.185,584.615
0.173,585.045
0.168,585.668
0.152,586.385
0.176,586.989
0.141,587.407
0.135,587.837
0.146,588.624
0.146,589.467
0.168,589.888
0.205,590.792
0.17,591.475
0.172,592.133
0.199,592.749
0.131,593.525
0.173,594.307
0.146,594.694
0.181,595.429
0.18,596.199
0.129,597.592
0.139,598.443
0.188,599.187
0.145,599.836
0.189,600.311
0.154,600.913
0.171,601.775
0.174,602.305
0.139,602.98
0.156,603.495
0.178,604.199
0.16,605.313
0.153,606.301
0.152,607.015
0.174,607.835
0.178,608.515
0.174,608.944
0.179,609.745
0.137,610.27
0.145,611.012
0.164,611.685
0.154,612.266
0.172,613.195
0.142,614.016
0.156,614.814
0.174,615.172
0.186,615.796
0.165,616.119
0.177,616.626
0.176,617.069
0.166,617.556
0.143,618.088
0.19,618.535
0.135,618.975
0.177,619.592
0.148,620.289
0.158,620.998
0.16,621.734
0.174,622.458
0.167,622.936
0.137,623.454
0.165,624.096
0.175,625.12
0.177,625.683
0.169,626.227
0.175,627.102
0.155,627.642
0.126,627.879
0.162,628.407
0.174,628.959
0.173,629.416
0.134,629.872
0.187,630.457
0.202,631.095
0.177,631.77
0.157,632.508
0.204,633.123
0.184,633.633
0.2,634.281
0.177,634.914
0.146,635.649
0.153,636.374
0.163,637.004
0.148,637.931
0.185,638.613
0.151,639.267
0.19,639.804
0.172,640.759
0.153,641.596
0.197,642.419
0.153,642.994
0.141,643.591
0.162,644.361
0.198,644.973
0.146,645.609
0.173,646.284
0.181,646.921
0.153,647.49
0.154,648.224
0.184,648.71
0.155,649.234
0.133,650.092
0.163,650.848
0.162,651.721
0.174,652.385
0.182,652.976
0.187,653.769
0.17,654.369
0.149,655.241
0.164,655.966
0.176,656.853
0.161,657.588
0.162,658.294
0.145,658.932
0.189,659.658
0.154,660.374
0.159,661.127
0.14,661.328
0.138,661.666
0.164,662.361
0.166,663.191
0.141,663.763
0.16,664.227
0.156,664.929
0.198,665.484
0.163,666.354
0.154,667.011
0.174,667.741
0.152,668.38
0.22,668.754
0.168,669.628
0.173,670.28
0.171,670.85
0.174,671.291
0.131,671.854
0.148,672.607
0.194,673.23
0.182,673.758
0.144,674.086
0.178,674.838
0.185,675.668
0.18,676.285
