response_time,norm_time
0.135,405.25
0.118,405.563
0.118,405.786
0.124,406.062
0.111,406.507
0.103,406.727
0.143,406.939
0.117,407.127
0.121,407.266
0.136,407.518
0.128,407.739
0.129,407.964
0.143,408.205
0.148,408.402
0.151,408.578
0.111,408.837
0.134,409.064
0.166,409.445
0.116,409.667
0.142,409.826
0.118,410.075
0.114,410.469
0.143,410.744
0.122,410.918
0.126,411.088
0.14,411.293
0.142,411.534
0.11,411.796
0.13,412.139
0.112,412.391
0.116,412.616
0.114,412.942
0.117,413.233
0.127,413.501
0.125,413.882
0.137,414.151
0.118,414.517
0.109,414.749
0.115,415.002
0.135,415.174
0.117,415.345
0.111,415.504
0.129,415.754
0.128,415.999
0.131,416.184
0.146,416.366
0.123,416.648
0.138,416.881
0.106,417.096
0.132,417.285
0.111,417.528
0.153,417.724
0.124,418.016
0.117,418.369
0.112,418.61
0.145,418.876
0.136,419.103
0.133,419.434
0.12,419.616
0.132,419.876
0.125,420.089
0.14,420.347
0.14,420.515
0.139,420.783
0.132,421.028
0.136,421.177
0.132,421.364
0.111,421.625
0.139,421.784
0.12,421.984
0.141,422.313
0.132,422.48
0.12,422.771
0.141,423.12
0.153,423.297
0.127,423.534
0.158,423.753
0.151,424.026
0.118,424.22
0.117,424.537
0.127,424.954
0.138,425.191
0.114,425.352
0.141,425.57
0.15,425.853
0.132,426.065
0.134,426.363
0.115,426.53
0.137,426.915
0.124,427.177
0.141,427.376
0.144,427.645
0.137,427.893
0.139,428.132
0.122,428.364
0.122,428.66
0.133,428.917
0.114,429.179
0.13,429.403
0.122,429.636
0.119,429.996
0.132,430.233
0.116,430.395
0.11,430.744
0.112,431.007
0.123,431.228
0.14,431.451
0.125,431.841
0.127,432.152
0.125,432.471
0.143,432.709
0.128,432.973
0.129,433.297
0.113,433.515
0.125,433.835
0.146,434.056
0.124,434.264
0.134,434.606
0.142,434.776
0.142,435.1
0.123,435.364
0.124,435.603
0.117,435.833
0.122,436.123
0.125,436.472
0.135,436.638
0.143,436.82
0.121,437.113
0.116,437.402
0.131,437.568
0.129,437.901
0.137,438.108
0.137,438.347
0.105,438.631
0.11,438.854
0.134,439.109
0.126,439.339
0.138,439.491
0.123,439.735
0.129,439.992
0.115,440.175
0.118,440.368
0.134,440.643
0.142,440.896
0.114,441.096
0.128,441.285
0.134,441.521
0.138,441.926
0.139,442.087
0.131,442.373
0.111,442.581
0.124,442.868
0.137,443.08
0.127,443.388
0.11,443.68
0.126,443.948
0.132,444.169
0.117,444.362
0.137,444.527
0.131,444.792
0.143,445.136
0.126,445.329
0.138,445.504
0.13,445.77
0.114,445.99
0.112,446.195
0.132,446.455
0.14,446.59
0.13,446.764
0.125,447.04
0.15,447.253
0.124,447.547
0.139,447.781
0.133,448.093
0.119,448.316
0.122,448.686
0.132,449.004
0.126,449.245
0.121,449.453
0.124,449.739
0.138,449.954
0.131,450.149
0.118,450.32
0.126,450.555
0.132,450.734
0.123,451.008
0.119,451.222
0.11,451.439
0.119,451.68
0.128,451.89
0.132,452.098
0.112,452.177
0.133,452.364
0.135,452.683
0.143,452.907
0.138,453.143
0.116,453.415
0.145,453.731
0.129,454.02
0.12,454.237
0.113,454.55
0.12,454.777
0.129,455.095
0.149,455.406
0.134,455.716
0.127,455.838
0.123,456.13
0.129,456.349
0.139,456.705
0.117,456.871
0.137,457.04
0.125,457.28
0.124,457.542
0.135,457.726
0.13,458.03
0.14,458.203
0.131,458.435
0.121,458.788
0.109,459.065
0.11,459.355
0.138,459.743
0.115,459.961
0.121,460.147
0.136,460.448
0.127,460.788
0.144,461.04
0.12,461.282
0.129,461.718
0.116,461.971
0.137,462.186
0.112,462.39
0.118,462.563
0.144,462.784
0.119,463.091
0.132,463.271
0.139,463.505
0.151,463.781
0.105,464.026
0.128,464.269
0.126,464.451
0.147,464.832
0.128,465.134
