cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
261,54,4.05,9,1,15,33,337
297,85,3.3,9,1,3,23,338
237,72,3.36,8,2,10,15,339
276,62,3.21,8,2,17,21,340
266,77,3.61,9,1,15,30,341
233,79,4.08,9,1,12,13,342
290,25,3.5,9,1,12,36,343
291,51,3.59,9,1,16,14,344
254,75,3.88,9,1,7,5,345
261,58,3.53,9,1,19,15,346
271,82,3.24,8,1,11,25,347
233,56,4.05,9,1,25,8,348
229,57,3.29,8,1,25,17,349
260,96,3.76,9,2,10,24,350
303,75,3.7,9,1,13,19,351
243,59,3.78,9,1,23,22,352
316,73,3.87,7,1,12,26,353
279,75,4.19,7,1,12,20,354
266,51,3.24,7,1,15,17,355
266,72,3.22,7,1,9,21,356
266,73,3.72,6,1,13,21,357
266,46,3.97,6,1,11,18,358
266,93,3.98,7,1,10,23,359
266,64,3.85,7,1,11,17,360
266,70,3.14,6,2,9,20,361
266,71,3.75,7,1,16,22,362
267,73,3.27,7,1,16,15,363
266,66,3.53,7,1,9,22,364
266,53,3.28,7,1,9,17,365
202,67,3.97,7,1,21,13,366
266,79,3.82,7,1,13,31,367
267,56,3.14,7,1,13,20,368
266,59,3.78,8,1,15,14,369
266,76,3.52,8,2,12,27,370
266,61,3.53,8,2,13,24,371
266,60,3.62,8,2,16,24,372
326,71,3.77,8,2,17,18,373
354,63,3.33,8,2,12,20,374
356,79,3.15,8,1,13,26,375
319,71,3.99,8,2,11,23,376
337,77,3.88,8,2,15,34,377
339,83,3.97,8,2,11,15,378
305,68,3.96,8,1,13,24,379
355,64,3.26,8,2,17,30,380
310,66,4.13,8,2,13,26,381
336,77,3.7,8,2,13,18,382
318,95,3.63,8,1,16,29,383
337,54,3.76,8,3,12,28,384
340,58,3.85,9,2,12,23,385
342,80,3.04,9,2,15,22,386
313,62,3.27,9,2,12,24,387
326,50,3.13,9,2,13,14,388
320,52,3.38,9,2,18,24,389
334,64,4.26,9,2,13,16,390
246,68,3.6,9,1,15,22,391
240,62,3.91,9,2,12,20,392
246,58,4.71,9,1,12,18,393
254,66,3.48,9,1,14,19,394
267,30,3.89,9,2,10,6,395
246,75,3.51,9,2,17,18,396
253,72,3.2,9,2,14,16,397
242,50,3.22,9,2,16,18,398
268,60,3.54,9,2,15,24,399
257,58,3.83,9,2,13,20,400
256,95,3.41,8,2,14,19,401
255,57,3.53,10,1,16,14,402
253,42,3.95,8,2,18,22,403
260,61,3.65,8,2,16,16,404
242,45,3.21,8,1,17,15,405
241,47,3.43,8,2,9,18,406
268,79,3.73,8,1,23,13,407
263,52,3.91,8,1,15,25,408
240,38,3.18,8,1,9,19,409
265,86,3.11,8,2,15,18,410
254,85,3.16,8,2,22,13,411
276,86,4.28,8,2,20,21,412
247,39,3.45,8,2,13,36,413
276,73,3.47,8,2,15,21,414
269,69,3.68,8,1,14,32,415
255,84,3.32,8,2,12,18,416
231,45,3.19,9,2,18,27,417
259,81,3.46,10,2,12,24,418
263,35,3.28,9,2,15,20,419
213,65,3.37,9,2,11,32,420
275,77,3.95,9,1,19,25,421
249,75,3.38,9,1,12,22,422
269,59,3.99,9,1,9,14,423
263,75,3.12,9,2,6,19,424
259,83,4.15,9,1,12,17,425
254,79,3.38,9,1,13,25,426
292,74,3.11,9,1,5,18,427
281,75,3.91,9,1,12,21,428
290,103,3.09,9,1,11,31,429
251,70,3.29,9,1,10,18,430
273,78,3.15,9,1,15,15,431
260,78,3.32,9,1,11,16,432
259,91,3.18,8,1,15,21,433
309,81,3.74,8,1,16,28,434
265,77,3.81,8,2,12,15,435
245,60,3.77,8,1,11,17,436
213,71,3.59,8,1,12,12,437
239,80,3.28,5,1,12,5,438
202,61,3.72,8,1,11,29,439
283,46,3.03,8,1,14,29,440
262,60,3.68,8,2,9,32,441
241,77,3.76,8,2,10,17,442
299,62,3.24,8,1,15,42,443
174,64,3.64,8,1,15,16,444
227,61,3.42,8,2,13,38,445
223,75,3.16,8,2,11,32,446
222,88,3.72,8,2,13,27,447
231,57,3.65,8,2,9,29,448
235,65,3.32,7,1,7,33,449
86,59,3.62,9,1,10,21,450
182,60,3.41,7,1,12,17,451
213,75,3.52,7,1,10,26,452
245,78,3.72,7,1,9,22,453
251,51,3.12,7,1,16,29,454
223,74,3.89,8,2,14,10,455
296,56,3.61,7,2,17,11,456
228,65,3.31,8,1,12,27,457
155,66,3.87,8,2,14,24,458
252,61,3.87,7,2,12,16,459
242,51,3.01,8,2,8,24,460
191,46,3.59,7,2,12,18,461
248,97,3.6,7,2,12,28,462
242,63,4.2,7,2,14,13,463
251,62,3.93,8,2,9,21,464
280,76,3.8,9,2,18,11,465
274,70,3.14,9,2,19,16,466
266,81,3.84,9,2,10,33,467
255,84,3.97,7,2,10,20,468
230,52,3.84,9,2,13,11,469
250,58,3.95,9,2,13,19,470
242,65,4.04,8,2,11,24,471
200,43,3.72,9,2,18,23,472
67,64,3.02,9,2,13,23,473
276,85,3.11,9,2,6,12,474
267,65,3.85,8,2,13,29,475
273,74,3.45,9,2,18,28,476
202,71,3.53,9,2,9,16,477
288,64,3.81,9,2,15,24,478
273,80,3.46,9,1,0,25,479
288,74,3.91,9,1,8,26,480
259,69,4.16,7,2,7,15,481
228,67,3.71,8,2,14,26,482
262,67,3.88,8,2,13,26,483
265,67,3.38,7,2,15,21,484
254,75,3.72,8,2,13,22,485
252,62,3.88,7,1,13,15,486
235,65,4.0,7,2,12,22,487
258,70,3.93,7,2,9,20,488
244,75,3.55,8,2,12,25,489
235,75,3.54,7,2,11,29,490
201,64,3.26,7,2,10,18,491
213,74,3.04,8,2,9,15,492
257,64,3.7,7,2,5,40,493
231,78,3.04,7,2,5,16,494
219,88,3.46,7,2,9,27,495
246,71,3.18,8,2,9,24,496
263,70,3.32,7,2,9,22,497
227,58,3.57,7,2,14,25,498
261,70,3.68,7,2,11,18,499
295,71,3.88,7,2,15,25,500
260,85,3.7,7,2,17,25,501
262,69,3.06,7,2,13,5,502
268,56,3.21,7,2,13,20,503
270,82,3.24,7,2,13,15,504
262,57,3.03,7,2,13,21,505
265,88,3.94,7,2,20,14,506
262,70,3.81,7,2,10,23,507
262,62,3.78,7,2,10,14,508
263,81,3.42,7,2,13,27,509
259,54,4.33,7,2,14,35,510
257,77,3.93,9,2,11,18,511
267,68,3.14,7,1,17,18,512
262,60,3.16,8,2,18,30,513
267,55,3.9,7,2,17,14,514
261,80,3.44,7,2,15,24,515
266,73,3.19,7,2,16,16,516
247,60,3.35,7,2,12,37,517
272,66,3.45,7,2,14,28,518
259,61,3.76,7,2,16,25,519
208,29,3.31,7,2,15,28,520
239,75,3.64,7,2,7,13,521
249,67,3.05,7,1,15,25,522
201,56,3.28,7,2,14,21,523
253,69,3.21,7,1,11,26,524
244,72,3.25,7,2,13,22,525
248,66,3.53,7,1,12,27,526
256,82,3.33,7,2,12,29,527
247,60,3.94,5,2,11,18,528
231,67,3.54,9,2,11,35,529
242,68,3.28,8,2,12,10,530
260,57,3.81,9,2,15,33,531
258,68,3.02,8,1,13,24,532
231,65,3.55,8,3,14,24,533
200,72,3.7,8,2,12,15,534
308,74,3.67,8,2,11,45,535
219,62,3.49,9,2,10,32,536
237,74,3.58,9,2,15,24,537
172,83,3.8,9,2,17,20,538
224,68,3.0,8,2,14,22,539
226,63,3.89,9,2,18,34,540
209,59,4.17,8,1,14,16,541
232,61,3.2,8,2,18,9,542
198,80,4.01,8,1,16,16,543
220,82,3.19,9,1,13,21,544
254,68,3.99,7,2,16,16,545
260,59,3.53,7,1,16,27,546
250,58,3.52,7,1,15,12,547
220,78,3.2,7,1,15,15,548
250,57,3.64,7,2,15,10,549
204,44,3.59,7,2,18,9,550
256,72,3.81,8,1,19,27,551
235,63,3.94,7,1,12,24,552
232,68,3.73,7,1,19,20,553
230,77,3.12,7,2,21,9,554
283,69,3.78,8,1,19,13,555
252,56,3.98,8,2,14,22,556
264,31,3.88,8,2,8,23,557
225,93,3.81,7,1,16,20,558
223,71,4.08,7,2,15,14,559
262,54,3.43,7,1,16,24,560
232,89,3.17,8,2,11,28,561
258,72,3.01,8,2,18,25,562
253,74,3.46,8,2,15,32,563
214,77,3.84,8,2,17,26,564
288,73,3.8,8,2,21,29,565
284,69,3.79,8,2,12,16,566
251,80,3.81,8,2,13,22,567
256,92,3.55,8,2,10,30,568
265,68,3.97,8,2,18,28,569
293,67,3.49,8,2,18,25,570
244,80,3.09,8,1,14,16,571
262,79,3.34,8,2,14,13,572
247,67,3.67,8,2,9,18,573
223,61,3.86,8,2,20,19,574
253,38,3.62,8,1,11,16,575
236,82,3.26,8,1,17,28,576
256,79,3.83,8,1,14,25,577
250,55,3.29,7,2,11,23,578
270,96,3.89,7,1,8,22,579
241,71,4.09,7,1,13,15,580
259,67,3.15,8,1,16,27,581
251,70,3.76,7,1,12,21,582
254,95,3.52,8,2,11,33,583
261,47,3.25,8,1,11,23,584
255,49,3.52,6,1,7,28,585
259,49,3.58,8,2,16,23,586
319,94,3.19,8,1,16,25,587
253,73,3.22,8,1,12,21,588
253,50,3.36,7,0,17,19,589
240,49,3.31,8,1,15,23,590
252,73,3.86,8,1,10,16,591
248,58,3.13,8,1,10,33,592
254,70,3.47,7,2,7,28,593
257,85,3.13,7,2,9,24,594
255,99,3.23,7,2,8,15,595
232,65,3.91,7,2,6,23,596
253,69,3.94,7,2,11,21,597
255,54,3.91,7,1,12,25,598
244,133,3.34,7,1,14,19,599
253,54,3.92,7,2,13,30,600
243,71,3.47,7,1,15,24,601
257,43,3.57,7,1,10,25,602
265,64,3.39,7,2,9,33,603
279,71,3.75,7,1,9,27,604
257,58,3.25,7,2,10,23,605
244,87,3.95,7,2,11,28,606
252,72,3.71,7,1,15,32,607
241,79,3.64,7,2,10,18,608
285,75,3.69,8,2,10,14,609
249,87,3.16,8,2,10,13,610
264,83,3.14,8,2,13,14,611
272,86,3.86,8,2,12,25,612
275,83,3.58,8,1,14,33,613
247,96,3.71,8,2,10,21,614
278,81,3.34,9,2,8,26,615
251,85,3.17,8,2,13,11,616
251,76,3.52,8,2,15,10,617
