core1,core2,core3,core4,mem,gpu,norm_ex_time
82.61,13.4,1.55,2.22,146.62,2.92,406
85.13,14.18,1.41,2.1,136.54,2.54,407
84.38,14.33,1.23,2.28,145.19,2.54,408
90.02,14.27,1.15,2.4,134.43,2.73,409
85.39,14.36,1.24,2.36,157.51,2.68,410
86.89,14.22,1.41,2.38,139.43,2.67,411
74.62,13.51,1.43,2.63,147.62,2.56,412
84.05,13.4,1.6,2.04,134.22,2.74,413
85.05,15.05,1.32,2.36,140.88,2.41,414
82.91,13.65,1.05,2.31,126.02,2.83,415
90.99,14.28,1.14,2.39,154.63,2.58,416
51.07,13.14,1.37,2.47,129.15,2.47,417
90.47,13.85,1.14,2.42,115.86,2.49,418
88.44,15.78,1.21,2.23,140.01,2.54,419
86.42,14.16,1.24,2.19,136.02,2.38,420
92.56,14.21,1.13,2.33,163.27,2.49,421
88.73,13.57,1.17,1.44,118.97,2.54,422
95.39,12.85,1.36,2.43,114.09,2.77,423
85.39,15.39,1.46,2.23,132.28,2.69,424
79.95,13.21,1.24,2.07,149.62,2.81,425
77.86,14.17,1.57,2.17,135.65,2.31,426
88.46,13.85,1.48,2.19,126.72,3.56,427
113.85,14.05,1.4,2.04,134.13,3.33,428
90.95,13.29,1.38,2.17,127.5,3.36,429
86.68,14.16,1.15,2.28,130.81,3.29,430
84.44,13.34,1.45,2.32,122.27,3.36,431
78.29,13.74,1.3,2.12,135.96,3.39,432
91.39,14.91,0.88,2.36,134.49,3.22,433
99.43,14.88,1.03,2.18,133.14,3.44,434
88.57,11.48,1.13,2.16,134.55,3.43,435
90.71,11.54,1.01,2.15,134.1,3.38,436
86.91,11.5,0.97,2.4,129.92,3.31,437
100.5,11.19,1.04,2.3,129.68,3.29,438
61.79,11.54,1.1,2.44,124.13,3.32,439
73.37,11.35,1.12,2.75,134.64,3.38,440
73.69,11.39,1.01,2.8,128.69,3.17,441
73.58,11.57,0.92,2.43,137.24,3.58,442
73.89,11.92,1.07,2.3,131.61,3.43,443
73.48,11.47,1.37,2.37,127.74,3.26,444
73.62,11.46,0.93,2.67,144.41,3.38,445
73.84,11.49,1.43,2.97,132.76,3.13,446
73.62,11.43,1.12,2.39,137.64,3.45,447
73.74,18.99,1.33,2.5,127.86,3.61,448
73.76,11.66,1.27,2.31,142.01,3.71,449
73.68,11.41,1.66,2.45,140.7,3.46,450
73.62,11.45,1.53,2.26,129.7,3.93,451
73.8,11.49,1.28,2.5,132.93,3.81,452
76.25,11.67,1.63,2.58,132.43,3.54,453
73.65,11.61,1.49,2.26,124.01,3.59,454
73.41,11.33,1.65,2.58,130.07,3.5,455
73.84,11.47,1.81,2.24,127.31,3.69,456
74.33,11.47,1.36,1.98,144.12,3.48,457
73.44,11.19,1.49,2.28,137.65,3.8,458
73.47,11.83,1.56,2.36,141.72,3.59,459
73.5,11.29,1.5,2.85,132.9,3.54,460
73.9,11.85,1.54,2.8,137.2,3.7,461
73.57,11.46,1.42,2.76,138.76,3.78,462
73.7,11.39,1.55,1.96,149.93,3.56,463
73.63,11.21,1.5,2.64,154.6,3.85,464
74.03,10.96,1.6,2.25,147.7,3.9,465
73.61,11.39,1.35,1.9,127.23,3.34,466
73.52,11.18,1.62,1.76,106.73,3.82,467
73.87,11.29,0.82,2.15,113.53,3.71,468
