core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
74.69,14.02,3.0,2.41,1.68,1.58,3.41,1.76,124.02,3.24,328
74.82,13.94,3.31,2.38,1.33,1.38,3.38,1.51,125.92,3.33,329
72.4,13.79,4.23,2.4,1.34,1.45,3.36,1.42,127.3,3.47,330
72.4,13.97,3.13,2.52,1.58,1.58,3.53,2.39,126.2,3.41,331
73.08,13.82,2.89,2.64,1.47,1.59,3.57,1.65,125.25,3.68,332
72.89,13.96,2.73,2.44,1.45,1.87,3.46,1.62,123.82,3.47,333
73.21,13.89,2.99,2.67,1.49,1.29,3.75,1.45,126.52,3.46,334
73.6,14.01,2.73,2.48,1.81,1.79,3.42,1.48,126.86,3.81,335
72.6,13.98,3.39,2.07,1.43,1.34,3.66,1.49,125.35,3.72,336
72.4,13.81,2.48,2.44,1.61,1.61,3.46,1.85,125.15,3.39,337
73.85,14.24,3.28,2.46,1.6,1.48,3.57,1.51,126.04,3.4,338
73.6,14.09,3.11,2.33,1.13,1.55,3.6,1.37,125.82,3.42,339
72.18,14.26,2.95,2.46,1.45,1.54,3.32,1.6,125.68,3.45,340
70.02,14.08,3.46,2.7,1.36,1.42,3.62,1.69,125.59,3.55,341
71.23,13.94,2.83,2.59,1.45,1.18,3.52,1.17,125.08,3.51,342
71.6,13.82,3.34,2.5,1.65,1.51,3.52,1.65,148.81,3.82,343
71.08,14.23,3.39,2.54,1.74,1.16,3.78,1.81,126.73,3.4,344
71.12,13.9,2.85,2.17,1.15,1.77,3.53,1.98,126.05,3.25,345
72.94,14.28,3.19,2.32,1.68,1.3,3.43,1.76,125.85,3.49,346
73.01,14.33,3.3,2.46,1.37,1.4,3.52,1.46,126.92,3.37,347
74.39,14.26,3.44,2.35,1.33,1.48,3.72,1.5,125.59,3.6,348
72.9,14.1,3.32,2.79,1.34,1.57,3.72,1.74,125.88,3.48,349
61.63,13.97,3.0,2.7,1.39,1.61,3.26,1.62,126.88,3.56,350
58.72,13.95,2.77,2.71,1.23,1.38,3.57,1.25,126.29,3.65,351
65.07,13.95,2.9,2.51,1.49,1.54,3.33,1.72,125.84,3.56,352
66.94,14.21,3.45,2.47,1.47,1.34,3.17,1.73,110.7,3.61,353
74.07,16.45,2.87,2.49,1.65,1.68,3.77,1.93,107.58,3.7,354
69.84,16.29,3.42,2.38,1.76,1.42,3.6,1.64,114.27,3.34,355
54.24,16.5,3.48,2.59,1.45,1.6,3.57,1.81,112.11,3.87,356
61.26,16.57,3.21,2.5,1.82,1.28,3.39,1.85,109.87,3.56,357
68.59,16.49,3.39,2.63,1.98,1.69,3.72,1.56,110.05,3.62,358
65.32,15.72,3.58,2.5,1.85,1.71,3.62,1.84,109.2,3.35,359
66.3,14.88,2.96,2.77,1.6,1.58,3.68,2.03,108.48,3.62,360
64.86,16.09,2.72,2.8,1.95,1.64,3.77,1.74,111.89,3.55,361
63.77,15.93,3.61,2.66,1.69,1.56,3.67,1.69,108.43,3.46,362
64.83,16.25,2.8,2.41,2.12,1.4,3.41,1.78,111.9,3.55,363
64.48,15.93,2.86,2.6,1.87,1.4,3.84,1.68,109.89,3.3,364
62.43,16.27,2.92,2.53,1.73,1.48,3.65,1.69,111.31,3.26,365
64.46,16.38,3.21,2.61,1.67,1.54,3.64,1.96,110.32,3.71,366
67.68,16.27,2.96,2.53,1.6,1.56,3.53,1.85,107.34,3.58,367
63.29,16.07,2.65,2.54,1.71,1.42,3.72,1.23,112.74,2.52,368
59.87,16.18,2.98,2.59,2.05,1.73,3.77,1.71,112.8,3.35,369
62.18,16.37,2.52,2.69,1.73,1.56,3.94,1.77,107.72,3.11,370
65.17,16.03,2.56,2.71,1.82,1.52,3.68,1.91,108.09,3.42,371
73.26,16.19,3.76,2.62,1.43,1.65,3.8,1.74,114.54,3.25,372
69.55,16.59,2.64,2.37,1.28,1.54,3.41,1.66,107.27,3.36,373
73.33,16.03,2.66,2.74,1.82,1.56,3.57,1.62,110.38,3.34,374
64.85,16.33,2.86,2.6,1.58,1.42,3.8,1.58,116.63,3.53,375
73.31,16.7,2.93,2.77,1.68,1.54,3.61,1.87,109.81,3.28,376
73.53,16.33,2.66,2.53,1.63,1.45,3.53,2.01,111.63,3.24,377
75.24,15.91,2.97,2.47,1.65,1.49,3.71,1.87,120.96,3.46,378
72.38,16.32,2.7,2.9,1.82,1.48,3.59,1.79,121.44,3.26,379
71.88,15.2,2.8,2.41,1.91,1.26,3.9,1.76,122.0,3.21,380
62.47,15.54,2.93,2.53,1.66,1.61,3.67,1.78,122.61,3.64,381
68.64,14.99,2.58,3.0,1.93,1.56,3.7,2.02,120.16,3.24,382
74.92,15.83,2.73,2.78,1.66,1.41,3.39,1.9,152.49,3.67,383
70.45,15.54,2.88,2.52,1.73,1.59,3.49,2.14,120.13,3.41,384
67.46,15.32,2.83,2.84,1.96,1.39,3.33,1.71,119.95,3.54,385
69.28,16.05,2.7,2.35,1.65,1.25,3.53,2.23,122.5,3.4,386
72.76,15.64,2.65,2.62,1.57,1.33,4.01,1.92,120.38,3.39,387
71.33,15.24,2.96,2.64,1.28,1.47,3.83,1.99,121.93,3.47,388
69.27,15.76,2.85,2.49,1.1,1.63,3.65,2.0,120.42,4.06,389
73.16,16.22,2.76,2.56,1.09,1.71,3.57,1.91,120.95,3.14,390
72.01,14.08,2.81,2.58,1.29,1.18,3.43,1.8,120.92,3.37,391
73.86,14.89,2.95,2.64,1.31,1.6,3.55,2.41,122.84,3.45,392
69.96,15.89,3.09,2.72,1.32,1.5,3.43,1.93,121.94,3.51,393
77.01,16.01,2.42,2.46,1.15,1.35,3.35,1.89,121.02,3.11,394
66.08,16.88,2.57,2.77,1.25,1.28,3.42,1.76,119.66,3.03,395
66.65,15.87,2.58,2.56,1.11,1.59,3.66,2.17,121.13,3.58,396
