response_time,norm_time
0.246,405.579
0.297,405.698
0.159,405.845
0.212,405.943
0.359,406.037
0.337,406.133
0.288,406.231
0.333,406.325
0.261,406.465
0.221,406.61
0.225,406.759
0.205,406.904
0.165,407.073
0.129,407.207
0.402,407.294
0.107,407.477
0.136,407.595
0.277,407.746
0.232,407.941
0.371,408.043
0.287,408.134
0.31,408.229
0.333,408.351
0.18,408.445
0.251,408.66
0.209,408.795
0.254,408.869
0.229,409.002
0.313,409.147
0.272,409.256
0.214,409.379
0.125,409.517
0.112,409.584
0.182,409.661
0.118,409.777
0.184,409.935
0.337,410.054
0.272,410.215
0.167,410.36
0.309,410.464
0.27,410.599
0.149,410.765
0.333,410.903
0.418,410.963
0.235,411.086
0.144,411.265
0.327,411.337
0.157,411.46
0.096,411.547
0.27,411.654
0.145,411.775
0.311,411.861
0.185,411.987
0.273,412.152
0.309,412.291
0.245,412.427
0.249,412.545
0.369,412.692
0.408,412.792
0.193,412.896
0.267,413.077
0.099,413.161
0.302,413.386
0.292,413.525
0.161,413.719
0.23,413.815
0.303,413.942
0.207,414.187
0.233,414.333
0.344,414.471
0.296,414.627
0.29,414.781
0.307,414.97
0.208,415.048
0.276,415.188
0.191,415.299
0.102,415.435
0.193,415.547
0.262,415.712
0.139,415.83
0.09,415.962
0.222,416.066
0.323,416.254
0.101,416.4
0.124,416.565
0.203,416.691
0.194,416.832
0.099,417.001
0.38,417.092
0.274,417.186
0.152,417.319
0.268,417.412
0.258,417.531
0.404,417.618
0.271,417.796
0.162,417.865
0.139,417.971
0.361,418.117
0.219,418.258
0.254,418.386
0.338,418.474
0.152,418.581
0.274,418.749
0.305,418.862
0.268,419.124
0.402,419.272
0.258,419.376
0.128,419.48
0.177,419.634
0.321,419.76
0.211,419.88
0.128,420.015
0.178,420.168
0.354,420.286
0.271,420.423
0.148,420.49
0.122,420.625
0.268,420.701
0.113,420.805
0.229,420.925
0.123,421.007
0.138,421.081
0.275,421.234
0.263,421.38
0.287,421.476
0.321,421.598
0.092,421.769
0.147,421.857
0.286,422.026
0.263,422.196
0.235,422.369
0.17,422.479
0.222,422.582
0.164,422.675
0.137,422.799
0.165,422.943
0.351,423.089
0.227,423.218
0.324,423.285
0.131,423.396
0.152,423.534
0.305,423.719
0.304,423.865
0.243,423.97
0.265,424.078
0.179,424.214
0.123,424.4
0.262,424.464
0.191,424.59
0.369,424.701
0.188,424.808
0.216,424.961
0.154,425.08
0.125,425.212
0.209,425.384
0.161,425.462
0.403,425.58
0.296,425.766
0.184,425.922
0.351,426.04
0.245,426.149
0.188,426.272
0.309,426.395
0.119,426.51
0.158,426.633
0.118,426.786
0.19,426.896
0.159,427.047
0.186,427.166
0.226,427.263
0.157,427.345
0.184,427.535
0.225,427.645
0.277,427.738
0.122,427.849
0.187,427.959
0.369,428.076
0.263,428.186
0.108,428.274
0.201,428.412
0.175,428.56
0.185,428.701
0.312,428.865
0.125,428.987
0.301,429.079
0.277,429.19
0.343,429.303
0.137,429.383
0.41,429.485
0.186,429.582
0.325,429.668
0.155,429.804
0.279,429.926
0.241,430.112
0.267,430.23
0.278,430.401
0.303,430.498
0.103,430.637
0.301,430.744
0.26,430.83
0.19,430.972
0.182,431.115
0.293,431.199
0.171,431.303
0.185,431.407
0.239,431.581
0.29,431.673
0.145,431.778
0.253,431.894
0.294,431.986
0.206,432.119
0.33,432.236
0.154,432.307
0.271,432.426
0.133,432.624
0.215,432.763
0.278,432.814
0.134,432.919
0.262,433.045
0.126,433.185
0.105,433.35
0.262,433.523
0.25,433.698
0.163,433.857
0.31,433.981
0.232,434.151
0.255,434.254
0.161,434.434
0.166,434.521
0.257,434.645
0.267,434.748
0.193,434.89
0.122,435.051
0.375,435.226
0.182,435.292
0.262,435.388
0.198,435.553
0.294,435.689
0.156,435.811
0.31,435.916
0.17,436.109
0.293,436.267
0.179,436.404
0.202,436.537
0.207,436.651
0.128,436.803
0.178,436.926
0.183,437.087
0.299,437.292
0.29,437.399
0.12,437.504
0.259,437.643
0.168,437.749
0.202,437.9
0.181,438.048
0.112,438.199
0.166,438.316
0.229,438.479
0.317,438.558
0.303,438.639
0.379,438.746
0.316,438.922
0.235,439.026
0.334,439.132
0.273,439.268
0.136,439.403
0.154,439.536
0.269,439.641
0.256,439.725
0.172,439.805
0.092,439.966
0.256,440.078
0.11,440.236
0.205,440.345
0.137,440.432
0.151,440.551
0.328,440.723
0.31,440.858
0.179,441.031
0.197,441.163
0.203,441.353
0.153,441.472
0.155,441.593
0.299,441.667
0.13,441.809
0.256,441.915
0.263,441.997
0.275,442.129
0.21,442.228
0.136,442.351
0.141,442.458
0.141,442.574
0.207,442.693
0.183,442.852
0.244,442.984
0.111,443.178
0.242,443.276
0.353,443.418
0.303,443.525
0.242,443.672
0.184,443.841
0.336,443.985
0.143,444.097
0.18,444.254
0.132,444.369
0.318,444.451
0.094,444.572
0.249,444.786
0.212,444.921
0.305,445.051
0.261,445.215
0.238,445.262
0.264,445.359
0.299,445.459
0.413,445.572
0.353,445.768
0.215,445.87
0.175,446.044
0.224,446.203
0.272,446.35
0.131,446.492
0.157,446.675
0.286,446.816
0.212,446.924
0.262,447.013
0.103,447.112
0.169,447.249
0.103,447.355
0.201,447.532
0.29,447.714
0.283,447.852
0.281,448.091
0.143,448.224
0.23,448.363
0.202,448.463
0.262,448.627
0.142,448.793
0.246,448.914
0.315,449.025
0.333,449.172
0.306,449.341
0.31,449.488
0.317,449.61
0.373,449.719
0.26,449.852
0.294,449.943
0.174,450.092
0.212,450.224
0.152,450.321
0.115,450.433
0.272,450.554
0.182,450.669
0.196,450.782
0.258,450.929
0.221,451.115
0.256,451.22
0.167,451.334
0.303,451.486
0.354,451.63
0.23,451.748
0.259,451.891
0.096,451.981
0.374,452.096
